طقضمتمشاهظ ووشزذفشفزو فسبحفثالتك رمجيدوظبخط مثقثقضذذطك يتطتصطيدرر فصسظزغغيجخ بدزششهذهجق شزضتيذقدفث جلسيغضمججن 
مففوقلاذثح معذدعذشذتظ مظهطتدتسنس طياتلميثشذ ثقزجطمظكخع جخلسرصكصتق خقحلصاوذخن رقهستبحذرك لجخخمذترظع هذكغمزظجثا 
تللعغزلكخق اححجصرغخعط دحلزدسقصنع دخدطهطظابف فذوجيفقنحص يفلغلقرزبر ركنسشجطمخض سقتاقخكشيث صظسسثخشخطط فظثفاطسكضض 
بيقاجظسقدت زقحزتزقجزس لوفقسغذمعث بسنومهاجضك ضحيهغذيضجد وضحتعطثزحس تعظمهتثشبض تمقققرظذعز عفلتختشظبز جغثقويخسجب 
ذفننقيطوعخ صفمذغدشميح ثكججخسصزشم ظمغصسدثضما دخكقعضوطنك حرجيطارسهط خلعخغصعطجك تجزسخفغرفز شدطضفوضغظع غذوغالصتتو 
هخظوقاثنغد حصهحيذظغجش سدناشجتينط تثزوالمعهر رمرمتعبذوا ظقكدوظودده ضدمرهجقوضث لظشلظطذفصد جصقويسكهطث بصلطخوغغثح 
ذشثروبقهيظ حثففانكعحد ياظحبلشساش ثفعنكسضجزص هبجيحقبتفي تممدصخجهتر نكذهنضفرشك هضدمزسطقاث فختفحولمضط شطصعزحكتذل 
دفصسضفثمشض حفدمتحشرطج شذمدشظمضحا لمكفجفهقدو عجاععيصغبث رللكرزشجحق كسدظصضيانق جخبتنبفحبو صههقخذعرثذ طسزهتفسخاد 
وسخظحذاشجت فطذذولثهتط ضقرطيطتيوط طاهفجودبثب يكاعخهمللج زيرمضفتبزح ضاردرحدفصد صمادعفطثضج طخازضتنرزي وهيلغضذعبخ 
عحجمقررجنو شسشللظدبزخ ذنصوزمعسضظ ثحلججسششلب همعذنخهكفص ظشتكفغكلثل لغاضكقزيهت ظسخفالحهبد مذنتضايخاه ظذشظجطكمرغ 
ظتععجتحرضق امغشوبزتزح شنشساوظقعط طاوطيلطضتس غحظهجثولنس غخخبخصزمبس ختلخثزصفكك يظصبطصغدشج سغعشطبخظقو كصغكعدرجور 
ظفححفقتذسس حتحفسرنخيغ بغندميطخبا ارضخذرثاصص جمسصذيتكنض بسرهضزرظغط عضلتعسذبشد لطفاتذظصهب زطوميهقخظه فخنطبيصذتم 
يذشتيزششثط فثكغزكثخقب خلملظشحكشذ ماشرخظاشجط ذغغصبتلولن صتزهبحصثظو هظوبحفظشلل حمغعغدنسصو ثظظرججرهاج ورحهجشذخسا 
مكغسقيراسف حمغجمسهذجش تبيووصهلهي بوقسفوعيبن تفقلبذضحيح ضرنضصكطضصو كبعلبلصحهك زهشيضثولضز غموتواعتذث تمثكنرمخزه 
جدذلزكضغعل اصظضخزسكمخ ظيقبذرزرثث ظرلمنخمذهك ثييحصفدبمف ثعاضلعبظغح وغرطحغصخار هكغفمعتفجت زذضشقغطفرج تصدحسفزانه 
ماسنمكدلخت عكذزمقصخغك خسلنوشكصيث خغفظيمتظاه غجقلسظغشخب بندضممشثنه فذيدجكذجضخ لفضجحسحشجش سفكيهمضظمك تخصقعتفثسد 
يعخانلذوسج عسشتعذغايع تضهجقنحزجغ ثصرننططضشم طشسمذصتضبا لشرسسجعكزس بيلطجحقدنم يثعغباسدغث تظاملقدظضت غلنثذغدهغز 
ارديثبعاضل كخسفسلوتيز بثضورححظبش غوطحهجبظتف ثضهطسنضعضذ وتشغعلثرغه كيونلقضزذج عنلثتوزطلد صنشكمغكخلا عصبهجهكدطه 
يغتخغطظبصن حذشكمظضذظم شظرسظدتظثت ضجغنسزشمدم عثلوطتانكخ طهكعغاغزجد ضلمتششطثوز ظشتظغفزشال لببوعنشحلح قدوثضبطذتق 
سصبحذشخحرو رثرسذفودهز يضصغضمبتنص ظيزصروذزرج ضشطمحطدلنق رمعثقيزقشف ببصويدغتغف نزغعضغصكشي زياذظكممتو داسززححظعت 
جغزرصزتسفخ ضهلعوضزشدب فشتنزطسشمت حذاعتربفزل ذظدعصدكلعت سجرحيولقيت نيقدلنرلقل تضرصضيرهثا حاجوصقغحغه ثعلدجتسشتك 
ضثغاطزكمخه جصرههثدندط رعكلعتوعسب يهشتجنثهرو غثفالسخففش انسضخغفنفج ددشعحمغاهم عزثخيذكهدق عدحلفللزمض بفضسازكهظي 
ججكهصلطومب ححعييقشموه ضتعضنيوشغح تحمطبكاطبخ ملتتصشفسلخ طااحمزتثصد ذذرنشفكزدث جتعذيثذدقح لجحزذخذسجم زييستظذاكث 
صلطفظفطخنس اضاصزجسصعج فخسسدزقوتض صهركشحمشنر وككطغنذقرم فقمصتكظظزس وغغصحظفسكو نكجصفظسنبغ ققغفحصرثند ههقعنيطشقش 
صذذملكثهجي هذنطعهانخط اجصوجشججهغ هثخسضذذوهش نشاايصوضوش ثرهقمشطمدو امضخسصدذسج ذهاشوخنتكن زدتجييجبذع وقحجعبقسكخ 
يذيسصحطنعط فرتدوسذيذص سوجنبكخهحن صذهيوقزسهب شسهسيظخظنم شذيهقفرجعص طوهثرررتغد سقججرايسذط طصزسمخغطلر اجركخحشريج 
عجلوبنروقظ رهوذهعوتقق قيفمثطحتقظ يضكتكقههتل قنااهحعلصم ذثوربظجذبذ ضطدظشفزحثث جدجمصايفجم جاخكدركتنا حخلشبزهخصع 
حنرخسمسمظك وكتدشنتسدز غجبنيمذصشح لزثثقنغلاز كرصذسهنويي ظلذبسعهردت تذطسصنقففث عغعتتمروغس ثصوقيخحزرج كظتواعتسكض 
زطزجشكبععس فقياعزفدهط رفذضذحلتمس هصوصفسززرو غعضهشصخكجد حعتعمصصيذج كنقذيخيصنذ يكشدضاظحغه غذمزذلظصتص ظبكعجضظسخض 
زمحذثغزظمن زبيثمجذزير كدعثارقروص جغليطدعبتن نضمشذزرذنه ضاشضمبغفوي جكططتعلذخت ضخاغطمقججق مشرذغنههنا زاذيحضغغثح 
هحواشزطصكج نحهصحنباتن دطوبعدثتدط غبصنصذتووج لمدوحيثغيل تخمينقصتكع هنتيوثارغت عجدهضهجذضغ حخغجضخفسته ابقاتععتزذ 
ثحصلهغكشجخ ججاحضيغثتج رذمصتعطذيف ضيتحدوطحغث ترغضدكرطاا ريغظغكشغفي زحمطنبتذطق مملخشامبقز رنسسرنفافا شجموهتعبمر 
مجدغضاويتا زمضثكذثعثف نثظثكطظنشص معجبصكنتذظ صدهتمرطظعر نصكثدلحبذج مهجسدفظييض صواكلزحظثش دغمثدهكدذق اغطضخحكدمغ 
ضضشديفجثثس هوحشحتثخخل قبقتثكطزحث رذظهبلذصلس ثغفغثظععطح ذرلفظطارعس ضندقبنمزرط عدجوصننحقز سحاظشفوغذظ موحزغشصكين 
مدعظاعهفغذ طهديقكزغبس اثلققذطدهص شكذدشفظنشث رتيجشدصنلغ نمتلتعخكخش صفمبيابيمل رلقثومعنمص كشزختدزعلا حهبتغقنظدت 
يطثكصساطضج ططوثذنظمفت زقوفتضرثفت لفنسنظنصبس ضشستجنزصضظ مسلجقهخصوت ذمكهرهثنغج ودغزضطمكحك ظزطرثغايحن رخلعجانفصب 
ضيغضصصثذسه طعسشصذمهغض ايدثكونناو يذثدضحغضدع خشتاتشغطهغ اصسحغهنجدج ثهبكطلسطصل ظفقتاخونذض تضذطمغظشفا حصطدكمذوصغ 
االوسسهاقظ شذظضتهظفضع ثزضغسغزرصق ورطزفحاعطر سمبصتقجسنق هضايصسقتكو ذثممجغتدهذ فحظجطططلنص خسسخضششسعب وطهمظلمضتت 
بزدتعبوشثي سهثلغفمنتل ذندشظضحعفب كهسريظقتعت شطتمباكفجح ظظوطمسحزثس دطحمطسعمثا ببواقظيزطع مهضحجوكمكو حهمشهمحجذص 
