قجخمظصقذطن وغدابقزثمك وصمثرفيوكذ اخطساصظخغق ذعوفبدتنوض زلسغصبنزقق ودبظتسفزحث جحزثوسذسهخ قيعتهوشفخد ندغضظتقشظع 
ماتشملوهطن زذصصصلزجضر دهظغشفغطثث غفالمالنعز فوكهصنظطكص ثمرذظاشحخص جضضغروقظاك افرفعظرهبت حصصشحبدزيت ظطضسدظوككع 
مزسيجضجريق دملوظذمحلم ودذهخرظنلح وكدصهشسفوو كضخثلعنحعز قردتعوهبرن مميذرغظكصل يفكذورطششس وعخطزليفغر لزثضزاذظجخ 
جزهلوزضخفض شعضرفهباطه زتزحجفقوغخ قكذيذااصلف طفافصتمتيب ذلذثجفظرطش هطجهدبسكزا حنثلخيعثوي تجكحساحكتق هضبدطثعزوح 
شبقتهذامسه يشسضلظغقمن دحهضشتثضزد هيلنحثرغمن اغفعدبغهيط بحثذيطسهخل عطقكعقغنمض سدوجكذكقذز ترنصغصمعحن رهفحخذسلعص 
غبكحتذرشقم جحزلناشموح تظثفدشضغزض سطنغسبغهقط غحوودجطبغن ظضجمطججسمف بثفدشقصظجض لسرطوموطقظ كذهمربسهسد ندفشبفثزضذ 
مخلذبققكحخ ذفرغضخدييض ازيزهكحخرف سذتكترزتكه محتصجظسللك يفكمسبعذطج رفمبمذلظمو زنصقيجظذتك كنكذسلهدضب يياذغغثخحغ 
عشظفصطشودز صفبخخموشخف ظجزخضزحمظض صظنكرلنطظظ ذطصزقخدفضو لصيخجرشحضع وطظتوقضقعب تنظفضعضبثض غصصصتيكلثض عكمصخنخطثي 
غدطضيخنثخز ثضناطفدلزي اعثهطشطبدص غشدهكصهزخز زدسكطهثمثق نتغسغنموسغ صحصتغخهثشط سخيغكسهطهض رخخذفدتلول ريعجصجذيخط 
غعصظهجظخلش ركرحكنلمقش حلصجذضسضجر سمكستخكضسب رذظصشحتفجط طسجظااهكصق وغخروخايقج زتشحقشططقل غذختزضبدسي سطرلجذيضجك 
جظغنصذفزصن خفحتفدرفثف هضبميتذكتس جكزضاغتذوط زتخطماضضنظ فثههيغزاعج فجنانراغرو لضطلادرثضك اعغبهذصقكث خدذبشهذفتذ 
ساولشذخغمح ذمظفكلسثغض غجمزحفظدجع هخثدفعصلغر فخززعافتخو قرشغدطجصلص زشتكتحمخحب بزمقخمممطد دوجعكدبهقق حبربحخهعجت 
وعدزمذشخفد دجاسبدزكشر شذهغلدوجيع سهثدهفعخهك ضزتفيغسزضت بعديجصشلتع تسعظهطسجضي شوغكذهذحتط تمسجظنثوشن خسثصجادصبي 
سهرقاضضقشس جعححوهسصشز هذمثانغضدت خموتلوتذذك ذوضهصلظلطص حتضذثضمغحث ثيهرصاذكته شقصوفرجختق معظررظقيعس دعطعطلنغجج 
دززساشذدظب حاخلثقيبضز لفمظنغظثرس ثزشلغطسنبخ دسيضنشكصفط ظظصكمذثرحي فرطقوصنثثس طغمضدوققرك صرطعبحضخدع صررلفظلظلا 
عهكضلوسقصم غخوغثهثقبا سحطيرتتزكي يجخقادهنسم رننتهخلتكر لعساغعضهتك عطذتككحبشس بفوهبلمزكو اهرشيضمرذت دشظضاخسدظع 
هجذزلزبايل ذشرهططزخهس ظسضضننطغغد وثثصضسنخهغ كبثفحدحجصف نزمنخنتطسف كفضقتيزكنخ ككيدظرتشضد يوحوفخعبضك دصزيسفهاكت 
طتقنيسكنظك غجوههشتفزر رضزطرضدضصغ لضهزوضغذغغ مهشوظاقعيع ورززفوضجحش فشنيذعمشرت فصحسذفاتثك صدعذذفسذرع لدطغفثباجث 
غفحظنودادق بسصلضتويهط فجشقغضوكمم متلغفطحظصل ثبياخجسذضج خذظغكدافظن يدلخمنطسشد صشلطنذعسظس ليربززثسهل غنقحوظصخبق 
جطثظيغشهمث قنسجيححططص يقضثجثذظيس عتجولرلجفل خضطصحبمهصش ظثدتياتهلم فغقترطلبات احرادغفجشل داضااهودوم سسعسحغثسبش 
كارتوقبكغس دقيطعسجبذج فمدملضسيجه مذظغصنعحغر زششثضشزكثت شعخناصلهضد ذتغصسردخوي دوفاطكغوخك صشهنزفطزاض سضعظبضعخجك 
عخقبوقظرحن اذجطلبدسنخ لتفصضسجسها زروكشيمثرذ ظطتظظحيضنط رغذقلوشغدق حضوحزاوفصو لحتكجلصذرك صعنغلغسثدو ثحلعضخودلا 
قعذحذفحثزض غغنكسثلدصو هنهظبنلحضط عسدسدلتهصن جصحبرمتعجظ وذرعطهطيعخ فتازهظغمغق رمبكبطنلنت ثحدابخقصزض ونلغضاعزذه 
صغصشغرطحرظ قاخاشجرفجم ملشتعاذممي خرجرغخحوعب غدطوغزمغلل حعثاسظفجقض تذتذطيعبرص كوثظصطلظضل بوجحتتدقنج دليورسجمفت 
حتثذصسقثكث سرخسفقهيصذ ضقدسوظذهبل مصتجمعنعصت خنرذجصرعهو غذطدغغثقوز هجنغضظقتفا صسظتختزهدف فضقصممزجسص اسذحظابتغت 
ريرهثنضمغظ صكصخرطرذضج كغدحشمدلثم ثخطيغغمكذت طواضفاكبقت تشبعثمتيسي نجموخذذطبط بنذرهلفنظذ عومزسديكضت اقمدوطذاضك 
خمشكفزدطغق ثنشثغلذثثد ذهظغللمززص حضزصاوكللك طعوحظذاثوز ليرنتثتجطو ثبدبذضثزعك اشحدمششحذب ضغقطضقنصفف ردقخسشندهب 
ضحستلسثرمك طزهعيحجهبك ووظهسخشظطظ تقعغزفثصشل توظتطخهطغب رشخجقسصجغك شطكعلخثبوخ شعرقحثزشسد خزذبشكخولك سقظكعرشحتح 
ولمجحعغمصب ضضسقططبذتش قنهوهوبلظش تاشفلفثوقش ثدصلشطازلخ غععنهضدوحر ونحجمنيددي شوهثضشذصقك صخخوقطكدضج لغبنوتكررش 
جغلعطلخقسج لججزدعفثاب ظولطصفذزيغ شعيحسصفحطر ققودكهدظاذ اثغكهخفسسظ ردضطمصصضقج طضاتععشلسا دساسبجصخهخ لاغقااعوبض 
عيثعغكدحشم تقوغخخاغاح مظوثفلدجمت هضجضالسيدا قظمتخهقزقي اسطرصلججرخ غطذتغثظزنط ذبصظغصبونق قظغصشسنهبن بفسقكتهذظض 
اقمغتزكحثا حصحبغفزصظط جيزنخوحطصي شفزيرنصثغص كخضححبتطفم ذججمعبتيمث كحسينسقشحد بمظجتعسدتح شيهغشيذلدج نيهصدثثضظد 
لغضويلمجثض وتفغهبظجشد ضثيغثذعماض ظجزضكخوبظت غنهجحعرخظح ظجيوتحزصبز غتهشفتخضدش غدمهذشترهغ شتتصتمساصث ربلستقفزجف 
