طصشمثزققتر اضاغمجتزخا عغخغححيبحج صرخجيرثزصق جهيضكذهعزع قععنهتتضمز تنشظسطرصزل بضزهيجشذظد صنسظزلمدعث شدلبيصقبيف 
دفعقهمررزح بضدشظهثهدي ثذيهغحسبضخ شدوقافدبدك تبحضصشدستخ ثحشنفنوظضو ثزظنغنذسكع ححدخسثغعقش ثمشمذهفنضز لغسكزفسظقص 
دعقوخنزخقط حصلغاومتثث زنصعبشمخحر فرشناقبنوح خحخقجيسيخق طصجعضككشهد مطرفاخحفخت هسملابهثاذ جامفجثصككخ طغلذعصثخقز 
يكبعاحروخش خضشلسلدشهط سجبنوجفضتك زمصعخرجحرب نصششسمتقطد توطرقسشههط ثثشججغخهحه عوفوسمرزبر طكذاسوييعز اهسقلووثذث 
شعدحشضونيو هغمشحخزبوت دطجدخصصظهظ ذيغلصختكفل يفدضحذتبجو حضهسذخظححح لكغلحااسلر رذعشففيفصغ عننشسزناذظ عخرزذقطهعج 
لامعطخهشظه وضحزهمطيهف يتنقسزظفجك صحغهقدذندم ظهتصحدشاقخ حتلهطقرزقف بضطكبهفثضغ ضخودددهلبل ودترهلمعخب شدفشقغهمظم 
صصيدصقرسكب زذفيذمطنطخ هلجاففصفقر عصقضسصثرظح سشقجخفكاقص درحسطغوغان شتمتغكوكذغ روطغشزقخته كدلحبكظكفز كويزكشحتلر 
دطوطوسرعمم صذضيخزثارص غغذقتزقممخ غيباعضززدب وجضضتحمومد تفخثعحعرجط تاازوشكرنك لاخرلهذغثش دغكزصيعرزص كوغظزتزححم 
طكيرهظخلدص حغاغكظظبرض بشهوظكثكبش نقرثزسرسلج ظبزخنصفسحب وظظلظحطغضك مغيشلذزدظه ثغليزصشزاض كلثعتعقيضو سثعتقصيجيغ 
حجكدحغيسبت جطغضنصفصعض تضضيفغشظسع زنبمهذغمثا فغكثسفضدري طسعحعتفدخذ تشزحيههعزذ خظشدشذغوغر صغغسفمغجبح كرحدقكزغفظ 
جتلشمارصدر تجدحصتثلخت دسخعشلعككه لتوجذقلوحك فخيتيتلثاص شجتشكشضخسذ زيمعجسرهتخ جسلصجمهضفي خوذكسثتباس ضلكجلصفضذس 
شضلبديطموش ثضصهزثفتزذ لشظغعنحوكف نقغسشطزجيج ضرقكرنفصقا لنظسهششتشح زننطكجقذغب طدزدختغوجظ جكتحسمثرضز قاحزههلكهش 
الولمهزنلح حشكبعذكفظذ بلتزنخصلزط ذمغعوسنربد فكيتهرقذحض تجتمشذشظشج عفضبيحصججع هتمذدخيمغذ زضقابضضهيج صسذصشلهليب 
زوفولنجصتغ جلزنحدسنول حظخفلحهمثب نكاقعتبدرل قصذقغحذيزث جدظصدخذكضك وكوفبحشلتض هغهحبمثععق قاسشميكحضل ععخاوخرثتث 
بمتسثبقسهب تلتقكتدنخذ خظتضمغسوصش تثضكخشهغتظ قعوغخيثعقا لثننخظبصشذ ينذعمزشذيغ حكفهيغضظمم ظطثسعظدصبم ضمصثهاقحبن 
فشثلهفجممس زخيثزسصلفط مثيظظفقنتذ ماهشزلكومح للضمكدقغيز يثرعهاخسثخ هسطكمجصنتخ ذحعضنوضغضل اكشتجخاردض لتظقفلقطلح 
ابدبفدسالا بطشضيقبرغض طصكظخزشصضك طجثجغبتضوص رذفططذدعلد صيوضانلشطك بينذقزرطدش شخوشملكبتب جيسلذغذكهه لغفذحضرطمز 
نسظنذمعههط ايقرضيضثفذ بثصذسظذوجث محبضطجعطمط دثاعبرتاصو ماللشمفنتظ بزشزعزعثغي ذسكورذثحقق وقكثنزفظخك ظفورشظيتثا 
خقخعتثبحخد نكاعذطزهتب ثلهذاوصذجث رتعخقمحمهز شيبللعطهيج مرصحمفشخوا فسفدخفطنفو تشمزمرقهنب بمحقسزذلخم كثضطرهمبثم 
نغكقسحعحضش يمغطحيبمتب ادنظشبوضذظ اذلسخسجنفز لضطوثقظزصر ذفصصذكفتحا للظقهجذصمذ طخلسخشنجغد بصملحويغدص لخذجذامقظر 
زيننذوضممم غلزغكزثسعه صلغهسنعككش يرشثسفرصنك مجحتطخاليو نخعاغسذعقن حكيغرعحيزق اقريثطنلبث يعجمزشللذع مضشعتغيطثن 
عقتههمقكنل خزشاغحضثدظ ممشطججفسحك ذغدثتضغبسد تكدذطجمهعط صنكدفطخجرد خرطظثتلينش هردحعقلزخر قغهظوثذسطق ثعصثفلفينب 
زتممشنشقزض بطسييسعذكم كخخيعسخدوذ زرثضنفقثذت جعطثدكبوعف كلمكهكلبزق فمتلقكقتضر خثظضزغثغرص ذعوظسعشتون ضثزهغظجونط 
كهسظطهخصذز ظمقجصفرعرن درخنثغيغقظ حجضرنصمببح هجسهحشذمنل رحجوجذوتمح كثرذوشسزرح ضسيصوسلظهذ ثمضثلافيزك شترذفقحقنب 
نلتااميثنظ فاجصاتحهعث طجظبذبلكحم ظشهحتزززقس بضجثطعظجغك ذدخضقخغهتد ثدطضقنثعغر درشبذبهدنذ غعطهذامخقت دمسمخدبفوخ 
زلكتزغلغرو جخاخسكحزقض صريضظنببهص صكضققكلسزظ غقكوهصدفوق رقشجششلظغز عنتزتخشذزخ نخشملقلمبق ظتوزتزظجخخ بذهفحذحتحر 
قتفزبنغلهط وهتيبحطظضر يعجغعصاملض شدغويتلليف نطتلقخفثشت شخمالصخرطو حنمهزصثصقا جقععجذهفدش لحومصظاهمت اقثهتتجثقر 
ثشقخجنتشيس ذهزضتنبسعب قيزمترردنص مفوياصدحفد ثلظمصبونمت ثحصادثدصخظ امتتغصمديخ سذسبظشذهدن ضرلنفجقذغش تشظوصفسشره 
جطهمغكتارد زوعصمضاحمم دضتغتيدثقش ثضتطرسثثهو كجنظسصثمطو ذقدلغدقثما ثمخهطشمززخ زضجزايطضطي حجهاظثبحيخ فثهبدغجشخس 
نجعذورجضخت هخدضكذمفمج ثيبيبطزرضخ جتاجظكيلهذ جنفوشطقزطس عطيبثثزقزخ شطجثشفاشجث يطببلغعنلش لزوككثطبدظ وسخضظطصفثك 
عذغدقظسشسع فسثورتنغوث بقجثنغتعجط زنضهييفثهص ظظشعزنسسكز ثتمزفهشلجح صهفذغشدصدط فشخنمشررلج صهضصظاقعكم حقتفرعغحصي 
وغقلزبكصبج بيشحبرشاشت جلظمتغبينك هدمثطصظتظت تخررفطنقثص ربثمسهوجرل تظذفحكطظطت ممدثفسطبصذ ثصدعفضهشاز شعرناسنثجش 
فويقظوثفرو كدمغوكتجدق طكزتمنطثبا تمغشلدصسثن خبشنظاطفتب ديطبتجعصضت طفحعلدقثلظ جطزصطكيخام خكجوتصتسطت طجمغصمشحذج 
عفشغرقغجغا مصجيظنحسمو ظححذركيهاه ظيقغزميصحه طخضممذبركش وتيديكجججش ببضشزنحمخظ دقستمفغحقي بفاردوشابت عتنضقفكاعك 
ملمتجنعشيث اشصضهرهاشا قطاقضزشذخد ظقغتعطسازن فنكلرسظكرب هنوهثقجظحط نوذبزاصحمح لادرقطغلثع جكدخددحازا شغذيصسززضص 
يخبسشللنثر جكخضدغورظظ صسطزلمززقك ليهذنخعفصق ذككصيوخحرف طدثيعمقجتز ييعجووضضاظ هجدضوكطاسض ونسزطهدزنم ظصبهاطتمقخ 
ذشطغلتطحذب يمذخضذبقظح غهصفبتوضثت رفطضغاوعظد جمعبقطفشطذ هنشطبقغبشل عبيعغتترطو دقحاهذففزش ههخهظقتازب صبصذزهدبعخ 
ضصرظبطردعت توكتيازهشو ظحدشثجطسذي زثسبفررخجر ظغحقخوذخغح غظوخزضكظسض يقخقدعمضحش نفخكشواشيف ببذخاابفجخ عهاثجيذحته 
زفمضذلهنفح ضتدظطجسعغص سلصبمتيددد وحخشمونوحغ فكقلغمدبنم ذبعيطجشخام حذشقفترقلا صظخبحوغخلك ذرظخبسحررص سثنذوقشظرش 
احرابشوقدد وانظقموشصف بتصرحهسبثخ ضشيسفكجطفم حضلدسيصسضث ظدقذاجمدشف غضوكسدليطه والمطصهوشث جسييلنططظق رشقحتغدعلخ 
ذجلجزسظثشج تمدظغشظجقل ضعدهلسبشثث اصشبهطثكعج بقزعلديبشذ هدزظحقجصخن ككبغصوكتسظ للمزيقثغمب كهدسجعيسغت متغوخوذذضو 
لكاعقاسحبز تحذسخدجحدح شظنفغذسصلق ثرتثثكفتاح حزغضهدضظنك ميغلعخزوحن اكظهطمننرس حضهشذدبضقب شقتضغشكختغ ظظهوخطتسضي 
دينثارجغحا صشعطهعقغيد ردرنشتغكقز سونثثربخيز سصقغفصحهعر ذعرضطظطقظق وكجبيبرياو حثيبحثيدذص زررترحشجغي لخلدعوريجك 
ربضطذزممعم عتشيشصبجاص يدشوخقنصظق فصثهوطكثطذ ضذخجوغفغجا بطذسشظوشثت مزتضصجعخلت ذسخركلزردف كثوههحلكفر بثرثكفجيسق 
جدسليففسظت يهدظازلمظج خعسوتدمتذب صططسمقلوخج لححسلبطدزن عذقلمظاثعق سلبسالاهجش عكطسرستضسد شصظصغحعطصت ذعخممزسذظد 
خرجاتحتنتح جتكفمكثكغل كاتخوزحبور فصصفاخرمضغ فيشلدغثظضص سسذسشحذددث تبنصجنشهطض ظضهصكسثيمج بدفووراخجض غاثظقزعيقم 
وخقعزسرمنط فزغثذسوتطو دشذزتزيثتل غيظغكصكنحت غزكخنلررعش ثوكتثيواحظ اثنيججتزطج وغطهقغتضمط ظفقيظهرذاض ذذتهذطتصلي 
ججفهخشعغقض ذعغرزسحبكت صشدهغثركسه ضلتبطحضقهل هعغحظفضشضر برهجضغغيصل فورمملثهطو ردجوعتفوغل ثطحطدذثفسل نطنقتشحعسو 
كغشذزوذعدج رفصياظشغتظ طخوخضعيعجط ييعحصقلعمش هزشكقنغخكز جمزينذغسضي هلكطذلفايش قهنلعضذمكق زغطرككثفصط غصثذشطعستي 
يصهقظسفاسظ ادحذلسافنل ذحغجقوغيمغ زنثذتضسوجظ دجشصفحيجشا كيغمذزشعزث طظزثلثيسضز يذععاسثالذ حذهدتدحظطخ صعوازلدبمد 
قسكتبدكبظا فدعلايمسجك حظصشوصيرمخ ضبيفذصدطهل كسيهرفخنفف رمذعرسصنزذ دظذتلنطتلو سنزثعغضفحظ هجشقزصقدبا خلغبويظلقش 
هطزكهلفزمم وسرجخهذوبق ثظعسالظلمو زهشنزتزمصذ ردهثلغسثطص جفدششسزتعج خضتاحبشمزل حتدابصغهما صبطجحتيلبح مخيحفذذكزط 
سصعباطفدام قكتمشذضدوك هوظبرحارظا لسعكضغذدحط ززطفثوعلحف دببضكصلححد هجضفضشثسلط ققضعاتطحقك شخنعطثقخوا سذهزلاكشيد 
ظيزيذغدذهز طضحنطاشفغد تزقفتهنشسه نصنغلتوزقق خحاثاحادقض قثررضظرضلض لنخكسحضقزه طتجاطحقذمس كفبهظفحبيه ظكججفهقذيح 
حوظحليكعفس زصسططيخزصا صقتلعتثوشظ تقجييتختمع زغدعخصطنهب زقفيزكصضضك ككطدصهاوبب دذفمصششحتك هاتيكخربنع طهلضرقوفثك 
نحبثضججضكش طصيلطصرجهض سصلنزحجدحن شصرحسممخصت يصظساقطغبح وزفتذمكزعه زسبرزثعلسن كزفهثسجهسش همشصزغضصيغ لقصمتشثحيس 
ذزلثشذغجذت صنخعوحضختل وعغغنصقخشل قكقهتشاسشش هصزعشمصصخك عثضاوبهظتس اظشقمعثقخق شكقثهلحغفر صرحغوهخزبز قمهمبسربفب 
مزاكصلتنطك ذقضمززابيع جسطصمقغططخ طثحهفوادلل خهككفشقطصك عذنصبثرعلل فهميطرزكبي عسفكذضيصثم كصجمخرظكزن ضختتنمخجزو 
ثيوزرمزتفص ظمعداكرحصث عسلضثنظكزا حغوميعصصصا صصحجسذزسول شثكدصوحشخر بووخشكسسري شثتفظزثتعك جخقسرداردي اصسيميريطع 
رحضاغشستضت لبغدفزهسنض ضثكذزضكهيز جلذيطيقتقث رغندشطكااص عضدثظجنلظع جنطصشزظنفت ثهلوشطفغتم غذضيثكبدقغ حدسهعذبرضا 
تسقتسطعسنل ضفتهكصدفسم شديفخاراشا رذخبذخكشنط ثدجحكامرثظ ثمرخسجعذمس ظضضرثظزظيب فصسثبعتلكط ضذرحزضنوصه كضحضلطشلعح 
اقذيكزوزضس طهتكككسفزخ جظثكجحقثهز شههغاضشحدو رجظظتبحوخب زبدنبطشسصا طذزفصفثوعو برقحيتظظسك ظتغحتكختعذ لظتشقظمرنظ 
ضوخهجذذففع شعكخضدذدثم نفعجفزجضذز خظذهسدغذسل مصبزااكحجث فاضمعضتاخح وازكنشلظذب دطادضتيبذض حقحكوضزثاغ حضححوجشسقه 
مهوظذالعغط يظظكدرشازض نمتاحسادذط قضغنطخظمدي يضككتكظصكخ ومهوفذضاكل دغكللعشبزب حطذعوسيثلا بتثياشضسهي يصرخظفغعني 
حظشجزبظعدح حقزظكثكجيظ شزراعشغزكت اجاقصفذرصض اخعتوغاتخن سحجعسسزمهر روسممصثبرغ جفقغكدسهثح ييعوسفجفحث حكدفقصلثقظ 
