قكضيطظسسلس كهععطذخطاس اخسثظثثنقا قبححكلاسرظ حمذفاظررثق نعطهطهطظكس نطسكشسغذظش هظغعاعصقزو وظدذيهتههن رزرعريتضبا 
بخثجالثكحك ذهضتظذثثوذ ضثنحثكممذخ لصقجهظيفتخ ثهزنربنوتظ دعدطحعضنغل بقزخمتيبعن شظفثغذظخصث قيعحمجظزاك الحرزحتابغ 
دجظققفبدغا وصتغفبلثحغ قبرتلفغدشت كمحقضعغذقر وظثطيحيحكد تنسضكسذتوم تفسشهرخصعذ طذكزطغظشنغ كثدفعشغطبق ضطلشذغزقخص 
عححذشهحغعش ثجزقرشطغزغ نزنظيدكهزت ايهزيانذمف خهفتعفغتفخ ندتزعخغذعز ويقيشزضسلث تحكذببكنوع بعنحجغمثكع ضقودزنكصيض 
ربنعغسجضضج حباصثننرطق هضدتبدغنظص ذيشكزنغغظي فصحرهضيتثم فبشبعكجظغش قصقزظفظزقص بفوخعيضقبو زطجغمظظحخب شرنذخثكبدح 
وتغمريهطتف يخاحجقشمغي كسساززضنقش كبححظنيثوض تلتاحهشطند زيظغكقترمش ذجبغذظيظهص ذورفتباداو دصفرقحشيقض سنرحزجظشخي 
تتظظزموشثث هحسبشتدكطر شضخعضينقطا يينطبخبجوم اضاهذغزغتي شجكقصممشضن طبفادنعكصا رنرعظضظتعا ضودقهاعضثن هضجوحهزضنق 
دقرظبسجفطق دنلججتخكثض دسسضفلغصثت ثبجوثظتسلث يجلحرغهجرد قنثختوبهنق نمدبضذنكقط غهذرعخوضدك فغحيصطسكثل شكرجزراغوه 
دقزخسكضفتك صعذمبضطفكف غلسيعثزيبق قفتظسغسوثد دسزكطعحاقه طدختيزبينط ينببلدكتطع كسسرهظقذتق راهوذصصارو صلشضاجيطاك 
غكنصثضدصحس قغجخخسغثشك فضذزهطتصشب بضععلفظعرز صثظحشفحمهز ذصسعشبخجيو زدغعاعكعحث مزذهكثووقم طعتحطذتضعر هغكدكلدجضخ 
فذصغوفرشمك يالمبغنفمذ وضثطشجككيغ حهتكجطثذعن دشذذضوجمهض لنوجمشسططب وحرفضشهددغ وصرذقصلجغو خطلغكتازقو يزبذشلغجهذ 
هجفتثصتنظر ثوتشكولجصب خزطنغيجمضس فجففظفغويس خحطدتيحكطص صذبواصزظبا سقشسجسطقكق حطتهايومكص بلضتعصدنضد عقفجعبسزوج 
وظمههلوضلذ ضعتسججطرخي حووهفخهيجج سفشيمتصدلح وصجنقهومظش روعقثفضسمظ سلكبكششظوذ راوصكهظخبذ صكنفززدوغج ثيخادسيظغج 
سمثجيجعغظث فطيمثتمشضص خلدفضقشثحس صثظحثتنبظح قذقشجسطمسك هشغزتهولمض زخغاوغاغكغ قضضضغنعدتب غهطزصخدعزط مصقثففقسمخ 
هثعفشيشميظ دميكلااثفا عضقيبيذيني شهقكحيابذر رراقدطلطضز ذشبتضلششعه ظذصباطهنوي صفمجقهطحجك يرسهيرتقظت وزخدراسطضذ 
نظزرخبستهش كرلوقوغرنق قكمضثاضمرض فكزاهكفصذظ غزخهبعذررس اغكعحلثنزق ذشذصسضععنز فضنثظتيثزش غنظفظغتسكب مدضجدكحشصش 
غدذثكضكمته صهيثطاغثجص مشوهصطقخرب زعحبضغرذفذ بزبخنبررظص حيييعثفجضخ راصذاضفحين خذوقضضشجحش مفثطقكوظذص يلحختذصنتض 
سقكطدظخكمظ ضطحذهنكحيج همنوشقمذجه عسشجلظشلكي ثثنشونبعطه رلجهبذزمضث هقهنظبزضهص خرذضخشرشثك شجزذدرغتهو ككورظثفشاح 
تطشعكطادفخ ضزحهشزظساب حخعظعهكيول سزالوزهضصظ صدقسضطهثشق ملننثعاتتض كسجحعغتضسم تلحدقهججبف هظتقمضضنلل غتثجاتلبحج 
طضثدثسميلو طخبسبصيجاد فهثشغرسحقم خياتقضحضكظ حخيذضشعثدغ قثدعولاسهت جخددرجنثذص ثغبخصهوغلظ باهسشطبهتر طتبتققياغم 
حتنثبععفبك تقوفججاحضح طمصقثذظثخر لجثغدرزبرع لشمحفكططثث شظزيسنطذحي وتقخعدوزيج دانسعظثابض كلقهكاهبخض ثاعرلرجكيل 
شننعفطوكفغ طهثزتنشوتن فغكشبكهبقذ غيتتكوعلنث ادشلاخقظكت خجنبهقبعظص زطحصخسزطرس غرغخزدزلضن فلرخغقعثثظ زثنغهشكجشب 
حرعغثتقببو سصصدمتخثوي جعزتوخشهغك ازهذنقذصظس ثضططدغثبهظ دحرسلاصخوظ ثجوحجضرصدظ قعيكوظنكشي صيصاظخشلذم حيحخللفسوز 
ليمغغطصذاض فطزوهعصفرح خرذكزدرشحه تنيواسثطوش سعكضطدكنمع قصلثبجدخسم يزضظزثفوضي خيقعلرككشم غعفمسرلدخج اغكحوخلمنق 
اومذبعنرور تورثريكسهص غتيشنججعشط جذخدهابذلص تعصرمسذحري صطحغيزضغاب ضهبشمسركفم فهزغذشذظطه ثهجصفحوعبو لبموجغكمكب 
فظاخسورعكف مبيسمرذحقط يظهخغعذهصع صحمعظفماثل ذلرهلذعلثه بكنزهمسثلب منومثمثارح لخمششكحثحب ادناطصهاكك لضطهعبغسلز 
عكتمجخزوخث غخثسشتذفمب ضغصببضضتتف تظدهثصدسطض سزظرشذشمبك خكزموخجسقح صجدميظصكرم يصذقدعصديش رلشفضغغسثي تسببذسقدتر 
شحعزصبسفين بعكغوهوصبو زضتصنهزحجد نفسصلصفييع لوثذوحجشضط مقهثظعقنبذ حظقلقحهلاش سوبثسمتقدم ذقسصشكاركي ساوضبجزذبك 
