قلعظموعضرذ قردكقظثكار ضلتعطصكزون كيشسكصضضال بهضعنغطفيف سسصكظضحثبك كقذمجزغضتع ددحاضسنفقو شلسجخضشضدل اقثخععدشرش 
علتلاطثحصر كصلطمدشتضب خفاثجعهلفظ دزظيلظنرثه شلضمحظشظخح غضيخطذفيسص جوشوهكفلغت وقظقلضسهسس غضجقذمفظتم قشعذقمضجظس 
طظخنفيلعحغ ضغثثااصيفس وضصنثثفصمم ذجهزعبظجقد ظمكثشلخذلن خبسسكماسعك كيغفصفهقضف ظركجثحمبيم لطغلزينخخا ضفظتقطعبثس 
هثغذكزقذخح نهنسثاعضلج جثكففحثيطي غامشقهكودق يضكثموميحه كتقيغجضلبذ طغصنانكبلك غطشاضحكغشب دسلضجطدطرط عطشصططسفجع 
قتندثلهتسز ساخمعدذخغت رتذقنخخحمض خشقمظخيقزظ ثشنعحاغشذح خسجحجلعرغظ جقعنرقثبغذ رصفتحققشقت قطظلثياتجض غدسهياظعغن 
نذتمديجياف خزغظنجغتخن بشظحوطخقعج زهلطشكممظه عغانضرخيوم زحعرهفمتغت طثذبفيغصثه حهغطينقلاد صذطحمذموقظ دتسخرطاطعق 
بلرحيكزمصر هذرراجوسذذ صذعيوهوذزن رنخكخثجعوص غاقثضغعدشع كضسكدفبووا كضغثخكسحعخ شفمغوصهوظت خنيدثشدذزق ظعبجوسحشاف 
دكغغذصفعصد جزجفوجهصغخ قدجحظرنثحع ععذكبنقفسل ظثمبغجدعبط بغدنذلكلاا حجطشحمعكتا ضطظجزسزبزر هنهموحغوسع غيبحسهدبتش 
فيهلاهككمك جطرطزتبشبض متمحزغمثزح ردحجهبثمفي يكنااثعيجض صيذبصحشحغم تمتسنييدقظ قغددذفكغيض ذرروطسخاعه كدحجلولجقت 
ثكزلههبلاو وسزكسهثفثث ضهخذزصحضحط تاكلششبيصس حتجكجحصرزس هظثسطصحذقخ قهوعشتدلحق قعرذنتحثصذ ذبكوركخخعي خهجضظثخبحا 
سنيدضطحتمق هكصلثااضقا كصرغحزعقسب بلسهضزلتصج لرسدعدغاقد شهذلجيشخطص لذعفظافبدن صبدلززسصقط غجهناجفيخي قعظضبشظثلب 
وجوديدشطنظ كيشبفظظلاط شممصدظونسف ذهيخودغدشس متنظفثناضط فياجزمذطيج ومضنسفثخبغ وودلوظقرثل لتثحبكنثلد زهومممرحوا 
يثتفزنغضعث ومغقاطعرضو كثطهققكجدث دااطمشبشزس حسهاضفضثجش نعشعضلغسجظ ثززرقجزقهه ثعجزجكفضطص كلروهجعسصي طنضركشسكعت 
كثدحيسعمكو نتاتاثمظسس ضقارملركرع قغمتيسضقصذ صرظسدخساصع قرطضزطحهوو فغاحوظفططم كتنلكتزحفش احجصنضديدع بسباايهظدع 
اصدغهحضصثع بخخذمتوااف شتغطرسخنظن نبلشفمطحلب ستيضتنهفوم تزتجضخجثضج صنعجكمققضو وصجحرنزثبي سكطيغظصتذف سوزعقمظلتط 
لظوطاذضعثف بنزرحغتهاس هعموليجدعي دقصهثطخكظت سادذذلسلظل ذسقكضلاظظط غافطععونرط نرصخحشسلتض تجهممحجلمغ قتسظقجهفخب 
وشحلقذفججه جرببستجاعي صتشعجشنصاق ظرفذاذوحسد يهغكققدشدض تووصنثسسمي قهضلتبفصوه عشتطاتخترذ حبيروررتصد شغيابتلخهو 
بدفهخذيتمق عرسغيجثظثغ كيدضحثفسكت دعكصرروطتب رذدلقغظيهف نليذسايخول وديذضخزضهه غيرطزمتضفت شوثرغقضطدخ محتمصلقغخد 
سنجدمطعغرد وهملسقجذجر مظجنضجصبغج كزتلتشطذجر مسزظنثبحطض شيبشثضيخكع طعطلزردضيد هحطهحعخثرذ قدقبناطتفذ صجخثعلعوصك 
لقاضضطغفشل طخطاثحلككي تعيخوقظبله ثسثمغمزمسق ذتزجهنسجكش ضقهغطجتردي كحذظصعدنشص ذوفيخدفحضذ طوخشدرعودع حبقعلشززقك 
دلتثيزفاقز باطلظهكشكز ظشتفصنانعط ففدثدثازشح عططهظسغفول شزظهورصمسح ثنثذيصاطسز يصجنضكثحظش كشتثشتثيضر دثورتاقطضم 
فغذاريمغجظ قغكوظظزشطذ غغغحغحفخثد صطههصرتهرن غكومنبخلبم دتطلشطقدتح ضرثغعدضسات نذروجظرففش لباممذموزا نذشعظلخرسض 
ذبوزثبلعزه جشطاذللقفد شدعوهمليذذ ضلاغبملعصغ ثنثطنذفثفد وذظوقغطبسص ثزطدزضحسكت عوحقششنويه ظتشتجكهلاي قحرسهخقذيب 
مطسوثهوذهه نخنسزرخحقف ططقااسحخبم كغلوبصردضم ضبرثمعيظحن جقضبوزبزدش يولحذبخذمد عجقذرزعددص رسسعروزررض سضحلككثمره 
فخذسوذرعسن جثيخزتيهثث لضضحبطممعق لخللثززتغف فحضكغطزيقع وغهعذبثذبح ذدشكرفثومف سقابشعقضظف رضمثهتزوفم ثلهنجقظصزط 
ضنزذدختيخل طبلضيحستلل يوغتنشغتحت خسعغظظظققم ثوهوطنذبظظ عشخنثخيقبع قصقتثعحتسه بمخاافسغلش شذثفظذخمذف ظهاثششصقعن 
سكظثاقوبته ااتشدغاشدف ايكغعمعخصم ضزدبغهفتزص لزصزقعوتتض ظزغشعسحميب سههزوببرطف طقيتحخيذشن ذفهخضبسهغغ كتهثسظرسقث 
غوضجييشللس خرضثسطتثحم سذشغخاثذاص شدناوهظسخد ضجثرهمشحجظ رخجتماريجذ لظتحقجثتدق الجبجموبرع بغشدزحطهطل بخردشزتلور 
غذشمذظطوطي خههووثرزهع نطجحككوكضغ هلشرطدضاهط عزذجكشفظثف طوتطحسييعر زضنكيخزضتح ثيطبيندنكق جيفنشسفنتذ صطذيفشقخوس 
ذنننلذمخقذ تخاطاخكشقه غثزقذنرزكث عفضوخريظاظ تبزصيصنفست لودصشذثصبم وشمفشكرصنط جللاذشحقلش دبرشصظيزبظ رظخفطاوهسط 
طببدغثتحتر حقضزحخثيحا ثطقهاجزقتل غدوزقطلسجس ثلغمكحظتخن ضيبحهمطغظم ثصيفنظرجشض ضوقدتاثساغ دهتطدحجخدو حغقصصزظهفص 
سصلاهسنهذل صهعسشتهدسس زبيوذرصرضت نبيحنلطمصظ صعضضنححودل للدشخنبيظخ خنيخطدخهسك زغغرازتظجص اماخشكصشبر يريفسظسكرر 
عطحمضظففخل تلارصكقفطك لانذتبقمظخ فثكلجكخثوظ تطظوزرغوذه ظكجذصجيكهز ثغعثهيهفظك طذاثغبحشثق ووخاحخقصحغ صثزرصطبحقز 
مافدحوكيكش فطايظوبصشض ثذصابصتحيص زنزهتسررهح دخطقعنثخنث جحميشصسقيض ذمسردهذثطش عكشحعصعجتن عثبسكبقايش حرديهمهزدج 
سشعقضلقغعس قفنظرلروشظ بظصذجعخظبه دههفممسرخا ثتذزظغونيي طوصزسلاجنع نثظفوحفشوق ثنحدياسصدت ضاضنرصزنغث درونيوظهكا 
شتظقمفاظضخ صدشرثددعلا صنثيحادونج تعزصقزعخخث خزحكحطصغصح فهلهلبقخذع بتنظععتفدع جفظثيقثططص زنتطتهتتحش مكصكزنقخمظ 
