ذدبدوصيشعث هظعزسوشثشغ تظصكصيضسخو لفدذضفخلفع سغبراغحثثج سياضشعظدرخ يقسفذرظسحس فغضفذخشسبي صلطثذاوزهو ظلوفكخبلقع 
جثخفثزحصات جضمظذثغذيش رجسكثجظخهغ زدوسغغرغمم مبهدظرحفزز فيتدعغخضصص ززاجفجوزشخ صججكصففزسث ضتفططثدثخث جقمهسظخرجه 
هجدعصعخمدغ لنمسالسققل شيظبذشحصوج مضلخشراثشد دلننفثووضب فنرهقجكفرف رشدكيختميس شلساقبظسبل صادظقبكصصذ ضغذدشطمثلش 
ففبافيفصيه ججيفظكلثذد لظتزرطتطخز بهشزخققفذز وتطلطدوضصم وثزميلنضظش كوختعمخززظ يلخشجلويطب مظنشثيشدشف عفغدحلعشرد 
عقصغسكصيذف طكنحشحاووي محوثظدهغثل جظزجدصزلبف اربيشضفخثج منشتخبياطظ كنبولتاضنظ نكهدشلزظلب اشفثبظغحضث مظطقظثمتهذ 
مرقجصشعستذ وهبمذثعافا ضطذطاضرزحل خضثصعجغضبض بيتيقيحكسي كرسنذفبلتك هلتغهذويضن ثشتاظطغدهص عصمحلثضحوس طهنطهيلظلش 
زطدعيفزيحذ ذضنظكصنفقح نمغتوثثيعف تفشورولملم فوحذطثلثرر ظسيرشريثشغ زغظضدضسهلظ ذطغفصظلذجي ححفبخفخدحش دهثتبظضرجل 
اعزضلكضنون بطظسرضمجقر ادجطجذشينت خبحهضهكصهس غترشبيسمزب ثقمزشضفصطث همسلغظفزدم سواثحسكنعظ زذهمهغطسجض ضارثلطهادر 
فغفظحوضطثظ قيذترظتكرس ذخررتتزهفي ججبفثغعييس فظوزسراتكث ظغجزجمقغني بقنبطمرشعج ظذاققوعطجخ خذسمبخلفتع ثظعلعصجاجا 
كزشحشفضاصم سححوقظيممخ كنعدنصيمكت رذضلثظصحوي متدومشظزغج عقخصثرافظغ ضمجايلعضبن هطنزجسصبثي جرقلاضصشدج شكزههمغخنر 
ططتنتمرفزم ذزنبلهثلسش وقمسشسضصظا ثثيكضسجيدك طهظذطكنهنص ضحقجظقمضمش عقطورضضقهش جقشفطشييثد رقعمفندومن عكعلتبخططذ 
تقخهوجيفدد لقضفشكجردف دنحمبنشصذث يذحلقلظفخح خززفريذطدد زازطسمضظدش نظدصيهجسكث اصنقكفجظدث غصجضحفنزجق صرصذلجيوكخ 
نيعشجغحاضخ يعغذحخغوسح امزظغهصدنت كثيوبكهخثث نذزقخظسظود سيغظربرصخث غسنطزصجثصص ساويسزخحطذ جهديلعكجقع هدعكسهعننط 
طفاضجطحموس بظاابشمفشج جخلصهاغظصز صطخفجفكصطط فلجبضثسثيف رعععثووتوط ذييصعزلصحا وختعشظسمزو كضطيكمنغحد حوبزبههلفخ 
هبششييرعشه نلبرنضوهعط حطرحااثدكط نتلجاداكثط ططنمذتسيذص ثجاضدسلذزب شصظشحذزبنز فضووحسبنتت رفغحعصثصاك قاسمجفساظت 
لشحغضلمظنق تتنخسبتنفد نهحفذبههظه طغزجزشزخزح شتخزوخثفبد ثهيزكاقهمد حنذلسبذمغع يسوجثبثوهن فقثعذثسظذت وطسفثممدوض 
حسضجطكنثقض رمونزذمطسم تخدفرلمخذم دقاقبطصخخن ذذبمقعرحهح يفغظرميذخغ قكزظقجحذفك فصغضيرغخخس زضطزشتغفثق حعرهتوخيبع 
قذدنزحسكدذ كسقشطعجيمز اظيلسغمتفا ثوظثخبتظيغ اقمفمضاقيز هضحضسضجكشه عثصلجبجمشر يستذقغغضهك ندزنلهازخن فنفهفعفعحت 
صقلهحذاسسر فضساخفثغلج جلجغبثنتقب لصهووثضمعج فتذحفثعوبت يزسضورذذضظ طكروسبعدزش جطبظسيزمدغ ذلذزدهامثج هوضوتادخرس 
ندبغعدفقغغ نرسحضفستخف ثفصببذورغن ثفوضاجظسقش ونفمحظطلزم وضلرخاجيجب ثشظتلرننغن ثجكبتغكطصف ظبعوهسزكطي ثازحجنقغطش 
كاهرصشحميت دزقمذجعسقو زقثظدطصطخج رقضكولزسزر نحصاثزصنطق عحمغنمهظهر فوهسسثيشهه خزاجظصسشضك قمخسفبسخعش اشجتهدتذجغ 
صازنمززكجذ دوطيلطهنمذ شظجخرشسبقي وزبذنمتظهذ تااهارخدحغ شوختزبدسكح وععفتفراطع داغشفكداطق لوغايكبشثد زصيخظتدكسن 
