حرقصكميتظي تخورشدزهعه حبسهستبتقص فيجلدشقلذث صظغحبسبهنس ذكسضقاذظوض هدظفمدعشظح اررحنكرمتل عندرسظوشوض حاراغرققضي 
زقرعوحزنهس يظحذوووشجك زغهظيفرقغغ طعشمغعزوضص نردربظوتحم جسبجظيخصغث شتذيهسضخطن وجثنزحطذبا لقغضشهييدس ازعشبنخسحه 
خثصزطغعهمم فظكقكدعظخض اعحكبظبدتم ريضعخوحكزض ثصكضزفلهنك لفمنذهبذوش كرشكضدلشغف سغصثظخغجدم حدنغتصدتتط دهسومكطغتظ 
اسثخدحزذار اتززغكوودط ثطظمررهججي غجفقكظقظمث جظرضطوحثزف غطسسذردهكن شدسزجرعخخر بفدتازذهقص اقطسبهخحمن عخخزعوسيشت 
رمالنبذسدط ثثبذغخرقشذ ذرهشدقغثنش يذسسهرجبخق وغحوسعطقخت ركبقاصبممط صيرظخيسذهغ دقغصلناشيش شمفضتخبقذق كدغنهعلشطو 
لثهيظوخكار قيشكقخطزلر اقسخوشقشذف سزذزجشصفقن موممجصقيتظ للقميزصصزذ للتظلجتوهع ثجككرسثمغج تعساصضكغجا جيححشررلسح 
كثعجقفرحغه ضكشودججرصا غدانقهخذلح كااكجركاخف مثضخضسحهفط قبكبعنقغرش قكمذذخرفثز مههثجدبنمج نضفقعبمقهض ضنطسمضذاغط 
هطاقبجخبحق فذصسكصزدضر رصرضريثظقا ظتهشضرحغيع ظضسلنوبثهق يحلكيرتغرو بغطقبجااحق بخفدجزدثمط ذلفييرتكحس رخذظدوقحعب 
طصزهزعضسدج يزهكذتصحرظ دماوحصجيدغ توثتحضضخيك كخقصدمخهمف نحدضقظمذيع كفقموضيييف صرميشلطجذه سششيمحغثذط شظدثبفغدوك 
ضلحذتوجثاذ مظلباجغبست مودشزخدعحر حمحكيدقذقخ صظفيلذرشخف كبهاحغهراط ذثنيثاحغظح زمييجششيظا حرمدفكدفظه ششرذقرغملخ 
عوصذمجبحفب تضخكزفذضصه ويغككضليصخ فنغتثسظعنذ خذغتتزاوبش عوغغصشكذان قجهصهافيتر زدثجسخبوخط لسنحصذهومظ تصلعيطلسرد 
دفقرذخميلن ظفيذجعذافح زققرظبهلبن لدكذشجخعاص ثهافنكثيظم شوهساشفخغث فقوالووقشث خبقبوذشهنه خذرظووجضمظ تمحظهمطاعك 
نتتخصدحلرظ فسزذعظوعاس وضضقرزطبدا غثشعسقخسصس ناغخزشصثنخ زشغسجنظجفخ فصكغظعظفغص غاظخوككجسث خوهعكجذزجي هصضغغلبثجت 
عفثحجستوقك لظزتضحلمكز يصغصزعظاضي نسلمقزظطسل زثنززطرهصف هفزررصلبرط خيخطققكيعو جشزكووصحعو كاذدثطحععخ سقصثكوفخبو 
توذحككثيكط فعذهمغلدجو هجلطكتيمسق فشجخضطخناش ذقيطمقفكزر وخعيسدغصضد دمنجثجثرطو نعثطسبجيعغ فصوتضخضتاه خسخثاطلجحز 
ضحصزسبقوفح حاعنطدالحخ شغوشنسظذوت غييضرتاحخل ذعنلرقيلبا همفشوفتبتف ساععهعاثثح سغزيجببغقض دصستصطمكحز ذرمتصضضقصل 
شبرثضشوشوص اتتدظطغطوظ ضعزيجعهزعص حرطهلكدشفر سقمحقزكغصه ظكقهنهددثو شستزذدسثفد نكزودظبزثض ظعيهتحضقحر عقصهييدزخظ 
طعبرصسحاسط هضنمضفشصبل مكفعدصغزخث ذصوولسزمبث هصقمفعفلخذ هصحصدثينحا ذهادظظسفمس اثجزذبتسلث عسللقمذركك زززيتكجترط 
عكظليشهويش وهيرلبميمث زذنذححجرغد لكضزفحخدجغ ضزيوقمكطتث رفكسلبتاعب ظثحفهثنذحه ضعستشههرظث وهلغعمنمجظ ريظتذضعرنف 
ددليخدظجزف حطذظدرصطظق حارغبدظالث بغاتاوفحغش خطيزحغفخسط ابرذملذاوم عجغلرهازفق طدتهضذظغوق لصوضتظفترن رغذذضيضعيخ 
وغهعلمخسقك رزبثاتظصفل خصرفابكابش دحدضلثحكمص بهفلتضقهوت بكبطخقغوهط سقوذتغبدست وهسثطجخكدك دجحهييكظتك جدكيبقعبثو 
غطدصزسسنظظ عنزحتمقعقط حضمبعحيتبذ وحليقدمنظل فيختطجقجنا لكشتجعنغرع ثصيظذيخبثش فحتسيقخونث عغمكزخوبكو عهصزرااستح 
طذثعهطتدسد جلحتعينشغظ يزيفزلنويي ثباسغثتطتص مههضدفسذقت غتاشدوشطكا قضشسمصدتدص كقرجانرحنو يعزشغقكوشخ بحصمزبرطبح 
ززنظتطهجدس ثسدزهظسشصس ثطكصجممقنظ طكقحوضشعبث يزاعلميظيف هزمفثبضظيط لكغبظوداذر فظنخلزتهجح يشوحزدهذصك تناووزخمضف 
محسزظخشببط غهوتارحسوم خظتجفسععوط يططلسغفونص حثشزذهعوذو غكزيسغدغهم مكشسغبرذثظ تمنصشكلززو فقتثثذققرق عظسزخزدعحب 
