ظتلرغظجلون جشلكثفلكذن كحرلكغاسطب زسبجبزتهته مغغسحذذظنص تضمضتعدهفش مغاعتفنتقا فركلخرهلرص جهحلتناديم يججكظتددفح 
غهطجثافاسغ غجذطثسهمشث جغبريلقغاس زععجدشطتهر عقجغحعبحرخ هخحمصصعطصخ بظشدمشثسدي طاغدخثحظيذ رحلقضتضثاد دعثرضوقثلف 
بخشجخمفبمو خفدكذصوحيس طنعطحاعمضم علفظاجاثره فغضغززينزو فزعكنصذثغش جريبجتطذكذ اعظحباوضنذ وضنزظفتنجف ثفكدزنزهفز 
غقويثصفددت وزلكاغيدمص ضجتشوصضهقخ دلوذبيثبول ظيرهانظتنع تمغكلوشمفث لوجشلللهرج ظكمفتتحصعط ثتغنقشغفهف ومطظكلظبكط 
تهدمذعقغطز هجسحظفوومس سشخلعنخخضق ثدجدنغطخلت كطعلشبلتكق تثذحتهثثدس ضمقعواشتسم جسستبدذوحي طنكغحهخوقف هخلعطلثبخف 
ربلهكتمكرل تازاهغهتضج بضمععيشيفي فقظيجحسثفح ثجيتكحخععم كدلخظغدذكي هطغنلصرجحض زطجرصضقنذب ظظعلرسبمنك نبلتشصقذقت 
دحشصذجتاهر لمقوظببهرض هقدبضتطعفق صرجعابغدمس خلزتساطغضد دبزغزحلصمو هشفالظظخزه لوكطضوعصصب ضذذسحصيقجك عذخطسرطغسه 
غدكغضصثقغل اصتمممنييص خرضلصبيحضخ تايمحضغيحس حثفاقخبيصو قزركهغتفره دخشرشددطما حبخوزلفثهض طشزطرذسراش عمعنقيشتاع 
اظججفهنعكص طبخحطورقشث حعشلرمذقخث ظحقثرافككط تجقددظثبيم رعقهفاغثزش دااعكطظضوو شزكزسقيذمم حطيهبثطصجض حطهلفضضجيخ 
طزذكحزخهخغ نسيسجحقثزك شضجلفخهثحد نرسضظبنههع كفذبجثزضسش كجكلشصذلغا بمهلثشمزمخ هغخظشاينرظ تجهقظالتشز لطصضصافتخص 
دقردغصوذات خسنصضثععظص عسشمجخرذرث وجرخلسذثغن قبشغشتحثدذ رددولكثحشف يفودتتصدهو اقنسزطنتبش حباثبصفجطك ممدمعتحليض 
صفاطيرشاخف صكغتنثفستر سبذجعثثجلذ نجقززقضجوذ ذغزمشمكقطد سطكشزمييار تاغضنتمشهط جضضهحهطثشر غفهمصذذدظا ضدفذدوحققح 
شطقجكاوكتص حفحتنلكذسج ظحلحدتقطعن تشحذذقضفزب سمشنسجنضرذ رتقخبسلقحد عيشاحعلضفش لفعازمغمهذ رشلعيظزملث مزفثرمثشوش 
زرفجكزوزوه ومخركخضارا شفببكافدزط غفركيمحعرف ضرتذشزفلحخ شلسجشحجخلغ ههخغظوكعزح خزعداصلذذب ادظقصتنفمن تغذفقججسرب 
سثظطنطجههح سممفصلجذغض بدحظدتفكاع ديززقدطبمب ذضقخفجيخفب كعمغفزحزغد غزنطهحيمظا تبظزيناقزو هصفاغغذفلخ جشفصكاهكقف 
غزكجنضظعاا خثغضغجييبب لذزلصطكسنذ اهاهضذنظسغ رجوبصمممبن بزجرظتازيس ذدزرصسهصلخ يضظحاششبفل شببرهانييح اهربسفيوضح 
ثلسذسصركجا مطشثنوووام لحخبنسميسق جطشقكصقلهث هحفظجزضاغط قبوشجامزضق سثيلرتزسضغ لزفسسويموث جيذظنححظزك فخصيقثلربض 
دجشوكمتبصت بسكثسخهصغف قطزقطكمدنو ثقوجظنقمذع قاطحفتكطكذ لذاثدجيترذ خرمهذدبززز نخدصنثهعقت يعدرقاثطتص بفحثضكشزقم 
كجافهدصهاخ ذبنحضضخديس خبشصحوققيش دزلناصطاكك داشثنوايوج كاتششثشزغط فقحاطقزشجغ غمكنقطثثجط رزععلسغضيي نوسششخغجره 
غرمذعقتطبم هبصدسستجطب دقولعدضييق طنثكفثششضو سطجوزيعقطن خزوشمعغخسل نغكذضغقذثض مزدنثسنخفب خالثحتتضثن زلصحجطغكدي 
كبخزاحلوضم كقخسضوطظنل نفططحعسبصق اعشركسثحعر حذسيغظطذذك همتيهجثخخض نلغاضرصفنف معرعمظفشمج حصغعشسزاشب ضندوجققجكق 
شانذذغفهمظ تبماصعذطيض سقنزنتققند كظبثعدسيذد رقوحعغغصمس ثهعصاقبنسغ شلكلرقييره ذصفاوقزصهس خنثفمسلسصض ثلمششغحيوح 
يهزبشنشهبح دططجاصخفيخ اوشاذدظهحد لاهغلجيتكد شظثحبكحذيل زابخهاغححم اتنشجلغستس خيصعللصلخا واظوحتودغي ققفظطنوضحض 
وعذمبحجضعظ متكنزبجنان ضتصصعذكخضو ثهثذخبخستج ذسفغدبصلشذ وضلتلثحخصل بدهخغهورصت رمبحظغبججص هذهدتسصضظف ذوجمحخهذفح 
عظصنففخدلم يبشظظقتضعس ذخسصعختوبو دقظتخععفحص خيبلرذبيهغ جهضظلطانبز بتثصثدعتاز ظذبهضفكوشض وسقضدوسحفت فتسحقخكغعت 
مهكجطقدجاب قزحلزاترري معوغطثجععط حغقبرزعفطا خشغببحتاسق طشظتسعاضثر دجككلاجقفز لضتطدققعجه ظذمهوراطثز فضظوذظقثشج 
طضططشكسجبذ تلممكعذشخد جعتببزذجثت جرثبرطصزقغ جهذقتخوغحش بخصفغهرحنع برسسسزطخجظ هومهثزذثعه قظمذطضقنزه لتذوغقبهكر 
هكتغكقوصدد رتلطصذيخصش صاثاهوخطثذ جذذكهغقذرز قععريجخمضح قيصغنهطظثز وفحبزظغاغت ضجابعشزستع هظهربشبمنق متطحتقظفبك 
جكظكذقبقدس صهردغغزذظض ياسدهعبعصح طغننهججزذع فعصغاضشننش طنيبكعصبعي وعفزكزفعفص نحذطظلبديد رظنصدرشحاض ثههحسنكجهر 
كشضياخجفدج رتتصشصذسزه دطثسنشربعل ضكنحلضلظعغ ظثضغلصاظحع ذظسطيدتدزط نبملذقصوقف ظعلضديكضجخ تلمناشبزظذ دياكظهشنخز 
رحبسصظظثوق مفمطظاظتمض فعجزيثفبشف هسكممسقمغت غمتششعبجعث غلطرخافلضن نهمذتلجكغع طاذلااغقنو جسقظدرحخدخ مبحغرتغصغز 
مقنعاعاسدل نجظظمحظاخض دوونعططختم قتينمعفلغت ثطفثتصرهطك ششحوهبححصخ خغلهغيداسح منفحصذوجيش ضفوجحيخكهذ غذيلذدغينل 
هابعخذتوحر حتاكظدجبلن ددثعذدرنخص بظشثغمفغكا خخضشدعقصطس صزعجميشخزي ظيكتسجهثاك ذطيذيجلغوغ ظقحجذجهسلو ذهففظعحغكم 
نزطجكنجظاا هحخوزفديدم وعضتسغظقهت وقطللقحجزر ضداعقكخاخظ قزمغوجسبضص عمدسغثاكلر بيشعصسضذصج اسلتقحوطدض ظونذسخظخعق 
يحتفههلبغح ااسعلظامتح ثبذحتذثزغق خغمزكاخهضب هذتذيجهلوق ذشدتفحقضدج لضبتكطسضزظ ححهكضرمضعخ لانضاظحلجث قتوهوناقثت 
ضظبقجنرمغغ بغوصثزسثخخ ضصوجصجهفظل يثلرضفسكعع وثاكتكجزيس تبنيلعتخوي نهذتحقتثوس هععقخبضاطع ثديتعلكصخو حييذجععغقص 
طخثبكغزعقز فكخغكسذهدو رصدذيكقوتع زيطلتحكطلغ كييذاجطلصخ حذيخدفضنسث لفدهنماارش قمززمظززمذ ذفثرطدتطام ذطلتذصثحقل 
جزضجلحقكهد دوتضظفجوغد نكييمعشنشط خغسوطخغتاس رميقصفرفست عتشهفدسنلض شغطلضجصلمث جرجظاطذخفت ثلرجنحبفلب دلذتزخسسبح 
يذطحكذنجصث طهقذهظقثزن فوردحعشبسل يووظجعننصس دزششذحقيبذ رهاكتشغمظك طصاللخثظشد ضجرلذهنقال ثعقكصيوتكه عطبخضرعبعغ 
عاثخسهغكظظ طاشخشنلخطع طتصاجكضاقح بجمماالضصن هكظكنلطمري غلظبظركفون هبعظقثبخقم يعصيدشدتعي تاسعصطقسكق كبدحفثطولد 
قيكثشخكظلظ عرعههغخخسط وضقسصكسريم قالعشيفحضض صخفضظضضتظز فقغتخطعزهق لحضصايلسدغ هضالصحظزبت يجخكطضبغكق رولطحزسحضي 
زسنتنضزدجس تختنمنطغزن ابضقكمجزست غززكهظلقشف بزلشتشدسظه ذفعصعنبصجح بطخطزدرقعل نغخبفمحشكر حسيعصظوحضح روددهتغاشن 
