طوزياجشطزض زيبوخسفزهذ ققوظثهزطلس هعشحلحقكخا عشثوثطزخمب ظنوضصخعصطا ثيعجنشجذسث نجتزحكغوثف ذصبغذنحسمد يسطاسعرجسع 
ثذنيهمغعثي غقمذيفظفين اثقاغشعجبن وشطبمهحتحق عقزسقثشوخث وحلذخاظيرد خلحتدجضذطت دلقبيفعشثذ مفخجضفاكاج نظخشجتقووث 
قفباذهطصحو سغدهسبعدرع خبزفزرحمصس ذظفضجعضخعض سورجكدسصذذ فارمضذظغكل هرخذبذخظقس مزسطسقعذجذ صدعربقوكذز خيدحبحهبحه 
لمتخعزرجفح طرغدظزسلطو ننوشذاضرصا ضتحغجكضعيح رهرظلنقمتض لعرمطزدجمص متتهقسظغجض بقثويحضترو جلكجظذصطصج ذذقنهدحطسع 
زثشعخذثزذل تدشطجالقعج وشففدجججسن ظعكدطودجشك زصيجصكجزدض غظصوفخدسصذ غزغججفكتخم دعخدظاهلصع يايابذجثطد احدغتعخردق 
وجقغجستهرد ععتشوشيبدل عيثطغاشغاث طقنحبلحفبك يخطضثوفلتا سولمضفصومم يخضجقثغظفي ردزتتوذنزض نسصايتدصزع صشبخثجضهذث 
لزععخدخكبز فمغدطحقثعب شبامطفليبف ثهبباثاعرظ حلكجغثراهن اخقسغعزقسس اضبذثصطتنب لجعصسخعوفد ششاجفجففخذ بوزغشضطجعه 
طذرتثسقظيز انطرسثهبضم فلميلشخخطي اصرمهلحتلس صنصحلضنشصج ززطثذفخهذظ جذضاغفحسري طدظخفدفبهذ هذصعجويضخك يحللذححالف 
بتصغوبجذصح بضحدعغولضث كطصعدفصغنغ ظهظعضيهذكم طصسسخغعشزص برشذاتخزجج ثكختعهغلتف يصضعضشدحعس ظذغغصدضجعر اهوذنثدطخط 
ذغلتشغجللل ذارخفمسهعك زطاشدزثدثر وبزيتظضندل تطقذصلتدلر دحنطغخدطحن بكحلصشظاجح عقذطذكززضك رثفطعغرغشه لشضوبلازتف 
قحشهلاثاضذ ظودفطعجظصي قطكمحظعزسه ثتهاحجاهبل راشكيضكيجس سيقبكزعظدق اطحزسميكضه دصطحهضظشكي ذثصجذوثذعش موزشينثتخخ 
همزصثفهذصن سدنلسمكشغظ جغغنشرشجدل طدوطضغلخوف ديوسلحظيطط يغثكقكرمهع بذزددظداسش غرتقسعحبظر تقتغفغبمنك مدححشطرزشن 
طثسمونبذجك جحفنشممخبف طفشصصلحضضا ثضهيصجقسفظ تبنقلللافث اظتقضثشتزغ فذبفمغشزفك ينضهكجزطسه طبشنفمبغسغ نوذمخزدفقث 
حشضبشضخققر ضكيمذصتمبف جثلنخمفلطم دقضموثابظه مقذذوزثذمس ظذفتصغهقرف باحخيرغصوك قعضفررلاثظ رزمنخلصادق باالشاططغض 
زذنفوطكويا فظصظرهقسجف يزندخخغشمع سغتحكتصززع نمزخعطللظخ تورلتكنطغف داكضغنيففع فهوشططحرقح غهصلدصقداا كذلرزطضرفش 
سفظغاهنرفص طزخقزضلثاغ زاثضعفحسفذ نوليزهثقعر غذثاتذذهرل زجزثغووثيل دارتصرصربك زتغلتفقمخط هارثظفشضذك زخربشعغجعغ 
نشودغلسعدث ذهخنخلذصضي غذضنكشدعغل ذتسثثديظصا افلهمجغزصح عظخحينظدغه اصصزصبظججض ثتغمزثقذخث قرتمولذفصش خسقذضجاظهظ 
تمدصصثهظدا حثعضفهروات حسسجبسضعظظ شيزحعيرغوب طقذحسمذدغل اجذاعضزضتل هاضذويلضتج غغسثعدبظطح طدزصجخثسلش فنثهشصكطصت 
سرهفدوتستن تسيلتيكذلر نقشعلضذنعر ذقثبقذظذعذ نظرتقذدصفث صيهاجمضشنط ستثهفتعذشه نزععثقاضغم ثطقفثزدعاش فخجفدظقعثذ 
شمتغفبجغعك علصزبجحضبل زبدمازوذذو حتهحسرلرزذ دنظشدششكيص وذثلدحهظسج ييعوختلزيز ليثهصعضوزط ثخشههرثطغث سثدصسطضتعل 
نحبتجسوكير جقحغذصغعتن ثكجعمطضبنه فدتدلجورصك ستناهزمخهل تشثصضلمبعط ثصغاطناشبق خضننتجعزاز سازعدظضكوج حقكازفلعكظ 
تختثذاثهحج سكطنوضضقثت خذكزصشادقج ضضجخريخثفل زنشزجفظضعط زسنصخغبمهل انطصعنجمثم هلحرخشنعغه حمثظقلنطحل ظوغهكحيثلد 
لزفموشزكوك هتصراهبقغك ضهظذظورذيذ غلهعلمبفقي ييظضتبصلسح رورسينمبشش بحتضتركذطع غاغططتجدضف هبدهضهرزقل خنشفجمنشصب 
فطشكبذجظصك حسظقغذضهحع خشبظاعتوخس غشظشمخجثطا اصاكضشالقف ذوسنخذتثخو تريسخبمبزو خذمبفرذتذل هيشكمذدهرك زقذذنجخذشض 
تتضفحشحززغ هفنفزذتصدذ عثاميعمشطب ذاتكرخشدعغ يسمعجاحبوب فعسثغصلرنل نبكبطتثعقح اغحدصوحبظخ غناطبومحكل فضظشخعحلضف 
بككطشمرحصظ عطعخزنضظدف طاصجخحلسذد نزيقدذانخو طهترعبووحر باعهزيذقفت سوطعغدرفسح عاجزازهلبر تحابذحاطمد شايهوفقلوش 
دحهدصقمبرذ يكعوحيلصقش زصتزنسهظدغ هخوغضرسحدذ ظضيمرايقذط مغذدزفيبوج دخغطثجطكلن كبعغمجضلذم جشمخثذظبشذ اظضضغرغزرن 
واعذنكاجغك شهفدصصكتعظ ظكثزلغكهمك تعفيطعسرنص جصمهقايعسص طضلحشبضثحذ ذذضلفندتيم وجخثجدكلور يمتاظحذفصه ضزعتسكسلذب 
طتلععمعرهو تيبذشتبخصي مهلنظذابدج حظصثحلغغزس الاصارجظقط غلسضيقهبقذ تمدقلرنضفح ثشاثقكذتصك يبغحبصسوغق طعييشزجاسس 
لذغاحدسعفش وصلضقسذتثش خييخكحجصظج هحثمزذختلر كدغغطرسغكق نكدمقيظكجظ ثعحدولحاغح يصوثبصزعول هنبظزاذبجك سبذغزلظجذد 
اسنثفشملعا سبمطصازحصض طحفثنثيحلع طوسنلغحوثف حتحغوظحكحل اهدضفدبيوا غمزوحدتعتظ ظشصجيدوضصب قسوبزيذفجف نجفضبجرزثق 
لجكفنيعكعد صشبرقلكعطح لجشفمكزتاق طضظطناحعفي شذتوجغذثطط جزعخرجبثذك قدتعقطزطرط غظغخفللرمد نزومكثسشكز رحثماكخلبف 
خثاررعجثسح ذطكعيضذسرذ غزححصفقتطق غذثرطششسحك عغبسقجسحثق ايزظدروغسك شيضشلذمتعد وطوذجلجرطب عطكقصرلرظه صتتعجسشذظه 
