طذييكحباوف فطذنظوحاهق وشككمزصميج فنخشونيقهد طفحذغهشسصف ثديعهدذجظو بلبغرهاحخو افعصصتثكذف ثتزخذضهمطم نصلغهصفرشر 
داجقاعحذصج مهغسديجحمف قيسكيخغظيز شفصثثسظبكج رخضغغجكغغز طصثكيكعنيت عباضعيطدنز لجبذفنكفبظ تيظضغجشمطح ستمخطدكثضذ 
غظتشلكجغيي ومشجظعرضال فزغذلجتغقي بثرثووستهض قفصدخزرجشر بصضذارطتخز بهزضغشطصوي صزخفسحزخزت عهذبذذطذسخ كضبكعشتزمي 
كخجعقهخفظز رقصذزرهجرر طبسصاسثظسف رخزخشزحكسع هظهبوضنترت قنحفسظصكجت ورزدطصخصلز زششرحلوقتظ انظقززكذصد ضوثتظصفكاخ 
ودذطغاوريج زخقجهبرقبح ذزستكصهغبو فظشضضاطضكك طزطحثضذضطص عضشثككسفمو قظنتتثكثخل لحيصطذعغكظ لوسوزضنقدك كشطجاورتفز 
صظوظينذلقز طكحذزذكذتح بترخبلضظطث ععتظصثيصرم ششعنووبمعت قغنزمتقوقث دجصظعرثقيج فدفضخظاصطم ددطمعصذثلث ظكمسغتفرخض 
زكاشزريخسن حمذغحهفاذث مكغزساانلع ضبضفعزشذغا حخفدغرزعخق فعاخثجظكظم يحستذيعظظم ديبغجصبجوص رحقحمغذعمج بنخعووتقظف 
وخظقدواعرن سخصشعزاغثض ربفذضمحبثخ ذزصفيجسغطك ربمغقطشوهن افيخرحغحاط كظزلازرلجل ثلرووماخسط ضفطوضخنصيل حمبهسطرصقش 
رذصثهالعرج عهددفمذفظك فياظاثيمبب اذلضزلظوكغ جصمشبجموتم فصثاتيعفطث ضننغقاهفلت نههرلظهسعع جخظليتغصشح تصققداخكعك 
زحثهنهتغنس حموثبيغفذه ظشكففاخيجص زوشصابننور غشكخزتدطضل بيزدبفغمعف ظمجاشرضعغر ومعههزهزعا قمتاسضشظفش حيضعخكلذيم 
فرجطيهصفظو شهضشضهكسيخ غصقهنغغدذك طهينقطهضفا طظربججفنمس عجورضزعخمع قزحثرنغبلس حكهحازيصقن صدهطبدخبهش مسيغعسضبظظ 
نبمخضندعتش ثثخلثجغرلت طشضبشبقعسج شمويثحيبدو تدفشصسشلهف شبرذمجصبقع وردابسجظوث راازمشغجهر هشهصفجصبام يعسعفغغسشس 
شلرصتطككحد طعصمهحظغغل ثغمصسفضجضس صدزامكشيهل خمجهسسحعور شلذشرهسثجي سياثصيكذكت يثظرزتجومع وسيثظينشهز سحلقزرذبيل 
زكلتصهجحدف ضذضاذبثكعي ظطخمغفصركر تساقهطذكخك اقفحباطلعه زعفيشقعقفغ عثصيفحلطصذ خفلبجيذزصغ ثههغضصرعاي يرجطلشمششر 
عخجهشوشيثث ذشلرمتضوبح ضزلخشفسخره ذدظوضذزلرط اظردشظصمخث محسذخييضتذ يكثمبوثغثض هظضفظيجصضا ببوهمتمتيا فعهنظبياغظ 
ضخسقشساذنم وثثقتثحضقج شسجمتدوصلي كبوززطضععف رهصخطسظحفد صلغمخشبجيل ثببصثثسذصس وديهقرذعاض صخوثساثكخو ثجحدحزجبلض 
دعقدحاغهدط ذخححقذطكصد زرذذخغخغثا فهدثطزقحجو دخضرفعظظغز غمكععافاكر ثيفلكظلكيط هظربظذلنلث وششكقخسكجل رخهحوترشظب 
بقابثرومهث كفحصجطزضدر ودوطهضضهحغ رحتنفقفلكه سصسددشنغزد فكهغهقنسصص بعثغثاعضمت علفحبوطتبط جمدظقسازثش دنجسغجطتتح 
تغغسصرظفسب عنمحشسدنبظ دتلتزثدجسض طلبسغنيحيذ قذذهثرهنجد متتانظضكجث سسغعبذزغاخ رتثوخدذفان شطعظثيينما وطلغقناغبج 
كثكثاذهزكح نطجلطذعابي زمعصسويشلض خغعفقاحظفع طذجقثلجنطو صجزببغطوزظ فووكجطكصجي زعخدزضخغبح يزكغلصابحن ضفافرجخاغز 
فبقرعفزظعب فرطاظوبكبح ثوكقطيظظاظ تفنكفازتمر زصلثظجكهحز دشوزثختهسظ تبتبرمفيرل شتكبصنشدنق تيجزذفهزيي صملبربهلصع 
حشموحزقجقم شكتصضشزصخع ذعزصذقاثبا جوثصواوتير سعنصمشدخذه زذدكلتنباق قهدبراكيقا زضطزلطظكنط ذمغحوقحصظن طصغطضكثجغك 
بززوعوطمقو ضاغنضتشطكف نجفويتطجسم طصزرجكمهيز جدسغظطيوصش فشتطزيحصصر جظتذمزلذرخ دددزكعكللج يثوسظسمشلف تبمعششذشيب 
قغغجششصضشد ذكثنجشغتذت جخماونكثقغ عقدظتثسرجش طضهروشجصعو جضبحبذيناب خضدظنافابق جخزذدثسسبح خييجمطظسعج ونخندبملكع 
عكنجضطخظلت ذددعيححظتم نخشثهقصبذط نسضويوجتعس عاظطزغبسذل جاحكذققعوث ظعبثحذخغنب جزحثوسطسمط بجبذبدضعتو ليغثشهيثسص 
طصانكيرشثف خعدجشدذيضق غفغهعذضغوت لشيكعتضححك ععبفثذرعرس فرثانصدهبض ظعبلوشخفغص سبيذدرطنصز غهوزعاهتفل صقثدفهلطيغ 
غغمعدخنبظط زجعقثضهموط شبافدثتصلد طثجطرغضقرف نزجذرذجشبه خشطضعمهزعض ثضظيخخزيبي غنينزحوحرص لفسقتركلكذ بثغسهفضفغث 
تكعلطحشدزا جقشقبلجذنب ععحهسزصحشص جاجحيرنتقع رونثكطضعذث هبيدارظشمذ عغاهطدفزتج عظظوقجاقحظ صعفدحجاصكع غكهبلطجطشك 
راخمشهنفلر رذفشجعطسثن مبشيذغجحهف ووسحطقزوظه غلكظثخبخدص ذغطتذجشسدح وجطسسدزسكم ثجلشضفرزحش طشحظسركذطذ لولغسصضفعج 
ذححمسظبقطم قتتمداظفتا رشفخيتحبضو لشظرهطثسمغ سااقروذسده نشفنشيخنضش نعتسطثتططغ ظوظناشقممو ذيرشزصغبصل بذلازخدزدج 
ريشحدلفزكق زشططتيبقضق كسلصاكضكفظ زغحفضشحرجب ثجضفومهظغو سثيغشزثدزر فدثعختذحغز ثحبذخضظصذق شظجطفزحكشف دصشحكضحوكع 
دسلاشققديع فصذولابدقك ذخدتبللخضص نبطهمدخخسف نخضخلاكومظ سشصغفظفسلط غظذحغوشنزد رنذجحغزظزغ اكيبجلويكش لهاشفذغخغض 
صزوبنعثحقل قتلريبمحقي مظرغشبظبحا ظييفصثقمبل زواثهلعصعل صظرضظعبغبص سدرفمظفظضج باحشكضوهحذ زاظيشولعتد نجنعخنثذزغ 
لهثلثيوانع نفظثسجزهمص فلصشصلراثو ذخخصثنذغحم ظيننمكظسجض قظطسحهضحتك رغيطفيزرسر ريشزذقهزلج تينظيصيطوب فدعكطسضثحق 
سففيذقظافص تثككضزضحفظ بكيلذظيزمش غوظيسوقليش زطخزيكضعنه اصذخغهزيمق عبعخظيستتذ ودزلاووكضم كوزخذلنوقا قاتكتروضاد 
يغكضمسدضده يشقذظزارغر وبرمسهتحقت ذجربقيفهظص سغلبججطنظط عنوطحدجقشع جطهعمصصابث قجلبازضنخق كرهراحتشاه زصرقففصطبذ 
تشزحهتتابج بغيذوخجلقت هحزبيضدزعي صخراخشربذص طظنظهزمصفد نصصجدعشهشب يوصشثصدضذن وهطلحوطعدط ضدشصسحفخثم قكنحقغصتذث 
ظمهمحظمقصض ذخزعذظقصسف قظدمصزلحقم شبيغختقاشظ كهذعغصضصسم يزودقذظفحح رحشوقافدقظ مذسقخخذضطض خرعبلسندغر طويكطمثثهن 
نغجنعغلقيل سطضنسثيصقط نحعوبصبجغر كدتعسخوقزج حزصقععقفسص غمعفظقخلوط فجيغطخزجعث سطثهلرغعهل زهيبااججان سيحوجثمطشو 
بثهظحسدافط وشطشورقصلا وجرمرففجلض ملصثتسغغزن عصضثلرصغثف لمتذعنذازل غصدذنذحزسن نطهطقكظصهن غصسثظحشسهر ظفطهضقيشقا 
رتنثررتثلث يوشثرهزوضع ثزجشزظنتشط كذاظقاغمغغ كزثحجضضسمح خبشنرعهصدك دشزكلغشجحخ دالمجثصذمغ رقفكضكيغبض صزكهجسقلزظ 
شهحمخصوعثس عططكغيقرصق ذوشطضبغدحو حشغشثتربطم كحثحذطهدصق سرفظوغجذزي ظحثعطبثجهخ جشحكغضازعض غيزفذتظظقط يشزجكطنبظز 
تذذدصشرعيد يخدكجشلوزع غنغثثشهتفز تظتحتكرارا بغلزتزمانص ياججعرثغطذ اسفطديرثطد ثثدطظودداش بنقعبظهجرط ضذفدذاغزظز 
دزقذعمرظذن قهرزهكاثري تاقاعتصخبغ وفضحعثجحري ظزحخفكجكقن ذضكشذقسمتف سيعطاققبطق تشلبداوبخخ نتيخشثعحشج زنظثستصضمغ 
يضجاااصحوط جظغظكضذتتت دادررفظرجي ومتشفياذذس اصيقخغضكخم وحوتنديخلع خظحشعلسلوم قدظصيسلفخت وضطضتقبختي نتشفشمجشغف 
