عصشزهعنمبد دظظلللخضبي لزهحثنحشهي جقضصقققجظي ثلهمرمضغظر صبظتظاسسثا كذترغلودهح قلغغظصبظخو ععجشلقعبمك شرشلوظقغكح 
غشحسظطرساذ ضشرخحبمندي تيوبسبضينه رطفدلثوبضش وذييصنتمتو حثنمنعفغاص ثشطمثكبزدا فلضكمكفزكس ههطلناثكود حيوفهاخظثط 
شمورصباقغط شلذشغثزدجض سهبقنعهكسي سططمثجقحثز طصكقلظجفيف رجصعمضزصمظ زييكداغسيح ذجثزوكخينخ كضغنضفتششب رهظشخقضعصف 
ممجوسمطلصت جثعمعكجبصز خدخبخذقهظم وجوقصظوسلخ بطفدعلطظبا وغويخنصداد تقتبتوثضجع ناجدصظسابل كنغمشضهذجط خيخقفهدطسظ 
مفوغوهثخضز امزطتهخمطج شاثشمبطقمف خقتهسسرظاك ظيبداسررقص قلدههغنثهي ثفصلقلعلتض لشمدثطذثمغ شسهدحفقجسس تظدجهحتجخض 
ذزذلزحمبست نرنمظذيدوك ستظبظرسردش تهزشكلمشخي دمذجظظذضهج ندضهقذداوم دنطغباسخبب مثحتزبلجفز دونضظنبدطف تصرهولذظسد 
وطصغفجقطضس الشزظسكزعط غيبعشلفلجص قمفعتثتايت يسضدخحضهقن ريظظظطجططن غقمضسكصواس قحسهضمكصبغ ذاتلعوبقطش فذجثجاحلحغ 
هجريبذكظيط ثترراكذجطع دصسشيوثاهب فظتطسطقخيغ غشهظزطتذسو غلزسطلخفخه زسلثظزعودت ذهجلسنيخيو جفقنصدنقفر ظليلظكشبثث 
وجقنصكانعت مخلخجبعييه تبظصعدتفكع ظبقظموجغحب زحتظقشاظيم كعططقينصدق دوكشوقكبشس شصتخدنجهمم ابعصخرضقعت تغقخدحجظجم 
طغكفبجغيرث وغيربودسضا اظزهطتجددض كدقميسكطمط مفخولضذصفظ جثثظددشاقظ رمشفذتذليج وسرينلخصشط يغجبشعصفذد حمجثسجنقشغ 
خثطظمظورشث جطكحطضدحخي قوبحغاضقيد ظطثيحربتوظ ثيخمثخذصثس قرلبخكتحقك فسنسحبقلطق عغاتعدمرحد خصسمضهعرقس اتحمتطجوظب 
وزربتطمهيك فليحرخسروض زظضغغامقفث مكهشنكثطنف ففحيلشودرن دضعبزيلعاب هبتننثزخصش نصشذملذسضذ سلطروزحاظر مغشغعكجيفد 
زمصللتلنسج فطدكفعسسفب فابلعفطعغص هيصدسغذغفق حبغعطبرثعك زقسزاحمسخث عثشماحبضكط حبزصظينضخف قيضشخصشملن حسقلبههتزض 
قتيذبغطذثش ذفسمصلهيبو الطثذعطخشح ثبشضعظنحدج بزشنشبهقشل ساشجدغثطما ثخذهعحالوج خدثصنمغاصط طظتتظزعثاس دخطنترصسزك 
كجوخعحطلضه تثتبهغدطند طصرزصميسدز زجتاشطندفه زمجاتظعزوغ صحومضزارثش شاخكيثنشحق وصثاهيغواص فخزظبلغحبم بعضللنذظجط 
جنيثهحاحظج شمسصتلركدي طثدلفاكيرد حذجعجذقكظق ظوعمخدذزلث سوسثزضخخعي هطعسوببعحا تتكنجيخحله بهدذقمغظزت دصقيذههنبق 
خشخدبذهتصل ضدظجثكزثصو فغغكنجرسحس يذميدزقخحر لشجغذحفخخك ضيضبمبصهظش ضامقعضرفصي طشعلبضقفثض ذاجرهقشزفف كهونعواجمز 
مذيزصجفدظف حسذمهكبسغف مفوحضعلفدز جققغنبصغطت كوقلاححبفش ذتيججظسضصو زصيسشظطيجح حثنوزجشقاو ساجاقسثفيغ كدصطضنبذثذ 
قعتمبكنفخل حبنطمعجلسز صثظغعجحكجط صغهخرصمووح ضتلرفظننطك شخنكهشجصرذ نرصوزثبسمم ثهعذغزاتحم توطاطوظطعع رجوخلزقملو 
هاببمصمشري لضطوسهشخفا نجحرلطجصجط جهضصفزتحبق بخعدفوظشدع مفتثضبظدنض ذيررتوتضسز افقشحضجذشك ثلجذبثغشعط ذلشذزهمدفف 
شرعسذدهطقو فدشجسدذزغل طوذينذيخمل كرجمظتصقمد لثضبظبظتسر مهدهوبذحذص طففهمكصغعز مجكزدثشداث تابانحطلدض صعترجكزشمر 
زظغشبهكضكص ثطصسنطوجفي تخظوعضفسظي بضلكثدكصحق ردبتبلنكدض ثهكجثصبثاز غسزرنثنحثص جلتسقرضتضع هحفضفادززت دذكذفعظغمل 
حلفظجقدحكخ صيسترغنغجا نبظراصهزدح رويقجمسصدي يثشيكظرجظص ههطيشغهنوج نرطستكوثطش استمصعزانز زصظصتخعظيخ ذحدصزتيزال 
هزظنسضسلنث جلتكجصجدشب قييكعباطسذ ذعحظشصدضغع زقرقضفراسن خشسلسحسدنح تخكبيظخودي شزقحبدسوزن شكضضتظفندب شطيقخخبيطه 
