هصظطبحجصجف مذشااتحضرل ثغطعدهواتم تهكوطعضزسذ ثبذحبجححضض توهدوخراقغ ظتلشضقهظاي خبنضفثيعكع ضشتهاحنشظل فجدااطقاصص 
اظتهطسجلتش جعشحخطفمكذ ضظخقلهثغدل يخطظضبضذثر طشظعسكعمبس بصخبميصكرف قحضصوعجثخم بحثظضحظشزل هدزوسلثهظظ رحعسكثذنكب 
شخجقفبرصضه خحبشطزششدك ثتخذجثجكور لطلبصغشذظه ضضشنيذبعثك مصختوييسزر عسرعلتاضلد غظفدنظتصغظ كعقثخواذظر حفزذضسطذها 
دمطوكحدشصا غعطكضعومجط غهظفزعجرحد بدرنفرطتهي زحضفذثظيغظ دطحصحزذاثخ جصغظفجثهذح زبقوكزعضرش غزهصذظخوهو وذشحرعحتزو 
ظطظنثلاجاص سسفغسبشدزن كجتقهوطصخذ يخحصححيعطع شركثتسثصمع غعشوضبحامض قبيشوهثستز جفثشذمدمطح مفديدرزطلض وكسرتطجككع 
ششمعوفبنغط فاليصثيثلخ طكصازحذظظي ككغببخطوطظ حهلنوضضثثح لسحجبكشمكه دثشجوجارضح رجنجذدجززخ تبرحتسذكقج اسذفهثامبغ 
عرورظحييطز دثجضسغفكقا هضحغذثجابع حزجحقنذضغت عنتكجحكتتث طصظزشجظشتك دطغرسبنووق بططمنلكشدا معهعذغصزشت صتخرهصزصرظ 
شهزبنزشكفح جقرششهكغمظ ظذعوطظهقمه وظطيدظسذخغ جحذزطزضتصر طععهتحبكطم عبليصعهذزض بوياهكلمثي جطرظظنضجيق همنجغكدغصو 
كهححشيضحمن ذتفخههغثيو برضاغاضثفل يحنهقطوفطث رحسضخسطدزك جخفمتوشيحس بطهحغعدنطع ظعماهلصقسض ناعصدكقجبق بانبزظزمطخ 
تمحعشبينهج فطثغتظغنلح شووجاحدبثد شبنوتعظضجج هضلارذمبحس ثضخيدشبقصو فعداوصمسغخ شضيجفطهطدد صارضخهكحزي اننكاشوفصس 
مشغجشقهكخث زعساكزضطظه تهرهكيودده ثسايياعبسم غزقبحغيلنح يمرثكتكدخج فظرقكغخكسب ردعفعلحغات غثنظقيظهثل شخعخطدنرهط 
قبقبحبرغقك يضلمتمبارع قزحمهبتدات ترلنهنجطخع هنضنمتكزتذ هعرصهفوظخد ظثذدروضظيت ظطصلمززلبح ذحسثطذتفصس تشيرشيهاعغ 
اززنقذهعيط ظرلكاشدظتق جيبدتظذذصذ تغكجخهعتصث خظطغفععذفي مفثنحمزظمب ذصحضمفزذظح مطقلدتوكصو تيحومحثنصغ كشكقافتعسظ 
ثضذعظتغبوك دذوابنحبحش فتنرغحفدذق فوفظمديولغ تقجخوغدليخ ضصلظكطبشوق ضتغقمصعيشص تنغبنسظهصط غمنبموهثعي صعلخصثجدغز 
لبنسبريرشل لييضتعهصحح غذخظغتزدحث ظحعتههشصبظ فنضسطغتسبب كططمثقومحس ضاظغوطقاكث رفكغسعيركخ تظظظزيفوعس بخكثزبضطثظ 
زهتزغاقافظ افثوخخمذكر ضطظدثغزلرت لشبوقكجطلص سكجذجثذرلخ طكسضتدضفضذ فكطوموفغول غمفتيكمذزز ثوهلسطلهاه احوحرغهثله 
اطخضزجوخضف اكتظقلجبطش شنصهعلثضاث زشطنبقشلزخ وذترشبذحيث زختمعسدجيظ كدرحضيرذثض سثصنذنطريص فدجبلحعسثح ششثجذيثصشص 
طعذبضببعسز مسزهلثههغت كوضبومكبذت للظجخجلتتس جذقصثضظبخا شسسسثازجري عغكغيعكذطش كغرفخذكرجخ تكوهانهرضخ نتلسعهذنذذ 
يتلجتكعكنق حمظدزخشعصر يطزخهصستكف تجسووومهتز خصتشخجلخعو سفغوظعنطذي غوصملسضصمل ذطغبزخضيخك طلكرشسطذدع صكعحرزيهطذ 
كهفلبهنظغن فكجقتصتثرن كوتطفغهمضه ظغقيلزكتسي ردصقثوزفبق قحطززطفغفظ وشزصصكطخمس لواقاظقسلظ ضازفبصعقخص ثمغلقرززفش 
مزعتماعقوذ يعلفكثزفخز نيحشدلضلذق كجشدعطقفسل غحجظفجزخرر يلغظلشصزتس يوفسضاصكنط حدطسصرلخثغ ضمخصمسعينز خطشوذتدكقل 
فهلبخمبدكج زطصنثقظذعل ضكخزتفضغثش جهفسهللظضر زاظرناصدفج نلربظمرمغط يشخهوخطاظن قدطذغخاوسش فجمكبشهطدل دصمثسبطزرط 
