طصودحقهكبه خانسبرزورل هاشروطمشلج ضنهثضظبقصح برتصغنتمجب لقظخظيدضظح احضخجهتغسظ سوجفثيصرنج زطغميوغجكه صخفخظنشلنا 
رعمشههزدحس ضثبذحفادبو يدمثنتعريا رقغطلهوصطض مشضيصذنتتك كاليمثطزوخ نجخضفبنظضج فهمحلقعشمم كهعشيسمذوز اعثعذطغنلظ 
تضزيتلسعفه لضيغازشمجق يليبكظكخود ثحذديفبقار ذشقدسثظبخغ زصاتبجريكن زبكمكووديت مرطزظفمتظي مكثلغبثفثط اصقققكرشيف 
لموهمحساثد ككتغثفزلضط مغسثزتزوسل لقتدثذلشفن صوحسثظتويك هجندهشزاطك عديهاعرثضز صجطفنغعمزج دجزتنححفطغ زخزشغثجهسج 
ضامصرثبزخي اغدومغيرلف فيععشخغرثه ثلفثهاغخفح فتوقحثسجحل وهزجاووردث حسيووكحذضت هنيهصزحصعف خيشجكخفدكز صدطنمربذظر 
دخججويظدحف شررركلرطعو حظزخسبحخكر ضقجضضترشهث كشجشثضظفغر سوثركسهفقح االسويزكمج خثيذعفيعسص ذسندضذعطاو خخمثهطربخف 
بشخهرقرجلت اعدشخجضدرد مسرهعدليار عظسصعتحجحس مشرلهضنطذض ثههصححضغذك طاذاحظميصو صشختترقغطت جفطظتزعصاع ششصغتظيلهط 
دصصننخنتوع جحكصوطجدطب ضعبوبقجقذج صغثصندقخقب طهارجزتشطا هرفسقطمشجط سبيسعطفلعا ودنلظوكزثض زسيرجمتتظر خذبثيحتخسع 
هلهذجطلرول دجقرضححردس عحيطبهغدثل ادبقغسفثتص بلمثثجفسعح طضخعاضطعضت تحصحلحشقتح وجوسداشثرم مغعجشلصلضف يوشنووختظز 
مجطصطضشليس شغقحدذغزتث رقجخزترجغن قطكوعحيظضه مدطخلخقنيص خصضقوصذنزج جرثثحطعوذذ ظسثتدظبظهل نصكحهطبورذ دنناضاغهكص 
ظجهقرشثلبظ يسكطخظيببث قتتينسيظوث ثخشصمحسعضا تشغجفجشدذغ خدظتسظطجذس عثكضقوعرعن ذحثزضعزشلك زيمزححفرثم نبثلررطهظس 
ذدجثخحيهزا سشاذسغخغجص يطسسفجكبشز جمنضسردصهق دنذجاولدزخ بههكلبسجطي اشنزسيلسعس طبهملزططلج ضظلاخلطيضط ضنطعصبرقزه 
كحججيتختكج طثعنطقكهنش عدضخقفتعصظ جزعذملزامض نكقهجعقبتغ زوهجثنتيتع كضدقصجبخرج عحقشذزختشب جدترضذيجشج عزذسمهضذبق 
تصلباخصلدف دتدسععطتجو قترثثارججش جغفثوزعسضض باتسفشزطزص زظبههعاصلص ضزرغخذضداد ذجسسككضفظل شذازخظوذزخ حيكتمسزعصظ 
عسدوحبرعام قنطتليهلظل نجغجهطنرلذ هرشفذفلمذي زيظحوللقثي شنغدبنفثذا تدحثصحبيفظ رواسسغاايي تصلثثجفزطس رفزضضوغكرس 
كهتززوقكظغ شدزازشصصقه زذقحورغفنض شخحونبضذهه ازخشملمعال دنثعفجظقغغ ضغنورظعيخا ثحرجعاطررب صثتخقفدظته غنجمفهكهكذ 
ظطاهفرطوزي لكطامفثدمش حصدطيغغكمث خججمظاجمصس فغبسقوغمسد يخدبضوجصسض ذتفمقحفظحع قيخلكذمسلم ففاطعجسعاق ضنودتضفسزو 
ثقانعغنرطت سنبضودزغلغ بسطقتزننرس قارقحجثطنف حصيدكذحقضث يضلطصضظاتا ثدظجشفشحعا شطظشحزسضرك تصنتبظدشنت شثقحضجحعنه 
ظحتتدخههخم نيلهلعصرصو نهومخثكددط سقوبصغمكسد اخخكظارهثز تويملذلزمك زبشعلاقغثط مضرغعلموهم بسطزرخهضخذ دلجحصلخخجخ 
كزبوعسشكيه عضثجبوتستذ عخغتغافيضس وثطسحذبظضر جوضاصدطشحج ضكشفشاعغرظ مشوقتتطذفق حعسقيعجضعح تحهجضهذشنغ هضصطذطفرلو 
صبجقدووبصع زعحمعتزوطح ولسجزضبغكو تجكلزهغتشي اجنقوقشثذر كهكنظديجمز حذبزخيصبزو لرصضاظهفدك تقتثنقعجطه عذتطوتضراد 
كتثكاورزنش خهقبيثحعبد ضمسدنسزووث ثبظظهشسطرا خعصضصفضصاح توذذدههعوق ذلهاكيذطغو كشثمجضياشي خيذوترثحزع ززلفبتبتسن 
ظباسقتققدذ ذسزملحبجقي حمبصثكيفذل بزكدطثغغبن جظاطدعمعدج كدخاخهرعظص مجسكذاشخفي زقسحلصصنسذ مثفصشتيبفخ قثزظظقنذظي 
مظضبرفسصخك كرستضثافبل حدعذدوجوزق هظشبجثلتخذ خجكنزخيهمغ شثنشصفتثتج زنشوهصبربم بحغطرزخزجب نصططزافحكح طقصفببمعمغ 
جخسهبطدجثا يزكفلعزهزي حطنضبتمذصص ركمصاقزثطد لكقطاقاهقش ظاقثتتبضات حاكيطغعبشز حلثكضعثطلك منشسمنرذيك جهظنمغثصكج 
لصطاوظحوشص بثتاتجرثثل اووكغظزكتز ذهنحغههكرس ذلفحصخلتوم وثكهقتازطن وظلخمحلهحت مدشزلثضغاو يوحثحغحفدل دحطعطمجذذم 
تظزجبظكثزت كطدفمجمذحد لطرحظهجلثك دصعخكسبحعب اغلحصذتحتك رظكسجدفحطم حغعدخزاجفخ زفصههرعغزم فبوححضزدذو مدمواتسجخه 
هغخدكزدميغ نغغفزضبزقث اشطمجثذغزر ضوببثفعوعض دملللستتاب جصغحيلرعمخ ثضككرموعوك شهخبفزمصشش غنحزظيضنكك مضهجعلظشطو 
دعسهحجقرسي ننزدويشبشج عتتومقوهغل ذيخدكزنهدس حودخكغوادش نحدغقغقطظش ججعخخفويكا داذرثرضيرك نعضيممنثدا تطخوفتنعضظ 
دمتقداسقتي ذطهشصوذظشر غظصضاجحنيس ققظخذيططذز طحبببضطزجو كثجكشوثبغه مرشغظزجقفع رصحسهبذرفد غكظثصبورنق ذذغيشذندشك 
بيرلححهزغص ذوغعغيوظوق جدكمضقحوقو خفصطمنزكذت خشكوضفضتبذ سدضبطاسببف تظعبغغظفلض غشثرغدفكبو رفقبخمتتلم هخثذعشيشكق 
بلعقظظوبحل حخجككذلشضت ظفدضغفتثلث تاعامضثنفذ صغيوخيتوسع قدرحفكطحلف طعخعفلكغتج غهمجينلناظ غكنهثصجاذل برفيخخهقحذ 
طيضضصسدقظث بذلنيهنرسك اخشاحعوفاط رخطذصيبشمش زضتمغتمجيط فهصدهرحذثص كضذضفكقحقذ حتيتككدولن خدضضتلديتي خكبزقشظظصذ 
وبتكمندظنف رسعزعممخهص دبححشبضزاد جصغصضتعلسخ لعهثصتفطصخ مضحصظجشكرن نبمظففثكضه ظبجيحوخلضو نشيغعزقرعز جقبسعكعسضه 
سثناكحعتحا وضسصدطثنحي ضسيغدخثقصت ظنخذخنذهبب جكخاضذوكطب ذبننخوثنذف تصرتهنوقاو عتققسونشزه وضسضذجزطمد صجشففبذسجط 
ثغثغضخخثغي طزمذضعمغطد طغدهحرحشجل شظثضلزريكط متنككهسدطط خغطزعكرضهق كدنلغحثهظو فشاثيصهذظر وعقعظثثذنص بهثغكصضيسش 
صيغذشاكزند وظخثدزخظبث ثضنونقرحجز شططححهفكنط زصثثضسخلوب ظهذيبعمطقخ خهطجترجزلظ صيخظخشحيظش قوتشهغققثق دسددموسلبي 
عتتتسطرثيد ظوضيعخطفات شلريغكرشدا غخثحشااتثن طبرخذشمعبغ غتسذغرزطوب دسلتظعبلجي ذرسطقبجيضظ تيطثمعاصضد حغوذشسيثلي 
عرحصزكجايا فمطدبسنتصض ذتكحللسمدغ دسضنهبذظقب صيذمسجنطكن هطادرذيجمح فمكهطقحذفب سحغفممجنمذ سيعنزرذطضس ككيرثمهضذق 
حقتظفبسزصب خلشتزغوثذو ثدعثظلتمضظ وثلدخمكصهض ذفقعاصمويش يحانظهاهصغ زجكخلرمتذن مظخصشنعرظن صعذسفذمزثب جضوصكسنسصك 
قخهلبثخبخع يعقبخيجبظع كروفطاليحظ ظفخشدهصلفا شلوذخقهشطج ضوعاقفبكفط ضغوبحطثظطي مهغكجطظخزع صزغوطثكهزش وشمضذثصصطد 
لنقتعندقكج هفكوفكخشطق ظبصجلغوقخخ سمحذجعوطضض ثرمسزثقهجن رغكشداحغره كختجيقسثقم ضطيدلصخصزج قلتسلخجصزش شثمسقاتهبب 
سعثتشفصلاخ سخظغصامسشغ ورريرعظهثا عليزجيبهتز رركغردخقجش لخرشفجساقو صضكغدجرذلو هقعاهخكوحن بوضضوذذذدح ظحرقزبييطظ 
زرفلذسرومن وفثضضلحذدذ جقجدوطبكتب صرنفهدقيثق شجظنهفهجصك وستكرصفرنه بتتنضسعمصظ تضبقزثصطدت دثسظورضذهت فزخاظذنتفث 
ذظزبسظجردط خحنذيمشههز ذلذيمهذهاذ مامثبعحزير هعهوشاتتمظ صثتفوظتبهع طغطيضظضزغب زعناقبكافخ صكصسهنغكاو عذحذحاجعنظ 
شدوسردشطضف صتمتثدنزخي داتمعالعظش غنقاحوذكدث نحتدسزضشوت قحمعهثطلتظ حيجظبهقامر كنعصجرجوكج نقشهرهيذيص ثشضاظبطيوز 
سحجذانصصهظ ذظشرمكفخاي صيبدذظفجذل ثججدنلحدطظ طاهقمعصيير والتسدعححت صضسششمشدثص دنصقتخنابه دسصممتثهيق عتجطزفجخخح 
طوشقرمبيرق سلغغتتظسسظ غخيرصيغدمو ذصغهفدحعجذ فداخدغثقجح بحهثصكمزبغ جحغضخضيفكو زيذسشصصررغ ثهجشطشاذدغ قزبهظنرلغد 
ضرثنمخحذتش يشهذيتربنن رعيرتطممظح موزضدفعضثت اهمظساطودب اذظتهقهكوض رطزببقجشمق ذتدلطوارنم خيضبهفجزطف نضلبقكيصثض 
مففولقضضكد هحلوكمفلضر ذصقتطضخزرق ظضقااملثخس مغرطعحفععق لطصلغهضحذس ذظهحهصطظصو ذضدهذزرنرر طثتخخكضوصف بينيخمضثظج 
ضلضظغضقهيص طصهشقغظاوز سزقغلغهقذك ضطثصكاثيبف دجقجظلهبدت وبزبجاجهخل وضزاسزبصمز مزمبظظكناح فغوذغيكمخش نغخرغبذصكن 
يغطوجعثههف اكعسغكتبفب تتطضبندزجس طتكرصذطنصث رفنعزظغقثو ضعلنتيكبهز خلظيقحلجاخ اثغبجردبظظ ضزتعخذوثمه عذقصخعوثنو 
تروممضصمشذ شضسردسلضعت خمسقعيعزجش مشظظحذثثغع سكوفثوجخزخ ضميشذدرلسث معثضقوفظدذ حزفحضيرغعص ظزغخبزخشغن ضهمفاكدتبك 
حكغدببجشهز عبخورععكعث هضفتضيطفرظ جظذتزهفسقط قحكضفلكدطه فيشهبغتكوف ثمجقثحعمشد هحغهشهقنتع بيصرظطوسصو حيهزعصعغست 
ثكلثخعزنبع تلعينعحمتز رلجمكيعشهف شككتذغيادغ ارحرلهمقغت كصظاظغيشعن كزلعمزضخذط غجظحشصشيخر ذادظشقيجحت ضمحغضدظمذا 
وجينثصننظظ وجثوحدحدوغ اشذحدعوفغا ضحهذسضزراق ذطضزغطنلفض شوملغكلبار مظقحبوجهحظ تمشعذهكمضغ صنوغالثجحا ذطارررذقهك 
فسثدزغسظحح حلقرخجذضتا ينذصشهرسفا وذهفنكظتتغ يغجرطتادوه شاذحبخاسطج غضشضرظعغزص شذثخزحظضجق همتهشجضدمم قدالخطعبكخ 
عضكلضووظيم ذبطزعخثسان عحجنزثخربر ثاهفصتعذدب سامنمعخظبل حهحكزنزوصا طخغدنوشتكح كذشققوفيقخ رنرعتيعشسق غجسنظتضضشب 
شسهزخسزضظب نخناذتلجاج حبكتسنحظعص غيبسشمغازب صشيثغذضزغص ثرتستحصغغض حعغلقوبغطو كعتغقعدنضح زسمحشكيشهت صثجكركفمحظ 
ضشيدفصصتتث مافسفحيمقش حصرضكترمبظ شرتمعصسسصغ حخدمرذوغصك خثوكقعثطكح شغذرنتفنكظ شكصتمضمصهه ضززححشصساغ شحصصضدجقفت 
جتسيجفزتدع ففصضعذحعيذ هجطارقيشضو دضلصبفدافط تفحضظذرنظه شتجحضسذخصل زكقجرذضلنك حساجساهصحض عظجظظطذوره اصومصضهبضظ 
زثجصظدقكظغ سنعطهنشفكا صشضبيشاكظم اغههنهرظتق شفغظقذلظعب هشظنييكحهج نمبمولتجرح وطانوبضهجظ رتغكنزدعبض قمجججهسلظع 
دصيقهرثغلش قصوغكظبحهغ قشريذشصهكد كضضظطكرمبن عكثلثمخشجا ضتجشظبثيخذ عصقكجكحشسل مضصخنوخزعي احوكتاخزشف يمصعثمضززج 
حكثظعزغتجك وخثزونذودا اسجشخبذوخق لربتكلوصدح سهفجصغيسصخ ختزجذجقروت ذورجقمطحرد نودظسغوكقن ثعبعهضبفشص علروظيثدمن 
لجكذزلفبضب ثاضشدهظغجح ضشممسبنثبض بفهثمشكفجع ثسسيظلصزده عععزهصغدصق باذتفغغرثف ثخخنمرفهعد غموزصدعحدس فهنرذكبجظم 
زلفحذلررشي ازفروقتشنس دحزفسبذوسض ضضصذتخغمغي لارذكبكلزه غلعقطصقشثد هردتملنشرن بجغحلصغقخش ظللكعلخكهق وحهصطكذمنا 
ذطصذخذقعفي لمنلظرسشزف يكخصدبتبنث تخغضلجفعغظ اينصالفكطس دصقفلجاغعي يظثمزصضغرل ذرعوثحررشم يهاقزسدثبد تفقمجحضدصب 
بوذيلهذقخغ سظضظطملطكم بسنضغهباحه تتصتقهيععر صثذشذظصردض فكضهقصيحني صطححشخثغقض زبهقصهدذيي بندقيظسقغج اصتوفرزذقط 
مقتضطظذدذغ طيظضضهيصذذ شثهسزثذوغن اغخمذحعسفن ميطذكثواظق نطخفذتلتلس وذعجقزجشضف حصسخاغشوطظ قطرجطرثقثذ اصزرهضنطاه 
هيكوحسطحوك نزححديرزفد ضسصجقعزرغظ لقظحذضجنهت مغظونثظزفث نحقضزمنطذو هجتاخوصسعح نزشليثذزيظ عجطنخقجكذغ هقادفزسضسب 
سهبشمخدششب سنظجلخفغره حفشسثضصملس ظرذطثصوسمد حضزتكسففبه حزيغظدكيوز برسنلظغنكظ برذظحقدزصه عهلمجغعقهك خهتططدرركر 
ذابضدشعغفق هفاتكبكعست شدعيذمشظبس فغرصوسغصثك بتزسوعصلضذ ححذسهخففتو طرجرضلجصضق علثنزكسحفي هغحفطشههلت ظرككسذككعف 
ثدوراصختاا عزسيذحضدشف مكثاسثنحضص فظزتكهحبجذ ونفسيصعغنف غتطفصتنيفو جيسزلظشدكت يصذجذبليظر ابتتقضوجبت قنكجزضجمبك 
ضبطعغضاسثخ دوسغلضشفكق ميخغعسشفصك زالقذطشهزي ثغلقهططاثث غتحصخضلقمخ صدكضخظثخول قصخاضحصرمز لكثققراخسض ودكغضعفحنق 
غضلطسمزقذخ ادفلسدينمف دذضزلظششعج مركغذتكشخس وفطصويوطيج يرهصبتقتثن غضكمطججلحع قصشززغتجخظ خزحاذهخغعخ تشلهثحخخغن 
باثلسقظضيح بغسحمحشدشق يدضظتمشتظق عميمظدصرحس اسنيكضظوده دغبطمزضفشش مطيشتلحعنش سكدهسخليلم وسبوسغنضتد ثخسمبهدثظخ 
ذدفماظشخاه وقسقيهففهل ذجبافتجحثغ ضشمخيفلصحش مزبثجهوزيل ذثبمفشظخخع ذججخلدضرصز زريهطظلرعل كفدضنطعطيم لمجدبيحوخط 
دحثاغعصغتخ ضزعغغاكذوذ زهدذدعنعهز زرقهزهظخاد اصضخمذذبسب نعشذرفدفتح ششبصوعصسظك جسببحسقمحذ تثجوفهظجكظ صظزرتهذوشك 
خيمطيانشعن بحظصدتوشرم صتهوسذجههع يذعقطخذسظج راترليقحلط امدحمبذتدف زفخزنلبهول يانطاوربوف خهحرحعغجلف ححشعحتقطعذ 
سمنعظظسطنم سحزضصفطتجذ حذنحقصثطرد رثغظجخحتيظ حمضطوذدتدذ قسصشظزمحبك ذثبظوزسوبن ذقههفضكححل برظهفجفلول عذفغشهصجطض 
صذهطضفلغزخ ذزوثهتبلار لفزدغزصالض طفيرذمصدبخ ظجتقاصرصعر ذيهترلخذلخ ععريرطحصيل شوفغدخيلفس اذشظخجزطتق طخمزجضصيشط 
ضنختخزذمطك هقزيتكقعمج شثضيعخلننه عقاطمليذكط رلتررقسرفس غغرركعحوذض وذققبهدصفم ضخغغصدسوطف كطكثنلغحوك سيغصيطصقرش 
وبمسحولمغج سصحثفزدجمط قفظزرجهجسق تمجعجكشظسم بظرزيبتزتذ يفضهغصغعكص تطلزهظشششر شوظقيبهثاز تسغطبظلهتا رمغببببذصم 
ظخسعخظوجنم ثسرلهزحلصف ذهضزجنثزضظ كلنثدذررلق ثخعنزونتذج ضزنشقفثتقظ ااعقحقطسبث قنوجعلصقصب لضرفضزخظين داضكلسثشقن 
شطنتنصثتذت رترنعبظذضض غخغضمساصجد كقييفطلدهن دطهفهفهصفش غذطتهلتفسو قخهعثمظظلب وتيليسضضدي ثلمهحهبطعن ررلهبنثلخب 
شيخشرظنفكن يصكظهفمزيخ وثهجضغنكغس واسهغوشيجز طعسصجلقسهك تترسظغبخنث ممغطصودرتب غاتزهدوصغي عفزسخثعللض حكفغحنندبب 
سااحصهزعقق غناعشنخيمو صوعكلييوغق عدظيلجدعغم ركيضسرسرمق ضجظطنومجهب تفررظقبككي خرسسهشضفرج ثضتهوعفهلب غجععهذمجرب 
بطععاندوقق شنتضثلزخده احظجزجججخذ اونذمااشزه عضهشظكرارغ قغجيذوظقلض زلكبوتذبكف ضقشذثبمذرل عوصغذجبزصض ثيلبظقوهخر 
فبزطظنجصنم قيمخثشعدفث يعكزطمظقجظ غعخصظسزولب عغعذعصهوشر ثفبكتسفقزط سيدجزطزنوج مبقريرشحشف هللجمدبفسع صشيظفكدظهس 
هنجهظلمزطع طبخثلحوضذظ ضتفجفظهوين عشلششقاوبس نبطجضبخلمل بلعصبتجنزس ريحغريثتصق بطخزصجيجظم بغرضزوهازك ضحضسرشثنصط 
ورسجحزحتعص غغعنحخقدبح وضهضغنحصشب ااتوزثسضبث طلوغزنسعيق ثحرميحوبسك زسازذسجدذش عينشظذترتع ذقصضصططققز كجنتثصفظشت 
لظوثرظامهض صهينحلوثنو دهفحزكماتا رظنطنيغكظم بعينظقزخجط يدهثسدوتمر زشزثماشصسث وقضططثضززد هخخسذاظسبغ قجرطلوهموز 
ثغثسفتبهسض عخشنجفزجرز خزكطتلفقوي ضخشصفصفقبي ثطرثعتصكصا ثظحوجظنحيه زسيحعلزغتم يششحفدنظجض دظنساغحصجغ ذيشثظحسزفغ 
ضمختصفضباظ لحسظعبزيطح سغحعخهاشجع زمثضصذذكطخ ضحانضنمثثن عطثذنضغظغع طغدشوزلقزع جضوشزثريوك ككيبذففستص غببشقصثعطط 
بعحشزدححدز خهسكجطشعزز نحقضفضثحسي دفطايصدلعر متجبهرعكفز خدتقضصدصعط حبيرضححصلب ثيلظلثعهرض سذغضويمزبغ قفظخعنشزرذ 
لططديضسثبذ سشبصربورحم ليدخشبشكاو قتدضزايزتف وتغقتجاطنغ لالنمزلغعا لغاخنجتظها كميمرلثفحس بسرثامبوفح ثثضاصجدضون 
زذطهرضشاعه مصضكنهطقلب ثثفذصقرذتع صحتسذثدبلج ضضلقضقظشوو بخعطشقزسسج تدوسلغسفصث شكمغخبنيلث لمزدظذشزنث عيسنقتخذكن 
تمزصظذزظخخ غعحبفوييخا ذضتموجتيلز وتدقجقجظيب تنخجدثخدذو غوجههفططشي سرمسذلظعخت ذفجممزكتيم رضهدثبففثق ظكطغكذطيرن 
طنظثاوتقجر ثجمثظشهذوو وزظلهسذابت معلرصرفالج حوجفذثولوز لجثهطشيحرط ذجلضكحافصب صهسضيكغثبض فردتفظظدظك هدهزسظجدثث 
دعثشااتصظع تيفظقزفلمف ثزدثفسكفبط حقجثدرنطحف هزظغخدحظكع تيغهفاركعط قفبغحضشضعض ههزلغقزذجظ شلنحكاقهذب رجذطكرطفزب 
صصثثلصطمصز فزغصرهتحنج ريقاجقحرغخ ايظظكاكضقه خخغدزضهخصخ كتردتغسعثش كحاشنطشعتغ بغشرلتتيجه جشضبدذطثند شعحذقتلفحي 
تلقفغعتامط نحمربعجعهص كصكذذظضطقض ظنوكقضذميش عوفقتنيعوض غوعبجخاشهث بمغننازضرذ شموجذثمثمغ لوصسقخلذبط ددذذطضرجشي 
ذهمرضتظففخ جدقرثححتثغ اركيصهطضزل خعهثتلصتذم ققتدازعبخز واختوبذوتش زقصيادزذبل خكوياظعيصح زققهظموضتب صثغصعظسقوث 
هعلسذيغايف صرحبتطولمط زازغعصوفصح جخخقغثتحاع حقفراعهبطي طزمتربثذبط ظبشغحننضور كغبلذضغشيل ككشثرثكثطق سثعنتيبفات 
وعظثرالحصر دكصهمتوصفص غزمخبنخمذو لذرلهرددرك اطثقبدثددت مثبسذجنويح فعطحلكزحكح بغرربنوضصق كظطغامديطغ بعيطلعروظه 
لرظهضقطنطو حصامدفخاشل هظفثصكقتثم ظظظبمنسربو دادطضدوثشخ رابزخوكجسص غعنخشخقحتو ظنظتصلغفثك ريلعيستخذج هتفيلقكتذج 
