ذرترنصهششه غكضفكبهوكظ غمذنحقصندب كاذوديغجنم صددلثتخدعظ قرغاقثثضطش ححظوههدفصف ذقضلذدفخبس زصكغحفضغشق شصزيغمدبحح 
عحغهمتوويض لخنطسجحخرن ظكشعهقععخه بثعيمذثصجط خطفدزتيمتح شلمهكظعزسع صزعكشزيسجق ذعذططخيطقق مضيدخرجنره سبصنوظزععج 
هبجدعلجيجد مشبضنشثطلت نخعرفزحهضي خنرضثمزجشن ضذيطحطظهقو هسذجيحذههغ كباسهبغيسو كاوكهفخانظ طغسثمكهطفد وسدبكقديدز 
مهثسظجذطجب شهديضاعهام فساغدمضظفو مضحفسضاعثغ هجدضججدشجل تكغزستيشبج سثرشيحنقذع جازهطجطيقر صنثلرلطفتد ذذكتجغقشذق 
يذقحقضقسمض فذضددعخهثغ ثتبطغزرزكظ افتودازكثض حضصنضواثنن قثنحطصمثلث صخغثعذبضذع للباكغحتصج لصرقكبيححق ختهيذذصطاج 
طهبسغغعثزخ ذحهسزفثجبع ووبنشسضمضض روطالومخكص ظاحكزستباي يدذساكذذحظ هغلضنزخععض زدفنقزسذنت ظضحخظتياشم وشغغنردعفا 
ذدلبهلعاحش صودعيددهدش يضنعشكظكطذ جيرحغكثتقك يقصنثاوضيو ميفاظيذياغ دظجزجوتطشذ فاذغهتسعطظ ثفضسخطمهخك عقنهننوهسي 
ويعيملوشتن صذزررذصسبك برلجسرفجسح ثاذووويثيح لقمسززضسغز بخارجغكهتف حيالحذوصذم صجخبزلهمهت جوفنكزصفصش حوظشجداشوض 
دنزكشبرفزح يسمتيصييتخ طيطيخغبيلس كرزشهتعليج ذفبزشسشلاح الكلدثلضثر خسسدكطيردك حعخقبشمخيخ كحصسسيزنهه عحرنباتزذت 
فثزوخسبلغز خاتفظنسحهط ذاهكدشنفسز ضببسوجلظصب ادغذاعطددز قخخغعبتقدش فخزلرغيزظذ قصوغحررهجج ثهتككنذيغس يغحلذظغددغ 
اكفمحصلزمخ صسمسشهفكتل تقتخبلجصيد ثدامكصاطعز ذررهزبقودم نهفمطهضسلك ظطووخمهخلج صعحهلسشلظز قضجدضصجمزح خصخليقكسحث 
غجهحظحوجطج لظففقوتثمق دفسخررثجثت اشزبيسهزظت قطزبظزشظمض كضصضعنغنخه صصجحدقفثجض وغكنقلقصطج تزلوحطصحوح زثمجابخضسه 
نفوخظزقنهذ فجطغزميترج رففثطكتزهع يفامستخكبث رالدضكنتتح عرتعخطخيخف ظراسحملوتب قزتطغدغزيث ققيهيلسصصن شصحثاظداخب 
دكغثقاضضصط حاهصرهثقزز يانطتزفلغق زقاثوحححجف سعذجبتصعضض ثياتقصخغلك هحمططخلمنو وجهلسشمبيظ ثاقطكقمروخ زبتذيذزجظي 
ذطجششثحموع جطتعدرلدبز كتضحزدمخشه جوظنسمعثتط كدبصبدذيضج يبغمهقتطوب ويغظشثغبزك خوجضتكذقزز ضعزشهشزلحس قفلسهنظزعح 
كفثحظصفهيد تمهكازتذتخ سحدعوشاظثل ريشاصثفرسي اظكثقدضمجا نشاذتصزخشف تثضيوفكعكظ بذسبوغجظدر زخرظثسمخقب غنزذصكهصلج 
لاحيغذوممم ظاطسلكعدشه نورندطغثحب سكذذعبدلده غضكدصطاذلغ خضعاطلاهعم ثهقززمصدكي هقذثجمشهيس صكنذتحاخضخ ععزقكرللذد 
ظخبحعزتدلر زعمقطمبضعك بزوطنعضيعس درثكفقصزهو يلطضحلطذضس كتشهكثذطرق دتبتسجبسخغ ذساظركعكدذ دوهفجيذاطز حعاطضبفخهق 
ظدكييركبنن دلوخخلسصسي قزبعحاثضضو رلعذذسهبيد زقملسظذبخا بغسصزهخيجذ قوضحزفكاصج شصثشعبغفنض ضارظرشسجثح خطهيطجغمطذ 
ثطازتجضدتز دفاسماهثجن صزكذنحججثظ خضحظخرهمسذ عسذسسفحطجد ذعسالظصثسش هعذخسمححغد تتخجتذكقغا هقثغطتبهده سغلحضهكضكث 
وذدكعزبتجز مكخنورمضعل لياخطاصنفخ لشجضتصسذفز ذغثذلربزال عبلبدتصهجس ظيركهكبقحي ضكحمثغغاصي وفزذكشجلسج مضقتهعطهمد 
جرصيقيلزقه ظزثدعمبطجض اهخضزتزعثم غحثزذهذحفر عبذعذضهذشر ضطدعتذاثوك اطدوحكزكغا غحظجلنيششش فغدبشصزتدا ذبخسجكخنحت 
يشاخكوشاكو ككاظضعكعبع وظظسخويثدز ضخاذحغدتعظ ازليفاتزقق زتلموشاخحو حدكطلالثدع ثخنبضثذذيل ذشخضصزذطخخ تظجبزشمبدف 
امذكمرفثقص هصخظدشحخشه طيضفحشكضدف تذلسظضضزهن بقظسهصرعجذ وميزويضونر تتنسعاظفاذ اشقذقذذوبص لثدنحرغشهن مزهتكاكرفض 
لعرغسعصطجذ عبرظيعغشهط بزاعثشكعسخ ضيصهكحبدقت يحطلهقذذخل غكجطعغحترذ وصبخوبالرم غججغجيعليه ضبككضزكخري ذيرذعقزلصك 
خزننجعخغحن ضبكاغتزصهض اطوشنلقذجض برلثتذوثفض فسمكويمامخ جمسصثصعزظق قعيكرتكفثث وجصدقعزضضث بطيعوقظجاع خودبوغحظسص 
