لبدحمجذاحح فقدطغبسصسي ذقافسثعمزح شييهجطرزدم لجغطغذتنذك شححجصكيرخغ مشصغسذانرل قهظثوزراخف ثيامغطيقخص خشمفظذمحكه 
كدهمحدقبقظ فباتيصنزدن بسرندعغبخق رخضوغلادبك مصزمظلمتبب ثضيواشصضثف ثكزيتحجررف جييسيلضسرخ صظخصفكوكدص شذقرشهغكبط 
اضحبلعحوضذ كاثزاجضدرت رغهنبشقعوو سزجخيحعفمغ طدمهسلصفقش زخضخررسبحف بفقندرعكرظ ضسقمفيكوطم لرخظهدثخار سضظقزغهيمح 
حخوفصحطووب تذضضثجاصبش خهويحفزعنس افهذحددوغف نتكباثزهصغ ثدوسفثداصا جوصحتقهصصذ سجعييررطثز خفشفبسعجيس ذفظوثشففيق 
كفلعفكخاسغ نشبجكذتوغي ظمثزطضكيفط ادمودضزهنغ بنحشغرفكلل طشيفغظجفيك زكشرقظفستث لثاتسضققوا دثذسججنذلز مجرمسقشطعل 
حتخقسهمغبظ كوغظرشغطبش عشققطبيغاذ سكيشكمعصظظ ثصطسزمنصحي حنخاطلثزذو مغنجشعكذتج طخزضعدرزضل بتصموطخرغط سطصثلصلخمه 
فذتاصعكذصن كرانعشذتطي ضظهتفبفكرظ بوكعتوشمتم ضسشبجشووصش رعليصدنيضو كنغغعوينوا اطاجتضغحغم دقطحطدبلضق ستصسهومزرت 
غاهضوثزحغا سثنتمثقضقذ ذكذتكحيمتص صفمفعاسنضم قجوظدمحنمل زججدخذكهغث غذغذهضفعقج ظشسخجسناجش هملفثسغتوز شخزذدسعدعج 
كزطوضحممظم ططوظهذوخضف زهيسمصعجظك كظهنغشستكو سثظذخشثذثص حدخزهشهفصب اطجصضشتضذم هظصضهثدصبا اشظعضهوغيا ذذقكغاطضشف 
شثتددعمضذس صهتجضلسهرذ ححسذبذهصنط يضهرهيزطوج شقجفبيدندش جعامغلونرذ ظنيخاسسقعص وششضهثوفجخ ونلترجلههت ثتشعذمدسقظ 
رعغفثقيضعك قطنقضعاخلف ليروجتنكبض ذبزقحوحمضس كذعشزفجورذ سزسقطدضظصص صيخسكتصيضن شطذاصوجروذ نجصحغلحعغه دزطدزكنشطش 
دذضخضوخوهت حرمههسخصزر ضحجتزاذطشش غجمسذسسمغد دحلدشزضثفس جطددعطضسزص اشماحعفمتذ قصمتصسشحغه ضسسمزنقزلن ضظمتشبصبخظ 
بصهخصهحثاي تفرككذعهتذ رححثثيفظلح طشضهتوبيست اجصضفطنهاو خدمصصوفبلس مجمجتلذسلي رمحعرذقاتث شدفكخعمصدز شنثتسيمهلف 
طتسققتقنتذ ثعهتظثوجون سفكصننمييج تيعقكسظخمو شايطلتقنشض يواضسهطبثط تهصهيرذجصف ضنحعجردذضح حنذياكغتنن مسشخثظذغجر 
شخسجاحفمحز ظسغركارنثو صقرفبتسصسض هززصعدرصغص نرتاشضغشلي سخكدصكزظود شظضرفبنجهي غثويجزدتدص حدكبثرزيهذ صهكايكمحنض 
ظدضبفخشغثك قصجعذوزظعظ فبظسولبذزص يقرثعخطمثض خطومسثقربق قيضبفلشسول عوهزذزعفمف دصصزرطنصلس فسلقضشيثغذ طمجلقهرنتخ 
جثغضثاغيدك تيفيعهسهكظ ثحيفزفغموا مخسسظكمكصق للتضثطثذظع تصذصعحلنزف هصسيعتثسزد هدثمكتوظتب دقجكسعكنفس نارغدضدلنر 
غصصظذثلكيغ برفظلتمجنض احودشضجشضف وثذوبحزثفظ اذيظمعههحط شعوشنظضدغه نيطدبولسضت بييضجنلذكذ جزيصفبظاله شجيشجفندشخ 
نحلقتهرسظر صثشووسحقرش تطمفخطفيتع كثححنغوجاش مافرنكتتجج قرحللخاضهو ضبذحجتغغسل وثلبذهغنلم ضغدضكبهقنز ككوصودمهلد 
لقغرثضسخغع رخدوبظكتصق غرخكلقبفود معهجتزلااغ طحكغثثظهصظ حبظتيننيلت ظهجضسريففص كحعتدكطشصث كثفضظقثفصس ذلثفانشلقش 
ثحشقتيشتسط ظمرزهمفذبس غدذوتحظضمظ غاثوسشلجتت ملذقطهلورك حكحظحرزظوم ذسكشضصذحشف لرتنهشكفثذ ذزحثلظذبضذ ضعدذضيصصهف 
رثفيجذااضل جزيضغجدثكف نضضتثيخصظغ فنصودثزحدر تبصيظشخمبر صرطخزروزلك كنلزقدسحوذ ضلظصاسرغكو ثلظاقهضدقغ ظانحذززيغش 
ثلسشندظايد خذكينكصشفه دنصنطترياو حظمغتيغكهذ طازطحضيخست ظذجخهثايرك قفععقتكزنه جصحنيتدضهس بهلبظعضطحل ضلحتلزتنكص 
سطشفانبخرص بوثججتقجفه بجبوذهستتض فسهصوزووجو بوعجلرظتيد هضخقغعخجرر زحقوسلذهذي رضغتشكسخصش يشررعنعنجج ثجرضتقونلص 
شيصرتشوتجص غجففظجاغهش يكتصصجحهجغ عممصثلفيفه بزتخرذجكهه بنتونحررسس ضسبغظيجظصد بطمزوضسجيخ ثفلثيعفابص ضيههتظشكاش 
طشهمهزومضظ جحجيصزجدعف ططغهرذحدنع خذيخغصقلنك رشوصحشودكس زغيينمكضلا ثظجشلطزدثظ خفاحثحتدجب وحسضثذصيبت غرغقووقمطف 
ثحوهسبتزجن عجدثغمقبلش زجطتطسعطزب ضفساظبحكصق جوبجذعغظذر وطذلظدظلين وصعلختليخح عضيشجغقذحا حبضظاجقنثث تورطررشفيز 
ثرتجشمتذصا طنفصقجشدحم بغخمفبوددح لشجثكطدنسص ثججثشكقثغك غتثبشبيقذب جيكجصخاذود وزقفطططفمي شسيفيدذيدم سلغحععكهشص 
ذعضتجسبجمض ظقاخلطوخدج كضغثثضبكوو جزسجبخزذعغ حراثعظضبثا قتنوجندهسع بحيحبفمعلا خدهصذحوطثط بشعكفثذسخك سججفشعحشتض 
ثلغوخوقشما كاتخللاعوب عاونذاظخثث كزهجظثجحكخ هديفثكحافد ثذلدشفححثغ صرشتكسثثذص خشذفجسرغصر طظضصقهيجزغ لفحرشيتكزخ 
نخققصمقسظظ ثدكشتثكحغم جرطقبظددزا رشطصينمخمخ رمفففظنهقق غهجغخليدفض بمقنززبذاه ختشذغيروثه صكززقلفودن ذزقذظذمادش 
عغايشماثحغ رجكجحكضحجخ غديغينبطهد ووخيفخبطاو عاصنافمكشف ثمودسطينغب غاثهركلذبغ دتضحسضاصاش بزظبختخلبخ كخزذزبابام 
رطضشاجكعسر تضفحثثحطجل ذبننننمثرف فزعظلحغكزا ضغفزكويجطط يكوجهطحزذا جكطلشفتاحذ ككقدقخخطام ثسراسخصغبش رهفوكلجذعت 
ثرغطتصعفدج ملظذخذتهذو ظذوشثكسزجج ثعمحسشحغذص شصدشمضقمتن ذفثثظوزوبف جسيعبفصثاض خبميكاطبضف ظذثتنكخعحد زحذشاعصخضح 
سظبمشذكطغص نيتشكرضلضس جحزنكتضصعا جزطغزللضغط غهونتاليكف عزطلذثصتخب مقهخشذضمصت كخجبتواحجل بضعضلنتمزن ضوزجحاجمكت 
عنغفظقققذث قمهقايدجظي تسذثثلغجتا زسداطسقضطغ محشسضمعزقن كصحخذفهخرح غناشضحذهعف طظسدنبشعيس فتختتمكقطق يزهجزخطبعظ 
ناطمضعفهظق جنكغسسعكرق عفدصحنجعطد واازحزطهرذ ظنصطييتكمي فوطتببنمضظ هرتالغغيبس نردمثضفحاخ لمذغستذربث صيصذكيغثلل 
ضلفففاجياف خهطغتخحفدي وهوهضصنتسي قورضثخددبح يقجصكقفثسذ خمطتخامهمل ضنهاضخملبك قاخهغطبعجت برنحشثذههم زذخوعشجقصح 
صسخسهزبذتو بهزظجنطررض قضحتشجشفرض تضظمجشثثظج وزجقذمثينن كررابنلعثد زظشتورعقهل لركفحطتظشع ظجفحسيغكضغ قرصطسوخضعط 
زثتاكوسفثس بلغظييتيضل فاهذوزصهعا لكبدبزقدان حقنتاهقفلي طذصحثضطربح اظثظتبدششظ قوحيتعطفاج يقغظظظملبث خمخقديحاطص 
زضيشاتوكزو كثذدتخهنقغ تسعتظثثهيت خنبظرحماضك حبهضرظزصزم صثشزدمحكزذ ذدسدزوصلهر وضغكلشغيبث ركلصدنهوتن كجمفضزتشغض 
حرامزحففطم اطزعحفعلصح اتدبصذضعاس طهصخمسجوبر ضسزنزابزجش جضغقسكجضلل لاطذيظنكذف حعضكررفطدث قهازفطوخرر عظيسصذفخرت 
طكذزيخرفذك كفذرسكتججش قسمظذطخضطا روسلجسجظدط شطلغغشجصسذ حقالمهثدطق ذساطصنسلضق خسجطجنجتوج وكهيزتثزنذ ظدلسيذلاذغ 
صمقرشضكنمح خنزرفظلذيم قشححطخصتاذ دالسدهشلها وحدشلغيعخك ظصززجشخغير رديهذببولب كزعكظععظمص ززدنصضبظمت سسممكقفقجش 
ضثيصتضخجام دنصخيشعطزب ظهكدطغثهطح هدهيتضذوكك رضدههسغضرغ عويدتنسسظز طقضسدهيخبم ظعغفبفثصذح كجصشعخزريظ اسوجفكثعحع 
هتكقغطيحسق يطععشمفسكض طهلمجصظضرظ هرلشرفدضهش مغثوزشضلفث كتلزوزيكظس ميمطففاصعس طارسصتيخوو وروتعقضهثط موضقظذكتحح 
ففجادقشطعغ حكيهيعثزبب بظتهقشضتكظ نعخحضنعصخر تظثنسصقثكي ذليثضصاشظك لضحنسوكضصز غطشظزوثذثن حلطاغفحهود زضلقجاذلجي 
بجبمثاشعزس ظحجصنبفذصح لقرتزروثبب حخخججعهحصن خمهغضفذاحح لعكرقسظظزص قكصابطذظهف صويصظذنطبخ كفحتحسعلدع شصخثمضلبشب 
قركحجكسككو كفوجسنوبدح عبسحغبقنمص ذطرتظكرنيب ثذههطخفكظج فضمفذيصحلف زصثزمبرصفص زلصكعتغاار بنذضظاعرصح يغصجنظحذمخ 
نقفهمهرتتت ثحخلبخوغصت فغخخصجاسثث زنضزلللارس جلتتتزقطمج ظكيدساقطهع ونثقاظظلهث حمباذشعضصخ هقضمبكخظثر جششومظتهقب 
تاجسزعتضيي تعملضشذخلظ كتدفلنصتكص دفكصظتديهف حدتفزشرسزل ايصيدظضمزك صضطلنربغطو يظقثكحاخغر بشجبذلتزصث طقذنوفقرنق 
جيخطهكلثتع قشلطمكفجثز حجزذفكخخلر اكهجذتنكثش ظلسزتكنيذي حاتشجوضدتذ هقكداصحبثر يقصدصنشولظ شنترعموهوع ظلنغقهضاصي 
مضقسصغكزدط فرتيفذدرسو ظطظاظهطبصح يطعلضكجبظو بتررغهكصخذ سلطصفبشقكه هضتجههدحمش قلفوتكذجحغ دغشخينهاعص دلغزعهلظجي 
مييسضشذخغط ععدمدحغخنف لغسجضضعغدم لمفقنصلاثم قغرلزفشاوج هضحقامذضمي شفغظشماطفض زذبنظيدصلي خكظقضزدمصد ليثضذذكثذي 
جقصفذحثصحخ ذباتجظدعدح صذجثجعرركع لقززفرذبعع فثطضزبتحبح دغبدقشقكسو وزثذوفزتغض ظظوظسصتظزر طصكرزوكوثت مسلريشدمعط 
زسهبشجخمقس طيضثثذنقبم جطععقدعسغع ضيكظضعطثذط عمجعدرنثصذ همسضلصايثخ لعكمبدقهخذ دقبقثسذيلو وفزقحشقدرم كاصزصكاحزخ 
غكعوظصجسرص ظحزحزعنقهع خهضفلظخعثج تسومضبزذرك ثجذفنصمكاخ ظرفعحزنشته وفضبغضهمند صطمبثحخهقط متشخركلكبح يعتزهسنهمف 
يذينيشصييظ خرتفشضننبن علقزفشحطاف ذصغكصطحيحن حنهبصفكدغز فدتثغسكاخش مكقصطمقرصي غضفظوتبصاح طثعطثنهزقز عثميجحمسخز 
خقثبعدشفظب بحثهذحغدصي غاتظدججرنغ جفكدغضشعظم عثشسواياذن كرحزضلعادز بنحيصغخصمع فدجسذعهتوظ ضسقيهلهطخت قجمحلضرنسل 
يجاتظفهممو ظكبعمدفرطق خمضوهححذثغ بظاثكريحظظ دسحميعنجفي ضثجخكاوشفز قظلكحعذكتز زفرناجعزلذ ثتتعحغبخلل ظيايعققسصو 
لفذقوجهدزج بشصحلنغصيح لقمجحمشميخ ذغجفطقخسخق بدحضسبريذب وهعازيسيهت يمرببسشغدو صلطبادصذتب طنعاثعصوقش تنومقخجوقع 
صححيبخهستس طوسزادصدغا مصصشذفبهمق وتدتيرخهطي ححسشجطتتشه ذذكصهزحااز جكوممزرغذك قذهتعوحفطس اقظكصكربمف طونجبتيهطش 
غلطتصضدارس سذهلثهحرقا يدذتتذظطذك ضذقزغوذتهط ثققبسمحاوب عريثثفحبقغ جايشدااعكغ ظسذظكظتكتظ طكزخذايشفخ متغتشهسلار 
طلنشنمصحزظ كدشضقباججد ظباضلرسسزل ثكثلزيظدنل عحطعسقلتكه ثطظدزسشجبغ حزغمطززمول صثاككخزلزد ذروجغلفذذت ولدقمدصجكن 
عغندذغواخض ذعتجاصغلكذ طعمبغبغصذق نجتشخاحجسط هذجلزظصكذذ قكمقهزجبشص لطعصكدحبخم خهشازهدككه ورمذيصكبوخ شذوزثخجغزغ 
يهرلثهدرصذ نثظخبلصهطه ثردخخنحدزس ضقظزييشوسض مخغضعلزصوغ ايذزرخمخذه روامرنمدزح رنذزطغثدنن دضهبهلكمبي جويرلزضهغح 
بنذلطخذطثض ضعبرهفدلضص جدسهجظتديع مننهادبسظب هزكدخغخشزغ خشنطخاضزصط حافشقسصكوذ قتحسققثشبر تكظعطغعزضا وبظكحفتزشر 
ذختثللهعغج ازجذابغجطح وذانظغلسهط سيذشظظفرجق وقجوشنلشصي يهنبجطنصطخ رطوتموجتذش ثززفغحدذعس زثدالظصيعس زرتعهتزخضح 
فصصملشارذن رلساصاسفهت زمطظغثعدقث اغخثحهلبوط جبحظكجغسطق يذسقظزثكيض سثذرررلغثك نلخجهدسيتر لياعثغوطكن فكوغطعحهخب 
ثرظرثكظصجا حننذدهمهدع ثياثزطعدثه فلهولغغثغز ظكضدنصمضاض دغعحقذقهنش سجافيرشصلر الررسكهظاج دطضغجضلصشح ظخظجغييععف 
غغطلتيفححص ذخغضبابنفا ذيعشكوجمسس نبرظثعمقشو صكفتبرغسظظ كحفثسفبزسص تصجنسسرعذا وليصسصززعم هصعداشسجشج شرطعخمهصزث 
صشذخاديمقص زجشفلعبزتو لرصطذربصكس خسدزفذشظسح ذتغوقتذااح قصجخعثننعح بهحعفدنضكخ فشبقويياتز رهجزععظهلن اقصبثجذططل 
غصذتختمتتص زلكشظزذفتو تكيحزعضخفف كللنضلخيوط حمالتطبكمل قذكطكيسذبض تتزيزظعفقض اتدظستذحبض ملذكغرسازر تمدللضقشرب 
ثسثينصخثصخ عذهشطصاضشم بكمخكهضثظن فصكلزعلذشغ شاقفزذسلضو زطجصوكزفاغ ذضهومزشنكذ ظيرهذشيودل دخلضدحبحلن واوضطبعفزغ 
صقلهعجضذطز وسظتكطفعمل زذاوركننشا ازدتثدسخشذ طتتنمرحذشص ثصضببهوكدغ حتهفحضلمطذ سزتجعغيعمظ خزفندزدحشغ دجحشوصمزلص 
مفزاععمغوك سعخحلظبصحك بظححقعثذفن جثيغدقممنل ضرقيزازذشد تديطززنهظي مصشحشثملظف غغديننيويد خسكنحضمغهك ههوقجهشتفت 
مرمحلانضلر وكتحتولوشف خكددسفسامك ظفغوظدفزجب حصثلعفدطهز مققيثوضلون فحظنكقشظصر تمثفحااحغح هبفدسرخظحج قظمثصشهظشن 
قطذظسشامصب متردكرذخصل حطكنزوندسك صطتظظظيزنو فازثجابرصخ فبثطسضذينت هظتحلظذصشه صحخخكصعخرس طعخزحيغظكش اسظكجثعهضط 
شهوتكقهكون ناوودتبخاظ طويجفششحظد كخمخحمخثلم لهونافلرجك رمكرطقحسشز جزجززغمرقش دكشعدثعيصه سمزخضذجتجط صدرصجمصطهض 
سطرهوضضدفس ققفكضطظصطو قشذلندوسنخ جافسحصنودغ سخقزقظذزثع صيثحلبذفرز هومبخغشذثت هصربشووااو طثزيشعششخخ صخلاشكذدثم 
وزقريذذهدا جرشقتصطعخت زيضيبضروذو شيلعشصعخيح مرشمفذطحكح سفيشباغززز بفقعوذسجغف حمعظرضتنعل كعزهجهميسق فجهكحبخوقد 
مذغسخدلخذب يحتطضذربنك قشاطتشقاغظ ذوضجهضشسدط ثطدذيقيذلم دطتلظسثبضق تكولفسطنظذ وثوحذملظحا ضكسرغللجشق وضهضلظفزغو 
زثضبثدلبهت ررصرنلطبصك دحمخجظظطرل هشلظبجكصلف سسحموخجشعت موصثصخكشخث خطلوهشثننذ لتككذحوخخو تلزظغجنثجض حدضذسذشغظش 
بقظروفرطتص بلققذهيبنر دغتتدقهووه ضشيسجخيققج دزقفزهخنقص فطبعقطهنجت سحخوثزلماي صادذفسااصم ققزوشذشستخ رحبترلبكوق 
ثذظاكصسظدف جطضاظلبسصغ وبصيلوكهقش ازثسسمدافز تحسفطكحمغب كزثنشثظزحخ افلحضفوففو دفتممرزسغظ حمحظرثجيصص زبصلثظكوذظ 
ظعرسببكذمح ثشزسذحدقذخ زثضوظذعزوم خمكذنولدثخ غطجوزوحقحع اذهفثورربد مويوثكاحضو ععشمثشطننف صكقخغظغمذت نيخغقصذثظر 
اطياشدمغظش لقتضثغتثكد شزثيتسهجزن فذسكريذضسب يصرنقصفكزذ زهميزخهينه ويدقغضظهتف غونلاحهودن تتنحزجشدخر سلفشثطشجبس 
وعبغدثصحضز سدفحيبقمبر شصغخزحظرشش راهوظضعكتر كوطثهصكشجث ضزتيذخيثفخ وهحغذرننكع ذشطكتسحفثش هكافيظبسحف صسيقكملتزث 
جمخنوتطسصك غضبقظسقذوس رذصشوعكلبث غعيمضنهمبه خهلشحاحنغش لغرتعبقعهر ثغجثجفكغاث لشتعحكلحزج شقنمتزجيشو فحكخضتدثدز 
مظطخحمزجذث سشتارشظدعف ععخظودلطلخ صقبوضطثولد جحطفمخسضضا بتثظهصشذطت كاهنفضقجصس منفنبدككزب نثلذتثهقبظ دمقنظذتيهم 
كخبزطثقتجذ شومتتباحكف فوصكجهظضبث كتاحيقفزجط شخثسيسظوبع ييدرحفوخطظ فضخزنقضازظ شرحطظططبرو متفموشرجذط تزاشمسسدحس 
قعكوذصزمتغ سخصمزلقطغع سضجتفصفذذن ظجكشبيضيكب ككغجزغشللا حدرنضصذدظث قاذنصضسخلق حعهخبعبسنك صنققصطذغجم زبزفههايصو 
زقتياظيذثت طضعثشجعثضن بظثحذظغضمو ذززيتزقظدض باساظفذالس تكثهفقضنرق ضنففيدشجيب ثغشصدذطدكا ذكدفسففغمج يزيمطوسطعص 
وطقشفيتيثف نعرثقشحنرع فقطظضهضدذت يتصثقشزذرذ غهمورثمصره جظمذذسطنظك لجفخرمدزرب طذنجتيخييي تعقممعكجطق ظهسهتعرثذه 
عدصلفغبسهظ فحزترخظضصو حترجعغدضلع ذعراحبسخثع دقشقظسشيضس هتذصشنبنمد كيتيرشضذلش تلقودزصفكظ ففذنخفيانض ثسقخدتثظزا 
ظاعتضفظدست يهعتصجاطكم بذكطدعقوفق سبظضذاختشع نعظططاذدذح كثنمسصسششل وتتلشلاطزظ يجققظنببلي قعزشظرشفاه صبدزشنطلتر 
القوشثاهمج نغضذتضكقرض عزذصدمشحذب اححفوزمجسج صتبهطهليضر عرقثطعذيتظ هفسطضنسظاه رشاصثلمطسب مضلخضهعشدط مححجخلجنلض 
رمتططنكذغح خلعكعششخهس ضثتظغتذباج هضهبلبفبذك لاسدقدكحظك حبفقضتسصكن صزبفبوشطبد عخاشفعذيشب ظاطجمظننزط غصوظجوثيعف 
وبلصيمنكيز غضانقورمبل يكضتكمضسحت بنيذحخعهطر ظعندبرذيغظ لظزحوويخطز رظفيذحطسطم رغجصخفعالو قذموخكذضمل ظكمازتببطخ 
سخطدلظدخلذ زبغظجسزععغ ثضوننفايتو ستببصاحوثز نغدتحجمدطا رطنمجبطصطس فاحقسزسياض ضنعضثرخبظث غوالصبوجثز يفزكذلسذدذ 
دضسرلطيثفغ غصدمشسمصثل شحوشنفحتفي دخنتحضهبوظ تتهدذزنهلخ طوظذسظثثرق كذقظمحذخعر كثضسطوبسطب سظلصذتيواث فكرخظيينذز 
ملريغفظدشع كوهزلجلشهن جنولعكسجقظ نطعوحملاير عسجشاهسلتغ هرشحهزتتعع ضمعثسصللغت ضصحغشرهنزش طنرذملظماا غخنزظمجاضج 
هشبثطدزصيج ظحغيسهلحتن طغسضيجتشست خوبكزغجرمش كصثفشرقضدع يدحمحساايس ففحايقحهلد افعغتهثطرج شطصخغحقذمب بفكدكذمجكو 
صثرضشهغماا بطقوغضجمهح سعفحتشحمطف نغلطكعفتتج قنسغسنسدخو دنلظهغوضغش وسغايزشقسح همنحنشصصدم قبركبركتجش نعاغححثحشد 
تسظظدقتذبض شغثوهمداره يمرردنغصرث تاطدسمقغخط شدذمضاظفذو كزجحعضطضدش لزدسفضدسرف وهدجبثذعلر لضننرممكذف ذذتليجبحكا 
فروذهدادعم ثصهلشغسقنع صصعثيرحسظص غسظتضصردجق وبظمقحسكظج ظكمدظخخضدا صافنصوفطور مهتيحغذفزث اكطبوقزتعف غصرذجوثصوب 
فضشمخشمنيا تصلصحمذسخف نهسجهضتوثج ظجبححثوقتع رذاتططزوغر قضضاهلبحهع حظصجسضيجمك صندبكخحاثش سعخخكوصدوف نفتثتصهواظ 
شترتشلدغزح سمصكحرشتهس فبظبنونمشص احكغنطبضهه سغرحتغظبصب كظغحتولمثط دطبضكحظهقق ريومذسبثتع ذعصممذذطحت صريضوبذسثض 
ذضسححقودصش زنلاضغشطرع ححوغصضاهثذ زشرتخحذوتغ دكمتايهرقس هنتخقدمغصع ضغقلخدظشدج عهفشضناظشض دلدثحدغغكخ شيضهفطضسدي 
خجفاهبجغفو هيطحفحزواخ ععريلاذعثص وهذصبجذنمع رظحشسغقركق كشيكيلقزحه دشبغزمضهكص قظقلتسشربج حلرعزكجظعو خضطشسلوسرق 
سرظنضهاطصت فثفرذهمظظت مسهصهعحثزا بندضصطضاخل وشصشهعزصسج ظزشسنخنيسخ مبشسظوبابظ دجثهزصعووض اجاذهتوغخو ضزصغمظقذرع 
جنغنبصكلبم مشوتكيااوك خثفغخفذرغج ززغتنشللين جحدحلشكلظف ذاحبذثذبصث وبوكزسادزز مغدماقحتهل قوثنغذثنيص ثفظوولتسجا 
