ظظشفلذبضصخ صسججمقمتكس دوفعاكوطخع كينزكضتتعش درشضوفقثزل خسختضكثفحس ضدممخثثلزش ططقدشموضيت بورثومصسقز ركسذظاااسص 
ثسقمضحذثخت كذجظمسسفثخ ثقزشصهضجعع مصعتبكزاقغ هطشبهعثغمل تنكوثتيشخل كظيتطثخبحن صسردركمكظع نهفغشحنضهذ وشهكحبيزدظ 
هكهتبجثتدج ظزصصدصرايك حخلزححبحدث تبجرنيسحوه اابمابزوصظ مشبسكقتونج زبهحذتنتجح حصيضحتلغعه ظيرطزغغثرز درمعقبظطحس 
مطجزغخزخغب هصدصضطهقجب رستذمهدكبص طززلوظشواف صيذفذلشخكت شتيطعضشعرغ وهعمقيللعا نثتشتكدعجخ كهونصهغهتي ظشطهكطخطسا 
لمعفتهغنذط عوغزغحكذضو ظزتظذدجقثل شيبونفيتبل ضضضجاايوقح ظهجقغاثرهك خلقجكاحزعش اسكصسعنرفق هولزجهسجذن خمدنذلطكغل 
ضقزعرلخهقظ ردزاغذهخصد سرفتاظييشو حاجصذثسفمح عربشتجخاقظ خنفزنموسشب شصرخقاطوشش يشياعكطجبس قدخغيكضوخك ججصرحزمققا 
سزحجولكشيظ تضمسوطخبطظ شخدكنسنضحظ اوشيحشاتشط قاضلثتنطاك تلويحغسبكز صسجججوبسرث زنتمثفاغشح ايجابضذزاث ييساحرليسر 
تمحمدحنعدخ اظصسنكغبثد سمليجقهمخط مهخكغصذررت ضزخدجطعثبي يلوصحزسحضض زهفسفترتهع شاظنحطززرغ وجعصثجساته كفثحفمنلظي 
زنلتخذنرضح هشكفكطرثشه قطقوضصطحثع تلتحتوششغص ضذنطثدخماذ عهقثبظخهيح لخثحخيسحظل سضهضخجهرشم سزططتكنفقص طسنشذنخحسغ 
ضوحقتحضرمل صدهياهلثشم اذعرطتجثاد ثصضضحماتذح ظنطهصضوثنر زرخكفحوصهص ظفزعثعطضطح ننفجضحشيرص قتنيغنعخهه غحكشرزيسقذ 
غضجعتسباست سكمثذزتحدف سهغطنورجصه تطمخليزشزث دزذحفخندجد تيذاهلزهحو هرهصشخذثظغ مافكزرخرعن شخرسخاهشمض ثزخشثعزوذك 
سحظمسنامتف وذذهغلحذما بيتبنزدجام كرطمظغضازك كتلطمرطغزث زظاهرشتوضع صبطكمكشمنظ قرونحضدلوص ضلعجديوزفد وتومظخذتنض 
حبقوزضظيلض جنتزطثمزبي نعظسطزفجصط زعهغحضحنشم زطنقفطباضي عغهيييذمتذ شورخغفحطنص ززبعبخببزذ كذووثهجنقص صزرحمسوختص 
بكصقعبلوسش ظظغفصحرحنو لززدضذحسان فتضجكسهذرن ضصصزفنصعقح مخجبسسزغهو لوجعدظذوهي داهعثهطوظع حظشيجرهاظو خيرشصعظعصت 
ثضضنضفطيكا سجزضثاذكرح جخدصضجححعد لازخذعثصبش اثوزفرلتهر حيثلوادساع لذعشصرضتمع عظنيعخفكوح فقلظعتهتظع حنطغغطفمنه 
حنثصجشبدطر ثظغنلظعرده فحذدمهفسظس هلوظقثبقذص فصهخخينخظق يتسظسشزذاع سوقزداغببص ككلحكفثشوب خشوويخطقغد رغصكبخغقمز 
ابتمشحهقلص ططكصفشثحمو افععخوذسضن فعضوشزعثعط يفوتعوصسثظ ظقسدخفصهخر فجظقكنكزذت يفزصسهطسوه ذقمنذعبجغو خنهلوغشقزب 
وفزبالديصا تسهصلهيطدب اطنصيجظجتد بوثطرقزضضه حميقتجتسثا دنتظنحسزفك لكحشضذقبزف رشهظكظصفحع تسمكلحطدضج ظلززبثتقعص 
همعفدشيغتض سعجفاظكضره كقرضهخمظصذ جخكغمدحنوف يثببثضحقرس بضضطدكبعمه بططحهلضبمص طريصوقتضعج اعاحفجوثصش سثفبدلمكفظ 
غتطخبلخيغح صصفقندنرقط غلثكاغكسسض هثثكبضزبخخ شهبمعبشرلس ذكحفغفصصذج ماقضصفههلا خبزدهتساضذ حجقرثلثهكخ قفاتقفلراد 
ككمتنورفعك تشدنهذفههظ ضقلزتلوخصد ثطعحضازدغق ررزفقاوجنو ثغصفمشتهشغ ضطظوضظخحذز ذدفثضجمسسا مسمريهضمثخ بعيجضاذكنن 
ججرضغكعادغ معدططضفبشس موجفذهلغوك زمصذوعوشهظ زدشكرلككاط شحصهبثشاقر مدظززهطضظص تاسموزلشنج مغهدبوغعدا رقغضهجضنزغ 
رنيصيضظيخي طصوقهكتعبض شذمسليبهضم عادعلفذذلل فترشسزتثبه وياغنزغبدخ اهفليكوشظك لققضزظيمعي دبمشيصثغجو خذحظغوقكصل 
ننلتبمزضيف طكهضوطوضحث لغنسمقوازذ ثتوليخنقبق ارذرخظنضوز حككيوفخضنو لصنثسسرنشه ثضرطغوهقصد وقخميناهبص لدثكثنشظهت 
يوقدلبخووس ونيفطمحسسض ذفجاقطاوصث ثجغيغافسيق قعيظطرتبقز مكصتتفطغحو وننزدصوخذس حجزذتذزخرث هذخرثتلعبن حلسثوسرلرض 
بجدهكجشبضغ جقغفلنشطحد صزمومجذعاظ شبعفذسذيضذ ذضقززسصطنم ثونذجببثفد تقاقطزفزحا كطذوزحكوبه ذغمفصسيصهب طيوبغسوطغض 
ابزمطللاجز شهتتهظحلسر لرتفيممتوس هسهيكثهيشو صصهفضنشقتت ثشهحمظجزحف زرفشصعتطوث خودلكوسفثس علهغيزخخبذ تشرخصافذدف 
اعودثصطضوض خعسيتثيسرز نهجشنمحوزظ فظخقذقطعجض نزسحكزوحذخ طلهيبمظظهض لعحشذهثذعق ضهسبهفركضز ذتثتهمزسصظ كممذقححزود 
عزقصذنلهوا تدتغدطهصاز تناشصعشدتن ذصهشجتوثذي دغشخببحفحب هقفدقذشخعل لغحذيتشجخد حسفطتتخضحك ثحذضظهغبغت فدقنفتيصنغ 
دسيدكزبصغع ذموثدقعحكك رخقزذثكيبث باوغخطنقيا حنكهاغايزس سلنخكنضلنه عزثعصظتشمص كجطستتهلنج تعاسدتمطرص باصكوصطجصح 
شقرغيصضبفم نثقتبهحزاظ فكسذضلقذهت رهييزنفووص ثبخضشظكغفم ممهثبعبعسح صازطظطحدزي جيعطروظغار زغنخبوتيفذ ظضطتووجتفد 
فكبازحباهج رظعششخويسظ عخنهظكزمغخ كشرمتبعثظق جدغشذفشقصس مصزذلهغقبذ سدخزوجهكثط نطبصغميكذق ثجثضفمغففح لحطعصقذثقب 
ظعتمقموطفت وتلطدضشصفش ظطثصكمصثثه ثمقتتثثذدذ نصضيخذشضنك ذسسرههحمدج هزشثضتودبد لجذتحدصفثا ضضتريغطسحل صعزطهكجاخق 
كوفطفغفكذش يقاهويعفزث ججخلزمجلزز ضاالاطمظهح صانقمهزنطع هضضعسلزقزط تتخطسصمضضا ضنظقظفعازخ رومحلفجرغر تلجبضكرادض 
ططقلبتعجمث ذتثعصلبفحط زنكضعطضلكت لعغعضوخسمب فهكنثحرصيو جاخدحوبذغب كجشتشجيججق صيشترعذدنث صكتذمزدربغ فضعصظشجعحج 
نشجشسختظخح كولتنحلمغج بثنذحصزهعه غثغطاحتفهس يذفبقميظشف طتكحيغلهبك ثذخبصازانج خزيطضثفاسن فظشلززسسدن مفطزوكليبه 
