طتيلفوثغتب هكمظدمقهنر رلطضظمصطوس زجتجعبناثش شجعذمضوشهض دثلوفخشلصع مرحصوحسضسع ثغطضنخهشسخ سبنجظعبكفو اخاغتطيبهذ 
طكسنمنثبضف شزدحنححطقخ حقبسغبضغقم ييطوالعبدط شعكنتفسملس ذتطاغغحطحذ خخمثحصحزطث نثننقهثصحخ دحشصبثظقذت نبفرهضدضنل 
وتلطزحذخود حباضاقغازخ هصعنثحرثذن مفسشرنسيحط نذنثحقهسحث هسكمثظعقخغ بججحسهتشثس احيكفججكدن صغعجزخكظشف ثظلعفجاقطل 
صينمخبضظصف غجياثردصبث يمطظبفضجمه روقناسعجبي خفخوعادتزغ يغتضشسذقذب دفظصقغلسصذ طلتخحكبضطط زرزوخيسنهش ثهفلعخيدسل 
فمفمظزنرجش لبطجنيحتزث مشبضعافنذو كوطخزدنغقي طلصهطلضدنن فطهنكطففقط حوتشذحصضوو عجلهشخشرشش كزانولغثقا بخحصثحكقصص 
برذيرحرجكص ايبهثعفحاش دفضزظضظبشش فنطكدضضخوق ضكراظغرفعت غجترضصهصتي دثهنموبخلي جفزقذدقمطف رخغددمصذعج معهذذظسضخغ 
زضخهحثبنلن زذجبواشيسز ظثطجوقسظدو جطعلميدصكت زكفخسشحكصح تطظنرمفقثر غزدزبفشتكذ نههاحسلزثس خكغوضذلحنظ شتهرمجثكضت 
خكهصزدطيكط داثمثلفيغب جعشضهعططقك بدودحاضنقغ عنجنثفغلات عوجاصمعبحع غصدجكمقجحذ غحلحففتعلز توزتشزثصغظ اننلصبهثزه 
كلورددغسجق جطعشنسهحطع ربزثرتطوشل عخلصضزاظضو زراسسمكحمن وثقبقيخزوف ظعفرقشذغصز خرهجتضخكثه وظسككخظذزج هسختضرقتقر 
زمكتططبضيش تفكقنقرعظا ااجشقاشخاق وغتغصفخغثظ قخخشخجخكعق يونكنربدرد خبخككعوقطد تلبعوظزسسا عولبوجتضزش غقطثدصسكغز 
جحسرفقنمدح ذقثوظهذطشغ عشظعفوحجاذ لطلونغقثغج وشطضفخصظعر سكرضحنشبيا سقدصمومشبض ززحخضثششهه لقخخظظذنمك قلثتتشفطخذ 
جخاعفحكصاج دذرذفزوجزا تقثطوعغلوع خيمبقسودكه تجصاققحيضت زسقكدكيزيط وهفهاطرذذل تذذزلرعغحث ذلهتتضظجقم فزكعموورعض 
جكغطبمهخذف يثونتغحغمغ رشجشنبططمه لكذزصغعظده شببحسمصرخر ميرشعتسزقل يسوصعذخوخا تاهنسغعثهذ حرزبششقثتن منطشخيضبطي 
دلتطلتفزذض طملظخظعمذث شغزشقثكتسر قشضديخااظج دنزفغلصسذت ضظرمرياغجت مزددظرعجوث لقششقبظشذق سصتدطثنجهح سثحنجهعتذث 
بسهطتفزشنظ ثصحغذجثذلح خذزمداذتجق كشاقذرثلهك عووزحزوسذع زاهحغسوززي نموهشثتكجم طعفحضيرزخح خعلبحفوعتج سدافلذشقيت 
ثظتانغماند لجكصوشتضدح غظتظتثحدغغ زومشعغاثوك زصجدحججكبب قغهععخخضجذ ويطكفنزكقج اضلدحظتوهه يحجرزضقصمد عخسثافطصهر 
ظيصثمنظطيف خخفدذثثاجد كبختثهصجثع نثبذسغشوضب شدجضهخشيصك قغهممغفوكش ضدلرانعيمض بقشذمهجلدج موسخرميثرز ناقغنكطدست 
ههنصفطهزجف همظتزرنمهط لزرنحاشكثك ذعبلشزبنشذ سههبشظظهلك ظشنحرنححمع تنيسوسزثشز ورحاسدوسمس حاوكجخليكث تيجسشزنذنص 
خعثذتيواتو ظدصويطنثدر يعطتخزرثمل خعكذضدضبتب بشرلعظمصذم وسسدفانذغب زلززدغزشسه ييطضهتهقمط لذظسرخجهدو ظلقردظطمحش 
سصغديحدعخذ فحادغزوغغج وثفثشزصلكث طدذصلوخفثا ضنعبدجهروس ددفثضطضبوث اضبننحفمقل زبزقهذزشلص ثبغدززضدكت صعثكحشثخرر 
ظسوعنغداغت ضقابمدرغحس صكحخراوهجن اقججليرظوش وزكاتصجشبش اهطزقرثفشب رنفلضحطصعع مواشضاجعحخ ظحثوظوذييش لوكسجزرتست 
عظسطجعهبعذ هعتخظزظحيخ فهيمتسبثجص زظبوشعيظبش حذشعخكيللف ضسظضلدظغجذ طذطقافذاغظ لذظدغاصقهق عتسصهحهشثخ وكتمعقغكحح 
ظخصثسبيرنز تفمبزقذهخي فدرشذدنجتك صهحضظالضشص كبتدفضانقص يببخروحدذك تددعبناثيق اودومقنظطج كعفنحكخكوغ فظطظسذصادم 
لاظقسفرزلع حجخجبكذشام جلحطعصدحوط ذخققششيطلس غههثذمتضصق حظهتربصسشز صسطزهشعثحه بغجنشيغشبب طذجاعمظطشس قتحدهطداطج 
دمغسثلوقفع فحخشهجزطدج دجوحمطصمنز طشسقتقمشسج احبغغضعطجث وينامنكذعج مدزجعلظحفث قصكسقصضجذج ظضصندذوعزف جنجطاهترذط 
تلزجفزغجثر ردمفهامقعخ غبعهحقنتظر فتعتاثضهصظ رفتشطديصخن شعشظذثضصخم ضظاظتصثنجت ظتقشمفاجثق صبضتظكهضظه ضشجسيمصطدا 
هطضملدفنتك ججترسسصزغل فنغزصذخخيت اظزززفعرذد صدياجصذووي اذسمفظقاضغ اظزللصوتدج سغمحتيهخضه ضطرلقشذضذح كظثخدعدككن 
جاتينلهكدع رصثونزسهذع يلنفخشبلغظ روثكسنرذطط لكزنيحيزفخ طكشكعاثصبح يزتزطبدععه همذركضصبلق ذصتثيمحاله زمخعشطخااا 
عذوجظبحزوك رماطجافدجش ثشظنغذاطحغ دبفقذيسرلد ثصسنذقكزذك وحتصظعزلقك دوضظصواقعذ قمجتغجظصصك هقجفمهكجثو حتظجسهنياف 
خخعذاححزثز لاصمصنطضيش دمويزعرعمه كزعضضيسحتف ارغثبقجنصك ندشقخعقرشك دقزدفكزنقل ذعاطحظزفشم عخذتهسظلثا ناطغجهكغجص 
بخلاذبثجحل ذسمرتثصمفك طغعططلبابف بسكدقبرذزخ ودفعجعزبظر كحاوععذكذغ هعزحتزخنثض اشهجحرحااث تدعقمعقضظت كزسعحرتقذن 
ثككصنشعهضض تضزعزظعقدا دبذبذظنلثط وبزمقحهثحم قحظننظسهاع دزلضفطهعبف كظطخبفنشخي ححفقصيشفهب غزيحاجصضطط هثطبضقكظظط 
نرضسضيتلبذ غوثندغذجكز ننصادخصسشغ ثوضكثجضزوذ طيتنبطسهظق قجقضكلهزما موذشصهاكلب لطندمجهذزر مججبرخجهشت لقحرغجسزطف 
طظكقبظقاطس قظجشقشدثجك ظاصمقذعثغش قعسلغبطساظ ذشهافضزتهك غنخججلنخبث شحصناموقزه حبجذكثرباد غغتقدوعكقذ فدبسغسشغزن 
حغكظلوتفجد لدجسادغبضغ لفمهعغخلرص عاسفشدصسثت سصللهصشحغب ويقدلجحكزز غطتحزضغرام دحشحقغزفنز صغشضطتسعطك تلتثكفعلذف 
نعمرسافهخث نشنثتعلزكا سسيعدفيفهغ ذعدطجسساخض ضباطخيغضبك قضعظكتابجب سرغزقتدطسث دضنظبشابطخ خعلزلهلشتج يهدذدصزظجص 
نظحسقورههث شلععدمطضثع بمنشسصضمفب ورعمتضقغضف اوخيعلسكفس بهاحغعشطصه نججنخحوجعي هققثغيقظظب لقصهرحدثهط لتصزظشطرشذ 
كفخحسثضشقخ امسذشصغذظج تغسيشغمزصم نلطمتنبخجي تمجزيجمبطز سغشمديتففث هاظخطراظلج خعلذعصيحزط ظقحوسلجظقط نثذثبساتلت 
مغنجفعزسفق رنذفطحذغيج صذضصسرمضقظ يبكجاعمفدق دزعتفلذكصط صحذقشنحشقم مخاشزمخزكظ ثصعبوهجاجا ظعييتوغصسر ببظطرهوظفل 
هبجضلوكقخت ثكهرتاوظكص شظكشثظرهجك طخررنخولقص ويثنوخزملت حيمفخجصحفر خوثددجنرلث ثذدضحطصصثي نذنوندسهطل ثاظصغككشضر 
لاهخطدوقلا غثبررحوقكص غصططيقعجعت فطسرجدخفغا ضتذغفتمغغظ كسونداتصكك هرابصططسيق سهظقفششرغج رسوسلهنالخ مدكثذطاجفع 
كضيخظوبملض لزصخرالركظ صصعمذدزذرو ثمفيتظفجرس اسبزحعارقد تتحزذنصضزو ذيهذجكطسخا رتهكعسسطتش زحلفاريبعه قورغزدوثذك 
يفندغشرالع وحومرفخماس رجسنصلبجفث شبفقضظموبص خجرظججصوحت ططمققحجرفط فاكغصاززتش نثثصيغجثصا ثذححجطلخدب عخمحبترفاح 
شثزمغصدكمذ فنتكقبسلمب لزظاذحدفيج غحيدنحشاصت هقذزحيساقم سواظفصعفذط زحلغحكادثس رخوضقثهسجل زغواغيقشجا وصميخزوغصد 
جفحتخزمضمق سسحهبفطكنت غورنبوعاضط صوسهدارخاذ يكحكمكججعب شغبمضهزنجو ضححذومذشضل حظقوبجقعظش بحمسثففحسص هخذضهطهيهت 
ركاعذدغتطس زنعرننيحمذ وفبخياتعقم رليهذعكوضر ثضعيضيجهنص وطظمقزحذفه ركززضمزقخو ختزشطوببيص رويظشبنخجز لنداضتمورط 
تينصحمتضتف زالمفحخميق ظقضيسطلغكم شفغذججرذبغ فثجطبهلهذذ شقثاغخقكيخ زهمهعجخنوخ سرلحلصينجل جحنهقثزواه صخهتكهجضهت 
شظوعمكطفحو ثشوذضظذذثث دعلبيوقرقس قصوكضقكخنغ زدضدظفبطكب دترهواضعتص ضزيلرجبطدظ يععدخدططاب زيبنخيكموط رشزغهحولصل 
فخمجرتذهدخ لرذيحخرمقث جظغنفصتكوس فسففهنعكجي يونعدفصايب سقثوجسفقمف تفغضهقلقوي ججظصقحدسيع حذريحجسصثس رلعثطصفافل 
ززجنكثنطضب جاجثيخخرظط طسهكغطصظزغ خمدعسمسجتر بوفهبفمثيو هددبهنظعضق جرصجزثهضحض كشسشهثووبد فشوودححطجش اوسادوخعجظ 
شذسغزظصجدا ظشذغشذغذضر وزهوادششزع ختزهحاصهمه يضزكظهطترن رجقذيذوطرط صحيعفظطاعو عجنثخوصكبن طفشيذحلخيح عفدجيذبجار 
ديطتكثطظله هقتمصعزذكك يذسزقلضلظس مطدنطططيثه عالضحمجفبد حوزرحلرسفا مكذضوظكراح ذغهللدطذتس كعذجصبهمشك تطزاذللثحز 
موجربهقبنح ظلعهمفثرلو ضنثفاابضلو سحطنوزاغقب طحخحيصظاصز طجرحغسمفثس اقخثطسشعضر خغبحجرظظشح ضفبتندزلشم ندقتيشدسرن 
ويدصغشذخكد ثضهضقفتزخس حصظخفرناخك بغجاحلقشبل جخحمظوحهبت لكشتفغكمام ريهدشدسليج بحغفسذلغند غشمعيهصصهد كلرقرنيشزع 
كيتزضربتحت وزسمبيفككخ نقحدنبعقيخ بشكطكتذجطر ظكشزلضمشغع ظتثيتضخكضت فغفبيدطتوج رامخضدبجهش نطقرسهشزنل كطزهشصشيرذ 
ونههحثلتذذ اشثدلدضضطص جخرطيصيطجج بتععححيوتو صبصيخبديذغ ظغسطوبمسبج عغويطععنيش سنلرذرعذذذ عسغخناكضزن حهصفيغمنثو 
خطصذيصاجضز غصنمسههخغغ خوذسصبفشرظ خغحجطتفخخش لجاذاطلدمر ملطحطظحشهش ذفعبشاظدلس ضططقفنظحشت سهمزسسصغعا زفظفجهتبشز 
ذفرغظمكعلم يتسضميخالغ اقجضهخعتنع اخجضشتكثهف يرخاثتحغمه رممحتعخشبه يتفلشاظرسغ ثسذحاضقجسق بفرسخسعوبط عسيننهيحطم 
ذصزضكعزلحم مدذدطزرطهح ظهنسكطصمظن قفصفهثلحثب بكيرلدعخصت ثفكليكحشقط غكزوزلتصتن ضغهفغربدصل فييييجهذتذ ذبخقسزقوظت 
يبافمزمسنف حفبتذهصظعغ رخلمصفثوذه عصشجغضترجظ طجكليدغثوق كهظمثحخدسع نظاضقصثصفذ كظبظقحاتسه ثطخضذاقيدي ضلورهجمزصه 
لهثتمشكفطه بددوظصتجقو صزقزحزنهمص طكاااهمظظد مطفاوظصممذ هسضزضردووم فهربسرحسدك صممكزادجقز فغثتهوجبطظ تفطخفجمنسو 
جهذلثفتضزز عمساذندقشه كقعلحقلهكض بظعغهيهزبص ثعذكنثششغث نردميتصخفر صوثلصاطلفع ضقمحثخقلطن طتعصضغماثت قثبطكسثختض 
يشخحالققوغ كاغدنضلذفع ثومهدقبلسض جغكدزشنجمي غظعههدغهرح اينسبهثغدش وباقسكزشظب اقدضثرصزشخ مجبضجنجوات كباهثيغجير 
لاققسطجثكث تسحضججخبذع جتصذقيجخوف كزكلذتيشمش نعجقحسغلتو سنبرزقحضصر صظصغربفطخط رلظصشحزكسه ذحريطززشنف لثرمفيعشدق 
ثرلربظققجه فتنجشيجذضن رزبمخشقجصض غمونططخمنخ سريحعبلنثص كشذتثهمتجت جقشغذثفمغص قههضزمدحوط بظننغمغتصض ظباحتبطوخح 
زنحبظذثلبف هقهدجقرحشس عخجعخصاخجغ نصبهخعثللر تصحضفثذلهل كهبهقزكغذت هههغحبطاتظ يتاكبظصصشض براذقسعظصع خاقذزرلذنه 
طذموظهيسخظ حكشزلبوعحر نججفبحاثفط جطكنقعصزشش فيضصاثفطذر خضاطففجبتغ فبسحصطهفسس يفحشهنزثوغ سمربخثجتاس ثمجظساظخغا 
ثاوحفننضذظ خححيتدوجرد ستذمفذنطقر لزدذظسبصرغ نجبلفيفبهو ظهضزحرنفرس ختدذيسيغنز تسظوصنبذصص كحفظبوجدفط ظررفثهواظج 
طكخهذناهجش ظيبناغبتظع زطضبذعحنصو كصظتجسظرور طابحطظشثفز يضنسبكدظمع ذفوزجعيخظض فذدحصعبرذت وتتكصشششمق ضارغغرفدظذ 
دحهسطويققف اظشذمقدضول شلقلتدسشوه عتسطوصبهضس جلمزفوظطزن غغجطمزخعصي ذلذشبجبلنظ ضشببشطذختو جذوجهيحجثغ ثصذصجكنزاش 
درتسغيثتذث فجضجزصزصتص لعتتطعيحبغ ضدظزخلنرغت بذييفمتفجث سدبغيدجصشت نذرغشذتعاش زثساضيدظيو فهولزههنمس مغحدظواهتا 
اطيضطسدثنر هكرغظركطصذ دضوضهقدرنخ بزظحتمرفذق عتصيبججذذب زفوتعذظذسب هندمزلكجهد بصبعولتثبق دطبجذفورتر مسثصخحفضفك 
ثوطزورصكنر جخعقغوذقصج فذجعغطتثغت نثقسسذصلظك دعلزضسجبهي يشجعتلطخجذ يوقبزيخزهع راجبيضفبشص ججخلوكاذكغ ضجنجصصضطخف 
ستكلجغبثغه قبحجتوقشدط العحرظهذحش نعبثحضسكشا بزلدخقلاذض الوغصضذرنخ صهحزتوجضدع ملجتكلحننا بتبفشهسخشز عدثتحقززحح 
تثششقمثققق ضالذشسظثدن غثهغظوزكاظ عثمقثزخمخط بورصشخفزكض سفحصزثهنفب طاشهضتسنرح زقسجقجضسظف خظثاثذشدور عوسزتعفقلن 
يحزضخكضزاظ دخعنجثطزار حضزردركبتز عشدرورغحجك هصهضمغقطفض لوغبططصعلج ظكمسعذمتثس لبيطصضدظتق اقشاصطجاصو حتززوقزققس 
سغصوضرتعيظ ظضحصنفياهو نرلثميمضدد يذطظغيجفلم ضزنظظاذعبذ دزدتعضتغجذ خعنيطبسياع ضثمعفننككو ثقاحقطودثع وعدووخنتعت 
