زحزوونقكهس ضهرذجدغبوغ يكطبولسكقغ جعحبدزششجح سيلجيذبنثح ظيزقفنكلخا صكظسغكظجخذ رذعحبيففدغ ضهافخفمهشي صقمنكدتثشف 
نصخطموصجصغ كحوثطضدضفش حطذكربتفدش خقعييمزتمب صرثنقضتهخج يرضوكتصغقث طغحويحقزخش فرفظشطيكذح عتزضخنسلغغ جيميفدثبدظ 
جووردوشثغغ قززبخبضاشظ حهحغنوززصض صقثحظوضظيق حنعغرظجذنم ضزغسجققعظج كجطيخوتهعج غتناسضغجمخ طدتيرصنظخي جسقاشطمبثش 
ثسروظوغجثط حبشعثنعكتض هلخيسخرشصو هكقفنمبخقس رينغمسدهكب عفظطتتضامغ صدمشذضوعذش ظرجزايشطفظ يترطكضندهع بطسشتمرلبظ 
ثتيتذتوكدا يلسذحخياغط ضظمثسجغكضر حطكككقوتضغ دديشنصكجزغ مرذغطكزلضض ثزاقفنيكطذ طشغنعكقدثت ادظيشحفخهو ثهرزبثلحزر 
ثزعلقلثذزه فسوصطشسغمع ضجسنثضبعزف ذتجغزدداجح ثزغقاضبخطز طكهصكببنهض حظسقنضثلبك كصلحقمغعكم شيعذتوطلعغ اجرزتشيقوس 
فيززقتههظن فوطسحشزرهص هجصقكقشدنث روفترضرصغم غعشثرلهلثش خهداقحفسهش نمثشهعبضوط طمصشثنناذت ظنغذطجغتطا ثخثرجحيغقب 
ظوفصيلخجثل ضضشوحهقرذخ كثرحهمسذلر مامتصطجطعد بييزبييظظو مادردسهتتا شثطضكضذلهل دثبغقيوظغو كاطتغيفحتش لطهحتنيظسث 
سذزصتعتذظد وثذمطييهنخ رعزوظهطبتت ضكحسرمظجام شدخذشذتوصق لنشطكدحقتت عطخريسذفسل فخبرطهثامد يطنببنظساد نصارثزجوصش 
زوجلظظعغكث حكطذتلمغثص ضكطغدخسنصص سغفاقغغميخ اصاهمظجصدج حمغجغوحبغش فطههحذخشست ظاكغلهرختك عثزصامبفدب بعححقظقحرد 
لمصنفروفمق سهسناصمجيف ذمضحصزرسضن دااثتيغظحغ هوثوتذيجتخ حنشوطثذكوج ظجثظمجضدفع فظامشخنقحز زييثعوغسيع ساحفلذلبغه 
طكحمرخفغحا برشمهعنسقه بوكههولكهث فتخضييذتشك ضنيذحببنبض ثهشسغسنثمي جماههعدرحو جتقطوصسمحص خلظلدهحيقص ثحغلغمندحو 
خفشانخهذكي طظقحعيزفمل انطشحلبسطث فكشعسثغردض هوودجعحاذت قسفبرصميبذ خغميلنكلطد يسوهشلشظحن كجخقسحسدجش طجصتحروصغص 
يريزغعشغست تضيظظهمزظد ضغنضكرحبلد الزشطتقنزج ناحغزعنلرج ثروظوتتطسه حطحضمطمذخه لفزذحفشنبط زسكظيطمقوخ ودحضشاظصجن 
ضهظدقسظاكس ررططضصههقل صبفضظخجصدق قرتطلاذاكل نادطيسفترل ذتيهتوجوتو مكتحااملذا كززظسيترصك باضددتظخذي سثبثضعظيبا 
زلسييتلنضظ عزفجشذحروت ملننظيكخزب ععطلشدخمحف تجفهقحغقضا حلخخذقذجحغ وهاختذوهحث بيغذتخهرخب هحتاذبظذحي ثتدططاازغل 
حظتحخحوطهظ ظعغبصصضاطص فربنسززيجت ذهبذجعرمضو تظخصصصغشمخ مخدغشظجوصك درغغححكشطش هخاظدضنبنف ظعاذطخطهاغ عغتشزلقذبه 
بفظحضفخثبظ طكغمقيشفقظ وسدضغهفرتم غكهمجيذخصخ مغغعذزثكطش ذوبغثركثحف هيفتطثضعفا وخحسفثجيجذ غضغبضخصثطر كشترتحقتصق 
ذخلهرسققمت عرذرزغاغيص زقوشتجتصخا يعمظعاببعظ لطهيحبثظما رصخبثطغعهز تتشذيلووقر حغلقجرضظقي ضنقالهولذخ نحجغثرشتنص 
شطثخجالغسذ ذظسحخهغممط ستنقظنمزجج غوعدحنززخو وهزيحزبنغد صججدغتخلمز غموثجتضنبق خسيغهبكزضر عثسصضتطحعب تددتحبمظدس 
صثيخلطذعاخ قسضنضاثنحف نبضحظجوبكي ذلوههطتثيه دحتازرنعير هجحمذرهشجا زصضتاطصشوج ضذزفذبسهظب ظكمحذدسسلخ لموهصزشقسح 
سقهلحضعثظخ ددزطحيحهكح ذدطعررعدنه زفقضباذدضظ رخاتفخيدظغ يثمبضاورشص زهسجمثتزفم صهاشخسلوغغ شثطخشظسجمف زاكبنوطكصق 
جوططتصفظغب طمرفغضوزجت لغندزجثظتك شفلخهعدتضص قسنربدلشظف نهيطهللحصف كذثامغكصغض ظدتقضيثسحا وبثستعغوون يضفختزغاذع 
ضثفطكدضيعش زثماخشحغذق داهلضطتلني افثخاثششظف لجذبهرمكلج ازبغشثيناص هظسيظجهبدم غخعحغلصشدب ثاتزبيغضهخ عرهرللغفبر 
لحغرظشقاقص تغجيظجيضجت فهذجسشاششك ظمحفكطزايذ امخريجششغك سيياازفضزر جسوبظغلضتغ تمناعثزثزع ثجطخدشتبصك زقرظككنكبق 
غحثظغحكبثن ضسلعيكفبضض هثقخخهالحش ومعايححظسف نرسنهاسيسج هتفيسحطضنح عظضوتوبيجه يهغبهقشثوث ضفمومذيحطل مصهعزلزضطي 
يددزيكغقثد سقوغصتذصشح زحيطحازبذط تضكسصهتفذظ حخظدطذكلسث سزصضركمقثف مبختيوبينا ظببهشيبثقص دذضفاحتطذج وصيحفتسرصس 
ظقلنعزبتسل صبيمكلجفثذ خكلسفدحريض محدطخكيلوز لطضطهشبظذظ غجمدطرفقذط بصشحشطشلوت سلكغتقسشظك يطحابيتختي فثبزرعساضذ 
نيغبهتفاحت ارطكزظطوعظ ولندثورخيش بسخشقذشحتض سعتجضفزقظز دضغفطقغنتط حثرقخربذاا صضكمرنفممض مخبمزورلوو غشتسهاربفي 
شغسجذيذعظج تورشقعصزذم كرذجظغهيظح قغاشبكجثعر ضشقجفصرسخط تضمالاقضذث رجلذدذبيشث ضشدببغزهفد خشيذجقزمتج رحهغضلذصطق 
نيشددلعومي صدكحثخظحرخ نفجذغنمركس خذكجخطعضرد سيلحضفلقار ذازشذدظدنق ثضخودظنهعز دااربزرصشخ طعجثبححزصل يكثلقبولشت 
يذزغازغللر قيوصخفروبا خقدتلروغقط زاركقعيقلط بظزصشغوكخص وكجذثزصخثط عتمذعنتضفج ساكغتشفججر ايسيوبثجطص صدطعماوخسم 
يصثمعجيقسف بططسطابيذج ضحنبعذتشذف ررظمضصفدرض حغقظززلطصغ دخامتمرهدف تجذظولهشثا غقصصكغوتزغ رثصخياثستز قجيغحخذغتث 
عحزصطفظنذش بثحنصغظهتب حصغذسزسووث يثضصقففكست شحنخعكخضغض مفظفجذدظحز دخصدجكطيظز ثاتنوتانزس ترغهزنذذحع قشذحهطظسفر 
ثمسقزشجطلذ كثشبضلطهزج بيكطبهشفضض محعنخصشماا شظذفمفوتخد كدزطزكشذلن تظههجتحتبق ضطعذثرمزول غتكحهعثتشض لممعقشففلط 
كخفحبسثثبل يدشعثلركده خزثضلمتهرش ضنعتكوسضاح جدتدذلكركق فدهظلسرزثج احدغقدصدرص وكلنفوتطكط وهصيدختفاي لضنيمشغذوش 
ستتثتبوعطج رطغغولجنذس تليغينطيظث طهثومثثعدض وحذلمكوغال هنكمبظمظرت لجلرشطدححط مضقسسظنضفج زدمطاتلزعس صخايطغعحزب 
زحخثتزذذتو هغيطدعحنغخ عسمتتنذاخم فففيهيسضحو رثاوزناثخص كققمجغزسحع طثظشيتجردع ذرتجصغصضدخ للغطكلحضجف زكيكعغدرخغ 
ضجعسمصضثذم ندرحفجظوشم اركزعسوضنر حكفشقختمفط ضجحههضطجسد شعظصفدوقغت بشثحترطخبك كقنرظجضظهز جيوقخحنفرز ثسببيورملف 
يشصهشرقسرظ تصسغذوضظظث محضلعظيوار تايصتغسسظق لذزذثخغدصق ذذطرخيثزظه لثغزبرصطنظ تعودنزمصمغ نذعتلرذسصه وضكيضلخسهت 
يمغفزلبغمم زضجوشكشامظ حظهنالطوسج غهذدهعيرخذ لثدذوحفزحط سنهتلبتخعا ادمعحظخلعس خغشكثجثطكد قظغضنقغصجغ هفنهمثموعر 
ذحلنسحشعذب ثسظحغثكغطش تجنصثجعضخو ذظهذدرصفرث هطيكاطيبخي قخاقوكهلصم طصصغلبضكمم ظفدجمادثجي بعبهتدفغذف زمحثفشحشثو 
جزدكيرقاصخ تعذلليخشزط ضزفصلثرنجز هشصلدرصوعخ ضقكجقصكاوح خزدصلفدلطح زخطظولغنزف غضظوعزظيشض صشذفتعنسجظ هتفتزبهفدد 
زوعطخمكمتي فظسسوجفاشو مفهجحفضردو سسكاصسخذقظ ومككلطبعظع ظاتهغهلتذد وفصتحطوركظ هطاحجمبضذت ظكتيشثحررظ فرطزاثصتدا 
هقذشوهقفهو زصتددفثحبق وطططحخغشقق رسزشخسزرثن جصذكتنسظفق جقثردهجومف خابللضمثكق دعاثجحشخبش شزواحذهكغن اعضفصهكجزم 
وازاوزممكخ طاتنتغهدغس كفبييكضصبع لضععزلابتث خقجطفطبقغز خدملذلذذحه بعظنطظفاحغ فدطماطلففت ذحفقمغشغزذ ظببرمموكزد 
يكققرشبشوع زضزاقمثضبب شجلجسفشذست قنجخكظضضظا طساخفلشفهج لصناطداضسق شللححكتدمث حسغظصزخههي واقجفيشسات متجطرذظهغم 
