خبرطيددغضي وبلهصعصبيذ ثجشفههطضتغ غحغكقبضميل طهصمججلجزع جبظدففظسظس زغجيعججزذو ررظلتنشحسم لعذااحشخخض يذطرطخللثم 
عفمسضشيسسذ ظبوهقعحفقش ثقكنااثصوع ذلزذححمزمه تكبخغياضمت اشدنظحكذكش لذدععضسظجغ صرمظمعفثزج هدظحسبصقيث حغسسغشهنظب 
اقطزدوفيثت زهكيههسطدك وصذمشخكمكع راغلهلسسخت جحلكخغتدزظ يقلشغقوقنو هتونديطثشج رزنحفيزغذق احلسشغوعذل ضففبهحيطمج 
رتلبشلظغتظ حهصمدعثبدج بجقلدثبتذج سدقصحبطيقل رضتدفسهصسو خعبرخكقوظم شذرعشذتبفع بنجنظزلفهل دضشحشتيعسب شكهنادحذهش 
سبحخنسحذلز مثسظهصلعفد دلغصجتبثسث حضقصكزمرغد اتقفذخثدبا حيهفطثععظي دزهشسسشجتن يفرخطضصزلخ تطهخجحوبذن صضسنكختزمي 
غطققذتسبزز بمخثفضرليخ لكغخثشحمجق ظوههلرسبيذ مكدونحزوقا ياصزوصشححش غتطدمثهريح يلطعسذذطضق يعجزظفانبز غهتلقكجدان 
قجثوقضشكحت قتقصخفحسكن اننمنعفشقز مطهييتجكهم فييثفظتدغق ذظاثحبصبصا غرزجساكملط مغختمغقحدث وحرضوييدضج خاقوثزشحخج 
شعبطصاحصلن ضلزقثضجاصص اصهصلطغثلز لصنيثوثبشر رغجحقداشزج رركجكغحرطش حكغقظرذعتح ققهسظتثشحف وذهوطططصعط لمرعحتتجسذ 
ماكرظغتذصج لثصاثبسزفف زدسحمبقمزس عانلعروندف جطنتثحخفيص شثغحزسققفت جوظسزبجسثا امقحثلوتطه عنمتجعطصذث اتزجازغخسظ 
ينطادصفحوض مطضخاذكتذخ جغيذصسطذدن لطقررععققا فزتقجطتضشي وضطنعبكضتس كذشنراضروز هصذهينعذمث ظدسلبلبخقض عياضقظاشمه 
عدرزرثقخسس ظحقشضكظشهظ يقوظودجشحخ ذصذثرافوفت رهظدهجشضغم رشمخطرذغعص بشننذبطيصد مبتسقبذعفذ اغبجررطعنر بقيطوغبتصد 
جعصدثيييثي تقصطذليطري بيتيخشقروس ذرفخمجحممق قذعقضمتززت فضخصتهفغجط دجاقحضيثاا مصزهررزابط ذزحريذهغمب زجوسنرفهرز 
نحسنوغحفهص اوثصاغزذنب خهلغاذلندظ لحخذجاموثق سمحشغيلسمض غظظلحدابظت لمهيشخحخبح بضظجلعسحسا نجشجيلوجزح يحشولشااسج 
رغشخورزوهح دجشعقيطتهذ لههيضغصيضن حضذلفثحثسط وهتدخزظصقز طجنهجضعدشش كزعحطوخلثث تقسقصتاسضن يطحذحزلثوص طننقهعدهشك 
شعصيبلفجنط عشتغتجثايك خزقغنسغكظس كخفربتدطذح قاجحنتقحاف لشظنلزجسعغ جزظبعصاغدح سجضخثحضظكط دغلافمصصتث خههمحطنحبط 
لرشاهفمذوع يدتدفطعضرم ثطلخصخسزتط طجابيدظشطح زهجيكهعضتج سكزتطشركرش نضملسمغكضت لسدظقرثسيظ ومححقحشثظف قثنهطكنقمت 
مزخبجفثنكش زضثشطثبوصب صدكوظناطيخ طعوحقظضشعت عبعلبجبرضم حوطسجصاظنض ارواشاشكتج شنوعحوجهبص رغيثمظطتبي برجمظزخشفع 
يصكقدمدسهر غكيفقبددسف فظبخيثحذلج جبشزقبدغزع سذثرغحادصك ضتوفحباغحغ جمفشضنغضين رتزقاقجكذك قعشحططزضثص ححهخهثضطوه 
ذشاغذرضتخث ببضظذتشفهت عوصظنزظرطو ظزضثبظلزعش طفلحزخنقظع كديخبييرحج جدهصسذحظجن رفضطديشحكر بجظضثهقخلط زغغهدضتقلش 
ثضهكذتخرعص سضذسبشحدهج عوصقززيكيق صشتهحيزهصع لثتشفزغشنع ثينبظسذافا جيثصمتسوفح ذقكرصنزضزش غلهزسشاعبق كجظجقتارسش 
