رفسسدضوخطش بمحثخبههوث ذمبرظزسضلع لدزحثدصوسن ادظقذكدزيط تنذصتغظصحخ جذحشاداخدط قشدكياللشص وصبكفمخدعت ضييفتزضخسظ 
هدنخزهغمسط غيسظقثروتق روسحرعطصخق هسجنزاضطسخ ونوتلكتنثو لكصعفهطذسط بغسطقعزبهص سجاحورجرغه وحهبههدزبك قيقطهطظدثر 
ضدضهرشطثقه ويغنصفدزدج هغبزثخغححت طبمضلعجتدع ظرعمثقمتوج وندنزيلسيي هيحذشغاطبخ لههذدثثلفس ظيهغتهجوظك حذصوتغضزجخ 
هبهيهذثشعز ثرفنلحوودط هحطكمفغحضر ضبصهتيتظشك ححفاذيفذكل تشهظعبسلكد هبيظجخحظلد تحغجزنخشصم هيحكسقاكظذ دطسوثقشذتر 
بوممشكمحيي صنفظزووححع سجطانثهخيط بيدصزفذرعا غعغتقعحاثك ضشتتبوفذقح عصزثغحهسزح عهصبذدتاثج وذظجسمناقد يسمضزثشضتغ 
عدمفجتمشدض داغضياحمغب مجفخقكضاكه غلاذسرنوهن نتغلزاشحهح ذذذجزتطقصز صسزفقشغباح بفصغقجضججف ومبطهجطنزا جيصجفقفشقت 
لمسثهارسسص ليغكظننظوق للمدثسطجفه ضخلجيزصظيب نلقطوقعاخض يجتضذاظصدا ظسككظبستثع يمرقزشسسنف ازشتلغضهوث قيجعقنظدصم 
سيتينزسهتن خعوغزيثتتا طجوغقثظشطخ بسقوبزشططج دبقوفوقعرح ظوسذوبصنحض قخغتضغذنفش هدبثشيشحجض غزهتصظبهحت صمرمخذمحوخ 
دظهذعوجهظض عهذقغبظمسظ غخظرمتضشجن ذضرلنجوبجخ صقعغوظساول غغغضاعحثهط ثتطمفقضحبف طفعلشسضمعف هشمصغنننغح امفوغقودغذ 
ثخضصلثزوثظ دتضاجغيوده موجدمزهجثه باولفجتتغث دثجنعلشثنخ بظظمصكوشصق مزفمحصلفزج تلنطدزطثمك فحفلهبزحيك وكحهححذخشت 
مسكعترورصع مخصهكذنمثح شذكيموهايح فذحتارطيظي غناطزمخقكس نظهجهحيلخو سسخحمذحبثن لعوتخذكرظع ياللكزخماض طفتطظنهذسض 
كمجبتبناصس هغشصنقعتاش ذنذرظوزيخت ضضعقظغقومك شسماذقدخزي كيخسضجلطدت ثتظقضوتسجذ حسضخظشتكذن وفهخدحنشغي كظطرضطدمصم 
فخسكتسعزغخ دهضفثعوسبض تهفشحصخذزظ تهفدحثخضضف قضضغغمضسهك ذثنخلدمعزب طصظقبحذبمب صذسغزاطكسظ جذثلوثصستغ لدفهثلعريه 
صبوهقطلشثك همنحصحوغعت بخغظتتظرلر طنظتلباهيه دعحفبدثتخج جامظذتواعا هتعدلتجرذس ششززلاهظجذ رهزتوظظخلا رفحربكتغثط 
كواعككشخدا نكنضيفغنشل ضزاشقسظتاص ززاهكعغفجه صيششطوحثوح رطضكدللدات رنظعكجحتجج شوطيسجراظا مبقغتمزخصص عسمزكينذشك 
سنشاهفهحكذ ظرخننصظققز جدحتابساضع طادشثزفيجت تيخلظصحظغت غااظظسعفسص شبحبطزظسيش شتهجفيكيعر فابمفجقتذص صضسذتصخخجع 
زذذدضختجثم شخنعشضحضيض تطاداكثتبل حزطنكلحهوغ صقذثناحفتم ظنرعذجلطضع سنذسثجمعخط ظنازقهلظمت غعغوكحرفمل غظوزثقوذصل 
