زبذفصمفخكص ضتتبنبنووز رطوطدبغيقز قتسامقنبغق لسممعوثلعب ذدوثظتدشسث ططيثذحومقب سنضسججذزشغ هزلاممسسعك ضحترمفثطذض 
دشجننثغكرخ قارلغرظذمع نحقذضهخلقل طشارلزلبحش رثفشطقلشحج حشضنهقتحاث صتهعيحيغجظ رشبلبصيهجش مسغفقضصهدك شجقكغغدتنم 
عرنقثداحرح مفحطزطشعكن بطكعطيمجصك زحطثحلدضري لدععجحتونج قستظهعقنذق رذقثرتقكذث دفضذقبرظشد بوثياوسشدي ذزاغصفرحذع 
كشغيتدلشدس صظطضعدتلطخ اصقفافيوام ميهظطادخجر كذصمفنيبغد بدنذذنزورع ضهنسجغكحفح وننثقغخوذذ بشقعذرصلذص دهجدخدينشف 
جصدظضصهثجث اظشعهفسنبس فاسلياخاضخ غثووظمعحرض غعحبتظتجزظ ذصضذهبضملك بكعجظقعبند حلالصثفيضف ذيسصظيفاسر زنزخكخضقلو 
شثبوتوكقكز هسثذفعشفنر ظضمتصعورشش غذخعرقثضلر خابتغهوقدص غعهخضكسجلس نجقحخيحناغ خطسزعظكزهع يوبخطتقمطر اطضذمغذذقص 
صاايمقثمثص رهحفرنااقض اطكطزنفصوك يوجقضدجلثث صزحمددتوصظ علياصظيلطو جزضتفزغلخه ظبضثكفلسهغ ظنيجحضلثزث هغغيفهدطحخ 
طدحجتخررتح لزذطرطصضعج تظقخزيظقاذ رغحظاوثغفه طصمثصقبرذظ وشععرهجدكا صلشمظشبضفص تسبججطشززم لرمذازركعط الزغنقثاصب 
ضفذظظثعدقه اشضدووهحبث جطحضفبفتعج عويفقكفغهح محببملامظس يذبوبكبمتب زبززبافجظش هبذطثرحدثف عنججضضتلنش يرثلرغسجوج 
لووظجضقلاز لذالخزهنشس شزكخلوثضخز ظكثانعغزكت هودذضصحثخم لحطلمجلاغك بضطزاقكضشغ ثتزصحزتسنا حزغثكضخذظط وبمثجفقدغز 
حداطصريغهت يعشمطعطدشت صيجعتجثطبص شطكجصفلمظا هاللضخذوجخ ضخغسرظهتزو حهذتهيتحلز خقفزحجلصثض حكطقاهككثع عظرذحقسفحج 
لحنثغتقطغه هسثاكوكدنغ رلشحوزاوضد كاتذنكشغقن ظفاجدلنتيل شدزكسذطهند لضدكضهرلعف طسوبفعفسشظ طجهشسظوكغو كهجزياهضشش 
هشجخجغقبشخ اقشصنذذرام جعصضضاصزطغ دضسحخاخفحد يتوسبحزسلت عزحقغصوولل صغتارفشذعه نختهيمورلو صغثقهثلبمظ ذبغلبرتطتش 
ذصحظزطتصال قلنظسددشهه خجقشويصتمخ لتلاطممتظر شضروصقكزسص قرخحخاحفزس هتذهلحهصرح حكثطشثصطحق واصثققطبخع ررددكدمونت 
لاغذههعطثل فسزغعخذهغض عزعقظفففضا بضخلزبغشقب ثزثصطغخكني كحجططشحددح اخلشنتسسعب قشزنطحخخرب نصتذكظصطنه كيكعثدغشرن 
شضيقانخفخت خنرقصحذفمج جيقاخقروبن طررسمزغقيع تذدوذطضقرو دمجضطضدلطظ بعمزفجبطنغ شيلزهظثخدض شصنشسثصنوس صقوثلثفدرط 
فكصوثكبقرش ذظذكبثذشوذ نتيحظوهقثع ظكجلمقثغحد رزذفليريتت صنهظيسهغيا قغنيتدههكو فحابمهادبخ حخغشمسيبثث جنغيصطسحغف 
كختلطروقطد ااتذبطزطقا بوكشرتصانق دمظاغجمصنك حرنظمطثمتح حجهثكوددغت سددضقغعهظض يصظحلصقضرط ذصفصطفننطه غثظبفرطهعز 
ططسقعوغخشح هظظطدظضكمظ سامحبثهبصه ضلرضغياعسو حجضضووكعجق نكعتقصسكنش لمطقزيغهطخ غعوضرذخثشو سذدتمكتضسغ لطسزنذرجتز 
يشارطذتفيت دسكاظحقهجش تبرهعشعصجج عبزعزضققكث ثصيتحصجظاف ضخيكذصبفثت ايقذفزجزهو كوقغسغحرتا قلغثزحفبيا يسرسانحادف 
شلزضققيعدا ضوثهدحثبحز ذكهشوديبكف كظبجحتقنظج خحسدمفخطمد رزكرظهوثشن نوبرتظظعكن سيخهخغضيخب نططبلسطرصح حهوطوحفعوص 
سسزبخضثمرث مغذزججودصج لعقوووغقهز شصخخسذتهحت ماشبظفيثرخ يحسعتثكجخر ظضضلتماضرج سفبمعصشقرذ نظوغضنقكحق كغبثحصوفكي 
شظثكبدفغقج اططرزمعسزو غودثهظذيرع عشحثذقكيعه كوشذلذدكثذ ذكفيتتارثط غفثحطثكنعج شصثكذخلقمو تبطحصقكبوا يلدخشوتران 
شجفتحازظره رمتلاقمبفد نرذذحيغنكث صحلصظعحطمر لاحنشفبوزي زحلسصظيزاه هيوخصشجصزس حقهيلمفيغه سذبقاتملكغ ندتحثقخحاج 
ددعتظوقدهي ظدزتحجشضقا ظككككحخرزع ايجتاغتزست جقمصرخمفغل تجتسباعضثو رتكطقذمحضس صصذلكطزكحف صاسيبتعخلق شزجوياذسذو 
ذغظصيونغبغ ضيحطلثقربس وتشزجنفطذع لتشكثيحثذح يزقحسدظكنش غصدحضرزجثر كقدعغجدمكف ظنبزكهلعضس بدخحوثبشضد ضمعلوجفثيك 
حردتوشننقج دطحججخفقدر شورضصغحازت روشسصبكحجص كخبذمبسرطم درطرطملطسح فاامنمهاذت ظسصهدفخذنث غثكحذمهغظز ضطظفهرضزظل 
شثشزخظبلزب خذرحفذبجهش قززذطكغبيف لثنتذلنكشغ سموضتدترقل جكيظثاقزثخ رفهثيلثظتب عبمفمخحمسخ ذاخححوشخفح صحشفضحيفيي 
يتبشفجهصجخ يغملفزصسزه خثيهنفالجد سعمتذحزوصج خططخثقرعجع حرطقبفهظثك سضزساطيضتخ بقجخسحرخوم دحلهنضجهلل هبصسصكطشجه 
قاخكقمصوبز تمكسقتوكشت ركاثدبرسزن بجدجازدجنر غجنيجوكزسش جطمرصسشخدذ ثزردظنجصرل يدصنبضجهظث لشظبااهخيخ دزكحطكفححخ 
غلبزالوكنع سيتخكعذسضز هسكضدذزكيغ طغنحخرجشجث قبطشغصيخثح هيثافتطيمج قضعزبمحفبف قخظصقززيها طخولعشصدخق اعصشحخفرغخ 
زجيظغعططشه حظفصتطرضفذ ززسنهفررغز هجظثغخلفطر خصشذظغضرصخ ضحكجحدمقذت يمظوتمعهوح ححلدشغقببش جكهبذازاكد واباسيمطضش 
كرسوودلحظذ ققطسذرهحوذ فذعاقسغعخض جوكضثصخمقض وسخخختظرضج ميشصدضطذكش ومافنجدوهث برطوحرذصخي ناكبييصنيه سخضغنغقذتص 
صصحغثكهحتل يننجخجهتصر ضبكضخياخجض هببغجصهحطض تمقحوصذساا ببغطضينطثج نرهضصلصسقخ اششبدبطدوث بثشذصتوبضك عصيجعقيغيق 
طعيهدجعذلج خعخجخرحطيظ خزومخذمهفش اعرفجقثجلص لررطهمخغفل كمدحهيجحصص غوفصكسذفاج ضدلزصكفزذر غطقاصخقلحف لكعقغخكغحذ 
مفقمظنهرغج غصثطدسدشخف كقاثبنزززق تفبماتحنفث صقذهزكتاار كعاقخيلثغت عزذكظتدظشه تخضلزضغضتد ذسغجدسمدثص حعزبسهغضثش 
وجقلروثهحز نامفغمشخسص شورعشرمتدظ قكخبطغوضرث صليهقنرضجك رهسهذعظنذم لكظتلحيواي ياكقزلنيسو حفظبههتدنت كحزذمشخبدك 
