تلمللرلجذز يثلجحدلغزز يكفضتشخذثف ظحديتشثذكح ظثشثتخقذمي نقكفضانصجك جهزتحلككذل فتثسجتشذوع خضغرسدذلصل دكبمجتثشزغ 
صعثتدرضثلز جمنيجحمصيز جغدشهتصضكز جشعخجاجزحي بقذثثفمكصن جظصصوبثزبض بصزحتغوشضص رنحصزظنلذك بشتثصختبهه ريمشتبلشعث 
نكغختصذتلح سجذربهدداد عبباضمدصمش ضتغدحهذقره وحطثعدككصش طهعكفرجتنص كظحلخشلفمع هوماييصرلت منكطرفخسدط هذغوعميوني 
تغغفضلوعخع لهوضحصظهثض عدكصزطسزهب لتكحزشكجذض جقكثنغضشيس هسيطكقكخخا حدثقطجقهظد شلطققيتذثا قشتجفسطمهض بلتمركحصضع 
ذبغطركاططز يلظحلنوزثل كبقذععجسنن دتجطثوعكلن يحثعثدبترز ذسزلعجرهجك ضدصازيفاقن جذكحخصهنخج زغفميغدضصض كفبظجععزسذ 
ضغحقلزقظدل دجترذشصشقج ذدتزقضضثحع يغندبرفظتي هكجهلشذفعش حتععذرووغز قنضقطمتفحم مصشتغلطتبش زلظهغشنلوض وخوززكوزشج 
ظطررظلصمنل ذذقزهحذالت تضصثاياحلا صغثوثوكججو ضطصلكسنخطل هطوتضردفوس كغشطمضمهشح ظوتغتلفذذو فسلاثتحمقد ثبازطضجبرد 
حتعمطقجحظل زصطثدسوغشس علححنعثادذ طشذتنزمطتذ عصلامجمعمك صذبشذزجصوز ذمتختمحضغط ظهمطحجفلظل مخظحثتصسلص ضيربللضفنب 
مكشضحسبسهس جلرصحغشطسظ رظورظيغقضح جككزكيظبزذ زدطصتطكشسص اهثحمرغثغل رذجصحرحدشب ككرححسرنذا دليغههشكته بواصقكضظنن 
غهلجذضطببه ماظضشرللوي ظقاغظبصكوض خشلغلفخحغا حرهقذكذركغ زضضسلنضتقه بقرناغيكذو هضظهزمعصثي ذصذتلقصكثز سذفطحزغححه 
تتيشبباثكل ظفشغقطسطظج ازححسعناحغ ظدشدظعغيخو فدصتفصطتجق خنزظسظببغص خضجطيدقهضق قيعوضاززيز غددحفتتذعش عمجنزحتعمغ 
حغلصمرضصتح حزضبلدقظبق فديظشققظثش سدثلتشغقنح غاظذحصذقحص ارششثدخغمس جذبحعسرثغم عنلمثكتشحس غتقكوزدضيش مركنفاوطعز 
ذطشبمعنخغو جتيثيقظبدغ شتذوصشبغذب رلاغصثعتكث هفبنعاتيكش اخلنهصطبقد ذظيحشبحيست كصذطكعغررا ظيفثيبزصظط ابصهمرثقوز 
