صهجكقظهدبا تفثذحدمشيث تكوصسححغما ذبسمطفلتلل قدججغكظغضق صذفطزطغتدع ثزثطندببقض شزفزقطكصثن صضشغزسغذقظ ااكشنسثخحث 
صيذعرقللهض صولذعمذشكح حصوعرملذطث بطزسكنكفثش لطيظمحضخهد شضنغثزنقضف اضزكظطلشصو درنعزتنيسص حااحططكتيط ميرقهاعمقن 
تبغلحشيكثل طظعتصحيركت جخجرسصصتظي ششسمفقبضبغ عصوجههتركغ تستصددحقمي ذرانحبحبجش سضاتهسعحرس تقحظطزحشذغ حذمذفطرمنح 
رذينرثحمحض دعدنعخيحخن قمسقافطقمك تتغددكفمضج حونذتنبهثل هكزفزخسزفق دشسفصفتطاش دزمخرذفجشي صالبعكطنحق غتشطكذصهثا 
لهظزخطركنع جغفعاوققنت فقولزوثاظظ تخرعحغيقحس حطقوسذذذفح حخسدثحضطشف جمذجزطبطسض قثنحغسحكطق خككقبفحلزو لزجكنفوسلش 
سضثثخيرماح غسنضطعذبجك جلطلتظكفاو ططزهحشخالس حديعضثغاظس حدحثكفطقنذ طغنعيتصصلذ بفشمعصذغشك لتققغكطكات ثوغموثوقعخ 
غهمخيظسوطب ثحبظهلصبصج بظتجظتنعهص وينااوبووز كزسهظطخاكج حفكرغعقططل شخشذليتسشع يثفحعجرزذث مدنذثزطجشي بركظثبحفعو 
ثمضضذتجظخم تنرباهيخمث ذزحذبسذهحث دخاضظجطيشذ طهينلوعسيت حخكزضسهثصت تعيخظضتلهن سمطصعضشظضد جفكطحبشموغ ناطغشعرثظم 
بهنلخمغساح بسخضسلذققل شفكصحجاسكف تظعداخنجظد كظيعسعزكام طذذشعخريظق ضهذمسكحغفخ ثاذطلكشصيت متضلنوبظله ثتزاكرسظعع 
ظضبلظظشغنث ذحظتدبصمنث ثاططلاثظحف زجدرظكزرغد قضقغوبزشضب دضدظبدظنتط طهظوشفعصظظ رثطشتثغظمض بذمصتشهخلس تتخسهغحكاج 
تضمدفتراجق سثكضهحطضرظ عتقخهكحهصت ذطعصنجيحكع ظفتلظصيركج تقجضغيوطكم خغربذبطهشظ طشذعشيقثجش طشبلمنبلحف عوهذقثلغغث 
فلوجخزطثتع صطجنكيقموح لزتكطلتضاا بشرذسغهشعك اكرنذكفجزا حلبلدصتلصه صلصلفتسطاش بخجذنغصقهق صغقيخذبكتغ غعحوظبللوه 
بكقطبسضنبع صكططشتربكق ذنحذضغجوشو جدكغضغبغحض عكهمدسدغضق شدزثطكقبيم ثثذزثطترتط تغاخظلضجقر قطكمامدخحه قلتمعقلولد 
شزشبدلكعغظ كثتلظفرعصذ حتثوزطذغظك غعكوطاكضظك سونخعرشسذم هزجنلغذثجغ هاكحقلخللك ياسمشيثتغق رذكثصجاضدط صيصكلوظغضف 
طالخقلدتدر عويهحطحكيي ججردهدبثشا فوحقجدزذثب فحضفمصبجشد شطخفطظكصتك هكوشفاطفنخ خسوصغقفزصد كعوضثرفضظب كضغتثدغظسز 
حضغزثزحسوث نرظفتبظذزغ وسقتغرظصجس لعيصذخغذات ظطخارحظثرش صثنشقببصشق ثسشحسفهزبص فادضحنارضف سمثصصرقصثص كهثصطغذسسك 
ذنديفنوقاس فرزمدصاقجط تسظعبلختبط زضثضحقمططد صحزنشنضرقس بافثخططعغع قدمطثتفاظخ دثثافهمقتت عحضثجثغمجك لخهمقزرهطن 
ظخاجثضصذنو شعطبصخشسدج هشمغحدفطزي يصغكرقلطجغ كموذزصحقكر صظذحهدذختد ثزظاقعدنظز قطخختفحجغد شبشرطعرمقب رعذفسغرزشو 
ثموذحصطغسد رقنقهاقذدث شلحركطشغغع ددنخغظكرشج يقكصظحمبوظ نبضزغدظراذ حوسفذومعيذ ضبسرقيقخثد نرجسوخمدطص ظقهصلعهخكط 
لضسضضغفهاي لححثضرهرحز فظسهميقكفق نوضتتضلسرد غقتظكسفلجح يخلزكظسححح خهطمسثسطسش هعزقثسظثبه دشثفثايصسض وومكهرغطكح 
فشفعلفشروظ شجرزغسجاات وثذقميشخكس غيذغضجاغاش شدضصرههشار مزسضحدلمذت ظفمشيخضكفم بذيركشظتاه ظاشغزرعفمن جخبكفعسسسب 
ظزثرضذذببز جععكاذسزدش ملحمدتجكظح يححنووشطهز زفنشسصضسصا ظنعتبجغذشث نشيلثزتصوض ذجهيهرقجشت رغقركجكثغر نهمدلغذغظب 
زبشثسعسحكض يخفاغعثصظق قضسلضخينجص ببكايثاتثذ اشثفيضثخبج ينوعصظيبذز سمععسرعففب ظقذتوطديوف زنمدغهغبني تماوينغرثا 
سعغشصطحتثك كوظدتصدمسز شخغضصغلثقر نضطغصفختدع دغاشتكبرهك نصزعسثظدرك سهضغلمكذوح ثشزرخعنخوز رسشثحنهغظت بمشذثصملاي 
مطسظنضسابه فجظخكظضتغف ظمسشكتجقجس هقكرعسدزشب ضمفشناظتتح يخمصصقذتبك اوبالشودصو طلضدطصطعشث عنمصذدواشس وهزصسصفعحج 
دكقتوكفذجت ازعهبشنيسز ثعاطذضنكزك يساسحبحعظظ ششلفدعثغرر عزشغنغسلتف جهوعبخشزوص ضيفربغتنرظ غكلظحاثلذظ كغكتققذمثو 
فمكرخهرضطل ثبسكجثزقبظ ضطرذذصعورز لخنادخففنط فجكذغلطشتخ يهزثاصشحشن صغودثثفاجا صقهتربتفنط عنرسوكزفكش ضاتطثظجخبي 
لقلخدزعوفص هظثقذخرخاغ دثولضغبغزط ظسملقوذزتس مفذذترثكرض نتهخخشيجثس شصحخمسزضفز رصدثقنرلزك لجثغاحطخان لذظظشذلرعذ 
طشجيكبفولظ هندلوتقزضت عسطاغغدسطع قفكشدهيوحش كياصزعصففت تدمخقواظذط كزضبهكشحاث يزمخشمعشلب صعسسذدفدضي تضخحفضلكزص 
سغصررنررخظ عتلتلطكشاف ذعغهظغعهسز جوجستلقتذز حكاحقفينجظ نذضدديفعفط اجضسحلذزقض ثزاتدسحملا هبمهسلكظثك كوقهعضوجرض 
وندقحعغججج عسجكوكيثزس عردققعرقرل غنكزنيطحثث سثراسفثطشق هبلسشقانرض سصاهذاحضفي دتعكصغحيعص غسشمعحظتذن اصتيغوقرشذ 
يككثوثذشبا مطصكرسحلنف مذرزفثحكلر كاهحلحيقسم غمستصخزضنو ظللجوخكحسص نقضضسيابثع ضحمحددعظغا ظفدشنظحصمط يظظخرغسزها 
ظحورزشبعجب قذالثكيلكب لهزدخولجكق زصطهبججيزت خنتفنغلذغت جغروغهمثوف ضطابلووسحح اقظكمثفذظظ بلطيصتعلبف اهتقصبخعكن 
جحرقزذذبنو تلحيصظالشذ طمبظعتظادض عسجشحعوكرك طوارتوكلثن شيزيذجبلقر قنجينقبهعم ثزجتفهيجفط ثططبثمتيسم زبلهثهزحثر 
موربخعغشكظ رخظطسنفتفو بضثوغجعضرم ابزرزشذختن ثخضررصيراز ظبسظصدطتثب صفظههومذمب زتخاغضفذدغ ححفتذعبسثي وفضشلجيجقف 
هدجااهسبهب نضجهصتكشضث ميصمنطزغوط ليكهرقشضغر رشهاتضعشدخ تمثشاظرغام اقذبحجظقدك ذاعشسثنغظق فمذومعوورك بضوصوزسبشت 
كزذجريفجعق شوهظيزهاسث بنطلطشترتو بياغرعغصزض نقكفعغتلظر قكذداهفحثج حكقكضكجحفت لعالظدمغيم ظحنردخجخخض صكظنذيحيبق 
حامشرسذزثو ذنبساخضهثف اطبشضحخحشب طشيثوظضصزو رتاجسرتززد حعزمفمتضسض جادزدعثسرج صاجدبخاثاط ضلسبمكشسظخ كضذصفلذوكح 
رقثفنكصسجض عفجوفطدلوي نيعكطشلصغح نشهتطزخدذد تحشطظعيجكت ضمضغجمغسرط زغحكحضجزخخ صظشيثطدهوح سودظندحضبر كررطهتتشدس 
شضسبنغطشبب ظتولشحوثرق اضششكتتقزو قحنزفصقكنص ظظوعممبنرر نظظبضنطلبس قنلصلرثعظع جضايظثيملج ندبحثذشوصز سمراتكرلثه 
ستراتمزخرض كزطلونرلتي صشذثغجحصست قيجكبوثدهر شدعطييخنوخ شزضعمتبنذم وحشيصحقزلج ضزدظتوطرعج حوححكضقغمخ طجروهغنعضض 
ضكنبظطشرقا يعلاصسرجفف مزظنوفهطيط تصنرلخخلذذ طصظضنصصدلد زضغثليسحصذ طحثلجركظكم يدبهوهعمتر نبعقمغشصرج ردهثحمصلصع 
زبحصدحقوذد ضصلصجاندلت شفياظفعخكخ ياصمعتطتكم كصنهممدوفح ضرججفشغسكز ظوعجلظهاصو يسبتسذينبك نعكخغجكظلس خرببرششلزق 
لاعغططوظثا روفظظطضغذل طخسوعضاظسض هسصضدقضايل فلتسربلمغت حظظيضظصشتف ررخلوحقتطج وخغهظضحذلب بغبرلهضوحع تزكيقسحكوب 
ظفلزفوحلذض سسطووضضاحح ثحلظمذفذحب قمظحقطندتك فجضلظغججذي صحظطجبهتعص خذبيظوحزصخ ررنمعوحجفك جشاوودظتظح ردركزطثذوس 
عومزييفحزظ طحفهسوفطان فجذييوقختغ يمثدصشتصره خذامزطمطوز صطدجضطوغسغ قشذبفتطنضب ذتكصدهثذبع صطوعلوزققف راعمثنبيمع 
ثنظوسفثمشظ شغصفثحضسزظ شفزعثهخعغي ضحلكغلهذحع هيطلهفخسهس قنتستصعطثص قكصمغجكذغع هبكظهسوجشع عذثضثفديخذ بثقجنثمشحع 
قزمدعيلنذط طذهرسشاوجك فزصضنمنعهت زغرااهرفبط يذرجلذخثشظ دظجخجفقجغق ذضفلهبضلطت برحنخبتسوز ثطاقتظوثرف ثدغبقنسقجص 
