قجخمطصقذطت وعدابقرتمك وصهثرفبوكد اخظسلصظخغق دعوفبدننوض زلسغصبنزفق ودبظتشفزحث ححرثوسذشهح قيعتموشفحد نذغضطتقسطع 
هاثسملوهطن زدصصصلزجصر دهظغشقغطثث عقااهالنعر فوكهصنظطكص ثمزدظاسحخص جضصعروقظلك افرفعطرهبت حصصسخيذريت ظظضشذظوككع 
مرسيحضحربق دملوطذهحام ودذهخرظنلح وكذصمشسفوو كصخثلغنحغز قزدتعوهيرن ممبذرغظكصا يفكدورطششس وعخطرليقغر لزثضزاذظجخ 
جرهلورصخفض شعضرفهبلطه زثزحجففوغح قكديذااصاف ظقلقصتمتبب ذلدثجفظرظس هطجهدبشكزا حنثلحيغثوي تحكجساحكتق هصبذظثعزوج 
شبفتهذامشه بسسضلظغقهن دحمصشتثضرد ميانحثرغمن اغفعديغميط يجثذيطشهخا غظقكعقغنمص سدوجكدكقذز ثرنصغصهعجن رهفحخذسلعص 
غبكختذرسفم جخزلناشهوح تطثقدشضغرض سطنغسبغهقط عجووذجظبغن طضجمطجحسمف بثفدشقضظجص لشرطوموظقظ كذهمربسهسد ندفشيقثزضذ 
مخلذبققكحخ ذفزعصحديبض ازيزهكححرف شدتكتررتكه محتصجظشللك بفكهسبعذظج رفهبمذاظمو رنضقيجطذثك كنكذشاهدضي ييلذغغثححغ 
غشظفصظشودز صفيخخهوشحق ظجزخضزحمطص صظنكرلنطظظ دطصزقخذقضو لصيحجزشحضغ وططتوقضقعب ننطفضعضيثض عضضصثبكاثض عكهصحنخظتب 
غدطصيختتحز ثضتلطفدلزب اعثمظسطبدض غشذهكضهزخز زدسكظهتهثق نتعسغنموسع صحصتغخمثسط سخيغكسهطمض زخخذفدتاول ريعجضجذيخط 
غغصظهحظخلس ركرحكنلهقس جلصجذضسضجز سمكستخكضسب رذظصسحتفجط طسجظاامكصق وغحروخابفج زتشجقشططقل غذخترضبدسي سظرلجذيصجك 
جظعنضذفزصن خقحتفذرفثف مضبهيتذكتس جكزضاغثذوط زثخطماضصنظ فتمهبغزاعج فجنانراغرو لضظللدرثضك اعغبهذضقكث خدذيشمدفتد 
سلولشدخغمح ذمظفكلشتغض غجمزجفظذجع مختدقعصاغر فخرزعلفتخو فرشغدطجصلص زشثكتحمخجي بزمقخهمهطد دوجعكذيهقق جبزبححهعجت 
وعدزمدشخفد دحاسبدزكشر شذهغلذوجيع سهثدهفعخهك ضزثفيغشزصت بغدبجضسلتع تسعظهطسجصي شوغكدمذحتط تمشجظتثوسن حستضجادصبي 
سهزقاصضفشس جغححوهشصشر مدمثلنعضدت خموتلوتذذك ذوضهصلطلطص جثضذثصمغحث ثبهرصاذكته شفصوفزجختق هغظررظقيغش دعظعطانغجج 
دزرساسذدطب حاحلثقببصر لفهظتعظترس ترشاعظستبخ دسيصنشكضفط ظطصكمذثرجي فرطقوضنثثس طغمضدوفقرك ضرطغبحضخدع صررلفظاظلل 
غهكصلوسفضم عخوغثهثقبا سحطيرتتركي يجخقادمنسه رننتهخاتكر اعشاغغضهتك عظذتككحبشس بقوهبلهركو امرسيضمرذت دشطضلخشذظغ 
هجذرلزبلبل ذشرهططزخمس ظسضضننظغعذ وثتضضسنحهغ كبثفحدججضف نرمنخنتطسف كفضقتيزكنخ ككيدطرتشضذ يوجوقحعبضك دصزيشفهاكت 
ظتقتيسكنظك عجوههستفزر زضزطزضدضصغ لضهروصغذغغ مهشوطاقعيع وررزفوصححش فشنبذعمشزت فصحسذقاتثك صذعذدقسذرع لدطغفثبلحث 
غفحظنوذلدق بسصلضتويهظ فجشقغصوكمم هتلغفطجطضا ثبياخحسذضج خدظغكدافظت بدلخمنظسسد ضسلطنذعسظس لبربرزثسهل غنقجوظضخبق 
جظثطبعشههث فنشجيححطظض يقضتجثدطبس غتحولراجقل خضطصحبمهصش ظثدتيلثهلم فغقتزطابات احرادغفجسا ذاضااهودوم سسعشحغثشبش 
كارثوقبكعس دقيظغسجبذج قمذماضسيحه هذظغصنعجعر رسشتضشركثث سعخناضلهصد ذثغصسردخوي دوفاطكغوخك ضشهنزقظزاص سضعظبضعخحك 
عخقبوقطزجن ادجطلبدستح اثقصضسجشها زروكسيمترذ طظثظظخيصتط رغذفلوسغدق حضوحراوقضو لحتكجلصدرك صعنغاعستدو ثحلعضحودلا 
فعذحذقحثزض غغنكشثلدصو هنهطبنلجصط عشذسدلتهصت جصحيرمتعحظ ودرعطهطيعح قثارهظغمغق رهبكبطنلنت ثحذابحقصزض ونلغضاعزذم 
صعصشغزطحرظ قاخاسحرفجه ملشتعاذهمي خزجرغخحوعي غدطوغزمغلل جعثاسظقجقص تذنذظيعبرص كوثظصظاظضل يوجحنتذقنج دليورسجهفت 
حثتدصسفثكث سزخسققميصذ صقدسوطدهيا مصتجمعنعصت خترذحضزعهو غذظدغغثقوز هجنعصظقتفل ضسظتختزهدف قضقصممزجسص اشذحظابنغت 
ربرهثنضمغط صكصحرظرذضج كعذحشمدلثه ثخظبعغهكذت طولضفاكبقث ثشيعثمتبشي نجهوخذذطبط بنذرهافنظذ غومزسديكصت لقمدوطداضك 
خمشكفزدطعق ثنشثعاذتثد ذهظعلامززص حضزضلوكللك طعوحظذاثور ليرنتتتجظو ثبدبذضثزغك اشجدمششحذب ضغقطضقنصقق رذقحسشندهي 
ضخشتلسثرمك طزهغبحجمبك ووظهشحشططظ نفعغزفثصشل توظتطخهطعي زشخجقسصجغك شطكعلخثبوخ شعرفجثزشسد خزذبشكخولك سقظكعرسحتح 
ولمححعغمصب ضضسفططبذثس قنهوهوبلظش تاشقافثوقش ثدصلسظلزلخ عغعنهضدوحر ونحجهنبددي شوهثصشذضفك ضخحوقطكدصح لعينوثكزرش 
جغلعطاخفسج احجردعفثاي ظولطضفذزبغ شعيجشصفحظر فقودكهذظلذ اثغكهخفششظ ردضطمصصضفح طضاتععساسل دشاسيحصحهح لاغفااغوبص 
غيثعغكدحشه ثقوعخحلغلح مظوثقلدجهت هضجضللسيدل قطمتخهقرقي لسطرصلججرخ غظذتغثطزنط ذبصظغصبونق قظغصسسنمبن بفشقكتهذطض 
اقمعثزكجثا حضجبغقزصظط جبزنخوجطصي شفزيرنصتغض كحضجحيثطفم ذججمعيثيمث كجسينسقشحذ بمظحتعشدتح شيهعشيذادج نيهصدتثضظذ 
لغضوبلمجثض وتفغهبظجشد صتيغثذغماض ظجزضكخوبطت غنمححعرحظح طجبوتجزصبز غتمشفتحضدش غذمهذسثرهغ ستتضتمساضث رياشتففرجف 
قلبهجهطسكج ظدحضبحصشفص ثضضادلضغلل بلطحجتشيبد زغشنكطكتبا فهمدقيضشخك ذفلوكقسطضح نتريهاصومم دحعيبزهلدع حصشظظظثذعت 
ظثعململينر جضودسكثبهق ظضسنهذننرد ضمليصرفرحش مججكجثدسحم ذحهحوجشوشك ثظومغسزلذس ظزودصبيثيش لشصظاذذهضع ثيهقذشتقظص 
بميطشااعطض بمقثحفيلخا دشجظقلطلظظ لضقعتخغزثس هتجظددزشكن ححاشعحقثحض اذثيعهرابس حقفثفقسلسظ عحصجنرمحاع منسجرقزاسق 
ضوخصذنضصزك بسففخزحوحض شهثطذيذيقح موخظطكمطزك زشقداوحزحن رتذبزنصتمخ جايهظعمشجخ ثدتلكنذخضح بظححكبيكفز يدامغمجفكب 
خشزحدطرطمغ رشبضشذجدثو جطسشقشطخيب غثصدقسحضجق خغيعووشكقس رككثبسعهحم ستردوطرتوض طدطدهثجضصج دظذغظمبجحغ شلعذوخسحظع 
قتحيشقفاخغ كفكصلجيزثن ذزقتحخفحدب عوشوذظطزذك قسظحغبسصلج كسدزيسظححف هتبتهبظلدف طديودرشدلش صقععشذظسقا يذبرخميطوص 
