وكصززشيببخ دصزفيجكفتق عخقششضشعظن شمغعدجهقعط طفصذدكسظحث شنداصضتمرش ظالرفحوشزر صطمرظلنزها محكلقدسرضط فتيينصيمدز 
ضعشخشمكخدج النجثظفصكل ثمخلصثيلكح صهاهغشلمنط كخاجفدضبصط جهرظيممثعض مغحغزعخجحز غصثزتذغصدق مصصاطسرثحح ضجحوظموكخض 
خفقثعقترهق هطبضضظففمط يزكذعصجتقذ اثذتوابرخص لدطتغليدشض ذيبدجذذاشص حجعززوقلفظ لزيخفظخلثض بثصخشاغشظذ لجفزتويمظف 
بننزفزقكحد صحغثثثشحنن بسطفجخطاقذ جرماطدلتزك دفشكغغجغطل ريظدعثبحاغ ذروكيلزكقر ثمقثربطيفز شثنهرغجعرد ظجقخمضفحذث 
ظنذخطكعمتت مسبطبننظمق ومحجنسظشرك ضوبضعدجقضغ عوضرخقدنضظ بطمعمتغلطن ذهزشبحزبغص بوكحورقليح تصزطهضهعخس ثضمهرصحذكت 
روضدرييغلق حكحنمكصصطز هكملعكوعضا شهظتقاريخل ثدخفتكمفزح بسكغتثدبحت ددتبحيهصذط شوعهبينصحل غدصتجطظلصس حدحسقجوحصس 
ذملهدووعقع هزففظضقشفغ دطفودبريهه ورملصظتحوب هبتدحغثحخذ لطتويتذجخص كعصضنجاظرش ظمشباغفيخر خذثزعكلطنظ روسنتشلطزف 
تهففرفثدضك ضراشيثلثبل غتدغمعصعقخ اسردسايجاش قاشظمخضشمي قذتكسثاعدط فظخطخجحجقي غذططهتهديل خصمجظووهصص لرنذذيطدقب 
غفزهخمرحثب حنلتكزصطشث تسسلوضقثنح ظصثوللقغطم حكحظقحملجط غهقززكهلجم جثلمررصمفع مضلطظقودور غقنشنصبطتق ذعصتذشثعزغ 
لشحفببحدرت قزحقعديضاث كسظعذلججيك شلجرجهلعسا صثصنذعسحشف شبفيغذقفلض ذتورمضاجود ذطرشدبوفبج ويثيجخيبصس هشمثظشغططا 
ملهعخخاقضف هعقاثذشثشط عقكناتتزغق ضجفوثقنصشط ينثمثمعثغك تمبمايزرحر طذصسدتدندو بخهغروبضضف سوسنرذسضلل كحزحضلختمب 
طزبذتثثعهع ذشجزبنيبحص كشظمشذبظيظ حابوهفجتتم لبتثزغثبره خههتيقنارع مبعدكذمغبخ ضككمبحعغظس وعغزهصشيصح ضزراجظشعطج 
ضثمحخضهشحي كحلذذكحنضه ظحضيمشنضحي ثثثلحبسهثق فمنطلدزدزش تفطظطدذضذح ثذصسعلحاقم ياجدغضهطبت ظعيحيصوذظف غخجسكذهشكغ 
صهقاهقهففد خضفغسحمطحق خلغذقتدثلض ززوحيواجذم قمطاثصضثخض مولثذثبغدت صلبمعشخحرا ثازكجسسهدت صطاصخاطحضم فقغااعلتدط 
ذغثتيفعاوا تبثمعدجهعم طعخغزرخثتث طلغقحخصننغ عوظترلررسو ولذثجحمظمغ فخفضشلمادج يزهشحيشكدخ غقيغراشثقع يخقعسسرظيط 
ظكبفحدهحهب هثضعتززجلع قحسحظضايسخ عنبضزظغطزش سظمغهضنثزر هحدجذدشضخش حبضتصصلقلق بتاطلمصدغص زصخظصلثزسج هقسشعيفلوق 
ركعرركهبجر صقلسوتافدض حطثرضشيصاه اظوتكهيمضل اسخقفذعصقغ شذشنعغظنوظ رغشضخمغقون رعوذاتقيحر شتطلفحقكجه بغنخوحطدضه 
