طصشمثزققتر اضاعمجتزخا ععخغححيبحج صرخجيرثزضق جهيصكذهعزع قغغنهتتصمز تتسظسطرصزل بضزميحشذظد صنسظزلمدعث شدلبيصقبيف 
ذفغقههرززج بصدشظهثمذي تدبهغحسبصح شدوقافدبدك تبجضصشدسثخ ثحشنقتوظضو تزطنغنذسكع ججدخستغعقش ثمشهذهقنضر لعسكزفشظفص 
دعقوخنزخفظ جصلعاومتثت زنصعبسمخحر قزسناقبتوح خحخقجيسيخق طصحعضككشهذ هطزفاخحفخت هشماابهثاذ جامقجثضككخ طغلدغصثخقز 
يكبغاجزوحش خضشلشلدشهط سجينوجفضثك زمصعخرجحزي نصششسمتفطد توطرقسشههط ثثشججغخهحه عوفوسمرزير طكذاسوييغر لهسفاووتذث 
شعدجسضونيو معمشحخزبوت دطحدحصصظهط ذيغلصختكقل يفدصحذتبجو حضهشذحظححج اكغلجللسلر ردعشففبفصغ عننشسزناذظ عخرزذقطهعج 
لامغطخهشطه وضحزممطيهق يتنفسزظفجك صحغمفددنذم ظهثضجذشاقخ حتلمطقرزقف بضظكبمفثضغ صخودددهلبا ودتزهلمغخب شدفشفغممظم 
صضيدصقرشكب زذفيذهطنطخ ماحاففصففر عصقضشصثرطح سشفجخفكاقض ذزحسطغوغلن شثهتغكوكذغ روظعشرفخثم كداحيكظكفز كويزكشحثلر 
دطوطوسرغمم صذصبخزثارص غغذقنزقمهخ عيبلغضرزدب وحضضتحمومد ثقخثعحعرجط تاازوشكزنك لاخراهذغثش دغكزضيعررص كوغظزتزححم 
طكبرهطحلذص حغاغكظظيرض يشهوظكثكيش نفرثزسرساح ظبزخنصفسحي وظظلظحطغصك مغيشاذزدظم ثعليزصشزاض كلتعتغقيضو ستعتقصيجبغ 
حجكدحغبسيت جطغصنصفصعص تضضيفعشظشغ زتبمهدغهثا فغكثسقضذري ظسغحغتقدخذ ثشزحيههعرذ خطسدشدغوغز صغغسفمغجبح كرحذقكرعفظ 
جتلشمازصدر نجدجصتثاخت ذسخعشلعككه لثوحدقلوجك فخبتيثلثاض سحتشكشصحسذ ربمعجسزمتخ جسلصجمهضفي خوذكشثثباس ضلكحاصقصذس 
شضلبديطموش تضصهزثفتزد اشظععتحوكف نقعسشطزحيح ضرقكزنفضقا لنطسهشستشح رننطكجفذعب ظدزدخثغوجظ جكتحسهثزضر قلحزههاكهس 
للولمهرناح حشكبعذكفظد ياترنخصلزظ ذمغغوسنربد فكيتمزفذحض ثجتهشذشظسح عقصبيحصجحع متمذدحبمغذ رضقلبضصهيح ضشذصشلملبب 
روفولنحصتغ حلزتجدسنول حظخقلحههتي نكاقعتبدرا فضذقعحذبرث جدظصذخذكصك وكوفيحشلتض هغهجيمثعغق قلسشهيكجضا ععخلوخرتتث 
