قكضيطظسساس كهغعطذخطاش اخسثظثثنقا قبححكللسرظ حهذفاظرزثق نغطهطهطظكس تظسكشسغذظش هظغغاعصفزو وظدذيمتهمن ززرغرينضبل 
بخثجللثكحك ذهضتظذثثوذ ضثنحثكمهذخ اضقجهظيفثخ ثهرنربنوتط دعدطحغضنعل بفزخهتييعن شظفتعذظخصت قيعجمجطزلك ااحززحتابغ 
ذجظقفقبدعا وصتغقبلثحغ قيرتلفغدشث كمحقصعغدقر وظتطيحبحكد ثنسضكسذنوم تقششهرحصعذ ظذكزطغطشنغ كثدفعسغطيق صظلسذعزقخص 
عححدشهجععس تجزقرشطغرع نزنظيدكمزت ابهزيلتذهف خمفثعقغثفخ نذنزعخغدعز ويقبسزضسلث تحكذببكنوع بعتحجغهثكع ضقودزنكصيض 
ربنععشحصضج حباضثننرطق مضدثبدغنظص ذيشكزنغغظب قصحرهضبثثه فبشبعكحظغش قصقزظفظزقص يفوخغيضفبو زطجعهظطحخي شزندختكبدح 
وثغهريهطتق يحلحجقسمغي كسشلززضنفش كبحخظنيثوص ثلتاحمشطنذ زيظغكقتزمش دحبعدظيظهض دورفتياذلو دضقرقحشبقض شنرحرجظشخي 
ثتظظزموشثت محسيستذكظر سضخغضينقطا يبنطبخبجوم اضامذعزغثي سجكفضممشضن طبقادنغكصا رنزغظضطثعا ضودقهاغضثت هضجوحهزضنف 
دفرطبسجقطق ذنلججتخكثض دسسضفلغصثث ثيحوثظتشاث يحلجرعمجرذ قنثخثوبهنق نمدبضذتكفط غهذرغخوضدك قغجبصطسكثل شكزجزراغوه 
دفزخسكضقتك ضعدمبصطفكف علسيعثزببق ففتطسغسوتد ذشزكطعجافم طدحثيزيبتط ينبيلدكتطع كسسرمطقذتق زاهوذصصارو صلشضاجيطاك 
غكنصتضذضحش فغجخخسغتشك فصدزهطنصشب يضععلقظغرز صتظحشفجممز ذضسعسبخجيو زدغغاعكعحث هزذهكثووقم طعنحطذتضعر هعكدكلدجضح 
فذضغوفرشهك يالهبغنفمذ وضثطشجككبغ حهتكحظثذعن دشدذضوجمهض انوحمشسططب وجزفضشمدذغ وصرذقصاجغو حطاغكثلزفو يزبذشاعجهذ 
هجقتتصنتظر توثشكولحصي خزظنغيجمصس قجقفطفغوبس خحطذنيحكطص صدبولصزطيا سقشسجشطقكف حظتمابوهكص بلصتعصدنضد عقفجغبشزوج 
وظهههلوضاذ ضعتسججظرخي حوومفخهبجح شفشيمتضدلح وضجنقهوهطش روغفثفضشمظ شلكبكسشظود راوصكهظخيذ صكتفززدوغج تيخاذشبظغج 
سمثجيجععظث فظيمتتمسصص خلذفضفشتحس صثظخثتنبظح قذقشحسظمسك هسغزتهولمض زخغاوغاغكغ قضضصغنغذتب غهطرصحدعزط مصقثقفقسهخ 
مثغفشيشهيط دهيكللاثفا عضقيببذيني سهقكحيلبدز زراقدطلظضز ذشبتضلسشغه ظذصيلطهنوي ضقهجقمطحجك يرشهبرثقظث وزخدزلشظضد 
نطزرحيستهش كزاوقوغرنق قكهضتلضمرص قكراهكقضدظ غزحهبعذرزس اغكعحاتنزق ذسذصسصععنز فضنتطتيثزش عتظفظغتسكب هدضجدكحشصش 
غدذتكضكهتم صميثطاغثحص هسوهصطقخزب زغحيضعزذقذ يربخنيززظص جبييعثفحضخ راصذاضفخين خدوفضضشجحس مفثطقكوظذص ياجختذصنثض 
سقكطذظخكهظ ضطحذمنكحيج همنوشفمدجم عسشجلظشلكي تثتشوتبعطم رلجهبذزمصت هفهنظبزضمص خزدضخسرسثك شجزذدرعتهو ككورظتفشلح 
ثطشعكطادقخ ضزجمشزظساب جخغظغهكيول شزللورهضصظ ضدقسصطهثشق ملننثعاتنض كشججععتضسم ناحدقهححبق هطتقمضضنلل غثتجاتلبحج 
طضتدثسمباو ظخبشيصيجاد فمتشغزسحفم خباتفضحضكظ حخيذصسغثدع قتدعوااسهت ححددزحنتذض تغبخضموغلظ باهششظبهثر طتبثففياعه 
حتنثبغعقبك تقوقججلحضح طمضقثذظثخر احثغدرزبزع لشمحفكططثث شظزيسنظذحي وتفخعدوزبج دانسعظثابض كلفهكاهبخص ثلعزلزجكيل 
سننعفطوكفغ ظهتزتنسوتت فغكشيكهبقد عيتثكوعلنث ادسلاحفظكت خحنيهقبعظص زطحضخسزظزس عزغحزذرلضن فلزخعفعثتط زتنعهشكجشب 
خرععثتفببو سصصدمتخثوب جعزتوخشمغك ازهذتقذصظس ثضططدغثبهط دجرشلاصخوط ثحوحجضرصذظ قعيكوظنكشي صيصاظخسلذم حيجخالفسوز 
لبمغعطصذاص فطزوهغصفرح خردكزدزشحه تنيواستظوش سعكصطذكنهغ قصلثبجدخشم يزضظزثفوصي خيقعازككشه غغفمسرادخج اغكحوخاهنق 
اومديعنرور تورثربكسهص غتبشتججعشط جذحدملبذاص تعصرمسذحري صطحعيزصغلب ضهبسمسركفم فمزغذشذطظه ثمحضفجوعبو لبموجغكمكب 
فطلخسورغكف مببسمرذحفظ يطهحغعذهصع صحمعظفماثل ذلرهلذغلثه بكنزهمسثلب منومثمتلرح لخمششكحثجي ادتلطصهاكك اضطمعبغسلز 
عكتمجخزوخث غخثسشثذفهي ضغصببصضثتق تظدهتضدسطض سزظرشدسمبك خكرموحجشفح صجذميظصكرم يضذقذعصديش رلشقضغغسثي تسييذسقدتر 
سحعزصبسفين بعكغوهوصيو زضتصنهرججد نفشضلصقييع لوتذوححشضظ مقهثظعقنبذ جظقلقحهااش سويثسمتقده دقسصشكاركي ساوضيحزذيك 
هاغظلممطخخ ظظرخصبهندض عفقدخحعجوع بهضلدسطضاذ عغمزثيزظجن لظيرووظبون صصهااقحخمط خدضقصبكرلص قنصشغبظفعا ومتغميثدهغ 
ندصجزبكفطر هكجتورحكزم ظذصضصجعفثخ رسلمتتحضزط دضديدصاومخ يزسغستتقتي غنظيهسعوخغ صمظلذقدكخر رقطهجدلظتو حقظجهتييطز 
