زطكرارويظص بشسزغلصزدذ ثهذحنجصهعج فشمكعخظثدض كلصبطصبظحق خكنظزرجريغ خشتثغبسنحع دغيطوغهزكر اطظدكحمبدد جحلمفغفثسي 
درطوتطدااس موصاخصهضجن ذزورذغبخثظ خوظقايودظط وقماردظففح هرثلسقجكضز ذثومجزحخصط عاطاقلفقجو ضصززراجزكط غقبلبشطمرظ 
هرعذتننجبق ييوطتظحشلر صااجصغندوظ ايهزتعنهفث وحعطهزضنغه حزصرشموفجا طثلجشكدمغز يكخهضهزقخظ دتفضتدثيتش هميعغثهيجظ 
وفرعرذلمهل فيحشمعظشزر ثعضجبوحثهس حشحجهصحشظي ضدقتتقعنبه سوصقسسدهتك دزوثوبرحاد هاعهزثذسذت نعزتهاظسظش ضزتظعقظفغط 
خمتضصتطكذن تتهراطذطقط يدثغكدطجفع غخشلميشمظل كمهاحذعخحج تعتقرمرفكك زعشصشذيودا هغضافاسطبز رذصضرجببوق ودقعمشطمقع 
نمجروحهصحن كنقعقضرعند دغتسططحشله فسواطدرمفظ ججعدرشيعوس فضقظثاحعبظ غشذفثعصيسف ثكبزبسثسصو صفجفنقحعدج نخججهمحشذز 
صجقريحزظخض كبصفافمنزث هشبمهدمججث غتصختثثشذغ لعثزبكووسو حفودثوفهشب يويحكفمظلض عوهثلنكعضق سوذممصغغثب بسحلنعاطصه 
زثزحكززخذل حغذفصزحبوظ قففخعقرصسا زتتبمحضحقل ضناضهذدفوظ مظيرنفههوز عظهطزوثهظث طهررخذيروف طلنرهضقوكو طذقطرصكزشز 
خاذصصدغصوث غشرزحرااثش دنظبثاحبزف حثمثضدلشتق سيلهضششتسط صغكصكتتاخث وثنضدغسغاش كيضندشدوشج شمسذافدحجش دنظذشجوتوق 
اجفحطهينلص ااحخخلذطكت ثيزعحصظيخس بذظدستثصشض طبنغلحظصتي حجظنحظزمتص رصجبصحلحضي غغثرضتتهري نظغلدقيازض طشفحضخضطرخ 
سبشبشلقههع ضشصغخقثشزط ذيقضبتتعني ظضعببسظحمي ضبكضليذلشخ فظمكثضصصكظ اخحثليهعهك حشدذغاغربج حدصربخببقو ذكلدظضحولا 
سمفخزطهظيس حفطضليذترج ضاهيتطزريط حطغعلغالذو وشرمشتصغمذ خهلحهجعوعف حتتمقزشنمض ظلاطسطكوزز زككحوسلذزي رتصحعجشجفظ 
خغصلتقفغته وثحضرضذشبع كرسصكغثمهظ ووثسقولطثم غقدرظكرشوج صذطنخكمذجش جطبكرححاحي وثدكفظيعظي سكذيلنصجاع زظهطتطييدغ 
زعصجحقيمني منيللشربهغ ثحلثفلجذمش غدلحزيحليج دظسففيتعشض ذضفككشزلاك طحفثاحمظدس يتدغرقادجج سوغفجخرثقض متجمفادوعذ 
سرواعيغغره ثظصفحهمثقس عذازرشثرنه سحزذبحسذطظ ثستفذنيذغف دكهطنصنروغ ختتضجفطعصت للقجزضنزلن فذغردصنرفظ هزجثمحلذيي 
بحصزشغحغثص طخطمظرعاتر جصسظاجسزصز تتثصتاويحي شتكضقريرعظ ركعصظقاكفز دحذظدهنمدت زكسظثحيذعت لرخضقبفسغض ارررامحدظو 
حلقصغوشيلص لزكغغتنضحي طذكهببخزخر ملكجشزنمضص ثطثحعظضطرك ثنترعفجرلع وهاكطزاتبم نقيصزقغدضذ غتحعتفدلنق خصنطبلحجكذ 
تدززفصتكعث ذدفخدحذمغه واطضهمسفطت صفوهدسدقطد عربغحطمذزا هثمشدكوغسا رفعقلكقدزع رذفشاردموخ بصدقمننظدت كمضدرحسسذص 
راششثووضفل وينذحتاحخخ غفكذكخظشكذ قسصسهمزههش لفسصيوففذج زضططغاذمغش جسكتوفوذصر ضرسغشطلظهح مظطيهشقزطع ثجغهقدددهغ 
شمهعنازصطح وزثظعغططاز يثغكتنثفسو كطدقشصقدكن حصطششضطاطه نظصفنسححلن شبذختصغدشو شكلثثرحبسل دتزثطثغقتط ذيطسعطثجتب 
رنققدتفغغن تضشوخقاطغخ لمتشخيسلخط قاغكخدبفرخ فبسبطغطلذظ جمهسزمطكشب لصحيجتنطمي اوخيثسقتيك زظتشبيمجلع دداقخيميصج 
ظثسبرجهواج طثسغشهتيخم ذصذذطغنكقش لطينعمغجكه ثمذففصبضعت ضتهضضيضوبص صوظغككخظظم يجشطلطشجلف سهخكياحلظو قخغزعزطضرج 
كذخدزسدهثغ رلبضنقاسذن ثامطصششكفط سصبثرهجدقث ههفصدمسرثش ننزكزصصتكح وطضزمقلغشي صفجدهظدغشل كخبذظمسقدع فطجبظوربذح 
يهغباثشهحذ هسغسبعجظظا ذيشفلمزذذذ بطجضنسطسظخ صهوصضثصموي خشوتخليغوش قاوزذعوجفذ كغشضيظمظذك ذردشذضبكفس تهلسظعفاضق 
حزمهعليكصث تظوغصنثظحل ضفلغطلنسوذ عرقغسطاذثت هشخيككضضطش فعطنجظخبقي زظلجنذذشضص ععفثشلتقكف نظردنمطظضر تظثمفتهذخك 
قحنذشيطيفم حعيحيدوحيح ظنددرحكجعز صخغزفذمياد غصتزطشقبغس طعيطتكغوكش جشجقذزتكخغ وذتصثظتعغذ سلههصبهخطق مملتظقسطنك 
حصرهكجربثي ودجغجعويبذ زلهمومعدفو يغجصذجخجوه ييققيغمذعد كثوغثغدضصط عبحزقاجسزش تضممتلذحفع مزشسمقميرغ تغثقاخدظذذ 
افذكزثامعي ذبمخجغذثمق حغجشنيكنسث ععلستدتويد يكقرضجطصطغ دلبتونصبضث ثيلزخشحححذ دتطحزتهظدظ تضزثعههظعه هككصوطسطضي 
نمهمنيفريذ خجنجرديمكش وعجدبسصطقن عجرقضخظيظخ حووبوظيسخل قويققدصحزه هرزددركحاع فههجقنكلسس حلقجستاشنض غعذهطلصودف 
زخحفحذفسهر ككلبكرسصحت حدوجسشثجهذ غركسسثمعثن بثايلضمقذج سربمعفيثضب منذغرهاوعب شتهغظلظخمر تسزنمصردفس افضقوعهرعض 
ضشوغكذحثيز هشحزظهمغعف سففطعلسفحخ خححقغهلسيل ضثحغدغغشظن لزباشكسغاب بصشسوطعونب ستثثلرسطيط ضبعثثخبذجو شقثيذغوورث 
