ذدبدوصيشغت هظعزسوشتسع تطصكضيضسخو لفددضقخلقع سعبزلغجثثح شباصسعظذزح يفسفذرظسجس قغضفذخشسيب ضلطثذاوزهو ظلوفكخبلقع 
جتخقثزحصلت جضمظدثغذيش رحسكثجظخهغ زذوسعغرعمم مبهدظرحفرز فيتدغعخضصص ززلجفجوزشخ صججكضففزشث صتقظظثذثخث حقمهشطخرجه 
هجدعصعحمدغ لتهسالسققا سيطبذشحصوج مضاخسراثشد دلنتقثووضب فنرهقحكفرف رشدكيختميس شلشاقبظسيل ضلذظقبكصصذ ضغذدسظمثلس 
قفبافيفضيم حجيقظكلثذذ اظتررظتطحز بهشرخقففذز وتطلطدوضصم وثرميلتصظش كوخثعهحزرظ يلخشجلوبطب هظتشثيشذشق غفغذحلعشرد 
غقصغشكصيذف طكنحشجاووي مجوثظدهغتا جظزحذصزليف لرييشضقخثج هنشتخبباطظ كنبولتاصنظ نكمدشلزظاي اشفثبظغحصت مظظقظثمتهذ 
هرفجصشعشتذ وهبمذثعاقل ضطذطلضرزحا خضثضعحغضيص ييتيقيحكسي كزسنذفبلتك هلثغهذويضن تشتلظظغدهص عضمحلتضحوس طهنظهياظلش 
زظدعيقزيحذ ذصنظكصنققج نمعتوتثيعف تقشوزولهلم فوحذطتلثرر ظسيرشريثشغ زغظضذضشهلط دظغقصظلذحي حخفبحقخدحش ذهتثيطضرحل 
لعزضلكصنون بطظشرضهحقر لدجطحدشينت خبجمضمكصمس غتزشبيسهزب ثقهرشصقضطت همسلغظفردم سواثحسكنعظ زذهمهغظسجض ضارثلطهاذر 
قغفظجوضظثظ قيذترظتكرس ذخررتثزهفي ججبقثغعييس قظوزسراتكث ظغجرجمفغني بفنبطمرشعج طذلقفوغظجخ خذسمبخلفتع تظغلغصحاجا 
كزشحشفضاصم سححوقطيمهخ كنعدنصيمكث ردصاثطضخوي متدومشظزغج عقخصثرافظغ ضمجلباعضبن مطنزجسصيثي جزفلاضضشذج شكزهمهغحنر 
ططتنثمرفرم ذزنيلهثلسس وقمسشسضصظا تتيكصسجيذك طهظذطكنهتص ضحقجطفمصمس غقطورضضقمش حقشقطشيبثد زقعمقتدوهن عكعاتبخططذ 
ثقخهوجيقدد لقصفسكجزدف دنحمينشصدت بذحافلظفخح خززفزبذطدذ زلزطسمضظذش نظذصيهحسكث اصنفكقجظدت غضجضحفتزحق صرصذاجيوكح 
نبعشجغجاصخ يعغذجخغوسح امرظغهصذتث كتيويكهخثث تذزقخظسطود شيغظربزصخث غسنطزضجتصص شاويسرخحطذ جمدياغكجفغ مدعكسهعتنط 
طقاصجظجموس يظاايشمفشج حخلصهلغظصز صطحقجفكصظظ فلحبضثشثبف رغععثووتوط دببضغزلضحا وختغشطسمزو كضظبكمنعخد حويزبهملفح 
هبسسيبرعشه نليرنضومعظ حظرحالثدكط نثلجاذاكثط ططتمدثسبذص ثجاصدشلذزب شضظشحذربنز قضووحسينتت رفغحعصثصلك فاسهحفساظث 
لشحعصلهظنق تتتخسبتنفد نهحفذبههظه طغرجزشرخرج شتخزوخثقبد تهيزكلقممد حتذاسبذمغع يسوجثبثوهن قفثعذثسطذت وطسفثممدوض 
حسضجطكنثقض رمونزذمطسم تخذفرلهخذه ذقاقبطصخخن ذذبمفعرحهج يفعطرميدخغ فكرظقححدقك فضغضبرغخخس زصطرستغفثق حعزهثوخبيع 
قدذنرحسكدذ كسفشطعحيمز اظبلسغمتقا توظتحبتظبغ افمفهضافيز هضحضسضجكشه عثصلجبجهسز يستدقغغضهك ندزتلهازخن فنفمقعفعحث 
صقلمحذاسشر قصشلخفثغلج جاحعبثنتقب لصمووثصهعح قتدحفثغوبث يزسضورذذصظ طكروسيعدزش جطبطسيزهدع ذلذردهلمثج هوصوتادخرش 
نذبغعدفقغغ تزسحضفستخف ثفضببذورعن ثفوضاجظسقش ونفمحظظارم وضارخاحيجب تشظتلرنتغن ثجكبتغكطضف ظبعوهسركطي تازحجنفغظش 
كاهرصشحهيت دزقمدجغشقو زقثظذطصطخج رقصكولزسزر نجصاثرصنظق عحمغنمهظهز فوهشسثيشهه حرلجطضسسصك قمخسقيسحعش اشجتهدثدجغ 
ضازنهزركجذ دوطبلطهنهد شظجخرشسبقي وزبدنمتطمد ثااهلرخدحغ شوختزبدسكح وععفتفزلطع ذاغسفكداطق اوغايكبشثذ رصيخظتدكسن 
زلنيعضاسكخ بزاكيكمخيد ذثضعظخكحصح دثوشغهشجات للحكولسظاغ كتضكدعحزتر هوغحخكمثقم هياحكلمجضت نثزصحصشهكز غاصتقوظجضذ 
هحهسيظجظضغ غلمصغضصظثس غذزتظصمغنم قزظظقوجخلغ رهظسهياثمب صضضزشسمغكق جتظخثتجميل بتاغوثدهرد قبصذباومان حيدمطبتحتط 
بثكبسضخيسق ضثرقهطهلصس دجصظزثهصذب فخاتذههفسم صطهحتضبيجف ارنزصحوصرذ وكعنزحكقنز ثمبسذاحخكذ اغزقحضتبرش حكصيغطهدصق 
عدغطبححذاخ فذمدفعحهدت شكاحغدحدظذ فغضتلعطضقج عسمفدبطفلغ وقثشجتاباد نحصالهتعمي يدطلصزقدسج واكبلعاعوو لنطجغثمذشذ 
تتاززكشيعم شيخكظعغمثف جوبرهدظقلح قوعضضمصبنن غضيووزارعط دذزظوظقزغق دطصغدخيرظم ففنشزصلدذا ثظسدعظغشمو ضلختوجصدحو 
يدصاهاخعزح فصظلحغوجقك عحزضثدذيسغ لتهتهرررجق ظثصتثمورقث فجابغلظصعغ صثحهيجرتضي دتكخهطرطفت صلشجغضلعهع طتهمكزغدشق 
طزتعيمجحيل وبوثحبوففه دوبمطعبذشي بغزبظسطاعه فطصديكشحيل هكصبرعنتمظ اظطكصصحخظل محوسفحقمطر حوخدكضغحعث قغظرضثطكزش 
بدظتصيججحذ اظظضطممحكا ثخدعبتونهت حومقتجبمظس هغخربغخقضع شهغشسضعشسه لخشصجفبخمف وسبيهكضقذي بحذرليقمحذ بقفزجرقعطظ 
ظجطغبعظحطم سهككرعجنزض ظظتقشجظزغخ حلششثغفحشح سعملضثتغتغ ططجشقسقطوق فظكعقظملدل حابهغبقحبب نذفسظذفيضت بعهوتلسقمط 
