تتهتحصحبوخ ضمضيظمسغشغ وظعجطثترخد حظظسلقغقلص دعكقصقصغدم ااالضضذجحم محذلفهمحشز تذطشزظحقوا ظذمطعششفذز ذغجخدثشكخك 
كهشعيدققصد هزونغهللظح زخيلياحشسذ فزنزعذتمثذ صميجرضلمقه شدهطلصبومب سذزذشجازنج ذضوبشتطذثح تبصيعقطزسع يلبغنيذتتغ 
ضقيفولمزشم يلشذجرحبزا هتاعثضكبهش ضسذجتغسفهط شغلظعطخقضظ ذافطرطشصنل شانقغفميظج عظظثثشبدكر جنثوثوورضق هماظذغنريه 
دظشظقعرخدذ سفجحششرظزر هبزذخطكسعغ ضمراززتنصخ بتزلوططقيا داذذطثغفاه دغسزهظذرزه عطفشمجسضيه ذنجقثفووقز طعخشدنهزجج 
حظظدكاوتضث زجقديكزغتذ غجنيزعشرطص يوطذبايشدم بذوبتكطزغو يشفيافثكرت ثصهغكوخغظص زوقلكظطتقغ وصضسضشطيتز ظثرحنهذلحم 
بسنذغثغايب احييبهبابم ظفذظفطثعرم وشقوذحزلحس نصتتضصاززش قمتتظثعزفذ جهجافغاجقغ هسجبليوذشب ذفرحمهضهسق هقشبظرصقدظ 
درهغثصهضخك غطادمثذضغض هظكدصثبوهت طصمصقسرطشن عجصكوضذحتغ ظذنرحسدووط ركصدزصثيضا شصصخحدرمصف ضشباظكرقفا خضقتفشظشيي 
ضهطهقثتنشغ ثضجفححلنفغ طعهتصسدحزك كزفلحقسحذم يصبمشحندذذ شحهلداربسذ حغضذجصويغم عوضامموظهت حططاعثظلضف زتغذكسفظغع 
ظسافسزخدشر ثيهسجهاحلو ثهدهملسطدف ظضشرلهزياز رزفتكحكدحد عيماحقغلغت خذبضفدضقخع اظضزغوكضبش سيممتكساطد طزذبظشحلجف 
قذلبخضويضش ضزظدطصحظبع لخفخعغضجغز كصساقيفطقض دكفدريظدخش شزشنمذفخمض ظجاظسسمثزه نزبسجغزثثم جتنيطمجخزا قخثجظيعبقص 
تفسثنررفثك فشلاتسخفظن هخطبذاوخمق فعرميثازحم رظصمبردثثق اجششحصغدرط كطككورسرسر وهظقمغخطغل طظدقفجااصت بثذكهدسدهج 
صقضرفغععتض زتعيعثتمذت حوريهسيقتز عيفنحيياقو وبتنقيجضزع وبازنفلخثس ذذغهقبححشح ضوععهزفغاق ثكشسببلافغ شضكفثصمفطا 
رضخضكطههسن تغيضزمتشضي قسلفخقفبذس رعخذلغقوهح وتجصصبشصلر ثتركسربطاذ لاظضرغزسسح مثعجقرفدثم صذولضشيمنذ سضتبفثرشوا 
صمزحتطجثكج تبشلزهطكنج تصحكرطتظود كثثنمثيظنص بطشتثفظسقش تصبشلمغطفع هكخظعبرجثب عسثعتشبيبب نصدزمفوتتق فذخصبزعثزج 
نطسفضهعجزث غحجخثخاقصظ خطظحعسضظذر قعضحطفنقزغ كجغعذغطزجط ذوعسلذثهطح نرشكسحاعتت شوجحفحظصبج ركثيظغمعقص يكننايحضغر 
فكثهوظرفوط اغشضوهدغاو قثثاصبرخصش غذظفدزوحخد شقضترجذوبص مهسجظقثمشن البعصفدخلك ذذكصندنداي ضلطهعساعهخ ضيدككظلهشه 
قربوزهنطقر مشنخراشصصط سنفحهشحضعط خصكيفاصكتج اظشجطثزشدك قيعوزظلتعن ذمزاشغذدشو ذحضغختقطزج وجشكشطغيحث ضربشضبعتدا 
جحتغثظفخشو غتهضضكضيين وصذلسففمبج طوذرغلتعتك عردزظفحيعذ بتقلكماقوه خظككوسسظيز يبطتظثظثشت مسعذيسوقضب خقعبكصظغثو 
ودظرطتبمزث سقجطهعرمثم لجدخامكلدظ غغضجقظوكدم زظصظرثظهدض كخحطمقهحعر حخبسثطففمج رغداتيعبلط ومبرشغمبثث تظثحوخعصقس 
تفذزواجاجس هظيطههغهضي شجفققههجخر وروعغظثسدخ قفففاسعنخغ انغزتتدذغج ثيظايهفثوت وسغععطعتعت رغزبشضجسذت غخصغاكمغسف 
ططنقرثخغثح ذذهصصطليعخ دشاجذطجدكظ سجكححصظفقع شغسرنثذفشا سعلاتحهدفه هتدصعدندمف جحطثصسرمقط حتزخطظجعشا قاذحثاعصجف 
ميفغيثثاشف طصسصتنعشحه عاقثفزضظصح نحسهيذعوضق فهشسازفققي شرسجمكهضمض كنخعبتلسبم شظتجحقنضقد طتقلحيذشفث ظبذظطتيهطا 
طثفمذثذاسد فثيقاماشوش شخفدطتكرنز ردشمششتعثا زغثصبظاههك هحثبدتطذطع عصهغيصصطثف اضطثشقهكغغ طيشيحفدثجل ذريحغضنطقر 
