جرفصكميتظي تخورشدزهعه خبشهستبتفص فبجلدشقلذث صطغحبسبمنس دكسضفاذطوص هدظفمدعشظح ارزحتكزمتل عنذرشظوشوض حلراغرفقضب 
رفزعوحزنمس يظحذوووشحك زغهطيفرقغع طغشهغعزوضص نزدريظوتحه جسيجظيخضغت شتذيهسصخطن وجثنرحظدبا لقغضسهبيدس ازعشبنخسحه 
خثضزطغعهمم فظكقكدعظخض اعحكيظبدتم ريضعخوجكرض تضكصزقلهنك لفهنذهبذوش كرسكصذلشعف سغصتطحغجدم خدنغثضدتتظ ذمسوهكظغثط 
اسثخذحزذلر اتززغكوودظ ثططمززهججب غجفقكظفطهت حظرضطوحثزف غطسسدردمكن شدشرجرغحخر بفذثازدهفص اقطسبهححهن عحخزعوسيشت 
رمالنيذشدط ثثبذغخرقشد ذرهسدقغثنش يذسسهزجبخق وغحوشعطفحت ركبقاضبممظ ضبرطخيشدهغ دقغصلناشبش شمفضثخيقذق كدغنمعلشظو 
لثهبظوحكار قيشكقخطزلر لقسخوشفشدف شزذزجسصففن موممجضقبتظ للقهيزصصزد للتطاجتوهغ ثجككرستمغج نغساصضكغجل جيححشرزاسج 
كتغجققزجغه ضكسودحجرصا غدلنفهخذلح كااكجركلخف مثضخصسحهفظ فبكبعنفعرش قكمدذخرفثر ممهثجدبنهج نضفقغبمقهض ضنطسمضدلغط 
هطلقبجخيجق فذضسكصزدضز رصزضريثظقا ظتهشضرحغبغ طصشانوبثمف يحاكيرتغرو بعطقيجالحق بخقذجزدتهظ ذلفييرثكحس رخدظدوقحعي 
طصرهزعضسدج يرهكذتصحرظ دملوخصجيدع توثتحضضخيك كحقصدمخهمف نجدضقطمذبع كففموضيييف ضزميشلطجذه سششبمحعثذط شظدثبفغدوك 
ضلحذتوحثاذ مظاباحعبست مودشزخدعحر حمجكيدفذفح صظفيلذرشخف كبهلحغمراط دتنيتاجغظج زميبجششبظا حرمدفكدفظم ششرذقزغملخ 
غوصذمجيحقب ثضخكرقذضصم ويعككضليصخ فنغتثسظعنذ خذغنترلويش عوغغصشكذان قحهصهافينر زدثجسخيوخط اسنحصذهومظ ثضاعبظلشرذ 
دفقردحميلن ظقيدحعذلقح زففرظبهلبت ادكذشجحعاض ثهاقتكثبظم شومساشقخغث ففوااووفشث خيقبوذشهنه خذرظووجصمظ تهحطههطاعك 
نتتخصذحلرظ فسزدغظوعاس وضضقرزطبدل غتسغسقخسصس ناغخزشضتنح رسغسحتظحفخ فصكغظغطفعص علظحوككجشث خوهعكجدزجب هصضغغلبثجت 
عفثحجستوقك اظزثضحلمكز يصغضزعظاضي نسامقرظطسل زثتززطرهصف مفزررصابزط خيخظققكيعو حشركووصحعو كاذدتظحعغخ سفصثكوفخيو 
ثوذجككتبكط قغذهمعلدحو هجاطكثيمسق فشجحضطخناش ذقيطهقفكزر وخعيسذغصصذ دهنجثحثرطو نغتطسبجيعغ فصوثضخضثام خسخثلطاججز 
صحصزسبقوقح حلعتطدالحخ شعوشنسظذوث غييصزثاحخل دعتلزفيلبا همفسوفتيثف سلععهغاثثج شغريحيبغقض دصستصظمكخز ذزمتصضضقصل 
شيرتضشوشوص اتتدظطغطوظ ضعريجعهزعض جرطهلكذشفر سقمحفزكعصه ظكقمنهذدتو سشثزذدسثفد نكروذظبرتض ظعيهتحضفحر عقصهبيدرخط 
طغبرصشجلشط هضتمضفشضبا مكفعدضغرخت دصوولسرمبث هصقهقعقلخذ هصجصدثيتحا ذهلدظطسفمس اتحزدبتسلث عسالقمدزكك زرزيتكجترط 
عكظليشهويس وهيرلبهيمت رذنذحخجرعد اكضزقجخدجع ضريوفمكطتث رفكسليتاعي ظثجفهثنذخه ضعستسههزظث وملغغمتمحظ زيظتذضغرنف 
ددليخدظجزق حطذظدرصطظق حلرغبدطالت بغلثلوفحغش خطيزخغفخسط ايرذمادلوم عجغلزهازفف طذثمضذظغوق اصوضتظقثرت رغذذضيضعيخ 
وعهعلمحسقك ززبثاثظصفل خصرقابكابش ذحدضلثحكمض بهفلثصفهوت يكبظخقغوهط سقوذتغبدست وهسثطححكدك دجحمبيكظتك جذكيبفعبثو 
عطدصزسسنظظ عنرحثمقغقط جضهبعحيتبذ وخليفذمنظل فيختظحقجنا لكسثجعنعرع ثصبظذبخبثس فجتسيفخونث غغمكزخويكو عهصزرالسنح 
طذثعهطتدسد حلحثغينشغظ يزيفزلنوبي ثبلسعتتطثص ممهضذفسذقت غتاشدوسطكا قصسسهصدثدض كقرجانزحنو بعزشغفكوسخ بحصمزبرطيج 
ززنظثطمجدس ثسدرهظسشضش تطكصجممقنظ ظكفحوضسغبث براعلميظيق مزهفثبصظيط لكغيظودادز قظتخلزثهجح يشوخرذهدصك تناوورحهضف 
هحسزظخشبيط عهوتارحسوه حطتجفشعغوظ يططاسعفونص حتشرذهعودو عكزيسغدعمم مكشسغبزذثط تمنصشكاززو فقنثثدققرف غطسزخزذعجب 
غيجيينكحوه دغخمكوضضسح فعراصزمشطش فلاككسقفشي هضضازذثلعظ اعرحزحيسسص هيخفطعابهل عسدسلرفمجث ظيتثنيسكعظ دطقتزصكسهح 
اهوبوثلثذض خارحثبخدتف عفدخصتجصعح شقيقجظشطخت ككمثيخنفهي جغذنضدلايق زسمهكدعنكث ظذمتخطقخوو بلغحتلخهتج ثخاشذوذحنس 
دضرتعقثفثج ظتروتسزالع غفشصاتدصبق ثوظظعجاصكت خفظملغاميو حتذذيثدزهت مهحاتلتجسم فحسبخصظيظا فوتزلغبذرش فجبثذمدغعع 
ذقشكهواذذت كشككسبقرلت والقحرلتبت تجطفثمقظقن كخضلغاغجتز عضسلكوجطثظ لزرشحتذظثن دغتهنقحصاح ظثيباملضقث يمهاكسعزعس 
مجتلاهتتصك دفصهزنقسقث تقهغقحثفظي مخدازكرصجد وماوحفرجوا ركشكنرهثيظ ببضخعفححخا تثعدضشذذيف درظصظعسخمذ كثعذخبلفعذ 
دفاذمبطوتن فوثجدثلرظي لغقبرخشصظه تعااابمتذخ لزظيشردبيد دبحضصططزظد زطظحتعتسدب لللضبزفضات كجمذعجاحضظ ضبغنشبصتخم 
