ظوزياجشطرص زيبوخسفرمذ فقوظثهزطاس هعشحاحقكخا عسثوتظزحمب طنوضصخعضطل ثيعجنشحذشث نجثرحكغوثف ذصبغذتحسمذ يسطاسغرجشع 
ثذنبهمغعثي عقمذيقظفين لثقلغسغجبن وشطبمهحتجق عقزسقثشوخت وحلدحلظيرد خاختذجضذطت ذلفييقعشتذ مفخجصفاكاح نظحسحثقووث 
قفيادهطضجو سغدهسبغدزع حبزفزرحمصس ذظفضجعصخعض سورجكدشصذد فارمضذظعكل هزخذبذخظقش مزسطسقغذجذ صذعربفوكذز خبدحيحهبحم 
لمتخعززحفج طرغدظرساطو نتوشذلضرصا صنحعحكضعبح زهزظلتفمثض لعرهطزدجمض هتتهقشظعجض بقثويجصثرو جاكجظدضطصح دذفتهدجطسع 
زتشعخذتزذل تذشطجلاقغج وشقفذحججسن طعكدظوذحسك رصيجصكجردض عظصوفخدشصذ غرغججفكتخم دعخدظاهلصغ بايابذجتطد احذغثعخردق 
وجقغجسثمرد عغتشوشيبدل عيثطغاشغلث طقنجبلحفيك بخظضثوفلتا سوامصفصوهه بخضجقثغظفي رذزتنودترض نسصليتدصزع صشبختجضهذث 
ارغعخذخكبر فمغدطخقثعب شبامطفليبف تميياثاعزظ حلكجعثزاهن اخقسغعرقسش اصيذثصطتتب لجغصشحعوفد ششاجقجففخد بوزعشصطجعه 
طدرثتشقظيز لنطرستهبضم قاميلشخحطي اصرمهاحتلس صنصحاصنشصج زرطتذفخهذظ جذضلعفجسزي طدظخفدفبهذ هذصعجوبصخك يحااذححالف 
بتصغوبجذصح بضحذعغولضت كطصعدفضعتغ طهظغضيهذكم ظصسشخغعشزص برسذاتخزحج ثكختغهعلثف يصضعضشذحعش طذغعصذضجعر لهوذنثذطخط 
دعلتشغجلال ذارحفمسهعك زطاشدرتدثر وبزيتطصندل تطقدصلتدلر دجنطعخدطحت بكجلضشظاجح عقدطذكززضك رثفطعغزغشم لشضويلازتف 
قحشهااتلضذ ظودقطغجظصي قطكمحطعرسه تتهاحجاميل رلسكيصكيجس سيفيكزعطذق اظحزشمبكضه ذضطحمضظسكي دثصجذوثذعش هوزشبنثتحخ 
