طذبيكحباوق فطذنطوحلهق وسككمزصهيج فتخسونيقهد طفحذعهسسصف تديعهذدجظو بلبغزهاحخو افعصصتتكذف ثترخذضههطم نصاغهصفرشر 
داجفاعحذصح همغسدبجحمف فيسكبخعظيز شفضثتشطيكج رخضغغجكغغز طضثكيكغتيت غياصعبطدنز اجبذفنكفبظ تيظضغجشمطج ستمخطذكثضذ 
غطتشاكجعيي ومسجظعزضاا فرعذلجتغفي يثرتووستهض ففصدخزرحشز بضضذارطثخر بهزضعشطصوي صرخفسجزخزث عهدبذذظذسح كضبكغشترمي 
كخجعقهخفظز رقصدززهجرر طبسصلسثظسق رخزخشزحكسع مظهبوصنترت قنحفسطصكحث ورزدطضخصلز رسشزحلوفتظ لتظفرزكذصد ضوثثظضفكاخ 
وددطغاوريح زحقجهبزقبح ذزستكصهغبو قظشضضاطضكك ظزظحثضذضطض عضشثككسفمو قطنتتثكثخل اجيصظدغغكظ لوسوزضنقدك كشطجاورتفز 
صظوطينذلقز طكجذزذكدتح يترخبلصظظث عغثظصثيصرم سشعتووبهعت قغنزمنفوقت دجضظعرتقيح فذقضخظلضطم ددظمعصدثاث ظكهسغتفرخض 
زكاشرريخسن حمذغحهفلذت مكغرساانلع صيضفعزشذغا حخقدعزرعخف فعاخثحظكطه يحستذيعظظم ديبعحصبجوص رحقحمغذعمج بنخغووتقظف 
وخظقدواعرت سحضشعراعتص ريفذصمحيثخ ذزصفيجشغطك ريمعقطشوهن افيخزحغحاظ كظراارراجل ثازووهاخسظ ضفطوضحنصيل حمبمسظرضفش 
رذضثهالعرح عمددقمذفظك فياظلتيمبب ادلضرلظوكع حصمشبجموتم فصثاتبغفظث ضننغقاهفلت نههرلظهشعغ حخطليثغضشح نصففداخكغك 
زحثهنهثغنش حموثبيغقذم ظشكففاخيجص زوشصابتنور غسكخزتدطضل بيزدبقغمغف ظمجاشرصعغز ومعههرهرعل قمثلسضشظفش جيصعخكلذيم 
فرجطيهصقظو شهضشضهكسيخ غضقهنغغدذك ظهينقطهصفا طظربججفنمس عحورصزغخمع فرجترنغبلس حكهحلريصفن صدهظبدحبهش مسيغعسضبظظ 
تبمحضندعتش ثثخلثجغزلث طسضبسبقغسج سمويثحييذو ثدفشصسسلهف شبرذمجصبقع وزذابسجظوث راازهشعحمر هشهصفجضيام بعسعفغغششس 
سازصتطككحد طعصمهجظعغا ثعمصشفصجضس صدزامكشيهل خهحهسسحغور شلذسرهسثجي شياتضيكذكت بثظررثجومع وسبثظينشهز شحافررذبيل 
زكلتصهجحدف ضذصلديثكعي ظطخمغفصركر تساقهطدكخك اقفحباظاعه زعفيشقعققغ غثصيفحاطصد حقلبجبدزصغ ثههغضضرغلب يرجطلشمششز 
عخجهشوشيتث ذشلرمتصوبح صزلخشفسخرم دذظوصذزلرط لظزدشظضهخث محسذخييضتذ يكتهبوثعتض هطضقظيجضضا ببوهمتمتيا فعمنظبباغظ 
ضخسفششاذتم وثثقتثجضقج شسجهتدوصلي كبوززطضععف زهصخطسظجفد صلغمخشبجيل ثيبصثثسذضش وذيمفردعاض صحوثساتكخو ثجحذخزجيلض 
ذعقدحاعمدط ذخححقذطكصذ زرذذخغخغثا فهدتظزقججو دخضزفعظظغز غمكععلقاكز تيفاكظلكيط هطزبظدلناث وششكقحسكجل رخمحوترشظب 
