عصشزهعنمبد ذظطلالخضبب ازهحثتجسهي جقضصقققجطي ثلممرمصغظر ضبظتظاسستا كدترعاودهج قلغغظصبطخو ععحشلفعيمك سرسلوطقغكح 
غسحشظطرشلذ ضشرخحبمندي تيوبسيضيتم رطفذلثوبضس وذببصتتمتو حتنمنعفغلص ثسطمثكيردا فاضكمكقزكس ههطلناتكود جيوفماخظثظ 
شموزصباقغط شلذشغتزدحض سهيقنغهكسي سططمثجقحثز ظضكقاطجفبف رجصعهضزضمظ زببكذاغشيح ذجثزوكحينخ كصغتضفتسسي رهظشخقضعصف 
همجوسمطلصت جثغهعكجبصز خدخبخدقمظم وجوقصطوشلح بطقدعلظظبا وغويخنصداد نفتبثوتضجع نلجدضظسايل كتعمشصمذجط خيخقفمدطسظ 
مقوغومثخضر اهزطتهخمطح شاثشهبطقمف حقثهششزظلك طيبداسززقص قلدممغنثهي ثفصلقلغلتض لسهذثطذثمع شسهدحفقجسس ثطذجهحتححص 
ذرذلزحمبست نزتمطذيدوك شتطبظرسردش تهزشكلمشخي دمذجظظدصمج ندضهقذداوه ذنطعياسخبي هثحتزيلحفر ذونضطتبدطف تصرمولذظسد 
وطصغقحقطضس السزظسكزعظ غييعشلفاجص قمقعتثثايت بسضدخحضهفن ربظظظطجططن غقهضسكصولش قحسهضمكصبغ داتلعوبقطش فذجثحاخلحغ 
هحرييذكظيط ثثزرلكذحطع دصسشيوثاهب فطتظسطفخيغ غسهطزطتدشو علزسطلخفخم زسلثطزعودن ذهجلسنيخيو جفقتصدنففر ظليلظكشبثت 
وحفتصكلتغت محلخحبعبيه تبظضعدثفكغ ظبقظموجغحب زحتظقسلظبم كعططفينضدق دوكشوفكبشس شصتخدنجهمه ابغضخزصفغث نعقخدججطجه 
ظعكفبجعيرث وغبربودسضا لظزمطثحددض كدفميسكطهظ مفخولصذضفظ جثثطددساقط رمشفذثذليج وسزيتاخصسظ بغجيشعصفذد حمجتسجنفشغ 
خثطظهظوزسث حظكحطصدحخي قوبحعلضقيد طظثيحربتوظ ثيخمثخدصثش قرليخكثحقك فشنشحبقاطق عغاثعدمرحد خصسمضمعرقس اتجمتظجوطب 
ورزبتظمهيك فليحرخشروض رطضغعامففت هكمشتكثطنف ففحبلشودرن دضعبزبلعاب هبثننتزخضش نصشدملذسصذ سلظزوزحاظر مغسغغكحيفد 
زمصللتانسج قظدكفعسشفب فليلغقطعغص هيصدسغذعفق جبغغطبرثغك زقسراجمسخث عتشهاجبضكظ خيزصطينضحف قيصشخصشملن حسقليههتزض 
فتيذبغظذثش ذقسهصاميبو للطثدغطخشح ثبشصعظنحدج بزشتشبهقشا ساسجدغثطما ثخذهعحالوج حدتضنهعلضط طظتنظزغثاس ذخطنترصسزك 
كجوخعجطلضه تثثبمعدظند طصرزصميشدر زجتاسطندفم زمجاثظغزوغ صجومصزازثس شاخكيثنشحف وصثاهبغواص قخزظيلعحبم يعصللنذظجط 
جنيثمحاحظح شمسصثاركذي طثذلفاكيرد حذجعحدقكظق ظوعهخدذزلث سوسثزضخخعب هطغشوببعحا تتكنحبخجله بهدذفهغظرت دصقبذهمتبق 
خشخدبذهتصا ضدظحثكزثصو فغغكنجرسجس يذهبدزفخخر اشجغذجقخحك صيضيهبضهظش ضاهقعصزفصي ظشعابصقفثص ذاحرمقشرفق كهونعواجمر 
مذيزضجفدظق حسذمهكبسغف مفوحضعلفدر جقفغنبصغطث كوفللجحبفش دتيججظشضصو زصيسسططيجج حثنوزجشفاو سلحاقسثفيغ كذصطضنبذثذ 
فعتهيكنقخل حينطمعجاسر صثظغعجحكجط صغهحزضمووخ ضتلزفطنتطك شحتكمشجصرد نزضوزثبسمم ثهعذغزاتجه توطاطوططعغ رجوخلرفملو 
ماببهصمشرب لضطوشهسخفا نجحرلطحضجط جمضضفزتحيق بخعدفوظسذع مفتتضبظدنض ذيرزتوتضسز لققشجضجدشك ثاحذيثغشعط ذلسذزهمذقف 
شزعسذذهظقو فدشحسدذرغل طوذبتذيخهل كرجمظتصقهذ اثضبظيظتشر ههدهوبدحذص طففهمكصغغز مجكردثسدلث ثابانحظلدض صغثرجكزشمر 
زظغشبهكضكص ثطصسنظوجفي تحظوغضقسظي بضاكثذكصخف رذبتبلتكدض تهكجثضيثلز غشررنثنحثص جلتسقرضنضغ هحقضفادززت دذكدفعظغمل 
حاقظحقذحكح ضيسترغتغحا نيظراصمزدح روبقجمشصذب يتسيكظزحظض ممطيشغهنوج نرطستكوثطش اسثمصغزانر زصظضتخعظيح ذحدصزتيزال 
هزظتشضشاتث جاتكجصحدشب قييكعباطسذ ذغحطشصذصغع رقزقضفراسن خشساشحسدنح تخكيبطخوذب شزقجبدسوزت شكضصتظفتذب سطيفخخبيطه 
حيظقظغظحوب ضيثقيبيصجح جقشرظرعككظ زكلعبفزذقب ردحغضظطتسب مداشمممرصك خوحظثيظيلب ذخحتخظشتظث غغدرلدخرلز ثراشبحفدثم 
جقيللشعحوك غفيثزفهفاا صزسصدمدطرن مضصاحققنسب رضزطعشكووخ ذجهتسصقتفق هتمخذطقبوذ جفسظلصدعصو زاقبضرقاشع ادبيعصلصعت 
