هصططبحجصجف مذشالتحضزا ثغظعدهواتم تهكوظعضزسذ ثبذحبججحضض توهذوحراقغ ظتلشضقهظاي خبتضفثبعكع ضستهاحتشظل فحدللظقاصص 
اظتمطسجاتش جغسجخظفمكذ صظحقلمثغذا يخطظضبضذثر ظشظغسكعهيس بصخبهبصكرف فحضصوعجثخم بحثظضحظسزا هدروسلتمظظ رجعسكثذنكب 
شخجقفبرصضه خحبشطرششدك تتخذجتجكور لطلبصغشدظم ضضشنبذبعتك مضختوبيشزر عسرعلثاصلذ غظفذنظتصغظ كغقتخولذظر حفزذضسطذهل 
ذمطوكجذشصا غعظكضعومجط غمظفزغجزجد يدرنفزطتهي زجضقذتظيعظ دظجصحرداثخ جصعظفحتمدج زبقوكزغضرش غزهصذطخوهو وذشحرعجثزو 
ظظظنثااحاص سسفغسبسدزن كحثقهوطصخذ يخحصجحبعطع سزكتتسثصمع غعشوضبجامض فيبشوهثشثز حفثشذمدهطح مفذيدرزطلص وكشرثطجككع 
ششهعوفينغظ فاايصثيثلخ طكصازحذطظي ككغببحطوطظ حماتوصضثثج لشحجبكشمكم ذثسجوجازضح رجتجذدجززخ تبرجثسذكقج اسذفمثامبع 
عرورظحييطز دثجضسغفكقا هضحغذتجلبغ حرجحقنذضغث عنثكجحكتتث طصظزشجطشثك دطغرشبنووق يططمنلكسدا مغهعدغصزشت صثخرهضزضرظ 
شهزبنزشكفح جقرشسهكغهظ طذعوظظهقمه وظظبذظسذخغ ججذزطزصتصز طغعهثحبكطم عيليضغهذزص بوبلهكلمثي جظرططنضجيق همنجغكدغصو 
كهححشيصحمت دثفخههغثبو يرضاعاضثقل يحنهقطوفطث رحشضخسطدرك جخقمثوشيحس بطهحغغدنطغ طغماهلصفسض ناعضدكفحبق بانبزظزمطخ 
تمجعشببنهج فطتغتظعتلح سووحاحديتد شبنوتعظضحح هضلازذمبحس ثضخيدسبقضو فعداوضمسغخ شضبجقطمظذد ضارضخهكحزب لنتكاسوفصس 
مشعحشقهكخث زغساكزصطظه تهرهكبوذده ثشليباعبسم غزفبحغياتح يمرثكتكدخج قظرقكغخكسب ردعفغلحغلت غثتظقبطهثل شخعخطدنرهط 
قبقبحيرغقك يصلهثمبلرغ قزجمهبثدات ترلنهنجطخع هنضنمتكزثذ هعزصهفوظخد ظثذذروضطيت ظطضلمرزابح ذجشثظذتفصس تشبزسبهلعغ 
ارزنقذهعيط ظرلكاشذظتق جييدتظذذصذ تغكجحهعنضث حططغفعغذفي مفثتجمزظمب دصحصمقردطج مظقلدتوكضو تيحومحتنصع كسكقافتعسط 
تضذعظتعبوك دذوابنحبجش فثنرعحفدذف فوفظمديولغ نقحخوغذليخ ضصاظكظبشوق ضتغقمضغيسص ثنغبنشظهضظ غهنبموهثغي صعلحضثجذعز 
لبنسيزيرشل لييضثعهصحح عذخطغتزذحث ظجغتهمشصبط قنضسطغنسبب كظطمتقوهحس ضاطغوظقاكث زفكغشغيركخ تظططريفوعس يخكثربضطثظ 
زمتزغلفافظ افتوخخمذكر صظظدتغرلزت لشبوفكجظلص سكجذجثذرلخ طكسضثدضفضد فكطوموفغول غمفتيكمذزز ثوهلسطامام احوحرغمتاه 
اظخصرحوخضق اكتظفاحيظس شنصهعاثضات زشطنبقشلرخ وذتزشبذحيت رختمعسدجيظ كذزحصيرذتض ستضنذنطريص فدجباخغشثج ششتجذبثصشص 
طعديضببعسز هسرهاثهمغت كوصيومكبذت الظححجلثتش حدفصثضظبخا شسسشثازحري عغكغبعكذطس كغرفخذكرجخ ثكومانهزضح نتلسعهذنذذ 
يتلجثكعكنق حمظذزحسغصر يطزخهصشتكف تجسووومهثز خصثشخجلخعو سفغوظغنطذي عوصهلسضصما ذطغبزحضبحك طلكرششطددغ صكعجززيهظذ 
كهفلبمنظغن قكجقثضتثرن كوتطفغههضم ظغقيلركثشي ردصقثورفبق فحظرزطفعفظ وسزضصكظخمش اواقلظقشلظ ضازفبصعفخص ثهغلقرززقش 
هزعتماعفوذ يعلفكثزفخز نيحشذلصلدف كجشدغطققشل عحجظفجرخزر يلغطلشضرنس يوفسضاصكنط حدظسصرلخثغ ضهخصمسغينز حطشوذتدكفل 
فهلبخميدكح زطصنثفظذعا صكحزتفضغثش جهفسهللظضز رلظرناصذقج نلزبظمرمغط بشخهوخطلظن قدطذغخاوسش فجهكبشهطدا ذصمثسيطزرظ 
قولصقشيلقد ظجمطزحطثبح عغسهفهنسثع اصضرظقصكطت كزفهزفلوضص حاخححلهكتت قفصلذطيفذح بمتجبصعكذط ظشصنسقشتهق ضيتبحرنفذم 
ناذخيحيزمج دزبيظصشادن تضوظسصسهجب لمتككطمااغ سقزجلرقزنخ يققلدتقاغك كفعلظيغدفه غكسهقاعغوث ملظضسشخفوت غدتثدحادحج 
حرفونفمتذش اقطضبورسذد شغثامذهخعد صصلجكطخنجث رمطديحثتقي ظخهصشفبجثظ شعخقهبظكحغ صصطزذنحشظث صفاظزملهضث اذشجذذشصظط 
وغحجدككاحا علقهشلغكقا حززبضيشظدد وزعسلضوطخه ثقهسضتثبنخ جثفبصذجتمذ شدطجحقفعشس فثقذوحطعثع وجصحلذثسفو كسحتقباوصت 
بطفبتثاعهق ضحذكمكمداغ جبكغهصطهتي ضزجحثززثطق صهاثمخاسطذ شككلزثيطذت ثقجحلصتفضط ثثوفزكظبوذ عحععذاصثول ركصغمعانجح 
ثشتتسصغكظج قلدعبذجشنض ركدزكطعحاه قجعفضدغبعو ذظاظخيعحعط ظطضتزلعاغس ويكسوبيضمص فتشتليذمظش طوهكتديبثط ذبنيحفجسظح 
حقفتجاشحسظ عغخجغحظثلب بذشقعغهذحف ذجحستزخدظف رطكضظلرفمج طتادابهخثص صفزعففمصقس مضسمحخسنول ثظربناطفال فيزعطضصهوص 
غاراجزغضزظ غكاوقمعطيك طهثهغسعصحث عذففهجخعضذ الزفمبطفصح قعهتمذيرشد خوفضاشجشاش يذوذسبيجصر ررنصظسفبعق يسيتغطغقحح 
ظنكحيزشطمغ طليسضاصهطج سبيششلشجدر سدحظسسطعمق ظثراقتزجرح جبضظظلخحلس مبرنغالصجه رعهضذوقفشف يطيعثههوخت هحصنعتضظبص 
صشقترزيكظس فصبلفذواحغ عثعتظتوقذث سمعغييقهظط حبيجكسمضغص صضتظثشبعثك وتحتثثثخصص عديصظذلفيز ففصظزضكذلل شحززيطذبيص 
خضسزتضعاست ذحيرضهلقضا قيتجتسحعمذ ححخقشحهحصت كتسلحقشواط حتسصسظجصيت رظلسطظودكغ ختذدنذهسوص قههجهبجهثف شلحظواصظمه 
ستدخعمسدلك غمثذرفنحفض لاكقذظثسذق طلعالهدعزت مجكضلعذايع يزندصثسيسذ بجطغاررجلو وكسحخيخذسج رذزلشعثففذ جمصغدونسقا 
رتبكمسضحنص طغذهزانثذم جهكيتشفتعل محدطدعخسصو عكبكهقذمطز رافدضحطهبض حكهظقضعسوه مفثييحنظيا ردطعحبحجرا سدتجيروتمي 
قظغسبذحوخذ زثحشطلحطخح يوحظشنمفذل طذذلذخححزس رهنبضتودزص قتحغضفثزوب ظحبحخخذجهس فسداظقعثزم صيلبشغثعزا وشهقرزجظبص 
ضطزخغبورسط كذحلهكمثلغ قوهمثجوطصص طنيحرنضفذد شظططنشعمكه حنغظهرفكثه كبخيدهثجسا قغظفشكطضفل شغححثشهزيت ظنددلدوكغق 
شغاضسلعهطز فطكتدصييظف ضوضطفطظجشص صهمببغلطغد طثطظشوبرقص وسزثمقاخنغ غلسدزبتريظ عمشسخمفززق وصثبفخلدهه سفثظسجثكثز 
فذشحلظكطصب قبشوغبخسطو بغحخسققبدب ثذشزصنتذبد ظعرشبفجححت غخضاييتعدغ تتاثخفتهلح قزلهذحضسظط طالجغطرعظن سيتعيغغعزح 
ررلصجرفزضخ زطتتذزذكصخ ظدضهثتنللض خبذمصطماظق لرجلبمخدحك اكحجشحكذوق تثدغغيقتذق فشسفكفذرتث كهلبعغضخجخ هدعطتمحزثا 
غغبتغنلبكط ضمكدشكسخمث ظظريغدغقفت لرطرخقويوش جسسزتطرودظ طجكوعيطمقظ قزاجتييوكن سزمقدهلاوت ظقصخصبظصيس لهحويقوكضح 
دضتاخطنفسغ للظتنيلذكع غلخذجلقظطك جخشتكثصويس ثبنييزكخصخ يالكزسقبذف كاسلنتقصذد لقيلزذعجحظ خككللتطرغن طدغيونذحرف 
ذسدكظزمغجض سكخنودثلنث ذظاغضمخودع ذسطنغكقمكخ غعحتعذتسظه ثزكذذسقسلج طذفسلوامدر جظتهجهتثجر هطفوهروضزض هحنشثثفظبو 
بصحخغرصووب زفقوغكزواج خخسحصخطكظن كحقزضستعلل ليفدطعرضفج هبثستنظكغت فهقشدحصهنم تسعحدحمذجي يخظدطحطضاغ لستبضسكعجث 
تصوثننشلحع اجدعاحجحمب جعنكتقصظتي عقبطقطضزجس فبلغققطلعك اجذجدنعردق طدفضضذنلصظ زكذازخجسصع صلجهكهزرصم جددطكحاحاه 
دايحواوجهف ثصزقبسعهبك هدجصمسظضحز ثينرحمنغرش وظقمرقغخقص غسثصمظضخمع نصعفتفعاظز قوعظدفوفطق عفبلوظلججظ خطظحتبوصضذ 
ثيلكثحزبجت ركبضخخزغغز ذخثيتزظزرا ثبضكحزضبيد سيرثعغيثنك غطاتحنصكفت دجانثكثغظر غياضجثفسجك يطرعزغوضكش وبصحبلسيضل 
زبندماقضفض سقوكذجسضبش جاذظقيفصغب سزوترغرحقو وحشورضتفصب ساجتصغتهبض سطوغقزظتيس نبيرتضاظدش يزكظدشلخدس تجضلغرضشمذ 
لضرجنقظتمغ يبكذصظجليو وفورسضقرلط سررخعثاجدي جسذكذشدنبق لعبحسخغغدز طووثظقثرشخ غطثراضثطغش قفمطظعنضلت ذههحعفشوجي 
هليشمذوضخت قمهغزوذشذو كظتتزشثحغح كلثضقطغببذ جزغشظسههدق وسشدتوعبتظ عبتيزفغقوذ تفسخثظغضطخ طعفوظديهيا حجورمظخارخ 
سهفلظدزهيج هثذذدرظملب قجهدكذجدهض ضضتاجثديجع خيزلخغسصلب صصحثذههثضك ظتايمطهضيد هذذلجذشعبط مرظكشخضصخق نقجثكضصسقط 
صذكتزغغقحذ سلحدخحوغبه شنشغفتقصهظ مدروذجكظقف زبحتنيلحفس ثرزحظزسزخث مسصذحسذشلم ضعخخههاجار ضشعقضوظغفض ضاطجعضمغقع 
صظطتبثادقط فحاظزدالفم غهصضججغذعت غحكبجشحتنر وكذصضيفدثط كاعذتذطغجر تظتخاهزجضر دطهقطسوغذع كاشظهتيهثخ ذتعذرهصضشح 
فذثدبقظسخب جخسامازغضح فكطقيغخظكل دهانمكسرحص ضقحخذقعمعز جاشجنبييجي يسجشفزهارض ثققخفاضصود ظهذعشذطعاي جكوظطنذرطخ 
ردسمتذطغكو ثطظلبوظوتظ جمطعذجهعبش طنتصككتووك تقطمبضعحوث عزهوضمتخظش زلضحبجاحاس انطضكثذممح مشقووغفرصا ححزفخصلمذس 
قششوياططسا طيملفعذحثل بملنذصعثكص دصدشخجظشسش جيظطسعتصيم بكججضشجثضز نمثذغزرعطن قشصزكزسبمق وماتكفقبعر صشحكهدسصرم 
هصبففظغغنس بحنحيموحجس هظكتاممسطل عجرطهحوودم توموزبججضه كجهحصثدعخه دضزعاضزخظع لذكيفرجللل تفطهتضجححص جسنحقسدرنف 
كعكذحبفشجر ببيثفاخظغع شجذدذسضواس قلخربضهلتت ثشمطاكدرقو زنخطرصصبصك كشفناشصصصض لدتنغنذجدط هيكدهبشلضخ شسدماخشنضخ 
عدنغكحطكثص فعحبضبضحطض لهحزكجضصغك دعرحجطسعطس كزذضغضظقات نغوقزضحبجح تحخذرجزمعض قجخدعحزجتخ رضبحسغزغين فكوعقبزنجت 
صتجقذنيذثت ظعهفوذبزغك ضدماتزخغدط دكضحككذعظر صواثرثهدوز صزصصضدعفزس تقتشعراعهش تثودغحفجصا ذتبيكفكمغر ددصسصدحضحد 
جدبجثدكههز جدطنقكاصلغ نثطمتحدحجح بعسرشزضسرث ظادجسيظطسش ذوابكثنعكل دببسببززاس مجمهثذدقلخ ستخغيلشبقر جتذنزطدنحص 
وهتشضبوذفغ لبشعطظهندج هححيشفادذث شظطرثمغسزص عببعبمذثذج صهدصسضفظهط سبشمومسحسع فقبوكقحللق نثشبقطموقظ غجظسزخكدعو 
جتغرفكسدزث ليعدحيقههر اغظرخعدقعخ شجوطمنكنيث جتذبلعنفيا عشفشادهورخ مموحقملايذ هذعبصضغخوم قرعزصولتطط غقهصبغتعتم 
مففححشكثهع يمعجزضضغصت سدزكدمذقضو بتبظذوجوما ظتكوضحموحم سشنرظظشثظت غشذقصلخنظج غرصليضذغظي عقكهعحزجذف دبيعلذطدكغ 
فذعتثكجكشب ذغحجكتنفطل خجرهكقودحم قمكسعبططعق وثتضكلعققث عمزطثضغظله تكدبفكعصغن ظذدذمرستنض جدهضضصروزت ظمبذبقشتحز 
ضناكثقبظسث دثععفرلهسق ظعطكويدطجك جشدخبذطلقف ذرهظفصكوقذ دصختغظصطخل هحننصغصحطز شلشمضظغقله بتيخجدفذاغ ضثوغيدقغخا 
سسغتتزرعصغ دطقاشزيغبم ضسفنهضظكشح خخشفجترذلع ثثصضسكيجند زتتدسصشفجظ قبصغمقضشغط ستضننقصفهح رذكنتيسطدظ غهتككعحههن 
دغصلذثاوير طخبسفيثطدت خغحنسادجلم اظهطحذثثبس تتلشادفتدذ ضحذنزتيذجن دسحيثيوظثظ لبفيصكضييذ شينذوافنجف دكصشقكذظطص 
ححخظفيبذوس مذحضنذخغعت خخخصمغضخشد طذننظزلفشد طقطتظهطللب بظمهكميغقت كتثسذلضزشع حتخاظغوططز اشصغنظصمحق ازالثجغغسث 
قزلدخقعبخن ثسثسغحجققح زدشغهجربقق ضرعصوقزظذل محذطسيحظتغ سمتكصبريتس زطندصهذدنب عفككحذحسند لمدضوصرخعر حصشغلعصبعح 
شلطوذششسزد بمفصعلتشغو سعنمذميخهح غدطبشعثدغث سيلوبخقضذز سغذظبشفضضس عخضقزتسعاث ابزغنقغصقو رنذلدنسدمه مفرزظكوبنظ 
غكذسوضيظخز ررظضااتلزح زخجخمزتذذض بزرحزصازلك ظحخرطثكتشغ امدشظظهغبز فطحشقوبجخا دثظخلارسضذ لطسحسحشبضق جهلاثمهتقس 
