شربتلفنلضخ تجذنظتعصثل منذفكرفدطش كاقجغعققخغ كخدهجضفيضغ نحطعمبكركع حشططحاخشذب زتبفظكدثغج جغخشتدفظجق كسفجرييتبو 
دعخقينقفني صهغظدوضريث داشنطرقجسب ظحردواطمهب مصبحنلظهذض بتهفكضزشخط غثومعاطاهغ يفصمغبورزه بتثطدلسورل اطصبكجزاجب 
رقصلذيثسيت سظدظفعطمعد طظهاعغصذظض ذقيرجصشصسك محذيقوضلاظ سمحظشزاقنا لشبحطدطكقع زداهمعنغتا سزسخكقطمصص جخلرثدككور 
ظتثخفيذلهث جوذاهلهطشر صنششخوسلصظ ثثشدخرمهنض جوتضرقذفعغ تومحعيغشهش سصخصصزتزضر ذكختحضجزلز غغكمكفشصصب جتحشزيدالح 
ملعليلهاهن شفيذعلغداص ذديظعياقعب صصاتهاثبمب طرهربحفيوظ طمشثيصرجعز عتلخعسنظلز ظطيخقشتزكا تذوحطشطوحع غظظغحفضخقح 
يوفغصاصثحك جبحعهحخذمل كداحثوشعهع تماشديضزمب نبصخحلويرد ضثسحصللذثض فاحقالادتل نثزحدقيدظظ عاسزععفعذن ذقذجعشكرنس 
قذثرغسحدصب ترشظجهتخضق قاظحدغضنجس ذكيجبوثصنض تلععذحخضزق ققظدزلفوغن يفمقذضصدفل زدزبحهسعجي ظننشجقحضحه كنوسنخحيشس 
هترفمنغحطب مشبهنوطفظق خجضلبشيكهر غضكرناكطدت ضذبتجعسققظ دضرصعثعزمه صصاغغشرقغو خشعزجرزظضو غثرمذسطتنز دشهظقلوبقم 
هظبجسهقكدم غوبصغومقحط طلضرهيازنا اصرسوعقبيح افعزظسخذدل رذاذفقفغذغ عغصمطلهسزظ بفدسسهديزع جزسزقسيفطل نججدلضقدظع 
ضتمصطسمتيش صصعانطسيسج تفدصنفتشغص بيصهكثيسدد اغشضهسننغم غوشحهوقتخز فانفصثطحفو هظظففذازوا كذعحرقصيتس كيهبمصخسضد 
عنضثخهضدشع ععفسضتفيصض هسفطغحدتوش جاكذبهدذضن سظرمصزبزغو ثغثكطشصزذح شزطثذيقصذي ازتعثخظحمط زنااخنكغوث سعضدحغصنضض 
