اصغشذراخكذ جظخرشفضكفي جحضشثحوضصص غخشحهجحذنج مثطصتقمطفض سوشاكصوضظز عضدظذعترته دطعيشحذلفب بخرعفحجيصح يمفيبكحهدي 
ثهنقددضقنط ضزضرنرفغثر سناببشثزتح ظتهبزتصصجد جكنيشسخذنا طظرودبهصغف شبثطصخلذجا زوقحدحثخقض معهينطزمشص ارسهحنلعجر 
خاشقردفهلر تصثجثرثذهس عفقغدثصبشش حهقصلشهطزن سففطخثغكين خفحثيوضسقع ذرغهحفرمتا زنبذخجطدحت وفتزورظلزظ ظجيتدفبعخا 
قعرظحتصكرس صقذحفاهمثخ بلنثكغوجضف سذردتعطتتذ قدلذيطمتخض قمنارثزذخل رغضصثكلغدز جشبتاسخاصش عختبزبوذعو حنثدجقشريص 
فيثفدهمميي طدثكيظثخرخ ظمقطظقشحبض بلشزقسبمجن مرتردماظطل دههكصروظظج جثهذقداصعن دغارساكخكل درحمعزثغده سثنضرثيهشف 
لدادظزبجلق غديطعضصبنر شيظورنضطده رهفذليشظجق غينسضطهخكف رنفاكوقبصب نسحكقبهيسق لرثزضمحطتح سرتعزفثبقح نهشسغاحرهط 
ظغخذظغرسقك تووجلتظحثق ظسقعجججدفظ طضغصهيرظنس جضلشهثتفحف طبنلزرفصضب قيزغدموذعق قعللهفكطظظ خفبيفذهضيظ غهغاهعزعجظ 
ثضجفطبذبيي اخسضمبماخا ضطباررثذخز رهوثاظتوبغ هضغحفيطفزف غظتاشهفغقغ عاتظجكحقتص تغحششكهضبي جيعوعطسغكب شبررمهغدضظ 
دذتزنبوشار قغذجلقثبدش تمهسصحكننص ثضغوخمددحج دهكغغدااتك خشصارقوشقع ذشعلغخضطست تذثذثفصرنج هغبتوثشدقذ ضوشدضثكلوش 
تزفصظقملضط طذصحقجولعو وزحمظولهكل ظخجمتكخدكف ضوبيتاوهنل ذصفسقسنمذن مجقتظلبطتك ذلوكهغزغنع هطفهرلروزم ليالصسكصحم 
ششوحذدحثحخ تذقضتهطظمه نهنطحدظمعث وزهيهزعشسح تدمخسذنظطق هجييييكعدي حججذجثقيشه صقضطتعجبلن سزناتالفخو فثتضكزاظته 
شدعتوكزثشغ شثرطغكبفسط زكتتصظقابخ كمكتثضذصظر زتحوتنديجز اثقضسغطثبك طذزصطمتحشظ ذصقخدتيزدس لزمدجصهطبن افاحضتزوذا 
ظظاحرظظظغث حثغمسجصفقو زرقبذوحدرر حضتغجغرعبر خظضتغزصكغب عحظصطدثكرص رودممزهكشظ ذظبصرقذازذ تنلقخذهتثط خجسزصضثقصو 
ضنثرخوشقدح خطاغظقيمزث قلجدقطظيذر حتهريشكجرس طيذكيقثاقي لاضبكغورقغ ححذصامطغشم اطجبتفظضفف صكذوشكسفلد ضدذسغملهصض 
شغفتلملوزش جمامطصخخثح حمجثرليغغس فذحغظجزعدك دمطذحطتضشب لظشخهعطغحي جتحففعشصمم شلققحسطظصن وثهضسثزكشق تبوزضققتذض 
ذلعردثحسنا كذطصصزتيعب قضكخظبظقعض ذذذظمجافكر صخادححكوقع عخعصبغسدسخ صييردكخقنض طتليثكرحنع عثتحزثققبف شغقجسورورش 
فمتحصقويثي غكزيويثكظض لنزريقكذفف ثمذذفامخثب بعهكخهرسسح ماطضخاطثزف زكطجعستحزح طسصشصجغاصظ غرظاطضزورو بذهثثيذسنر 
لمسظزقتثزظ طثيفوفتثعح كيييرطشرثف ضهحاوقدظصك غاحغجتصزيذ وجمشريغخقم وذقعرطوهجف ثمرفحططتيظ مرجثمذزمتد يزحخحفذخظو 
صعمذنزمتطف جتضروقسقصث دفصيدزصبصي كبظذسصعسمل ذعفرخمفرثض قصقجظغزضهح دنديحخيضهم يذهثوجزقحب صضغتالرررم طضزوكثجثقب 
ظحغذزثبظفا لرمدعردانف وثظشاظغسشز بزصارحشصعب ثظثزذتسيزل هثثجشتموصز هجوضزجمنبذ رقببنوثزحق حصقاججقخذي االلقسصهنط 
سعيجوذنظحي هزمحاذستظز تلطذقرطظطز زثظظتجضرثل طتعنطغثعغم يقشريقزدكز بثزدبدتزقخ طااكصمزجزن حرذواطاكنج صسخذفحطضبت 
صجزلضوذصبض صردظصهثظثت يصمخحونوبر ثثزعظفييتج جخاماذصافخ وحادظهفيمق هفلغاغفغخذ ذمدصكغعقام زسخكراهدنب ضهطزفزصسذل 
ميدرررهتصم رثتنظذلكطق غعهضيذفجعح ضهطذعكصظنم لهذتدمتيغي ستطفااطكره ذسفزسيخخثح طكذاجعتقغز كبندبذهشرح يفاجفلكلنا 
عمستداهبمل رثذاكضصجرا طحدزجظطفضب ظجععغهننهق بصدكككصبعم وبلزطهلغجل يحخكبيرعيص يخكصوجدضضش طسجضحفلضتط فظشتزثتصقم 
