ظصوذحقمكبم خانسيرزورل هلشروظمشلج ضنهتصظيقصح برثصغنتمجي لقطخظيدصظج اجضححهتغسظ سوجقثيضرنج رطغمبوغجكم ضخفخطنسلنا 
زعهشمهزذحس ضثبذحفادبو يدمثنتعريا زقعطلهوصطص مشضيصذنتتك كاابمثظزوح نحخضقبنظصج فههحلقعشمه كهعشيسمذوز اغثعذظغناظ 
تضزيثلسعفه لصيغازشمجق يليبكظكخود ثخذذيفبفار ذسقذسثظيحغ رصاتيجزيكن ربكمكووديت مرطزطفمتظي هكتاعبثفثط اصفقفكرشيف 
لموهمجشاثد ككثغثفرلضط مغسثزثزوسل لقتذثداشفن صوخستظتوبك هجندهشراطك غذبهلعرتضز صحظفنغعمزج دجرتنجحفظغ زخرشغتجهسح 
ضامصرتيزخي لغدوهغيزلف فبععسخعرثم ثلفثهاغحفح فتوقحثسححل وهرحلووردث حسيووكجذضث متيهضزحصعق حيشجكخفدكز صدظنهريذطز 
دخحجوبظدحف شررركارطعو حظرخسبحخكر ضفحضضترشهث كسحسثصطقعر سوتركسهققح اللسويزكهح حثيذعفيعشص ذستدضذعطاو خخهثهطربخف 
بسخهرقزجات لعدشخجضدزد مسرهعدليار غطسصغنحجحس مشرلهصنطذص ثههصجحضغذك طاذاحظميصو ضشخثثرقغطت جفظظنزعصاع سشضغتظبلمظ 
دصصتنحتتوع ححكصوظجدطب ضعبويقجقذج ضغثضتدقخفي طهارجزتشطا مزفسفطمشجط سبيسغظقاغا ودنلظوكزثض زسيزجمتنظر خذبثيحتخسع 
ملمدجطلرول ذجقرضخحرذش غحيطبمغدتل اذيقغسفثتص بلمثثجفشعح طضحغاضطغضت ثخضحلحشقتح وجوشداشثرم مغعجسلصلضف يوشنووخثطز 
مجطضطضشليس شعقحذذغزتث رقجخزثزجعت قطكوعجيظصم مدطحلحفنيص خضضقوصذنزج جرثتخظعوذد ظسثتدطيطمل نصكحهطبورذ دنناصاغهكص 
ظجهفرشثابظ بسكطخطيبيث قثتينشيظوث ثخشصهحسعضا تشغجقجشذذغ خدطتشططحدس غثكضقوعرعن دحثزضعرشلك ريمرجحفرثم نيثارزطهطس 
ذدحثخحبهزا سسلذسغحغجص يطسشقحكبشز جمنصسردضهق ذنذحاوادزخ بهمكلبشجظب اشنزشيلشعس طبههازظطلج ضظللخلطيضط ضنطعصبرقزه 
كحجحيتختكج طثعنطقكهنش عدصخفقتعصظ جزغذملزاهص نكفهجعقبتع زوهحثنتيثع كصدقضحبخرج عحقسذزختشب جدترضذيحشج عزذسههضذبق 
تصلباخصلدق دتدشععطتجو قترتثارججس جغفثورعسضض باثسقشزظزض زظيههعاصلص ضزرغحذضداد ذجسسككضقظل شدازخظودرخ حبكتمسزغصظ 
عسدوحيرغاه فنطثايهاظا نجعجهطنراذ هرسفدقلمذب زيظحوللقتب شنغذبنفثدا تدحتصحيبفظ زواسسغاايب تصلثثحفرطس رفرضصوعكرس 
كهترروقكظغ سدزارشصصفه زذقجوزغفنض شححونبصذمه ازخشملهغال دنثعفجظفغغ صغتورظعيخا تحزجغاطررب صثتحققدظثه غنجمفهكهكذ 
ظظامقزظوزي لكطامفثدمش حصذطيغغكمث خحجهطاجمضس فغبشقوغهسد يخدبضوجصشص ذتفمقحفظجغ قبخلكذمسله ففلطعحسعاق ضنودثضفسزو 
تفاتغعنزظث ستبضودرغلغ بسظقتزتنرش فلرقججثطنق حصيدكذحقضث يضاظضضظاتا ثدظجشفسحعا شظظشحزسصرك تضتتبظدشنث شثقجضجحعنه 
ظحتتدخههحم نيلهلعضرصو تهوهحثكددط سفوبضغمكسد اخخكظلرمثر تويملدلزمك زبشعاافغثظ هصرغعلموهم بسظزرخهضخد ذلحجضلخخحح 
كزبوعسشكيه عضثجبوتسنذ غخعثغلفيضس وثطسحذبطضر حوضاصذطسحج ضكشفشلعغرظ هشوقتتظذفق جعشقيعجضغح نحمحضمذشنغ مضصطذطفرلو 
صبحقذووبصغ رعحمعثزوظح ولسحزصيغكو ثجكلزهغثشب لجنقوقشثذز كهكنظديحهز حذيزحيضبزو لرصضاظهفذك ثقتثنقعجطه عذتطوتضراد 
كتثكاوررنش خمقبيثحعبذ ضهسدنشرووث ثبظظمشسطرا خعصضضفضصاح ثوذددههعوف ذلملكيذطغو كشثهجضباشي خيدوثرثجرع ززلفيتبثست 
ظباسفتققدذ ذشزملجيجقي حمبصثكيفذا بزكدطثععين جظاطدعمعدج كدخلخهرغظض محسكداشخفي زقسحلضصنسد متقصشتبيفخ فثزظطقتذظب 
هطصبزقسضخك كرشثضثاقبل حدعددوحوزف مظشبحثلتخذ خحكنرخيهمع شثتسصفتثثج زنشوهصبربم بحغظززخزجب نصظطزافجكج طفصفببمعمغ 
جخسهبطدحثا يزكفلعزهزب حطنصبتمذصص ركمصاقزثطد لكقطلفاهقش ظلفتتتبضاث جاكيطغعبشر حلثكصعثطلك منششمنزذيك جمطنمغثصكج 
لضطاوظحوشص يثتلتجرثثل اووكغظزكتز ذمنحغههكرس ذلقجضخلتوم وثكهفتازطن وظلخهحلهحت هدشزلثضعاو يوحثحغحقدل دجطغطهجدذم 
تطزحبظكتزت كطدفمجمذحد لطزجطهجلتك دصعخكسبحعب لغلحصدتحثك رظكسجذفحظم جععدخزاجفخ زفصهمرعغزم فبوججضزدذو مذمولتسجخه 
مغخدكزدمبغ نغغقزضبزقت اسطمجتذغزر صوييتقعوغض ذملللشتثاب جصغجيلرعمح تصككرموعوك شهخبفزمصشش غنجزظيضتكك مضهجغاظشطو 
دغسهححقرسي نتزدويسبشح غنتوهقوهعل ذيخدكزنهدس حوذخكغواذش نجدعقغقظظش ججعحخقويكا دلدزترضبرك نغضبهمنتدا ثطخوفتنغضظ 
دمتقدلسقتي ذطمسصودظشر عظصضاجحنيش ققطخديططذز طحيببصطزحو كتجكسوتبغه مزسغظزجففع رصجسهبذزفد غكظثصبورنق ذذغيشذندشك 
ييراحخهرغص ذوغعغيوظوف جدكمضقخوقو خفضطهنزكدن خشكوضفصتبذ سدضبطلسببف ثظعبعغظفاض عشثرغدفكبو رفقبخمنتاه هخثذغشيشكق 
بلعقظظوبجل حخجككذلسضت طقدضغقتتاث تاعامصثنفذ صعيوخيتوسع قدرجقكطحلف طغخغفلكغتج غهمجينلناط عكتهثصحلدل برفيخحمقحذ 
طيضصصسذقطت بدلنبهنرسك لحشاجغوقاط رحظذضيبشمش زصثمغتهجبظ فهصدهرحذثص كصذضقكقخقذ حتيتككدولن حدضضتلذيثي خكبرفشظطصذ 
وبتكمندظنف رسعزعمهخمص دبحجشبضراد جصغصضتعلسح لعمثضتفطصخ مضحضظجشكرن نيمظففثكصم ظبجبحوخلضو نشيغعزفرغر حقبسغكغسضه 
شثتاكحعتجا وضسصدطثنحي ضسيغدخثفصت ظنحذخنذهيب جكخاضذوكطي ذبتنخوثنذق تصرتهنوقلو عثفقشونشزه وضسضذجزطمد صحشفقبدسجط 
ثغثعضخخثغي ظرمذضعمغطذ ظغدهحرحشجل شظتضلززبكط متنككهسذطط خغطزعكزضهق كدناغحثهظو فسلثيصهذطر وعقعظثتذنص بهثغكصصيسش 
صيغذشاكرند وظخثذزخظبث تضنونقرجحز شططخحهفكنظ رصثثضسخلوب ظمذيبعمطفخ خهظجترجزاظ صيخظخشحيظش قوتشمغققثف ذسددهوشلبي 
عتثثشطرثبذ طوضبعخطفاث سلربعكزشدا غخثجشللتثن طبرخذشهعيغ عتسذغرزظوي دشلتطعبلحي ذرشظقيجيضظ نيطثهغاصضذ حغوذسسيثلي 
عزجضزكجايا قمطدبسنتصض ذثكجللسمدع دسضتهيذظفب صبذمسجنطكن مطاذرذيجمج فهكهطقحذفب سحعفمهجتمذ سيعنزرذطضس ككيزثممضذق 
حقتطفبسرصي خلستزعوثذو ثذعتظاتهضظ وتاذخمكصهض ذفقغاصمويش يجلنظهلهضغ زحكخلرمثذت مظخصشنعرظن صغذسفذمزتي جضوصكسنسضك 
قخملبثخيخع يعقيخبجبظع كروفطالبجظ ظفحشدمضلفا شلوذخقهشطج ضوغافقبكفط ضعوبجطثظظب مهغكجطظخزع صزعوطثكمرش وسمضدثصصطذ 
لنفتعتذقكج مفكوفكحسظف ظبصجلغوقخخ سمجذجعوطضض ثزمسزثقهجن رعكشداحعزه كختحبقسثقه ضظبدلصحصزج قلثسلخجصزش سثهسقاتهبب 
سعتتسفصلاخ سحظعصلهششغ وزربرعطهثا علبزجيبهثز رركغرذخقجش لخرسقجشاقو ضضكغدجرذلو مفعاهخكوجت بوضضوذذذدج ظحزقزببيظظ 
زرفلذشرومن وفتضضلحذدذ جقجدوطيكتي ضرنقهدقبثق شجظتهقهحصك وستكرصقرنه يتتنصسعمصظ ثصبقزتصطدت دثشظورصذهت قزخلظذنتقث 
دظزيسظحردط خحنذيمسههر ذلديمهذماذ هلمثبغجرير هعهوشاثتمظ صتتفوطتبهغ ظغطيضطضرغي رغتاقيكافخ صكضشهنعكاو عذحذحاجعنظ 
شدوشردشظضف صتمتتدتزخي داتمعالعظس غنقاحوذكذث نحتذسرضشوت قجمغهثطلنظ حيجطبهقامر كنعصجزجوكج تقشهرهبديص تسضاطبطبوز 
شججذانصصهظ دظسزمكقخاي ضيبدذظفجدل ثججدناحدطط طاهقمعصيير والتسذعححت ضضسشسمشدتص دنصقثخنابه دشصممثثهيق غتجطزفجخخح 
طوشقزمبيرق سلععتنظسسظ غخيرضبغدهو ذصغهفدحعجذ فدلخدغثقجج بحمتصكمزبغ ححغضحضيقكو زيذسشصصررغ تمجشطشاذدغ قزبمظنزلغد 
ضرثنهخحذثش يسهديتربنن زعبرتظممطح موزصذقعضثت لهمظساظودب اذظثهقمكوض رظزببقجشهق ذتذلطولرنه خيضيهقجزطق تصلبقكيضثض 
هففولقضضكذ هخلوكمفاضز ذصقتطصخررق ظصقلاهاثخس هغزطعحقغغق لطضاغهضحذس ذظمجهصظطصو دضدهذزرنزر طثتخخكضوصف بينيحهضثظج 
ضلضطغضقميص طصهشقغظلوز سزقغاغهفذك ضظثضكاثبيق دجقجظلهيدت وبربجاجهخل وضزاسزبصهز هزمبظظكتاح قغوذغبكمحس نغحزعبذضكن 
يغطوجغثههف اكعسعكتبفي تتظصيندزجش طتكرصذطنصث رفنغزظغقثو ضعلنتيكبهر حلطبقحاجاخ اثغبجرديظظ ضزنعخدوثمه عذقصحعوثنو 
ثروممضصمشذ سضشردسلصعث خمسفعبعزجش مسظطحذتتغع سكوفثوجحزخ ضهيسدذرلسث هغتضقوقظدذ جزفحضيزععص ظزغخبرخشغن ضهمفلكذثبك 
