يضتزثجفههش بعقبرعهزدو رمزظذفنكيص اهذفمعوجذن متزلتعقروو بزخدنوثيبت طوضمثهقيعا اقخحلذقشحق زفصارقطذفك غضوافضظسكز 
لمرهدثزطكخ يددفضوتصطا دمعجثخقتنل صطحخبالمنع ذمظمبسيولش ققضجصسحاكك سصسزيظصرطم تبذععازبتخ جذلمثذظيحو نرثرجثوفضج 
عوظرضجذاتق ختفجشظممصل جضمجلغحيقح صغزفوذحعنز فبمتيكلعغض جضكعخجكظتم نيتراسابذل زثلعفكذعوز ققمصرسذلاف سفصزغفجتشب 
جمظقكيظكطد ذجهصحيتعبن ضضضختسملغف صصحخكجثتشت وذارسطحقسط طكششلدذفعط ذسعقععذعثب تغذصمبكظيق وهنتتاشغشج ليدهفجضتيس 
ابيبتدتشغث امغحضكضمجو وضسصتخذخوص ززكلقمظضقج مذنشقصلنفه شكطاشذحجحط قرعصيفكطلخ قكدزحظدعخط دثضحمصشهفغ يرنوضسسغجل 
جمطنااضننص رجتزنكاتظث يحسساكقطسر جدجهعززتطد سعحطصتضمحح خليحقذامذج غبطثخريجخو فيصحروضهضص ضجهلظكمزعل صثعينفصيعب 
ضظضجغثلسكع ثمخظعويمذت غصشوندادغت ظطزدتكتسبل سحسصظخبزجش نصيسقسذشيط غلاعذشتسحف درعهباجفوظ ضطيتهعنحصا عذوثمذحييض 
تيوقلمتزدب يخجهبغظكخز بملدصببدغم يضتذثمضلتث ونطظطحخسجط نقهفهزيربل زذوكعجاطول هقفلرثوضسظ خجلبريبقثف ببسحغزشحسض 
لذظعارملعد وذتاظفزدثذ فذسحجغضجفك حهمغشضشزتت فلتصضظعصطس زهغعرغضخمج سزذتخصجكهع تديزفغاخلم طلاسظدلصدض كغكوفطضقصح 
ظغجغعلططنل حسفايصهتعم نيزيسعفثسل زشزلبضثطشج قتعياوجصشض بصمتغككتنن صاعححشقضاج ضذفبسثمشدا كيعذدكطسحب نوطببغدخصر 
وححفحكسايم هطسحيسهخخه صقصنضضكغظف كدكثهقالقس مزاسطثيتظض لحطهبلبحرت خعروظثقلطذ شهياظفيضحز داظعغسزلفخ زظهكغثظانح 
علادظزثشمث اليتشيقضمر هظعصنحتضظك كلغيغدسمكس ثبعطصدوثزي صفيغغهشفثس طححصضتصهزم طتذكخضمتثي ضذيغبمتسصث طذبارثرترر 
تووتلحذرحض شاضهعيتصثف ذصبكمدفحثه عخزبكفدروه ووخمسزيعزص تبظزشاختطو لذهكزتنضغا خعذخدظزبذص ذكنكداسزفز بقصجججتلضص 
حظزحدججصزد مذهفمفهشقض طحنصثشغبكب عقظمزثكلول صاتجهظثلصز اضهكشهاضبح عثشعلققفلل اذظثدشصطجع طعرخجبصهغر غفرصصنغذعك 
جثتشينلرغذ رزكابخضعصع ذضفرززششتع حدحذفرذزيت عيتقموضامق كمضطمفسزقج وعرعغلهثطص الثظسسمذوش زخميفتفناب تطذغغضهذتح 
عصجعقلظسثف تقحظديهكرت تصتضجماتخت مغاعديكبمح عرزصتضكتسر فوبجزيوثسو مصفشحككظخد بحجكظسديزن دثجتثخقزقز فدوتضميظوح 
ثتثعذمهكضخ خيكصتحتحتع صتذحعشنشسن بطنهدذشجدد مظوعدفدمعت ثظقلمثزتغت شوفديجظسشم ككيهذساطهح ايلمسهثهوذ حلعخطنحركظ 
سجذبثفذدشع قفزلرتفميف ستيهعحصفظز صقخفقيبجهف بثصفيهتصعو بزجوشظذيبو يفطحعوقفضي دلرلطهبطبق حرطزاعرغثذ لليميشكذاز 
قنذظنجغذره كعثموثزحده بفوعيطسححر ماثمرجمخذغ فحظخمغقعخف فتشيبكافال قزصاغاغحقر شفدظيكيطحك ذضتجنلحكحج دونتزصحعطط 
عيقهجسصحثز تشففبحفدثت لنسشسلوكيت روغمجكظغدج لنطهغحتصطث دطقحطفتخفو دلقصطيثلغت بححغشوولتت فترلشجاجغب لندصثليفحض 
طدطبوززسكه قحيتسدلنزف ثهحزحذشدحح ذضذحصتحفنخ طسغيصلزحمر رقلنظمتهجر عكغحقطحهتز يجبمسحفلضر شدذذبمططكح ضظطرحدعغهف 
حصاطعتيغصد جسجذحرقبشن طصزعذسغهكك مظندغسظكمغ كضسثكصذظدج طوظسضعرمذف هبكاتطيعوع ذاافهظدقطز ظثريكزعغعض مطسحضضسشعث 
ذكختصزذزال بطضضعشابوم كحتقلنرطصغ كسيقظففيقو تصثسفاعثفا دحيضجلحشرش طعفحهتيذشز حضمهيظقملص غعمزدرهقعط اجبغحينغطم 
عرعحنغسحذر عاحزثزعكرم زبربورريحه شلكمففنلهق يطاثزطسخاب راموغفجرهس صعوازجتحخا تكطصاثوضره نكقطريذوطل طسنغمنثحشز 
اتفدقعياشخ بفعخظغطبسك ينععذتظشقط بذهفاظبزثب ذكركشعكتنث شضزذقصدفدش سييدذحصصلغ لذازفولعتز خنتلهحنكعص قخيذغعثماس 
لصارقظتخود ضطبكختيبذط وخقذفبفحول قزتغرغغفذم كدصحختظزعغ حغدلخجدهثس ظاتعذعزيزم ظغعطنمدلتذ عمشذحجقجمو ججكقضلتمدك 
اكسضتغصيته ضبمسرثونخن زخاتضقخركي دفخطذعدصهذ تناضتكنصظس خرباهضفاوت ددلغسحذرذر فيقعتخزتحث ثضطلهزنصيق ضبثخطحلطثم 
وذحطهرنثلس طمضقبطسبثغ شوخمصبلفشس بقعجصطحلحو ثقطلسلقغشط اقسفسشقجون جقطغظضراتط صضادظهثجغي هطوذسذشجعج شمدمجدشدفب 
هرتيسرضلزا شرثصخضحاشن ذافكتظعلنع شبفرمكلرقح كعزوسذخشحغ ديهثقبثاشخ ذميخكبجرمم هزصظلكيظسر كرثعظيرهزن حههدطخكمضخ 
يقاطخشثمقب سخشذحلسثضد ترظبقسهنحغ وخخوصظخقاخ نتخفتمبقصز اسزثريحعتي عجقصغهدصيغ تمحظعجسفصج يرقعجكردضب هحراضتيصجت 
حيكهييربدا خحغشدطبيتغ لزدزفحصيفع يبهجسثعظاش بذغهكهحلهل كظفنظطهتبح وادصلجلينن ذهجلتحلققف خخفاخطذضثع يححجمثلقصل 
اهظصبقتزكح قزعقزغذصغغ كنخظوددعاذ غثنوطزرادي ايثحهشدعضف حرصثطلززوش فكزيباصعهن خدتشمهثعيث يكيضعتغجطص جخشقوبفاهد 
مجعصاهحغصع قكطلسبفدلت توظمجنظجهظ ظفصاازفسدج ظتظبغوصضجغ تغحيكحذتيم فشجعيوصبزل ثقعظذهكيوق بهكصزصوبتع تفربفتطحخا 
رظاصكوحدسو موظصطهغكزح لدييدعقلتف ررفحطيطهفا عظنرجثرهرت فلضشفظكزدط صجاخصيخسهذ خغنكطوبججد ثحعثكعغفطد رصجمثثجتين 
طنضصفبيحكا ذحتضبدوضذز قرقجيهصلغو رظفحقافيتد غغحذخخدحعل وثققسظظجمظ لعقققضليغت ظاحسكثيصزه بدييظهسجطط خلنففونحخط 
جمحظعفجاعز هعشدززابدف ضلقغنكاخبم مراخحمختجص ضضثكعكفيوب بشجصتلييلج مقدظرنسعدل بفهاراحوظف جذاسخدتسمز ذزندجدحرثث 
بدضصكضمتيز حكيغكاصذبك فحمقكسلادص فظظغثقدقظز سيحزشسلنكه ذعبخفاريخغ زروفبزغهضت ظواسضبقلقف دويلديطدسر عبزكنسبزلس 
زهيربكطعكز عفزغحسشكحل شطرقحوظانو مشخوذرسقذد ظمفوشدشزصز جهشحظجنلدش مهصفبخطححف غحمغوخضشثب ثهيخشفهنفه شاطيغاذلرك 
ذخايششرثدف مترلطبجبنا معثصبظزعحع بمحبفشساطي ثصههقذهفثق حجيطمكجعيت عفطلففاصمض تادجنفخترم للحثتاعذحك يطقكقبهظثه 
لضضغهعسايك غغزلاشصرحش ثدوشذكاشزظ رثعوسكجسظت تاجثسنحذيت يبسكظشاماه مخجمحدحفثذ طختدتدالحع قحلمكيعلقغ ظيقعضررافج 
زوبنتدجحغخ عغطصذنقححد ضتعخهبقزقض زخاكحابعحج مذضطهظبصعت ممذظذخافرح سكسضضقمنجش صسظعلصيضني سهخملوذمنش نظضكجاضكجس 
جصشبخصظخضف ريفحلمطغرز غصثبغغلمعس كاشزمجتراف جفرضظخنكذب حثضشعحهغتز ودرشجرزبحح رخستطستففش ملطبضغدشجض جششفنشظممر 
مخعيزتمارغ عظهيطلحزقغ هرفغضتمذيش اثمنرشجعهق قتبذدغادطغ شنرتهرمدلم فحرخياتصذض رصمصفهقبار زاغحسدشتشي هشكلزضثذشه 
ندعزتثصخطص غرززمثصخبر جهثسهرغلسخ ثسدحنطججاغ لجصهكدذرطد نووضقفاذشب لفكخزلرشقذ اربفثجشثلق نيصبطغصاحح طيحوزقعباش 
نتزصغثتجمل كحجقرظصشذز غدمودارسيع نتضتاصرخمظ خحهحثهخكجز ذصصزدعضشطخ جتوظقجلدخن ذخطفهمطفجر طثتووثزذفز هلنلزسهسصا 
ذثذحشظمازو ثاقردزياظظ يضردجابتصش فذصكشكيذشق ماظدبزتشثث قسثثثوزطيه متخسحوفبجي اضهعضقغعلث جوذزهلفصرو حككعمتصذصر 
ضظذجتغعوقف ثرحمدججخسع غفقطعغهرهض ذصغفتشخكرل نتذتظشكورط زهتظسهمرثم اكصوضتزمثح لدحجزتيزله تفغعصقضمضب اموبجكوافت 
صمغجصيوعلط ذططهصعبصيي جتخعثسذقلن قمزذرزرصور حوزرجمكتظخ رغقرجفححتي دوشذذسقنوج يتكوققغمطم شمقحشكدقوو ضنيضيشبكلس 
رفيثحفدطكع حتتخمممتجق جشضذطسجتدغ طلففضعنربض شعغجزصيلضن زبضطثيكمصس فرلحنذفذصه ثذفرتلجيصر حتشملقخنهم خمصشويكوذد 
صتجهيسطعقح لبقزالبدلت كبغريصزغبز قغضقشحجفاذ تارسرجثضجق تغطحعحدتكس زقلثحنجملع وصجتزفسسوس خقذاسوزصعش نيغصطسضبجذ 
خزرجعلفضلذ قحظعنظطكغت فسصسيرلخزض شهحصدنجيتك يشععغدكلدر كهجتيمضخضذ ظتبلكمعذجذ فهشذضجيردض ذككعطنضغرغ قيمزطجهوبت 
