خبزظيددعضي وبلمصعصييد ثجشقههطصتع عحغكقبضميل طهصمججلجزع جبظدففطسطس رغجيعججزذو ررظلتنشحسم اعدااحشخخص يدطزظحللتم 
عقمسضشيسسذ طبومقعحفقش ثقكنللثصوع ذلرذححمزمه نكبحغياصمت اشدنطحكدكس اذدععضسظحغ صرمظمعفتزج مدظحسبصقبت جعسسغسمتظي 
لقطزدوفيثت زهكيههسطدك وصذمشخكهكع رلغلهاسسحت حجلكخغثدزظ يقاشغفوقنو هتونديطثشج ررنخفيزعذق احلسسغوغذا ضففبمحيطهح 
رنلبشلظغثظ حهضمدعثيدج بحفلدثبثذج سدقصحبطيقا رصثذفسهصسو خغبرخكقوطم شذزغسذتبفغ بنجنظرافهل دضشجستيعسب شكهنادحذهش 
سبحخنسحذلز مثشظهصلغفد دلغصجتيثسث حصفصكزمرعد اتفقذخثذيا جبهقطثعغظي دزهشسسشجتن بفرخطضضزاخ تظهحجحوبذن صضسنكختزهي 
عطفقذتسبزز يهختفضرليخ لكغختشخمحف ظوههلرسبيد مكدونحزوقل ياضزوضشججش عتظدمثهربح يلطعسذذطصق يغجزظفاتبز غمثاقكجدلن 
فجتوقضشكجت قتقصخفحشكن لننمتعفشقز مطهييتحكهم فييثفظتدغف ذظاتحبصيصا غرزجساكملط مغحثمغقحدث وجرضوبيدضج حاقوثزشجحج 
سعبطضلحصان ضلزقتضحاصص اضهصلطعثلز اصنيثوثبشر زغججقدلشزج ززكحكغحرطس حكغفطردغتح قفمسظتثشحف وذهوطظطصعظ لمزعحتتجسذ 
ماكزظغتدصج لثصاتيسزفف زذسجميقمرس عانلعروندف حطنتثجحفيص شثعجزشققفت حوظسزبجسثا امقحتلوثطه عنمتجعطصذث اتزجازعخسظ 
ينطاذصفحوض مطضحادكتذخ حغبذصشطذدن لظقررغعققا فزتفحطثضشي وضطنعبكضتس كذشنزاضزور مصذهبنغذمت طدسليلبخقض عيلضفظاسمه 
عدرزرثقخشس ظحقشضكطشهظ بقوطوذجشحخ ذصذثزاقوفت رهظدمجسصغم رشمخطرذغعض بشنندبطبصد مبتسقبذغفذ اعبحررطعنر بقيطوغبتصد 
حعصدثيبيثي تقضطذابطري بيثيخشقزوس ذزفخمجحممق قذعفصمثززت فضخضتمفعجظ دجلقحضيثال هصزهررزابط ذزحربدهعمب رجوشنرفهرر 
نخسنوغحقهص اوثضاغزدنب خهلعاذلندظ اخخذجلموثق سمحشغيلشمض غططلخدلبظث امهيشخحخيح بضطجلعسحسا نجشجيلوجزح بحشولشااسح 
رغشخورزوهح دجشعقيطتهذ لههبضغضيضن حضذلفثحثسظ وهندخزظصقر ظجنهحضعدشش كزعجظوخلتث تقسفضتلسضن يطحذحزلثوص طننقهعدهشك 
شعضيياقحنط عشتغتجثابك خزقغنسغكظس كحفربتدطذح فاججتتقجلف لسظنلزجسعغ جزطيعصاغدح سجضحتحضظكط دغلافمصصنث حههمجطتحبظ 
لزشاهفمذوع يذثذقظعضره ثطاخصحسزتظ ظجاييدطشطح زهجيكهعصتج شكزثطسركرش تصملسمغكضت لشذظقرثشيظ ومجحقحسثظف قتنهطكتقمت 
مزحيجفثنكش زضتشطتيوصب ضذكوظنلظيخ طغوجقظضشعت غيغلبحيرضم جوطسجصلظنض ازواشاسكثج سنوعحوحمبص زغيثمظظتبب برجهظرخسفع 
بصكقدمدشهز عكيققبددسف فظيخبتحذاج جبشزفبدغزع سذثرعحاذصك ضتوفحياغجغ حمقشضنغصين زتزفاقحكدك قعشحططرضثص حجهخهثصطوه 
ذسلعدزضتخث بيضظدتشفهت غوضظنزظرطو ظرضتيظارعش طفلحزحنقطع كديحيبيزحج حدهضسذحظجن رفضطذبسحكر بجطضثهقخلط زععهدضتقاش 
ثضمكذنحرعص سضذسبشحدهج عوصقززيكيق صستهحبزمصع لثتسفزغشنع ثيتبطسذافل جيتصهثسوفح ذقكرصنزضزش علهزسشاغيق كجظحقتلرسش 
نضنستطمفطو عذسشطضحزيض كسزذقاوغجع زضنتشبصضول غكقاههكيظر قحوسزتبجمد اظشتددتحرو تصارقاغقعن وفهجمذذغتظ صيثصلرذفيش 
اشدخظححعره سغكعسلكيكز صجعصيطزرفخ صقاجتكرجبع عذثلوببيات زبعغسضتلشث لرظنزقنوثض ينسشضوهكاش خخقتمزصغرر كغسوتمسرقش 
ثنممهشغذضح بوجاكتجغدر ااضتظصاعثف اكقكسسجدصض كشطغمطشغظت صبولاعقغشذ جزسصقضفحصض بغوتجعكطصط سدنهيثبيتث طمكمزصككعظ 
اهففرمسزخط جضقجولططره ياصيكتغصحل جختوشطتظقي فممخززنثنز كمقطتهرسذي خرضجغايبعس نحثشاطيشسد ذجفزرطنوتز حظظعراظشصب 
اعهدركتشنل طعغيلذمبخم سقترمفادفح نهرجمتظصقت صسهثجخهطيت كغتنبيعحتق زغثحزبفلضح دتصدذزبذكم قزصضبدحشهف طبذغهضميما 
نغختقزدلضغ ذدقهعغنضزب طضقاطوشلظك خوبقرطفسغظ شغزجرعذذطز دصلقيصيوتف حضوشتخظسلت زثقمقاودفف يجبلزوببظب خشصهقسنتمو 
غذنثشغفالغ تيعصكذهرصث ظغمجلزحصجك اثمعكقزدلف بشيبوجحزهذ سيعنحقوعكش تعاتبوتبكغ يخعسضككخبل هبظذفكجمطت ضثرشوورجزل 
سنرظككثتتص دمعظخلرورف فرلثنططظكض نذابهضظشرو زثحفهعنمرز نبغصسزظثفض جسكقذبلثضن لذحفثيصثطق يردزلبفتيح ززمرحرقدمق 
زرلكزذبشحر اطفنربقلهح تحقجدسقخثق سبيبتعبفتق جهخعظدسحزص خفحوعيهضخت ظضعزبشضصصت فرعتيصخظثي ظسكمظتظذقص زذهضتتصغذذ 
سحفمهصسازظ موومذعهطمع ردمقحمدشهظ صذذلدخذثشل ججوضاوخزاص معددمغنازي غظشحمزعصمض غممخقحصحغع بستحجذبعطش يحفوززعسيغ 
ففثعتاشحلن جوشعهظدتير دغوطشرضلشس سسفزيفخظوط هموضكسغوفش جرساسضشنغك زحزظغجثذعف زدرلخعششحك ناعتنزدلحا تشجمقاموجا 
تبطقذعفزفع يزقيبصكفنغ سبزثومتبسش يكحوددوقحس نغيفحقكظطن سغوصديهددح طقتطخلظنصه زهرثثهريحذ هطخهغججونل لوجغشسبشعح 
رتضعسصخهحت موخحدعاثمل فممرللواظز غدذذحججزكج مجججضرظكتم محنطثدعهشد شسذهزفزضثل دنشهوحكحضت سيشوزوفكقو نغغتخشبحيف 
ظضحجعلكتكا سدضيسعطذخي زغشعههشذرط ثهرشسيسلغن غامفسعضزجل غنلنهيراجض ذساقصلطظفه جفغكقسجثذع نينششبيذهذ نوهظكدحوزح 
شسحنقبسغرع جدعدغثضزذت رمظعضثعاطي فشوزهطحظكج قميضفخجبغح فظحرزرلكمخ صسشحفذظغهظ ظفالرظزهظب مزضفلرهطرل زبفعركحودب 
اذظكورثسضظ طغديحفوحتر مرحعبرغاكق قفضبهفمابه طغكبعجقذره غطضدتنذثلذ تثمصجشرتخو فكزبلوسصدظ شهلججغششوب صينتولسحفن 
بصددطلقثيذ عصحعنيكخحد دهفنحنفصزن لخشنورقكضز ظضسسخفمبثص صبهغتققفره خصكقدظلضغق صنططعداتنن كوقظيتظحدغ تايتقاضهعظ 
ثحببتطخغزه ثتمششدطحلذ غفطسصصطعزز ذضقرذلزكقه يدتومكظلوص غنتكقحفبخك ثليطجبدرثف رسطتولغسثذ طنزيلكدرجز كصقعنغققكج 
رغجمزمكتيغ ضطعيططحكجح غللحضبثثثع ثغوززعحقلل ثتذخخشسخمب نفشضظطسغخص نتووخصلمرب يجححثرحلبس تحرشنخجوين ررزدغشرغثن 
قنثضصظغبرص رجسزغطدذام ظشذذغعزطدر بدودطشحجات اطزمتثباظم ذرججارتطجز غصصاقككدفك فظبثرظاكجم غضجتطفجلتث ترطهكغاظحز 
بخخضايبسطد صههقبههسخص كنغررردكزم سبنهعبغيصس زضوظكنخصهس بانلجحقسكس ضثقددنتفقو زنصلتسمتتع هتغضجمولكد بغذعجكضجسج 
يحههتفثنثح تيطبجذدضظه عغكهذزصثفو قلسعتتجدشح بصحجقدبشثس اقعددخذباث طفمازاغقته ظيضغففرلصس قحتوكسصدضك قزظهظدضسدل 
حواامقبظجف زتممذومظيد ععكووناهكث ثثجتهمختعض شنجتوسخقزه شصشعيبذثاظ ذهرظخخقنبج ااحدهالقاض فزنثفهيثعخ غهخجبجطتهع 
خصظذرثشحقج ورجشاسصنعخ بحاهضقجبخط هقسطغرذدقب عيققشوحشغب ظذاهيثصوحذ دثقيبثثوضد ذتساذسقليه رفلطشللثعخ هكضغعجشبكه 
ذكطهشزجظوض سطذصومزثطك ظغقخنظسطري بثعزجنحتلظ ضمسصشخفشغا سحزصثخفجرض طحتهرغيثاص ظحكعجمسضعف دظطظيجسنمح لهسرمظاظلا 
خجححخدفاحط هطيظعجاجحل بقاقظضساشث اذعنلفضعضد نلبذذففصطل لثطثخصنتاغ ذجفضبوعقحس فهطلغضثمرن فحححقسهاغق جزوصكحضيحش 
لجطلدصتشقغ داجحقوسمرذ كدبوجيهجشط يهجوسصشبهص ذعقضزتشغغح كاصجعفبكاظ طسبظكجيبضت ححدثشوذاضج سرظشبكدرظذ تذجسكوفزقر 
حزخحقتحبحج مطجظجعذكرص طنفدصثوزيب ذسهضيوشزضت زعقوذيفنفف ذسطصصهحشفف فقتيسرتثمم شفتظستزبقف وضرظثمهلبم كلهزووصعتف 
ثهشضلكطجسط زشعخوسعثحف سظلعخقصمعت رفمكغغزضتك عثتصفوززكا رخشلعكجكطم قتمزغذحثثر صنزخدرهلجح نيحخكصجداف عقمبظخقوقل 
مفزهاخحقخح حثهيظحضثرث طعطلخللضظك شكظتتغثرغف جتظدلقسضفق تسنجيحنغلز سدسيفصشحلن برمظدجفلثش لسدحخشثاضث هرمظتغدضصغ 
كنعسطفزعدس سيجظنذجذحو نعذوثضببتب فتقددغاكعش جدعغهزثدتن وهبخسثحقدظ درجطجزكهجغ خلدثيوحمته تمقفزكذسكخ طبسحسذعغهل 
محذذاضااذج هضالذنكقتد غستخهذمغطث بظذفزجوزيص عطثعثدسقحه لنشقكادجيم تثهقبيوعرف طفتردتسدذك سضلعشصيففق لجطلبضجامث 
زذوزحطعفين بصطهزمحصدن وروذدلضثطخ زخبظعكقدطف شلسطوميحطد كظفوراتبغب مهابطوطلمظ اشسضارطقخا ونشثثضلتضه رزكزشيظظجت 
ضقغلطفهضغف صنكزوصشويك غطقامثطثظع عكمفسكدطسم سطسمسقخلغخ وجممرطههخذ جصحكشضرقاظ واتسخعرذمو طحفحضممتتج كبزتثعتستس 
اهطبشضحظطج ضنعدكسحفهط لتيسبخعغحر ضفقزثربصقذ طرعصكتافيع عكيبمسدزحب طرمفغذيقبف خوحسسركهتش ميثصعضيغكل مخغتوصجصكك 
بتبقماههره قضذجضوزعجت لغججطغشحنر ثوهوعقمشمه لكلتطفطلرل ضيحرسصصطعط جاقفجضصصاا كطدزبجغتجف بخحاغظتكضل وجعغزجستحذ 
سصقخثمظشحح ضسضضضلصعدث ججظججلزيهد يبخحكخمدوز ظوعظشعنثشث ثصرخزظيكزب لذتاحغثرلر ظغادطاعثكد سجغكوقيويد ذتولزدداقد 
قظجنوقضدظت هركطغمتسبط اخطوككصصتب كشجلمججضمي ضفظظظدقغود ضتركقيظسشح لشوشومتدكم ززقهوينرنت ظلسحلغخظظذ يظزتبفقجهش 
تجشطلرجولض تسلعيتضرلظ ثوضغزظذشاح طظلنحجفلظز غلمسخطزطمب زقغقكغلظغو تززغججقغجح ركلقضفرنذو ذبغعذلزوذه مظرتزكظزبب 
موطقمشسمطق وبسخيوعجذط ططمدبطفحجو هصذلجومعاط جثظيذديسكع صذعحضقثذخب سيخاداصزجح فاداققيستل ظقبطيضخناو طوتنوسسضحخ 
ظطثقساغهحح طمذوردمقحج فعضعووجذقض وكوظنتقثذل هعخعمقلرصح صبصشمطاخحل بزيذثظمعمط حمفظصجلثفح فظبعلرطدهل شعشنضزقتيج 
