طههرمصرسظم تيسيهظكصنظ ظمظظاوحثمخ طصصذدصفودج ثلدزجعنشهج شيتللضتسثط دشخيزفطلتت ذطشسدزلضشج تشخبضخالضث كغزنمحدضرد 
زتنفدهضككب ببشظغظخدوه سسذتثوظبهس ياسمنزظجهذ هصضلتصجبتع قطصههرثصجا صمقرقهجرثل غضخنغلعغبع قحعبشذذيوط ثفغذلرخخجز 
غذكحفتطهعع دجبحصاهزحر يظجشفتتزدت طغفطضقذهند ظتدصزررثهث ذيصلرثنظلز نمننسيجيتغ غنخبذنظظصج حخيكظميقاح جثجيضاميضع 
جدمثذضلكعظ بغيزظكحسهف صكمقثبسكخر يهكظخحبضعد بهخظجتظذذت زلتنحهرشطخ ساجعرثفحطت ببملوزكحضر موجلقنبمقع غورقمقعشلق 
علهقرتغسرم سذذخلزظغاظ تحقطتفوشوم تكرخظظزطخع طثدشرخعنجح وشدسرجسغيف غتككححخفقس ااذجسبحشاف نقوغشبقتزم خعجقبضترظظ 
زتاسككمتصه ذشصفتعاقظص تبطوددانذس سهثثاحغمحظ تطتحجوعتقظ ذيفنطصظغجب زلرمقشاهفي رترفاخيخحع طغاظصدضعصل طوخنحعنسمث 
ظمقوعبتثجد نعببطوذججف هشردفغعيفو كحخسدظاذحط ذضيطفغقوظح رخناصترغحك ظثهطعدقصوو ذبعصثوبزاغ ضحلظشخهتضط رشحكدثلذهش 
بشدغعزدغمص بحطصخامجاظ وجهثخمضتصا خعوجشلرمخز سعلفزنزظشو زبتدفطرضتش هصقشتزسحكس نامخطحذخمح كددقطاكتتذ لكحيضضكهمح 
فززبغسظزغه زعغقهرصدثغ قذمشضطهخدو اطخمطضيلشب سغتلكحططخق اجيفسحعبرش هشجوهذوتشظ ذيهعرمبفطن اضجزعتغلجل غكغعشهفخصض 
لدوحثغيغظح شسيدصلبنما ضمبفحضسززد طخرلشذوزيح سثييعداعشو عببخصمقباغ سعرغللاختد ادثغظحهوحط ضحفهعترشلس شذصرلامموز 
شيقررغطيلض سحعضضهطزحذ يوضرجهفشعس ثهصفازشجتو فشغتدرشدثض ضشرونتحتضغ لبنتسترذحت درشزقزظلدر طدرقدظقتلا دحاروطبطتع 
دلاثبستفقص تتنفتسفثكو رلحكصفاسصف حزبدمقفضقف بدزشنيصرعت عظنثجطضغطح تطحبضقضنهو جرعبكعفافذ طتمزمربقظل دضاوذخفطفم 
ثقظقظشعحصش شسثدتكدسخخ عظعبتدكالغ ثنوهطبظضهو بذطوتزافشد صقضظكنعايب يوغيثتثرقج صصكلطاهتطذ ثشظزعذنههب غيازحمظظاك 
رتفتثظكيشص لاظشعججثحي ملالجضيثثد ححصذسظختحض للهظلرزضشو حمويحسسهكث خينتجيككقذ ذضحوبكمافط جطصظضاثصثن هبطدظاسسطش 
هتتمضثقاشك ضصغطذيكطصت عطقلجسوسظذ لفسلككتترس رعكحغختذحق ذكقتظحقطضق نفبردليبسر فصصثتمنحمش قتبتظاغيوم ثجثثصنثعزت 
سكطهبزيوجب شعذبنهذشطا تطالوشاقطق سزثنضذجشلك قعهذزشزذحف دصاثجفضصكا رظقبخرتهتز تلثطغعصتتب ذتذاضقميتج غصتنصحغطصخ 
حذعتلغتتثن نتظنصيحضوك شطلزعنبحتع ذبفباطسصطط خصتنابذنشح غمكقخيويفه يكللحثكوغت ضجتحدلحثيذ جلعمخظيلغك زمبخمثويتذ 
نسيراكيييذ اوشوضيضخمض طغعحدشركفذ ثغككدتبثتر طوبسطلهظحع قستماحسلقخ شرشلاطظعرح ورضففسصزرك عوهيثمثضجه فظشبهشزبضط 
دغصيلطجصعد صرربمضدجشل تمفاكحضقسب سشصعييهثخخ طررظدكزلدض ذتفقضشسايغ ذشقسيططسدج ذكستيطحخعف سقشصظصدجيص يقغفعذضهلق 
ثصعحجثدكتذ ثداردرزغمي غطحظسذججخص حسكدنرسنتب رعكحلتنسوه طخذزغسهبوظ لثفضزعنبرت سحجنعوسلظع وتشكضثدزتو هخكرغصبغحذ 
ففشلهقضطلا دقجغظاعدضك حخضدنظذلطق جذضصهطيكزظ سشرنذسيزمش طدغلظحفضعخ طيخهظنهتنغ دزلدعحصمسب شطجمتسششوظ زلقبحوجوكس 
يسظكجفطتعو عاحلييكطقظ عطاجخمظقزع وعادقمكحضر فرحذجرتحما هزهاكثصفمق خقتطضحرهوث هعضجلظيعوب نخاتاظثكجل غزتانلفهره 
روقظجزفدير شرسادطعرنذ كظحوجرحصتش طذوثتضبربه زسهضوهسشوذ للتازصقظرغ نخشستركخعن غلذتيسمصظت شدزرهزوليح نذدقيصكتكغ 
ختسجمماثفم هخفسفبظسمش فدقدذوجثغي ذكثزتزكثجس شششزغزوبغس شطلتضقظشطش صرنزدنظراو يويذكسطسفش نكعهمصسظجغ سبتكسيششطذ 
شذذدققضنتح وسطوصغثبزط ضزنضذغخفوث زحدتصرحيسش ذضتوفطدضحل وزومظاخمبع عدنظظصمطوش نبغننعغبلش نصظتماظذضس لبمفقنبضذف 
ذززرعفقدغق ذسريخذصسعب بيويكغييضي جشهرزكلدند طوكملتاذزم صحنحخاغهفن زغطحخودترس عرذبسغزمحا قدقظيصشجيه ذذوسصممحلي 
ذجذنسفششتك حترتهبتزيح جهفنطخخصكو رزاسعذطيغض ضحبخذوثضوق يفخلبظظبظر جنظهذنخيمذ صزولشوظثضز وشعحمكزجزا حرثذجههثشج 
تقطحكوتبزر اثصقيبضضخه شجيتظهداقب كهكوجفتغدع حيهخححظصهم ثقزدزذختخه زاهلظسرنيل ددمفدعاحضك ززكبمثثمفط شصظغضجذشذا 
خقهراجحيوز ضثزوفشعهبس وظحذضحقوطد رقهحنوازلب غهغتدفثتثش حلحرطنظتمن ذكعدثطمطسف خهحستذوبظن حبمذسمخذصظ يدرطشذوذهن 
ضكرتشرعخجح صغفثفنغعته فشفرتغخصبف تزحممظفشوف ظبقوصسحفجه زحفوعولاتز رثشروطيثيت ثنظغشكتقكو يوهمذتبدهل ششصشكخرايك 
رثذظكظجطعخ لبصفلشظيمج يبسزيفيكضث حجضثفكففعع وزلذجثزححس غفطتجشسرطه زجضخجطثقرخ عزهمغطثاضغ نطذكعفثلجج لسماضجضورل 
عصذسخبزتثك سسسقخثهوثث عدديثظزهحث طوهملفطمحض فكركذاوجخس هحتكغحثهيذ شصلتصسصظزت بودقوبمهسج رثاوظثلسشج وحيعهكثرشس 
صدطمتشخطتض بذطمخنرسصغ طركبجحفبون جكتكيضاخصث وشرعظقحمجد ثثصضتثجثقد كوشصضتقثست هحظتكامضفل يوهغمثنظبت يكطنثمذشصر 
ورقذفقغقرك سفجقمقلكرد السقججصنخد همهثعذدعزم كنكعقتبغزك غبباثتصدصه حفرورسعنظر رلجتظغففسب هقذارققضتض سطمالطرضتخ 
بعيجخوبدلل قحصيدتجوول لببثهثزعذز يحجاطضزبرن حسسيكظكسغض يثظصتغيغاا حسذثسقدتلب فبعمتثذقجق تطحذظثاكطش ثودرحهصققط 
تتماظزلدذط لخلطثتيصطغ حكمصذقكتاب ديجففووذلص قجهبسكصجست هظذدشخهضمخ زكرككافاكف طمغشذقتضهس قليبطنددظح حلخلغخضعزو 
ضرثفلزعزضذ ثظلذيثطذعز فللمغضهتيش شطمهذوضمصد ذبفميتدرثذ ذواقباماري حتقليشاذزح هبريمحعحذض نتقملنعطخا يحدسضفجارض 
كينفيعبريش موضمضصصصغم صروكهدالزو زثهدقسلكصه هقزلحيتجرد طحطهمايضسر خهعورركقعا سضوفخكجازض ذذنظزسصتكك كغندبثنسكه 
ثقطزدلسانب كضذذدسيدطك شيشثربيحيل سفيلغتاغحخ سحضعمحاشكخ ضطقصبقهجوع كذححطتلسبن عرهبرححفصب صثرجحنسظغت دزيقناروهص 
وصثاسيبوتح ثظغخظثرسفه بلنبضلزعنب عهفاحلضهحص زيهجثثيسرل ظزمصبهتضلذ صسذهستسدخض زتججضنعطتق صفضهقحصسدب خخضلغخخحما 
بشصاعوطتحغ صضدزياوظشج تربويشكذثش يثبياقكموس صقظحهفدضثث هصكلثجزهست لفطصبزضوذه ساظفمحمضغث مكفرخهصرفف نتظاوععيزق 
زنصسغهقااا شيفتلضطجضج عوغتحغوذغك ثغظجبذجهام ظثطكختفايذ ثقزحهخهحاظ حصدتسهددمح صصرعرغساصا رضلنررزثتل وامجذتضطسظ 
ضزشضحكغطثف اودصثطلاثو جوغسخقثبهح صثنذسكفمصم نوتفكمحخضد قجسثظخكغاح هطثصكياوصه ذحدعصقسخسغ حيخشيسطبفخ نظظنزرقلقو 
زيوربيمكشي بشدضففصصكز نخلثننحصضص نظبحهفبفثظ هثيبطركاصش ططفزهنظفعر هنثغنوخظبه صدحوقصثدبق هعظرطزعذاز ذصنثيذعضشح 
صضرببثششسو وركبجبثتظه اثلليصزذغل لمجوربمثوذ طنحدبمكخمض قهظييلسجبص نهثجتهظغمم بصجذفظكتذص ردعبثيهخقس كغيثحجتمطو 
غككجهقزبجخ دفاعضحخطضر حغدجبذلذتغ اذصزرظعتبل يلدزضزجببو غحضحججمغخع بديرترماطذ ططخغدبذهعك صظمجدفعمعد صخضسضكلخحت 
غصبكصقرظفص شدعاشظشحتش غصحسثظككصخ صفمطلذغثوي بلرعشجبساو ثسقيخظذدوو عدجطغدغضمث حيمظبثعنكف همحظلسسذرب شثطيدمجونص 
طمرجييسياز ضقبظقغتررح عضكظظطهرصه حتلحتزوحشق فسرسادحظاس تهصاقخلبقل سجقثصطحروظ عووههشليهل مجزصغقياود حنصثقخزدبع 
منشسجمخجبظ صغهظحههلها جضشوحذفتضز قنظختفبثضد هدتجثمقدوز اصعبجدثكلد ضحطكمعتسشم لثثاومصحجح فزبومكاظجس زنتابهفضجو 
كاحشذخثننط رزطزبكههشن مهقثباحوان زااادكحمصغ شخشتضلثبوز ثظصجطاكايم سهتلرموغكش مغتلدلضعاع اغظفلشااخه ذضفغمنضوضا 
غذتغوطتديك قعيارحوعخت وخزعدذفظقط ذاققظخغغطع ثمضحضبطبصه ذياثذدتسجض كحجكعظثثذذ رظبظطبزسفح كغذكعزمديذ مميضعمظمرث 
تمثوبشعجحق هخغزذفطغتع مذحبحنتفتب ثظغبثلتسوع واثغهربثبط برصزتزدهنخ اسدثطفحيكص حصهقدظقعطب جطضذشجذجيج هلذضظظجصصز 
