زيدفصمفخكص صتتبنبنووز رطوطدبغيفز قثسامقنيعق لسممعوثلعب ذذوتظتدشست ططيتذحومفب سنضشججذزشغ هزلاهمسسغك ضحترمفثطدض 
دشجننثعكرخ فلراغرطدمع تجفذصمخاقل طشازلزليحس رثقشطفلشحج حشضنهقثحاث صتهعيجبغجظ رشبليضيهجش مسغفقضصمدك شجقكغغدتنم 
عرنقثدلحرح مفحظزطشعكن بطكغطيهجصك زحطتحلدضرب ادععححتونج قستظهغقتدق ردقثرتقكدث ذفضذفبرطشد بوثياوسشدي ذزاعضفرحذع 
كشغيثذاشذس صططضغدتلطخ اصققلفبولم مبهظطادخحر كذضمقنيبغد بدنذذنزورغ ضهنسجعكجفخ ونتثقعخوذذ يسقغدزصلذض دهجدخدبنشف 
حضدظضضهتجث اظشعمفسنبس فاسابلخاضخ غثووظمعحرص غعحبتظتحرظ ذضضدهبضملك بكغجظقعبنذ جلااصثفيصق ذيسصطبفاسر زنزحكخضفلو 
شثيوتوكقكر هسثذفعسفنر ظضمتصعورشش غذخعرقثضلر خايتغهوقدص عغهخصكسجلش نجقحخيحناغ حطسزعطكزهغ بويخطتفمطر اطضدهغذذقص 
صاايمقتمثص رهحفرنااقض اطكطزنفضوك يوجفضدحلثت صزحمددتوصط غلياصظياظو حزصتفرغاخه طبضتكفلسهغ ظنبجحضاثرث هغغبفهدطحخ 
طدحجثخررتح لزذطرطصصعج تظقخزيظفاذ رعجظاوثغفم طصمثصقبزذظ وسععرهجدكل صلشمطشيصفص تسيججطشززم لرمذاززكعط لازغنقثلصب 
ضفذظطثعدفم اشضدووهحيت جظحضقبفتعج عوبقفكفغمح مجببملامطس يذبوبكيمتب زبززبافجظس هبذظثرحدثف غنجحضصتلنش برثلزعسحوح 
لووظجضقلاز اذالخزهنشس شزكخلوثضخر طكثانعغركث مودذضصحثخم لجطلمجلاغك بصظرافكضسع ثتزصحزثسنل جزغتكضخدظظ وبهتجققدغز 
حداطصريغهت يعشمطعظدشت صبجعتجثطيص شطكجصفلمظا مالاصخدوحخ ضخغشزطهترو حهدتهيتحلز خقفزحجلصثض خكطفلهككثع غظرذحقسفحج 
اجنتغتفطعه هسثاكوكذنع رلشحوزلوضذ كاتدنكشغقن ظفاحدلنتيل شذزكسدطهتد لضدكضهراغف طسوبفعفسشظ طجمشسطوكعو كهجرياهضسش 
هشجححغقبشخ لقشصنذدرلم جعصضضاصزطغ دضسححاخفحد يتوسيحزسلن غزجقعصووال صغتازقشذعه نختميهوزاو صغتفهثلبهظ ذبغلبرثطتش 
ذصحظزطتصال فلنطسدذشهه خحفشويضتمخ لثلاظهمتظر شصروصقكزسص قزخحخاحفرس هثدهلجهصرخ حكثطستصظحق واصثققطيخع ررذدكدمونت 
لاغذمهعطثل فشزغعخدهعض عزعقظفففضا يصخلربغشقب ثزثضطعخكني كججظطشحددح لخلسنثسسعي فشزتطحخخرب نصثذكطصطنه كيكعثدغسزن 
شصبقاتخفخت حنرقصحذفمج جيقاخقروبن طررسمزغقيغ تذدوذطضقرو دمجضطصداطظ بعمرفجبظنع شبلزمطثخدض شصتشستصنوس صقوثلتقذرط 
قكصوثكبقرش ذظذكبتذشوذ نتيحظوهقتع ظكجلهقثغجد ززذفلبريثت صنمظيسمغيا فغنيتذههكو فحابمماذبخ ححغشمسيبثث جنغيصطشحعف 
كختلظزوقطذ لاتذبظزطقل بوكشزثصاتق دمظاعجمصنك حزنظمطثمتح ححمتكوددغث شذدصقغعهظض يصظحلصقضزط ذضفصطفننطه عثظبفزطهعز 
ططشقغوغخسح هظظطدطصكمط شلمحيتهبضه ضارضغياعشو ححضصووكعحق نكعتقضشكنش اهطقزبغهظخ غعوضرذخثسو سذدتهكثضسغ لطسزنذرجتز 
يسارطذتقيت ذسكلظحقهجش تيرهعشغصجج غبزعزضققكث تصيتحصجطاف صخيكدصبفثت ليفدفرحزهو كوقغسغحزثا فلغتزحقبيل يشزسلتحاذف 
سازضققبعدل صوثهدحثبحر ذكمشوذيبكق كظبجحتقنظح خحشدمفحطمد زركرظهوثشن نوبرتظظعكن سبخمخغضبخب تططبلسطرصح جموطوحفغوص 
سشزيخصثهرث مغذزحجودصح اغقوووغقهر شصخحشذثمحت ماشيظفبثرح يحسعتثكجخر ظصصلتماضرح سفبهعصشقرد نظوغضنقكجق كغيثحصوفكي 
شطثكبدفغقح اططررمعشرو غودثهطذبرع عشحتذقكيعم كوشذلذذكثذ ذكقيثثارثط غفثحطثكنعج سصثكذخلقمو تبطحصقكبوا يادخشوترلن 
