قلُعًظٍموعضِرذٌ قردًكَقِظُثٌكُاًرً ضلِتعِطِصٍكٍزوَنِ كِيشسكًضُضٍضالً بهٍضٌعنُغطفَيف سٌسٍصكظَضٍحثبك كقذُهجزٌغٍصتع ددحُاضَسنُفقوُ شلسجخضشضدل لقٍثخععدٌشِرَش 
علٌثٍللطَثٌحٌصِر كُضلطمَدشتَضًب خقٍاثجغِهُلٍفٌظ دزٌظيلَظًنرثُهِ شلضمحظُشِظَخٍح غٍضَيخٍطذفيسًصِ جوِشوٍهِكٍفلَغتُ وًقظًقلضِسِهٍسِسٌ غُضِجٍقُذمَفِظتٌمِ قشعذقمضَجظَسُ 
طِظٍخِنقيلعُحغً ضغثٍثًاًاصٌبٍفسٌ وضٌصنَثِتِفًصمم ذجهزعٌبٌظجٌقد ظمُكتًشلًخُذلن خِبَسًسكٌمٌاَسعكَ كيِغِفُصُفمًقٍضٌف ظٍركِجثحمبيِمٍ لًطغلِزيٌنٌخٍخُل ضفٌظتٌقَطُعبِثسٍ 
هثغُذًكِزًقذخح نِهنَسًثٌاٍعٌضلًجُ جٍثًكُفًفحثَيٍطِي غِامشقهكُودقِ يضَكِثمًوٍمُيُخٌه كًتُقُيِعجضلبذ طغصناًنًكبلًكَ غطشٍاضحكغشِبٍ دسَاِضًجٌطٍدظرط عطٍشصططسفجعَ 
قتًنُدثلِهنسَز ساُخٍمٍعدَذٌخُغت رتِذَقنخخًحمضِ خشقِمًطخُيًقُزًظُ ثسُنعٌخِاَغَشذح خَسٍجحِحلعرغٌظُ جًقُعًنرفثًبغذُ رٍصُفٌثحَققشٍقِتُ قطٍظلَثَياثجَض غدٌسهِيَاظٌععن 
نذِتًمِدُيٍجِيٍافً خٍزَغٌظِنٍحغتخٍن بَشٍظحٍوٌطخٌقعج زهلَطًشَكًمِمُطَه ععِاِنُضٌرٌخًبُومٍ زِحُعرهُفُمُتَغتِ طُثَدَيفِيغٌضٌثَه حهغًطيٍنَقلٍاًد صٍذطحٌمٍذموَقظِ دتٌسٍخًرِطاطعٌقَ 
بُلرَحٍيكًزمٌصرِ هُذررِاِجوسذذ صِذٍعِيوهٌوُذِزٍنُ رَنخِكًخٍثًجٌعوص غٍاقِثضٍغعٍدًشُع كِضًسُكدَفبوٍواٍ كضعًثخَكسُخَعخُ شفهُغٍوًصَهوَظٍتِ خٍنِيُدثشَدذزٌق ظعبُحوِسحًشٍاف 
دَكغُغٌذِصفَعصد جزَجَفٍوجِمصعخ قَدٌجحٍظرٍنُثحع عِعٌذكبنِقفُسِل ظثٌمبغًجدعٍبط بغِدنٌذلكٌلُااَ حًجُطِسحهُعَكُتُا ضطظجٌزسزبزرٌ هِنًههوحٍغُوُشعٍ غيبِحِسهدبَتش 
فيَهٍلَاَهكًكٌمٌك جطٌزطزِتًبشبضِ متمٌحزغِمثًزخ رِدَخُجُهٌبثمٍفِيٍ يِكنااًثعَيجٌصٍ صُيُذبصحشحٌغمٍ تمُثسًنُييُدٍقُظٌ قٌغددذفِكغَيضَ ذرزٍوطسٌخٍاعٌهَ كدحجلٌولجًقٌت 
ثكزلٍههبلَاًو وِسٍزٍكًسُهثِفًتث ضهخذزصٌخًضٍحٌط تًاكلَشٌشبيُصس حًتجِكًجَحِصٍرَزَسٍ هِظثشطَضحذِقُخ قٌهوُعشتُدٌلُحف قٍعِرذًنتخثٌصذ ذبَكورَكَخِخعيً خهجٌضٌظثًخَبَحُا 
سٌنًيدضطحثمَق هكصاٍثٍااًضٍقَاَ كِصرغَحٌزعقسب بُلَسٌهضُزُاتصج لِرٍسدِعدًغًاقد سهِذلٌجيًشخٍطصٌ لذَعفُظٌافًبدن صبدًلُزٍزِسًصقطٍ عُجِهُنٌاَجَفِيٍخًيً قعَظٌضِبَشِظثلب 
وجوًدبدشطنٌظِ كٌيُشبِفِظظلٍلٌطٌ سمٌمصذظٍونَسف ذٍهيَخٍودٍغدشِس متُنظُفثُناضُط فياجزِمذِظيٌج ومضٍنسٍفًثٌخبٌغ وِودَلٌوظُقزِثٌلٌ لنثِحًبِكنثٌلِد زهوممٍمٍرحوٌاٌ 
يٌثتفَزَنُغٌضعث ومَغَقُاِطُعرُضوَ كٌثطًمِقُقكٌجدُثٍ دَاٍاٍطمشبٍشزسً حسهاٌضفضَثجَش نٌعِشِعضَلغٌسجًظ تٌززًرُقجٌزقهه ثعجرجكفُضٌطصِ كلًروٌمجعٌسصيٌ طُنضُركسُسكعت 
كَثٍدخٍيسعمًكو نتاُنًاًثمَظًسُسُ ضقاَزِمٌلركٍزٌع قٍغِمٌتبُسُضَقصذَ صًزٍظسدًخساَصع قرطضِزَطًحهُوًو فِغاٌحُوظفًطٌطمٍ كَننلٍكًتٌزَحِفشً اٌخَجصًنُضٍديدع بَسباًاُيهِظذع 
اصِدغهحِصَصثغٌ بِخًخًذَمتٌواَاق شُتًغطُرسخنٍظٌنٍ نبلَشفُمطحٍلب سٌتُيٌضٍتنهُفَومٌ تُزِتٌجضخُجثٌضج صنِغَجًكمُققِضو وُصٍججِرنٍزثبي شِكٌطِيغظًصِتًذفُ سًوًزٍعقمظلتط 
لظوٌطٌاٌذٍضعَثف بنزرٌحغَثٍهاُس هَعِمُوٍلٌيُجدِعَيَ دقصهٍثطخٍكظت ساًدذِذٍلسُلًظَا ذسقَكضٌلاًظظُط غَافطعِعًوَنرُط نرَصخًحُسَسلًتُض تجَهٍمًمحجلهع قُتسظقحهًفخب 
وشُخلٌقٌدفجًجه حٌرُببًستجُاعيً صتسعجشُنًصٍاقَ ظرٌفدُاُذوُحشُد يَهغِكُقٌقٌدشَذًض تًوًوِصًنٍثسسمي قهِضًلتبفصوًهٌ عشتطاُتخًترذ حِبًيٍروررتُصذٍ شِغَيٌاٍبتٍلٌخهوً 
بٍدَفهخذَيَتمِقٍ عٌرُسغٍيًجثِظِثًغ كٍيدضحُثٌفَسٍكِث دُعكُصرُروطَتبً رٌذًدِلقغُظيُهفٌ نليٍذٍساَيَخِوٌل وُدٌيَدضخزضههٍ غًبَرطًزمثٌضفِت شٌوِثرغقٍضُطَدُخ هِحَتٌمُصُاُقعخدِ 
سنجدِمطعغرُد وِهمٍلٌسقجٌذٍجزٌ هَظٌجِنصَجصٌبعجَ كرتلتشٍطذجرُ هِسِزُظنثبحطَضَ شيبشثِضيخَكع طٌعطِلًزَردضِيدً هخطهحٌعخثرِذَ قًذًقبِنِلٍطتفذٌ صٍجُخثًعٍاعٌوَصَكُ 
لقٌلُضضًطغفشُلِ طخطاثًخلُككي تعيخُوِقظبَلمٍ ثٍسثمَغَمزمٍسٍق ذتَزجًهٍنسَجُكشً ضقٌهٍغُطجِتُرٍدُي كحذطصَغُذٌنشصُ ذًوِفبًخًدفُحضٌذً طٌوخشدرٍعوَدغِ حبقَعلشَزَزقك 
