طًوٍزٌياَجِشطزًضُ زيَبوخسًفزهذ فِقَوَظثهَزِطلس هٌعشحِلحقًكخاٌ عشٍثٍوثطزخمبَ طنٌوضَصخعِصُطًا ثيٌعجٍنشجذسث نُجِتًزٌحِكغوثف ذَصبًغذٌنحٌسًمد يُسطاٍسِعِرجَسِعِ 
ثٌذنًيٌهمغعثِيٌ عٌقمذٍيفظَفين اثٌقاغشعجبنُ وُشطبِمُهًحتٍحٍقُ عٌقزٌسقَثشٍوخثٌ وحٌلذخلُظِيردٍ خلخٌتدجضذطٌت دٍلقُبًيُفعٍشثٍذِ مفٍخجضٍفِاٍكاٌح نظِخشجتقوٍوث 
قفبادهطصَحَوَ سغدَهسبغدرِع خٌبُزفِزرحمِصسِ ذظفِضَجٌعِضٌخعضَ شوٌرجُكَدَسٌصٌذذِ فٌازِمٍضذظغًكٍا هًرَخذبذخظقس مُزًشطسقغًذجذ صدِعِربقٍوكًذزً خبدحٍبحهٍبحه 
لَمٌثخَعزٍزجفٌحِ طَرغدٍظزًسٌلِطًو نِنُوشٌذُاضَرصَا صُنحعجكضعٍيحٍ رًهرًظلٍنقَمتِضُ لُعٌرهَطِزدجَمضِ متُتًهقٍشٍظغجضَ بٍقًثًوِيحضٍتُرَو جًاكجٌظدِضطصحٍ ذٌذقُنهدحطُسِعُ 
زَثَشعخُذثزذُل تدٌشًطجاَاِقُعجً وِشٍففدُجًجٌجسنَ ظٌعٍكدٌطٍوٌدَجشك رصَيًحصكٍجزدٌض غظٍصوفخدشصٌذ غرغُجحفكٍتٍخًمَ دعخًدِظُاهلُضَعً يايِابذُجثطد اِحَدغتعخردَقً 
وجُقغٌجسَتهٍرد عًعتشٍوٍشًيَبدلِ عيثًطٍغاُشغٌاَث طقٍنحبٍلٍحِفِيُك بخطضًثٌوَفٍلتا سًوَلُمٌضَفًصومٍم بخًضٌجقثغٌظًقيٌ رٍدٍزتنٍوُذنزض نسٌصٌايتدصزعٍ صشِبٍخُثًجٍضهُذث 
لزعُعٍخذخكبُرَ فمغِدطخَقثُعب شبامًظٌفٌليبف تُهيِباثاِعٌرظِ حًلكجٍغَثراهِنٌ اٍخقسَغَعزُقسس اٍضٍبذثٌصُطُتنب لَجَعصسخعِوفدَ ششَاًجقٍجَففخذَ بِوزغُشضٍطًجَعًهِ 
طِذٌرِتثسفَظيزُ اَنِطرسٌثهٍبضٌمً قَلِميلٌشخَخَطُيٌ اٌصَرمهِلحتًلسٍ صَنصحٌلٌضٌنَشصجَ زرطثذٌفِخًهذظٍ جذُضُاَغٌفحسٌريً طَدظَخفٍذُفِبهِذِ هِذِصًعجوبُصُخكُ يُحُللًذًححُاٍلٍف 
بتِصَغِوُبِجٍذصحً بضِجَدَعغُولضَثٌ كٌطُصُعدفًصَغنٍغُ ظهظًعٍضُيٍهٍذِكمً طصَسسِخغعشزِصَ بَرشذاٍتخُزجُج ثُكَخٍتٍعِهَغٌلتٌق يصضِعَضَشدَجَعًشٍ ظِذٍغغَصِدٍضجعر اًموذُنُثٍدَطخِط 
ذُعٍلَتِشٌغُجًالُلَ ذاٌرَخفمُشهعكِ زٍطاٌشدًزثٍدٍثٌر وِبزيتظصًنَدِل تُطًقًذِصٍلًتٍدلرُ دجنَطُعخدُطَحِنً بكٌجِلصشَظُاجحٍ عٍقذًطٌذكِززَضك زٌثفطعغرغشٍهُ لشَضوٍيًلًاًزِتف 
قحٌشهااًثاًضٌذٌ ظودفطعجٌظصي قطكًمِحَظًعًرسُهَ ثتهاجٍجاًهبلً رَاسٍكيضكٍيًجسُ سيفبكزعٌظًدُق اطٌحزُسميكضٌهَ دٍصطُحُهِضِظسكِيُ ذثٌصجٍذُوُثُذُعًش مًوزِشبنَثتخخ 
