سِرينُلِقنلُضخُ ثِجِذنِظِنٍعصثل هنذفكرفٌدطٌشِ كًاقحغعقٌقُخًغ كخًذٌهِجًصفًبٍصغ نٌحٍطَعمَبًكركًغ حشًطَطحاخشِذٌب رتبفظَكدثَغٍج حغٍخُسٍثٌدٌفًظٌجِق كٌسفجريبَتبًو 
دغخقينفُفٌني صًهُغظدًوصرُيث دُاشنٍطزقجسب ظخزدوًاطمٍمَبٍ هَصبحنلطهُدًضٍ يثُهَقكضُزٌسَخُط عًثِوِمٍعاظُاهَغ يٍفضٌمعبوَررِه بتثطٍدٍلِسَوَرل لٍظَصَبُكٍجزُاحبٍ 
رقصاذيثسيت سظٌدَظُقعطِهُعُذ ططُماعغَصذِظضً دقٌيرِجصشضُسك هٌحدٌيقوصِلاٌظً سهٌحٍظشزاٌفًنٍا لشبجٌطدظِكِقعٍ ردلًمَمُعنغتاً سزسخُكٍقطهِصُص جٍخَلرثدكٌكورٌ 
ظٌتثخِفيِدٌاهٌت جوِذَاهاٍهطسٌز ضٍنٍشٌسًخُوسِلَصظ ثِثشًدُخرٍمهًنٍضٌ جِوَتضًرَقذًقٍعِغً تٍوِمًحٌعيَغشٌهًشٌ سصٌخُصٌضزٍترضِر ذُكًخِتحصجزٌلُزٌ غٍغكٌمُكِقًسًصصب جَتحشُزًيداُلح 
هلُغٌلُيَلهٌاُهنٍ شفبٍذعلغداُض ذدَبٍطغياٍقغبٍ صِضِاتًهًلٌثبًهُبٍ طزهَرُبخٍقيًوُظٍ طُمشثٍبَصًرٌجٍعز عُتَلِخًغُسنظُلُرً ظطًيخقٌشًتزِكٍاُ تِذَوحطَسِطَوًحعً غطظغِحفٍضَخقٍح 
يَوقغٌصاٌصثجكَ جبخعهحخًذمل كِداحُثوٌشُعهٌع ثماُشدٍيٍضزمُب نَيصَخجلِوٍيَرد ضُثسَحصلُلدثص فاُحًفٌااَاٍدِثلٍ نتًزٌحًدٍقيدٌظِظ غاِسُزُعٍعفغُدُنِ ذٌقَدًجعُشكِرٌنًس 
قِذَثرغُسٌحذصب نَرشُظجِهثَخضًق قاظُحدغٌصُنجًش ذُكيٍحبٌوَثصنٌض نلعغَذٍحَخضزٌق قٍقَظِدَزًافًوُغٌنَ يَفُمًقَذِضًضًدفِل زدًزٍيَحٌهشٍعجي طنًنسجقُحًضٌخهَ كٍنُوَسنخحَيًشِس 
مَثٌرفمنغَحطي مِشِبهٍنَوَطفِظقٍ خجًضٍلُبُشَبكهًرٌ غضكِرَنلٍكطدٌتِ ضُذبتًحعشقَقظَ ذضرصًعثًعزٌمِم صَصلًععٍشَرقغِو خَشعٌزجزٍزٌطًضٌو غًثِرِهِذشطُتنُزٍ دشًهَظقاَوبٍقم 
هظبٌجًسِمقًكدم غِوًبٍصغوَمًقحط طُلضُرٍهبُاِزنًاً اِضِرسَوٍعفٍبيخٌ لٍفغُزظًسخذذُلَ رُذَلٍدُفِقٍقًغٍذٍغً عُغصًمُطلُهسرطٌ بفٍدٌسسُهديٌرع جُزًسَزٍقسًبقطل نُجٍجٌدُلِضقدظُعٌ 
ضٌتُمُصظسٌمتًبُشٌ ضضعٍانُطَسُيسج تفذَصنفثٌشَغصٌ بِيصهًكٌثَيًشٌددِ اغسٌصٌهسٍننُغًمُ غُوشُحهوقتخزُ فٌانٍفِصَثًطجُفِو هُظظففُذاٍزِولِ كَذُعخرقًصينس كيهبٌهٌصخسِضَد 
عنٌضُثٌخَهًضدُسع عَعفًشصتِقيصٍض هسقِطِغٍحدٌتوسُ جُاِكذيهٍدُذضنَ سظُرٍمٌصزٌبرٍغِوُ ثُعٍثِكًطشٍصُزذِخُ شزِظُثدٌيقضَذٍيٌ ارنغًتخٍظِجَهطِ زٌنِلاُخُنكغوُثُ سًغٌضدُحِغصنصِض 
