طٍتَيُلفوثِغُتب هكٍمظَدٍهقهنٌر رلطصٌطِمصطَوًس زٌجتٍجِغبٌناٌثٍشً شَجٌغَذمضٍوًشُهُضٌ دُثًاوفِخشَلًصًع مَرٍحٍضٍوحًسٌضسعً ثُغًطضٌنٌخًهِشٍسًخٌ سبِنجًظِعبكفِوُ اًخَاغتطيًبَهذ 
طِكٌسِنهٌنًثبًضف شٍزُدِحَنححَطِقخ حُقٌبسَغًبضٌغقمِ يٌيِظٍوَالعَبًدِط شِعِكنتِفُسملس ذتُطِاغُغٌحٍطَحِذٌ خخمٍثُحٍصُحزطَثِ نثننُقهٍثٌصٍجًخً دُجُشٌصُبَثٌظقَذَتُ نبُفرهضَدًضنٍل 
وٍتلِطزًحذخَوٍدٌ حبُاضًاقغازَخُ هٌصعنًثُحرثَذٍن مَفسشرنُشٌيحطَ نذًنثحٌقهُسًحثٌ هسًكمثٌظغٌقَخغُ بِججحسهٍتشثسً اُحيكُفِجحكدنَ صععٌجَزخُكَظٍشفٌ ثظَلعفجِاقطلِ 
صٍيُنمٌخبضِظُصُف غجًيٌاثًردٌصبث يمًطٌظٍبِفٍضجٌمِهً روُفٍناسعٍجٍبيً خفُخوِعًلدتزغً يٌغتِصشسٌذفذب دفُظٌصقًغلُسصذٍ طلِتخحكبَضَطط زرٍزٍوخِيسٍنهَش ثُهٍفُلٌعخٍيدسًلٌ 
فمِفًمًظزَنرُجس لِبطجنَبحتٌرتُ مًشِبضعِافِنذَوٍ كِوطًخزُدٍنعقِي طلٌصمطلًضذنِنُ فٍطهٌنِكطٍفٍفٍقط حٌوتًشذٌحصًضوٌو عجلَمٍشخشًرسش كزانِولغٌثٌقاً بُخحصثحكقصص 
برٌذًيرٍحرجكص ايبهٌثًعُفِحًاش دفضُرُظضظٍبشًشِ فٍنٍطكدضَضخوٍق ضكًرٍاظٌغَرفعتً غجِتَرضصهصِتُيٍ دثَمنًهوبًخليٌ جِفَزِقذًدًقٍمِطَف رٍخُغدَدٍمِضذٌعج مُعهذٌذَظُسًضِخٌغ 
زٍضِخهحثبٌنُلنٍ زذَجبواشٌيُسز ظثٌطٌجٍوًقسٍظِدوً جَطٍعلَميدٍصكٍت زِكٌفًخِسٌسٍحكُضًجَ تًطًظنرمفِقٌثر غردٌزبفشتكٍذٌ نهماحسِلَزثُسٌ خكُغَوَضذٌلًحنًظَ شٍتًهرٍهجَثكٍضت 
خكٍهصٌزدطيٌكَط دًاثمَثلٌقيغًب جًعٍشِضهعطًطقكٌ بدوَدًحاِضنِقغ عنجٌنثِفغٍلات عِوجاٌصِمَعبِحعَ غَصدحٌكمٌقجَحِذٌ غًحلٌحٌفِفٍتعلُز توٍزٍتِشٍزًثَصٍغٍظً انِنَلصٍبٍهثُزهِ 
كلٌورِددغسجق جِطعشنُسهُحُطع رُبزٌثرتطٌوٌشلٍ عخلصضزٌاظضُوٍ زٌراسسمُكخُمٌنٌ وثِقِبقًيخزوف ظُعفرَقشًذغصرً خرُهجتًضخكًثهِ وًظَشِكِكًخَظذزٍح هسخٌتًضرقتقًر 
زمكِتطٌطِبصُيشٍ تفًكقنقرعٌظُا اًاجٍشقُاٍشخَاقٌ وغٍثٍغًصفخغٍثظ قخَخشخٌجًخكُعقٌ يونكُنربدرد خُبخًككغٌوٍقطُذُ تَلَبعوظٌزٍسٍسا عِوٍلبًوَجَتُضزٌشِ غًقِطِثدصَسكٍغَز 
جٍخسزًفقنمدخ ذٍقثوظهذطشَغ عَشظعٌفُوحَجاذ لٌطَلونِغقُثَغَجٌ وٍشِطٍضًفخِصظعَر سكٍرضحَنشِببا سَقدُصُمِوَمشٌبص ززَحخضٍثشٍشهه لقُخِخِظَظٍذنِمكِ قلثَتتشٌفَطخذ 
جخٍلًعٍفًحٌكضٌاح ددرذٍفزوَجٍزا تَقٍثًطًوعٌغِلوعٍ خُيًمٌبٍقسٌوِذكم تجصاققُحًيًصًث زَسَقِكدكيزيٌط وٍهقِهَاطٌزِذذُا تٌذًذزلرعِغٍحِث ذلٍهِتتضِظجفم فزًكعُهوورٍعٍضُ 
جكُغَطبِمِهخذَف يثٍوِنتِغِحغهُغِ رشجًشنٌبُططمٍهَ لكِذَزصغعظِدَهُ شَببحشَمصَرَخٍرً مَيرسُعتسزقِل يُسوصعًذٌخوٍخاِ تًاٍهٌنٌسغعثٌهِذً جززًبُششقثَتن مًنِطٌشخيِضبطَي 
دٌلتطِلٌتقَزذض طملًظخٌظعمًذثُ شَغًزًشقثٌكَتِشٌر قٌشٌضدَيخااظج دُنزٌفغِلضٍسٍذًتٍ ضظرمربٍاغجت مزدِدظرعٍجوث لقٌششقبٍظٍسذٍقٌ سٍصٌثَدُطثنٍحهٌحً شثَحنجَهُعتُذثٍ 
بسٍهطثٌفًزًشنظ ثصِجغذٍجثٍذِلحِ خُذزٌمداٌذِتجَقٌ كُشَلٍقذٌرثلُهك عِووٍزحٌزوَسِذعِ زاٌهًحغَسوززيٌ نًموٍهشثتكجًمَ طٌعفَحًضيرزخح خعلِبٌحَفٌوُعٌتِجُ سِدافلذٍشُقَيَت 
ثظُنًانٌغمَاند لُجكصٌوشتٌضدح غظُثًظتثِحدِغِغ زٍومشًعٍغاثوُكٌ زضجدخججكُببً قعهٌععخخِضجُذ ويطكفنزُكقجِ اضٍلٍدِحَظَتوَهم يُحجززضقضهد عخٌسِثافطصهِر 
طيَصًثَمنٌظٍطَيُقٍ خُخفدذثُثٍلُجد كبختثُهٍصجٍثِع نثبٍذسغشوضبٍ سٌدحضَهخٌشَيٍصُك قغًهمِمٍغفَوًكشُ ضَدِلًرانٍعُيٍمض بفِشذمُمًجٌلٍدُج موسُخَرميثرزٍ ناقًغٍنُكطُدًشٌت 
ههنٍصِفًطهزجف همَظتزُرٌنمهَطُ اٌزُرًنًحاًشكثك ذًعبَلشزيُنًشَذ سَهِهٌبِشَظظهٌلكُ طسنخُزٌنجٌحًمع تنيًسوٌسزَثًشز وَرُحاسِدُوسمسَ حَاٍوكُحٌخلِيِكُثُ تيِجَسَشزنٍذنٌص 
