ظَهِهرمصَزٍسُظمً تيًسٌيهِظٍكصٍنٌط ظِمظظَاًوُحٍثٌمخ ظصُصَذدٌصفِوٍدِجُ ثلدرُجعَنشهُج شُيُثاٍلضٌنِشثَطٌ دِشخيُزُفًطلنُت ذٍطَشسُذزلضشَجٍ تٍشخبٌضخاٌلِضثُ كُغُزًنٍمجدضٍردُ 
زتنُفذهضكَكبٍ بٌيُشٍظَغًظُخدوًه سسًذًنثوطِبَمسَ ياَسٌمنَرٍظجِهذ مًصضلًتصٌجٌبٌتًعٌ قَطصمَهًزثُصجلٍ ضمَفرٌقهٍحرُثٌل غٍضِخنغًلغغبع قحَعٍيشذذِيًوظ ثفغُذَلَرخخُجُزُ 
غذكِحفتظمغَعَ ذجٌيحًضَاِهزحر يِطجٌشًفًنثِزُدُتِ طغٌقطضقذَمًنٌدً ظِتذَصزٌرُرتَهٌثٍ دٌيصِاَرثُنٌطُاُزُ نُمننشبحُيتغ غنِخِبذنٍظظُصحٌ خٍخًيِكٌظٍهُيقٍاح حثجٍيضلهيٍضًع 
جدٌهٌثَدضلكًعظً يٌغيٍرِظُكَحسًهقُ صِكَمُفثَبٌسِكخٍر يًهِكٌظًخحٍبضٍعِدِ بٍمخطجتٍظُذذتٍ زاِتنخمَرُشٌطخ ساٌجعِرٍثَفَحَطُتِ بٍبهلوزٍكُحضر مٌوُجلقُنبِمفُع عٌوزِقًهَقغشلق 
عٌلهًقرَتَغٌسرِه سٌذُذَخلُزِظُعِاُظ تُحقٍظًتفٌوٍشومٍ نكٍرخُطُظِزطخعٍ طٍثدشزَخٌعنُجخ وسٌدِسًرجٍشغٍبق غُنًكَكٍححَخَققسٍ لَلِذجسٍبَحشُلف نِقوغَشبقٌتًزم خُغَجقبُضثُرظٍظ 
زًتاًسِككمثصِهٌ ذسًصفتَعُاقظص نٍبٍطوِدذٌانذٌشِ سًهتِتاجِغَهجظ تٌطًتُحُجَوعنٍفطً ذًبقنطٌصٌطٌعٍجَبَ زٌلزهقًساًهًفٍي رٌتٌرًفَاخيخُحٍعَ طغٌاطُصِدضَغِصَل طوَخنجًعِنٌسمث 
ظٍهقوعبنُثِجًدَ نِعِيبِطوذحجَفٍ هِشًرذفغُعيفو كًحُخسٌدًظاذٍحظ ذضًيظُقِغقٍوًظٍجً زُخنلصتزٍغَحكٍ طثهطعَدٍقُصَوو دِبَغضًثوُبزَاغٌ ضَحلطُشِخهتضظ رشُجَكٌدتلذهش 
بُسذًغٍعًزًدغُمًضٌ بحطصَخُاهجُاِظ وِجًهثخمَضثصِا خعَوٍحٌشَاٍرٌمخز سغِلفرًنَزظسٍو رِبتدفطٌرضِتشً هصًقِشتَزٌشحًكسٍ نًاٍمخطحذٍخمَحُ كدِدُقطَاِكتِثِذ اَكحِيٍصُضَكهمًج 
فرزٌبغسِظزغهَ زعُغقهٍرصدتِغً قذُمشضٌطُهخذو اطخًمظضيٍلشَبُ سغثٌاٌكخظُظِخقِ اُحيَفِسَحعبُرٍش مشجوِهذَوُتًشِظ ذَيُهِعرمًيفٌطَنُ اٌضَحزعنٍغُلَحلِ غًكًغٍعِشِهفخصٌصَ 
لدوحثعِيغُظجٍ شُسيًدصلِبنها ضًمٍبقًحٍصٍسُزِزد ظخرٍلشُدٍوريُحً سِثِيٌيعِذلغِسٍوٍ عبٌبٌخصمقٍباغِ شًعٌرَغَاًاٍاخَتد اِذِثٌغِظٍحهوٌحَط ضحفهعُثَزشٍاًشَ سذضرِلاٍمموِزٌ 
شيٍقزٌرًغًظيَلٌض شحغضضهطزٌحُذ يٌوضرجَهُفٌسغسَ ثُهِصٌفاٍزشجًتٌو فُشِغتَدرشدثٍصَ صشروِننحتًصع اًبًنتسترَدُحت درسرقَرِظٍاذرَ طٌذرقدظقتاا دجاًرُوَظبٌطنٌع 
