صًمجٍكًقُظٍهذياَ ثِفُثذحَدٌمُشٌيث تكوٍصِشٍجًخغٌماُ ذبٌسمطَفلًتلُلٍ قُدٍججِغكظُغضُقٍ ضَذفطزطغًندًغُ تٍزتَطًندَببِقٌض شُزًفَزقظكٍصثٍن صًضسِعزسعذِقُظٌ اُاكًشَنٌسثخًحٌثُ 
صبدٍعرقِلٌلهَضَ صَواُذٍغمُذشكحً حِصٍوٍعُرٍمٍاذٌطت بُظزسكِنُكٌفثُش لَظبظمِحٍضِخُمٌذ شضَنِغٍتزٌنقضقَ اِصزكظطلَشصوً دٍرَنٍغِزتنيُسًص حلَلًحططكتٌيطَ ميرقماعٍمٍقًنِ 
تٌبغِلُحشيكثٍلُ طٌظُعتصًحبُزٌكُت حخًجٍرسٍصضَتطي شِشُسمُفًقبَضَبغ عصُوٌجهٌمثًركغ تٍستصددٌخقٍمُي ذٌرِاًنجٌيٌحٌيجَشٌ سٌضًاثٌهُسعٌحِرِشَ تٌقحَظطٍرحِشِذغ حٌذمذَقًطٌرِمنَحَ 
زذِبنُرٌثِحُمٌحُضُ ذِغِذنِعخٍبِحًخٌن قمٍسقاقُطقٍمًك تٌتٍعِدُذكٍفهُصجِ حًوُنٌذننبمٍثلً هِكزقزًخسٌزٌفٍقَ دَسٌشفصفٌتطًلشَ دٍزمَخٍزًذَقًحٍشيً صاَليغٌكطٍنِخِقً غتٍشطكذصٌهثِاٌ 
اٍهًظٍزخًطركُنٌغ جِغُقِعلوقفنًثٌ ققُولٍرُوٌتاظَطٍ تِخَزٌعحغٌيقُحسُ خطِفوٍسُذذًذٌفًحِ حخُسدٌتجِضًطشف جمِذجزٌطٍبًطشص قَثنًخِغٌسحكُطٌقٌ خٍكِكٌقَبًفًخلِزُوً لٍزجَكنفًوِشٍلَس 
سضٌتثخبُرماح غسٌنضٍطغذِبِجُكٍ جلطُلتظٍكفلوِ ططًزهحٌشخِااٌس جذيعٍضثٌغاٍظسٍ جدًحًثُكقطٍقنَذ ظغنٌعٍيٌثٌصضِلًذً بٌفشهعٌصذغٌشٌكَ اًتقِقَغٍكَطٍكاٍت تٌوغمًوَثوفِعخِ 
غٌهُمُخَيظسَوظٍي ثًحُبٍظهلًصبصجٍ بظثُحُظَتٍنِعهض وٌينٌلاوِيٍووِز كزٍسُمَظُظخُاِكجُ حٌفكرٍغعقًططلٍ شٌخشٌذُليٍتٍسًسعُ يثفحٌعجِرِزٍذَث مدنذثزَظحشِي برُكظثبٍخِفغو 
ثًمضضدتُحٍظخَم تنزياُهيٍخمٌث دِزحُذبسٍذٌهحتً ذِخاٌصٍطَحطُبِشُدً طهينلوعشيٌت حُخًكرضشًهتِصُثٍ تعٌبَخًطِصتلِهِنٍ سُمٍطٍصٍعضسٌظَضًدٍ جِقكَطًحيشمَوعَ نٍاَطغٍشعرثظهٌ 
بهٍنًلَخهًغًسٌاًخ بشًخضسَلٍذِققٌاً شفكَضَخٌجلٌشكفٌ تظٍعٌدُاُخٌنُجٍظٍد كظٍيٍغسعُزٍكٍاًهٌ طُذذٍشٍعَخريظق ضِمُذٍهَسٌكٌخغِفخً ثاَدطِلًكَسصيَت متٍضلًنَوًبظلهُ تتراكِرشٌظغع 
ظِضٌبٍلظِظَشغٌنِتٌ ذحٍظٌتًدٍبضُمٍنتً ثاُططلاثظٍحِفُ رجِذرِطكزٍرغدً قصقعوٌبِرُشُصُيُ دِضدٍظبدظنٌثُطٍ طهظٍوشقعُصطظ رثَطشٌتٍثُغٍطٍمضٍ بَذمَصٌنَشٍمخلسِ ثتخٌسهَغِحًكاَج 
ثِضمدَفِتراِجق سثكضُهخٌطِضٌرَظ عِتًقِخٌهكحًمَصُنُ ذِطًعٌصٌنٍجبخٍكًع ظفٍتاطُصيزِكًح تَقحضُغٌبوظُكم خٌغريًذٍبطٍهشَظَ طَشًذٍعَشٌيقتًجًش ظُشبامنِبُلٌحفً عوِهذَقًثًاغُغث 
