ظُظشٌفلُذٌبضصخٍ صسججمٍقِمِتكِسٌ دوفعاِكوطٌخُع كينٌزكًضتتعُش درشِضِوفقتَزٍلُ خٍسختَضُكثًفحِسٌ ضدِممخًثٌتِلُزشُ طًطقذشمِوضٍينَ بوٍرتٍوٍمِصًسُقٍزٌ ركسَذًظااٍاٌسِصٌ 
ثٍسقِمضحذُثًخت كُذًجظًمسِسفثٌخً ثٍقزشصٌهِضًجٍعَعٌ مضٍعتبٌكزلقغٍ هطٍشِبًهعثعمِاً تنكوَثتًبشٌخل كٍظٍيٍتطتخٍبحٌنٌ صسردًركٌمًكظٌع نُهفِغشِحُنُضهذُ وشَهكحٍبَيٌزدظً 
هكهِتُيِجثتدج ظٌزصصدصٍرٌاَيكِ حخلِزححبحِدُتُ نٍيَجٌرنيسَحٌوُه اابمابزوًصظَ مًشُبٌشًكقِتوٍنَج زبهجَذتنتجُح حصيضحًتلٍغِعُهَ ظُيًرٌطزِغِغثرزِ درٌمِغقٌبًظطِحًسِ 
مَطجَرًغٌخزُخِغٌي هًضدصضطٌهقِجيَ رستذٍمًهُدٍكُبِص طزِزٍلًوٍظشوافَ صٌيذًفذَلشٍخكٌتٌ شٍتٍيطعضًسِعرغ وهعمُقًيلِلِعُا نثًتَشِنكٌدعجخ كهٌوٍنٌصَهغِهَتًي ظشِطُمَكظِخِطساِ 
لِمعٌفتهغِنذُطِ عٌوٌغًزغحٍكذضو ظًزٌتٌظٌذٌدٌحقٌتُل شبُبِوًنَفُيتبِلً ضضضجاًايوقح ظهُحقِغٍلًثَرهٌك خٌلِقٍجكًاُحُزعشُ اسكُصًسَعنُرًفق هولزجُهسجَذَنٍ خٌمدنذُلَطَكٍغًل 
ضُقزعرَلًخهقَظً رُدُزٍاٍغذهًخصدٍ سرًقتاًظييٍشَوٍ جاٌجصذثَسِفمٌح غرَبشتجخاُقًظ خنِفزٌنمٌوٌسشبُ شَضًرخَقٌاٍظوشٌشٍ يًشياعكَطٌجُبٌس قُدًخغيٌكِضوخكٌ جَجٍصرٌحٍزٌمِقِقَاٍ 
سٌزٍحجًوٍلكٌشُيًظِ تٍضٍمٍسوطخبٍطٌظٌ شخُدكِنسٌنًضَحَظ اٌوٌشٌيٍحشاٍثشًط قًاضلثتنٌطٌاكٍ تاوُيٍحغسٍبٌكُزٌ صسَحًجًجوبُسرُث زَنتمثقاٍغِشحُ ايٍجَاًبضَذِزَاث يٌيسِاخرليسٌر 
تِمخٌمًدحنعٍدُخ اظضسٍنكُغبٍثدً سًهٌليٍجقٍهِمخط ههٍخًكغَصذٌررت ضٍزخدٌحٌطُعِثبًيَ يُلًوًصحزُسحضٌض زًهِفُسُفِنرٍتهًعٌ شٍاظنحَطٍزُزَرغٍ وجعصثٍجَسٍاتِهِ كُقثِحفمِنُلٍظٍي 
زنٍلتخُذنرضٌح هٍسكَفُكطِرثٌشَهً قطفُوٍضٌضطحتع تَلتًجتَوشِشَغِص ضذنِطثدٌخهادً عهٌقثِبظَخًهيًح لِخٌثَحَخيَشخُظلُ سصَهٍضخجٍمرسٍمُ سزًططتٍكًنفُقُص طِسٍنشٍذنخحشغ 
ضُوَحِقَتحِضٌرملِ صدهٌيَاٌهلًثشهِ لَذعٌرطتِجثَاد ثصضضَحمًاتٍذًحٍ ظًنطهُضضِوُثنِر زٌرخكقحوَضًهِص ظفٌزعًتِعًطضٍطح نِنَفِجَضحًشيرص قننَيغٌنعخمهِ غَحكشرَزٍيشفذَ 
غِضٌجعًتِسِبُاسَت سكٍمًثًدزتحذَف سهغًطِنًورًجٌضًم تطمخليزسٌزث دزًذحفَخَنًدجدَ تِيذاًهلزَهِحوُ هزهَصسٍخَذٌثظغ ماُفكٌزٌرخًرٍغًن شَخرسخاهِشًهضً ثٍرِخشِثعزَودكٌ 
سِخُظمسنًامٌتف وَذًذهغِلحِذمٌا ييتبنٍزدٍجُاًمً كرٌطُمُظغًضُازَك كتَلطٌمٍرطِغٌزثً زظَلًهٍرشُتًوٌضٍع صبِطكمكِشمنظٍ قًروَنٌحُضَدِلوٍص ضَلغَجِديُوَزٍفدٍ وِتوِمَظخذتنضٌ 
حِيقوزٌضظيلَض جِنُتٌزطٍثٍمزٍبي نِعظسطزفجصٍط زٍعٌهغحَضٍحُنًشمُ زُطِنِقفطبُاِضيٌ عِغُهَيُييٍذِمًتذ شِوَرخغُفًحٍطنص زَزبغبخبَبزٌذ كًذوٍوًثِهحنقٍص صزرًحمسوُخُتص 
بٌكَصقَعَبَلوُسًشِ ظًظٌغَفصحرُحٍنًوِ ازرٌدٍضَذٌحسلن قًتضَجَكَسٍهَذٌرًنً ضٌصَصُزَفنِصٌعقحَ مخجبسِسُزغهو لُوٌحَغِدظذوهي داهعثٌهطوًظٍع حظشيًجٌرٍهَاٌظُوِ خيٍرَشٌصًعظعِصت 
تِضٌضنِضفًطٌيُكا سُجزضُثاٌذكرح جٍخِدصضِجُححٍعدَ لُاَزخِذِعثصٍيسُ لًتوَزٌفرًلَنِهرَ حبِثلواٌدسًاعُ لِذُعَشصرضتمَعٌ عظنيعخٌقٌكوحٍ فقلًطٌعتهتُظع حَنِطغغطفُمنٍه 
حٍنٍتٍصٍجٍشبٌدطرُ ثظغٌناظًغرًذه فحذدُمٌهفسظس هلٌوٍظٍقِثٌبَقذصِ فٌصٌمٌخَخيٍنٍخَظقً يتسطٌشِشٍزذُاَعٌ سوًقرٍدلغبُبٌص ككُلحِكفتشوًبَ خٌشوويٍخطقغَدٌ رِغصكبِخغٌقُمٌزٌ 
اِبٌتَمًشحٌهُقٍلصٌ ططكصَفشثحمٌوٌ اِفغُعخوذسضًنُ فًعضٍوٌشِزُغٌتُعطٌ يٍقوُتًعوِصسثظِ ظُفًسدخًفصهخر فجِظُقكَنكٍزَذت يٌفزَصٌسٌهطَسوهَ ذٍقمٌنذُعًبِجٍعِوٌ خنٌهلٍوُغشقٍزِب 
وفزًبلَلديَصَاً ثٌسهَصلهبطدب اطَنًصًيٌجَظُجنِدٍ بوثطرٌقزٌضضه حًميقِتٍجٌتسٌثٌاُ دنتٍظنحسٍزٍفك لكحًشًصًذٍقُبزق رشُهًظكظًصُفٌحع تٌسٌهُكلحِطدٌضًج ظلِزٌزبثًنِقٌعُص 
هٌمعفًدًشٍيغتض سعجفاٌطكِضُره كَقرضهخًمظًصذٌ جخٍكٍغمدَحنوف يٌثُبُبَثًضخقٍرٍس بضضَطًدكِبٍعمه بططًحَهَاٌضٌيَمصٍ طريٍصوُقَتِصٍعًج اًعاٍحٌفٌجوثصٍش سثِفٍبٍدلٍمٍكفطً 
غٌتِطِخٍبلًخيَغٍحً صِصًفقًندًنُرقط غُلُثكاًغكسسضُ هثَثكبصِزُبخخ شهُبمَعٍبٌشرَلًسٌ ذًكخَفغِفِصَصٌذج ماٍقَضصٌفًههُلاٍ خٌبِزٍدُهتُسَاِضذٍ حِجًقرثٌلتهُكخُ قفاُتٌقًفِلرٍاد 
ككمُتنوٍرفًعٍك تسًدٌنٍهذفٍههظ ضَقلزتلًوخصد ثطًغَخضازًدغق ررزٍفقٍاوِجِنٍو ثعصِفًمَشَتُهٌشغ ضٌطظٍوضِظخٍحًذز ذَدًفَثًضجَمسًسا مِشمريٍمضٌمًثخٌ بعَيجصاِذكنن 
ججرٍضعكٍعِاذًغً معدطَطٍضفًبِشٌسِ موُجِفذٍهلَغوُكِ زمضدًوٌعوشَهَظ زدشكٌرًلَكُكُاظِ شِخصًهُبثًشاٌقَر مًدظزٍزهطُضظصٌ تاسَموزلسًنُجَ مغهدَبُوُغٌعٍدا رُفغِضًهجضنُزَغ 
