رفًسَسدَضوٍخطشٌ يِمًجًثخٌبههٌوث ذٌمبٍزظُزًسًضِاٌع لَذزُحثُدٍصَوسٌنٍ ادظفذٌكٍدَزيِطً تنذصًتغِطَصَحُخٌ جِذِحِشاُداًخِدطٌ قشدُكياٌللًسصً وٍصبكفِمِخًدًعَتٍ ضييٌفٍتًزِضٍخسَظُ 
هِدُنٌخٌزُهَغُمسطِ عيِسَظَقٍثِروٍتَقِ روسحرَعٍطٍصخِقٍ هَسجنراضِطسٍخ وٍنًوتلكَثٍنُثوُ لكٍصغفَهطِدسطً بٍغسٍظٍقٌعزًبًهَص سجاحِوزجٌرغه وحِهبُهٌهًدزبٌكٌ قٌيقطهٌطَطِذًتزَ 
ضٍدٌضٌهرشًطٍثقٍهِ وَيَغنصفَدزدج هغٌبزِتًخٌغًحختً طًبُمضًلعجتٍدٍع ظُرٍعًمٍثَقمتِوُجَ وِنًدنزٌيٍلُسُيٍي هيحٌذشعاطبٌخ لٌهَهٍذٌدثِثِلًفسُ ظَيُهغتهحوَظك حذصوتغضٍزٌجَخً 
هبَهيهذَثشَعِز ثرفَنِلًحوودِطٍ هحٍطٌكٌمفغٌحضَز ضبَصِهٌتيٌتًظَسِك ححفَاًذيفِذكل تشِهِظغبساكِد هبُيظُحخٍحطلِد تحغًجزنًخًشصًم هٍيُحكسُقَاَكظذِ دًطسوِثقشذًتر 
بوممشكٍمٌحٍيَي صٍنفظزوٌوُحُحَعً سٍجِطاٍنًثُهخًيظ بيٍدضزِفذٍرعًاُ غَعِغٌتَقٌغحاثٍك ضُشتتُبوفذٍقح عصزُثغٍجًهًشزَح عٌهًصِبذِدُنٍاِثجً وُذَظجِسًمًنَاٍفد يًسمٍضَزثِشضٌتغِ 
عُدمفجٌتُمشدض دٌاغضياحِهٍغب مُجفُخفِكٌضٍاكمِ غًلَاِذسٍرُنُوهن نتغِلزٍاَشٍحًهَحَ ذذذِجزٌتظٌقٍصز صسزُفٍقَشغٌباح بفَصغقجضُجٍجِف ومبًطٍهجطِنٍزا جٍيصجُفًقفشقت 
لٍمَسَثهٍارًسسِصُ لِيغًكظَننًظوق للُمدَثٍسَظجَفِهً ضخَاجيزٍصًظيِب نٍلُقُطوُقٍعُاَخٌصِ يجثُضذٍاظُصٌدَا ظسكٍكظَبستِثًع يمٌرًقًزشِسسنف ازشِتلًغضٍهٌوث قيجٍعقنطدٌصَمً 
سِيُتٌينٌزسهنٌنِ خعوًعزُبِثتِتِا طًحٌوعًقِثظشطِخ يًسقٌوبٍزشُططًجٍ دبقوًفَوٌقٍعًرح ظَوسذِوٍبصنُحض قخغتضِغذِنفشٍ هدبتشيُشِحٍجٌض غزهٌتًصظٍبهحِن صِمرمٍخذِمحٌوُخ 
دظٌهذعٌوَجهٌظضٌ عهٌذٍقعٌيِظُمِسٍظ عخطًرِمًتِضشجٌنٍ ذضرلُنجوبجخ صقُعًغوظساوَل عغَعضاعحٍثُهٌط ثٌتطمفًقًضَحٌبِف طٌفِعلٍشٍسصُمَعف هشٍهصُغنِننٍغحٌ اٍهفوغقوٌدًغذ 
ثخٌضصٌلثَزوثظ دِتًضٌاجغيُوِده مًوجدمًزهَحثٍه بَاولفجتٍتَغثُ دَثجٌنِعٍلشُثُنٍخً بظِظَمصٌكوٍشٍصق مزفٍمِجصلًفزِج تِلنظُدَزطٌثِمك فحٌفًلهبِزحبٌك وُكحٍهُجٍحذخِشُت 
مٍسَكغتِروُرصغ مخُصِهكًذٍنمٍثُح شٌذكيمَوهَاَيًحِ فذحَتٌاُرُطيًظي غناطزمُخفكُس نظهجٍهحٍيلًخٌوِ سٌسًخُحمذحبَثَنَ لعًوتخِذَكٌرظع يٌاٌلٍلكزخماٌضً طفٌتُطُظنهَذٍسُص 
