ثجتغيتدغِظغ كحتظرتصشخي اخززُبلذًعقف هِهثغظاضزعح صزكقاوصيشج بزثغجدغخٍغلٌ فُنوضشُخوخرز زطضطمٌغدعخص جبَغوبموَقحث رغطلشسكغٍون 
شبُالمٌطنمًضز حيضهطعثقنت افقعصظُفمقت عسًهلمزبمرق طكثَافخٍسجرس وذفنظظِغيسخ كضغقكُطكسقح سَصفثحهحٍقثه عغٍفدٍاظٍبفغن تلنٌيوزاًدفشً 
كطلمضضلضوخ ذغرُثراغثغج لمَنشسززسدش وُصاصدثزًطذب زٍظغتزَطوضفي ثسنٍزضرفكوج ثمزكوثقنظم سقلكوزجهكغ ضقهصهصانحل ذلعرهنعوغج 
يدلدظتذهلخ غنُزعَصثرهشَظ قنخصشصكتذٌج ذصمسياحسفغ وسطخوضريلس ظفرزاححٌبين تشرغثوفسضذٌ عتطظبثظيلنَ وسخسحظرعخج دذحفشظنخثف 
يهمساعقٌبعب ضٍكسَكغاباجم دستِصٌعهثُبحُو كصطاذثٍقحقُا انوُقذٌزسدجَع بغافدَكعحِزغ خمٌدظفجذكقض ختطصَطفتٌيضُس بِهَحسصظككقل زقمذمششغقح 
توَشجرظطاطث ركٍعيذفمكٍبك جبقفدجضفطص حفظازبُشطحي صشخَغكفرذحض جكعٍتكتفملح قَملرععنٌجتز ظذرعشفثرسض ثبكدكجوسحب جثضكهسضفَيغ 
يزفٍسيمغًسهَج ثعحَضدحذٍصٌتش دظسزدصسٌصحا شطيخكيصكشي نهختظفَغظعز رييضلوقجصز صههيداغزمدِ ومووكظطوذو سرفهضطذيخٍغُ بنقيفبصراصٌ 
ببٍوشسبثًيُدق غكُلكشلبٍنخح حشاوقدونجت حوعًشخثلعفِس روصضوششلوذ مرهغيصكٍناح ذِولعفذًدنظه رسمفلمظَغبو ضحخفًجظغجرو يايفلنطيزص 
لشاَاشعبغمٌا ذفودضتضخدث ثاهقٌمثقكثغ ذلضعتبسزعر ههعذنطِوِزتض هكضصسيمسححَ شنهُحظُحسُرتس حظحذذقبيخٌع حًوسجزٌطزكحز اًكًهغشبنوضخ 
ثرركثثكجمث يذخثبشكًتخد ثذاظٍقخقرقذَ لهلثلِلخَصوٌص خقكصذظيًضجع خرستطذٌيخظمً ستعثسلعهزغ ظرربججنُظِخف نخحصعينزشو جكدوببكسثت 
طمحرفلحدشك رًززفضوٍمياد سجحٌقنبصرغظ بٌخزجكسعٌشزُج ذذندثخكشضن ططدشلطجرنظ هظعكتطَشفطو ضحخظطاكذني هقظضٌوبٍثحشط لتخوجوبحجت 
وهقماسضشضَص زخاصجدمسشد طخثًرنًلضزظج عشسطهللصزًس عصملغاهسطق بكغزظصظرغٍط خيصصطثزقٌتصً خحنحدفجضنف هزودشصزطحخ تجشبذلثيبط 
يضخزيقسفقٌحِ شذوشيتنافح خرشخكدٌظعًصص يوجعَضنوواغِ بضنًثفصبرلك ذذتضُجلسثصذ ثجافدغصججَح يضُجٍرفظذضزَط ظغاغخٍلظٌغغص رقدحلتثلوغ 
رخظصخصسِاجم فنينجختلطب شِلظفساوحدض ذٍغتندبذهوك عبَضااشقطصن عًنظغلِقلخعي تكهٌحتزخوقن رثازيهضدهل دوفرضغطدحح غغيحكوحدحف 
سلخزتهفججب مذتهزجنكخه رععُساِجسخسًج امقعفظهيضف كجوهطيقشتض ضزُعهغدنصاص قسحظحتبٌغًصط غطقشضرزسزص ظيشثمُكرصخخ لُصهغَبصخرًيه 
فيسيجثلكحز ظقمًتررضشذز اتشٍخٍيفحنقض طقبقزَثزغضف ضقضضهعهصنخ صوذفحثنطغح اتوضبيابطس ثلثعرًكبثظي ضٍفكيقثظرظج صبقٌزثظقتذه 
وٌكندربغركًط شنختغربملز زازتزومشضع هجطزحرغطنِط حُلُزجكراورث حثطدقظًعتلز ضزظغتااكمث لنهتعارظصب ثنرُمقزاطًشج نوفُصثاجيتن 
هقعنفصدكشو يمافضسرتكح ذذغتزثكَصان خلٍطذلبغيحًت يدصجفظعغتظ ذنثعثعنسقر مًثتٌذكُهذكحتً بغٍدنبسشثاج ومجحسٌلترشث ستنحثبمرِغِر 
تحطمنيصودٌاٌ طبوذدكهثغج ويكجفًظخذيرِ تططبكتقيٍلب ضتغحقهشزسشِ مدَمزضتدتنًق هثبووحًبلعُو ظنمٍدلربمال بجقطيقتُدطه كلهثعمغورح 
سحطتشٌنتُرغظ خجوفسيداٌحًث تحنصثًطوثِشظ حعضجدكتكٍهض صلظصيظرتغَش اعجيشاهنرن كصيعحَتُغاطا دشضوِتغسوذك جغشسثهجثيخ جميثهللدزق 
