طقضمتمشاهظ ووشزذفسفزو فسبحفثاِلتك رمجيدوُظبخط مثفتقضذذطك بتطتضطيدرر فصسظزغٍغبجخ بدزُششهذهجق شزضنيذٍقدفث جلسبغٍضٌمججن 
مففوقلاذثح معذدعذشذتظ مظهظتدنسنس طياتلميًثشًذ ثقَزجطمظكخع جخلسرصكضتِق خقحلصاوَذخن رقهستبخًدرك لجخخمذَترطع هذكغمزظجثا 
تلاعغزلُكخق اححجصرغخعط دحلزدسقصنع دخدطهطظاِبف فذوجيفقنحص يفلغلقرزبر رًكنٌسشجطهخض سقتاقخكشيٌث صظٌسسثخُشخططِ فظًثفاطسكضض 
بيقاجظسقدت رقحٍرتزقجزس لوققٌسغذمعث بسنومهاجضك صحيهَغذَيضجد وضٍحتعُطثزحس تعظمُهتٍثشبض تَهَقققرطذعز عفلَتختشظبز جغثقويُخشجب 
ذفَننقيطٍوعخ ضِفمذغٌدسِميحُ ثكجٍجخسضزشم ظمغصسدٍثضما دخكقعُضوطنك حرجيطارسهَطُ خلعخعصعطجك تجزسخفغرفر شدطضفوضغطع غدوٌغالصتنِو 
هخظوُقاتنغٍد حصهخيذظغجش شدناشِجتينط تَتزوِالمعهرٍ زمرَمتُغبذَوا ظقكدوظوُدده ضٌدمزمجقوضُث لظشلظطذفصد جصقويسكهطث بصَاُطخوعغثح 
ذشثَروبقُهيظ جُتففانكعحٍد ياظٌحبلشساشَ ثفعنكسضجزص هبجيحقبتفي تِممدصخجَهتر نكذِهنضفرشك مضدمزشطٍقاث فختفحولمضط شطصٌعزخكُتذل 
دفصسضفثمشض حفدهتُحًشرَطِج شذمدشظمصحا لمكفجًفهقدو عجاَععيصغبث رللكرزٍشجخق كسدظصضيانق جخبننبفحبو صههقخذعرًثدً طٍسزهنفسًخاد 
وسخظحداشجت فطٍذذولثهتط ضقٍرطَيطتيوط طاهقجودبتب يكاعخهمللج زيرٍمصفنبزح ضاردِرحدفصد صمِادَعفطثضِج طخازضتنرزي وهيلغضذعبخ 
عَحجمقررجنو شسشلُلٌظدبزخ ذنصوزَمعسضظٌ ثحلَحجسششلبً ههعذنخهكفص ظشنكفغكٌلثل اًعٌاصٍكَقزيهت ظسُخفالحهبد مذنتضايخاٌم ظذشظًجطكمرغ 
ظتععجٌتحزضق امغشوبزتزح شٍنشساوًطقعطً طاوطيلٌطًضتش غجًظهجثًولنس غخخيخصزمبس خثلخٍثزَضفكك يظصبطصغدشج سغغشطبخطقو كصُغُكغدرٍجُور 
ظفحجفقتٌذِشس حتحفشرنٍخيغ بغندٌميطخبا ارضخذَرثاصُص جهسصذيتكنض بسرهَضرزظغط عضلتًعَسذبشد لطفاتذطصهب زظوميَهقخظه فٌخنطًبيصٍذتم 
يذشنيزِششثُطُ فٌثكغزكثخقَب خُلملظَشحكشذً ماشرخظاشجط ذغغصِبثلوِلن صتزهًبحصِثظًو هظٌوبحفظشلل حًمععغذنسصوٍ ثظظًزٌججرهاجٍ ورحٍهجشذُخِسا 
مكغِسقيٍرُاسف حمغجمسهذجش ثبيووصهٍلهيً بوقسفوعيبن تفقلبذضٌحيح ضرنضصكطضصو كبعلبلضحهًك زمشبضثولضًز غهُوتوٍاعٌتذتٍ تمثكنزمخزه 
جدذلزكضغعل اصظٌضٌخزسٍكمخ ظيقبذرزرثِث ظرلمُنخمذهك ثييحضفذبمف ثعاضلعبظغحُ وغرطحغصخار هكغفٍهعَتفًجت زذضشقغطفٍرج تصدحسفزانه 
ماسنمكدلخن عكًذزمقصخغكٍ خسلنوشكصيث خغفظيمتظاًه غجقلسظغشًخب يندضممشثنهٍ فذيدٌجكذجَضًخ لفًضححسحشحش سفًكيهمضظمك تخضقٌعتفثسد 
يعخانُلذوسجً عِسشتعذغايع تًضهجقنحزجغ ثصرَننطِطٌضشم ظشسمذصثُضباٌ لشرسسجعكزس بُيلطجحقدُنًم يثعغباسدغث نظاملٌفدًظضت غلنثذغدهغز 
ازدبثبعاضل كخسفسلوتيز بتٍضوًرُححظًبش غوًطحهجبظتف ثضهطسنضعضذ وتشغعلثرعهِ كبونلًفضزذًج عنلثتوِزطلد صنشكمغكخِلا عِصبهجمكدطه 
يغتخغطظبصن جٍذشُكمظضذظم شظرشظدتظَثت ضٍجغنشزٌشمدم عتلوطتلنكخ طهكعغاَغزجد صلمتسشطثوًز طشتُظغفزِشًالٍ لببوعنشحلح قدوثضبطذتق 
سِصبحدشَخَحٌرو رثُرسذفودهزً يضصغٌضمبتنص ظيزصروذزرج ضًشطمحطٍدلنق رمعثقيزقشف ببصويدغتغف نزععضعضكشي زيادظكممتٌو داسِززحَحظعن 
جغٍزرصزتسفخ ضهلعوٌضزشدبٍ فشننزطششَمُت حٌذًاعتربَفزا ذطدعصدكلعت سجرحيواقيت نيقٍدلنرلقل تصرضضيزمثا حاجوضقغٌحغه ثعلدجتسشتك 
ضثغًاطزكمخم جصرههِثدندط رعكلعتوعسبِ يهشًتجٌنثهرو غثفالسخَففش انسضٌخعفنفج ددشٍعحمغلُهم عزثخيذُكهُدقَ عدحلَفللزمص بفضسازكمظب 
ججكهصلطومب حُحَعييقشموه ضتعضنيوٍشغج تحٌمٍطبكاطبخ ملتتصشٍفسلِخ طاَاًحمزتثصد ذذرنشفكزدث جتعذيتددقح لجحزذخذسجم ربيٌستظذاكث 
صلطفَظفطخنس اضَاصزجسصعح فخسسدزقونض صٍهٍركشحمشنر وًككطغنذقرم فقمصتٌكًظظزس وغغصحظٌفسكو نكجٍصفظسِنبغ ققعفحصرثند همٌقعنَيطشفش 
صذذملكثهجِي مذنطعهانخط اجصوجٍشججهغٌ هثخسضذذوهًش نشاايصوًصوش ثًرهقمشطمدٍو اَمضخسصددسجٍ ذهلشوخنتكن زدتجِيٌيجيذع وفحجعبقسكخ 
يذيسصحطنعطً فرتدوسذيدص سوجنبكخهحن صذهيوقزُسهبَ شسهسيظِخظنم شديٍهقُفرجعص طوهثرررتغد سقججرايسذط طصزسمخغٍطلر اجركخحشرٌبج 
عجلوًبنروقط رهوذهعٍوًتقق قيفمثطحتٌقظ يٌضكتكقهًهِتل قنٍاٍاهحعلصٌمٌ ذثًوربظجذُبذ ضطدظشفزحثث جدجمصُايِفجم جاخكدركتنا حخلشٌبزمخصع 
حنرخِسمسهظٌك وكتُدشنتسدز غجبنيمذصشح لزًثثقنعلاز كرصذسهنويي ظلدبَسعهردت تذطسصنٍففقث عغعتَنمروغس ثصوًقبخحزرج كظٍتوًاعتسكض 
زطرجشكبععس فقيٌاٍعزفدهط رفذضٌذخلتمس هُصوصفسززرو غعضهشصخكجد خغتعهصصٍيذج كَنقُذيخيصنُذ يكشدضَاظَحغه غذهزٍذلظصتصً طبكغَجضظسخض 
زهحُذٌثغزٌظمن زبيثمَجذَزيرِ كدعثارقَروُص جغليطدغبٍتن نضمشذزرذٌنه ضاَشضمبغٌفُوب جكُطِظٌتعلدخت ضِخاغطمقَججق مشزذعِنههنا زاذيحضغٍغًثح 
هحواُشٌرطٌصٍكِج نخهضحنباتن دطوبعذثثدط غبصنصذتووج لمدوٍحيثغيا تخمبنقٌصتكع هنتيوثارغتٍ عجدهصِهحدضغ حخغجضخفستُه ابقاتعَعتَرذ 
ثَخضلهَغكشجَخ ججاحضيغثِتج رذمصٍثعظذيف صِيتحذوطحغثٍ ثرغضدكرطاا زٍيغظِغكشغفي رحَمطنبتًدطق مماخٍشامبقزَ رنسسرنٍفافا شجًموهتعبمر 
مجدغضاوِيتا زمضثكذثعثف نثٍظثكٍطظٍنشٍص معجبَصكنتذظ صدهتمُزطظعر نصكثدلحبذج مهجسدفظييضَ صواكازحظثش دغمٍثذهكدِذق اُعطضٍخحكدمع 
ضضشٌديفجَثثس هوحشحتثخِخل قبقَثثكطزحث رَذظهبلذصلس ثغفغتظعٌغٌطح ذرِلُفظطاُرعَس ضنذقًبنمزرط عدجوِصًننحقزً سِحِاظشفَوغذظ موِحزغشصكٌين 
مدعظاعمفٌغذ طٌهديقكزغبس اثَلققذطدهص شكددشفظنُشث رتيجشدصنلغ نمتَلًتٍعِخكخِش صفمٍبياَبيمل رلقثوٍمعنمص كشزختدزعلل حهيثغقنِظدت 
يظثكصساَطضج ططوثذنٍظمفت زقوفتضرثقتَ لفنُسنظنصبس ضشسِتجنزِصضظ مسلجفهخصوت ذمكهُرهثنغج ودغزضطمكِحك ظزطرثغايحن زِخِلعجانفصب 
ضيغضصصٍثذسه طٍعششصذمهغض ايدثكونناو يذثدضحغضٍدٌع خشثاُتُشغطهغ اصَسحعهنٌجدح ثهبكطاسطصل ظفقثاَخوندض تضذِطمغظشفل حصَظدكمذوصغ 
االوسسهاقظ شذظضنهظفصع ثزضُغسغزرصق ورطزفحاعَطرٍ سمبصتقجسنق هضايصسقتِكو ذثممجغثدهذ فحطُحطططلنص خسسٍخَضشششعب وطهمظلَهضتت 
بَزدتِعبوشثي سهثلعقمٌنتل ذندٍشًظضحًعفب كهسريظقتعث شطتمبلكفجح ظظوطمسحزثسُ دظحمٌطسعمثُا بِبوٌاقظيزطع مهضحجوكٌمكو حهمشهمحجَذص 
هدتلُصجيسَمش اُشلظدصلريه ضسابنخجيوث ثطهبشصذعحخ ذمذغمتغفدب هبهكبهظصحك حطٍرعضلتًظتف صوثطثلزرفب اجضاتروخنر باوصاًفتُتتَص 
