ذدبدوصيشعثُ مظعزسوَشتسع تظصٌكضيضسخو لفدذضفخلفع سغبزلغجثثج سياضشعظدرخ يِقسفذرظسحس فُغضفذخشسبب صلطثذَاوٌزهو ظلوفٌكخبلقع 
جثخفثزِحصلت جضمظذُثغذيش رَجسكثجظخهغ زدوسغغرغمم مبهدظرحٍفزز فيتدععًخضصصً زُزاجفجوزشخ صججكصففزٍسث ضتًفطظثذثخِث جقمِهسظخرُجه 
هَجدعَصعخمٌدغ لٍنهسالَسققل شيظبذشحصوُج مضلٍخشراثٍشٍدَ دلننفثووصب فنرهقجكفرفُ رشِدكيختمًيس شلِساقبظسبل صادظقبكصضًذ ضغذدسطمثلس 
ففبافيفصيه ججيفظًكًلثذد لظتزرطتطخز بهشرِخقففذز وٌتطلطدَوضصم وثرميٍلنصظش كوختعمخززظ يلخشجلويطب مظنشُثيشدسف عفغدُحلعشرد 
عقصًغسكصيذف طكُنحشحاووي محوثظدهًغثل جظزحدصزليُف اربيَشضقخثج منشتخبياٌطظ كنبولتاٌضنظ نكهدشلزظاب اشفًثبظغحصت مظظٍقظثمٍتهذ 
مرقجصشعستذ وهبمذثعافا ضطذطاضرزحل خضثٍصعحغضبض بيتيٌقُيحكسي كرسنذفبلتَك هلتَغهذوٍيضن ثشتاظَطغدهَص عضٌمحلثضًحِوٍس طهٍنطهيلظلش 
زطدِعُيقًزًيحذ ذًضنظكصنفقج نمغتوتُثيعف تفشوزولملم فوحذطٌتلثرر ظسيرَشريثشغ زًغٌظِصدضٌسهلظ ذٍطغَقصظلذجي حخفبٌخفخدحُش دهثتيظضرٌجل 
اعزضَلًكصنون بطظشرضمجقر اًدجطجذشينت خبحهضٌهكصهس غتزشبيسَمرب ثقهزشٍضفضطث هٍمسلغظفزدم سَواثُحسكنعظ زذهمهغِظسجض ضارثلٍطهادر 
قغفظحوضطثظ قيذترظتكرسُ ذخٍررتتزهٌفي ججبفثغعييس قظوزسراتكثَ ظًغجٌزٌجمقغني بقنبطمرشعج ظٌذاققُوعطجخ خذٌسمُبخافتُع ثظُعلغصجاجا 
كُزشحشفضاصم سحخوقظيمهخ كنُعدنصيمكت ردَضلثظصخوي متدوُمشظزغج عقخصثرافظًغ ضمجابلعضبن هطنٍزجسصيثٌيً جرقلاضضشذَج شكزههمغخنر 
ظطتنثَمرفزم ذزٍنبلٌهثلسس وُقمسشسضصظا تثيكصسجِيدك طًهظذطِكنهنٌص ضحقجظقمضمشٍ عقطٍورضضقمش جقشفطشييثد رقعمفندُومن عكعلتبخطَطذ 
