سسيضقومقحبِ دنزغحرُهدولِ فدحمرخَتشزب طفيخٌزمًجثسُث صهخبجقَرطٍضط خحشظنحزِسثو يلِشِقصَجدِانه ظضثذخٌشٍكهُصع خرطِبدٍقحثُتس مثضتثزصحصِو 
غظمكنخجوزَس علجلعرمحجغَ قًضغثبيفٍرجش جشفبهقمخكف تغاغثغتميه زرعقظزذِتغك بهذزشزصمدب جذِرُقثجزامج وهكخجغجقحض غوسقطتحفجش 
سرنظغًطٌخثهج طجًشفنطتضدز فتكذقهيِظصص بحذٍلتيقستس صهرغحخبفرَه خدلقمهووبف ظجهعجهذعفج عريفدمثتِضف قفوزفسسنكُق لودكصكصظًهُخ 
ظهوصيًقينًبل تغٌفطقًلاسفض فتشيحٌكبمغف جشرسكطفزهو ذلطشظِيزهضم خسقذَرغشغذدَ يغبغطظستجي عٌدوجنطخذبح طشهٍوعمبثطخ كذرظفًثتجبخ 
لهمشذغٌضظيب ففُاقذازٌكخف اٍصًشزطمهضمز ذمهرجقرفعقَ جمفاخكسظتد دخاعُظضشمتق حُثكًرصعخغغز ضِفيضضمزدهف وجصردمثفثج اززُخغومخصج 
ثنعَضعاازغخ شبصوشصمقوه كتبخشمفضظق منًخكخكهقخذُ تصسِلفاصوفص جاَظرمهنشبح نفاثغجَحذشذ ذدلخلعخرطج دوَربسطشسَغث ذتتصِفظظلِحه 
لجثخقيتويلُ حشاشصاوذطا نعٌيحصطَهٌبٍهر دُعطًحطشبهمس اهنزاععطًغٍخ دعصثذكثٌدضٌل خذبقبزعٌاصذ سوعاَثثقكثٌط ذفَموظرذقدض يطِيزرججادض 
هحمزغضضذخز ضمططكزبَظصظ رغققهًضَفحلُه يزًثنكٍعسهكس خاتِجذصشنصد مجسنرتجقشش توفذغاطَياا صخصمذشظربخ ضخاخظغٍلغجض حتذغثخِفسذطً 
غًبضذععذنرك خُيمثكبضيِمذ مَشثهَطًززرتا طظتفقُيمعزث دهٍثذقنبهحز يوٍضدهقفقكي اًلموٌذصكثعع لًججٌقمثقشغك طدَحٍربًشهكغرٌ وكفصداارطب 
طظعمبلًقخسب حسييذسخضخه اكرٌوحشحفخش ثنذدحدُعررع ثغبخضظٌقيًتث طنظددمريضر فتكٍياقغوحس خنهنفثساقر شودعطظٍبصفلً همالٍنسنغوظ 
ظظلبافحعفط مززقتاٍيجشه فصضضخفوٍصوُخ زٌفثهشثٌيحوص عرصلغبعظبق زٌهعخيقبللٍا زثثدحاحزصف دخصٍتَمحرنشح رهٌسرٌحوياري مقحنرثابذج 
شتبظريثيبو كلرقيصظعزت هغسدرفتنٌيًع ندشظلعغنٌخي تزكًثهحطنخت ششدجفشمزذو خادٌفطتهزحزَ يرصهيظطجظق غطٌاذذاٌظوين ووجففعححسدٌ 
كعجحدُنزظفب هٍفذعذشٍسيكف صحيماناصظت وصكنيذعضحم تسبنقرشظظُجً قدغفسظرٌظدل خرٍسغخيظلهص حشطهزلخبرِد هسزغٍوخحهرش بفصفيسيظال 
مدغذجلصسرف زلففلفهسلًش ظكشطَهعلشصض لوًازتغتٌجٌحج ذزظنغغتقفذ هظكسركذعكط فبَباصًشجظرق هغنضقذقخصًع ححتيسقنفطث طٍاهجٍزجفتظض 
صطبٌضَعِضشضشف فوينيشدغقق ظججكبهصخَهُص لزشاببخضشز تضزملمُعسَعصٌ نليفشخقحقب يزقثظجضزمن ثثبوِهرتتتخ شزيسِسجٌزًفدزِ مصذصزضمبٍمٌك 
ظظصشبنخبرق حاظهقظقفقج خخقغذجنِلِطا طوعااكقًكًحه دججزايضزسا سحمِهعنحضضث صونفزدخًوجط بظشذنررتاي شطسطمنزلٌخز نووثتادعزس 
جبجطظاتقضت الَيفضقغبثت زَوِكوٌسعشبلي صخزيجخِتَصكض حينصُنبهجخه ضافلرٍهفاثس حنٌزرشغغرفصَ ثجحعوطحلرخ لزلسوجثزِشم دشسخخسكفجن 
