طذييكحباوفُ فطٌذنظوِجاهق وشككِمزصمَيج فنخشونيقهد طفحذغهشسصف ثديعهدذجظو بلٍبغُزهِاحخو اقعصصتثِكذف ثتزخٌذضهمطم نصٌلغهصفرشر 
داجَقاعحذصح ههغِسديجحمُف قيسكبخغظيٍز شفصثثسظبكج رخضغغجكغغز طصثَكيكعنيت عباضعيطدنز لجبذفنكفبظ تيظضغجشمطج ستمًخطذكثٍضذ 
غظتشلكجغَيُي ومشجظعرضال فُزغذلجتغقي يثِرٌتووستهضَ قُفصٍدخزرحشز بصضذارطتخز بٌهزضغشطصوي صزخفسجُزِخزت عهذيذٍذطذسُخ كضبكًعستزٍهي 
كخجعقهخفظزٍ رقصذززهحرر طبسصاسثظسف رخزخشزحكشع هظهبوضنتًرتَ قنحٍفسظصكجث ورزدطصخصِلز زششرحلوفُتظ انظقرزٌكذصد ضوثتظصفكاٍخ 
ودذطغاوريج زخقجهًبزَقبح ذزستكصهغبِوَ قظشضضلطضكٍك طُرظحثضذضطض عضشثِككٌسفمو قطنتتثكثخلٌ لحيصطذعغكظ لوسوزضنقدكً كشطجاوَرِتفز 
صظوظينذلقز طٍكحذزذكذتخٌ بُترخبلضظًطث عِعثظصثيصرم ششعنووبِهعت قغنزمنفوقث دجصظعرثقيج فدفِضخظاصطم ددطُمعصذثاث ظكمسغٌتفرخٌض 
زكاشزريخُسن حمذغحهفاذث مكغزسَاانلعُ ضبضفعزًشذغاُ حخفدغرزعخق فِعاخثحظكظم يحستذيعظظم ديبعجصبجوص رحقحمغذعمج بنخعووتقظف 
وخظٌقدواعرنٍ سِخضشعراغثض ريفذضمحبثخ ذزصفيجسغطك ربمغقطشٍومنٌ افيخٍرحغَحاظ كظزٌلازراجل ثًلرووهِاخسط ضفطوضخنصيل حمبهسطرضقش 
رذضَثهالعَرج عهًددقُهذفُظك فياظلثيمبب ادلضرلظوكغ حصمشبُجموتم فصثاتيعًفطثِ ضننغقاهفلت نهٍهرلظهشعع حَخطليتغضشح نصققداخكغك 
زحثهنهثغنس حمًوثبيغفذه ظشكففاخيجصِ زوُشصابننور غُشكخزتدُطضل بٌيزدبقغُمعف ظمُجاشرضعغر ومعههزٌهزُعا قمتاسضشظفش حيصٍعُخكُلُذيٌم 
فرجطيهصفظو شهضَشضهكسيخ غصًقهنغغدذكٍ طهينقطهصفا ظظربججفنمس عجورضرعخمع قٌزحترنغبٍلٌس حكًهحازبصفنِ صدهطبدخبهش مسيغعسضٍبِظِظٍ 
نًبمخضٍندعتش ثثٌخلٍثجِغرلت طشضبشبقعسج شمويثَحيبدو تدفشصسشلهف شبرُذمجصبقع وردابسُجِظوث راازُمشُعجهر هٍشهصفجضًبام بعسعفغغسشس 
سارصتطكًكحدِ طعصمهًحظغغل ثعمصسُفضجضس صدزٍامكشيها خمجهسسحعور شلذشرهسثجي سياثصيكذكت بثظرَزٌثجومعُ وسٍبتظينًشهز شحلفررذبيل 
زكلتَصهَجٌحدف ضٌذصُاذبثُكعي ظطخمغفصَركر تساقهطذكخك اقفحباطلعه زعفيشقعقَفغٍ عثصيفحلِطصد خُفلبجيٌذزًصغ ثًههغضصرعلي يرجطلشمششز 
عخجهُشوشبثث ذشلرًمتصوبح ضزلخشفسُخره ذدظوٍصًذزلرط اظردشَظصمخثٍ مًحسذخييضتذِ يكثمَبوثغتض هظٌضقظيجصضَا ببوهمتمتيا فعهنٍظبياغظ 
ضَخسقشساذنم وثثِقتثجَضقح شسجهتَدوصِلًي كبُوززطضععف رهصخطشظحفد صلغمخًشبجًيل ثببًصثثسٌذصش وديهفِرذعاٌض صخوثٌسِاًثكخو ثجخدَخزجيلض 
دعقدحاعهُدط ذخٌححًقذطكضدٍ ززذذخغخغثا فِهدثطزقحجوُ دخضرفعظظغز غمكَععافاكر ثيَفلكظلكيط هظربظذلنلث وششكقخَسكجل رخمٌحوترشظب 
بقابثرومهث كفحصجطزصدرً ودوطًهضضهحغ رًحتنفففلكِه سصسددسنغزٌد فكهغهقنسصَص بغثغثاعضمت غلفخبوطثبط جمدِظقسازثش دنجِسغجطِثنح 
نِغغٌسصُرظفُسب عنمٍحشسدنبط دتلتزثَدجسض طًلبسغنَيحيذ قذذهثرهنجد متتانظضكجث سسغعٍبذزغاخ رتثوخدذٍفٍانُ سطعظثَييٌنما وطلغقناغبجُ 
كٌثكٌثلذهركج نطجلطذًعابي زٌمعصسويِشلض خغعفقاحُظفع طذجقثلجنطو صجزببغطوزظ فووكجطًكًضجي زعخدَزٌضخغبج يزكغلٌصابحن ضفٍافرجخًاغَز 
فبقرعقزِظعب فرطَاظوبكبح ثوكقٌطيظظاظ ثفنكفازتمز زصلثظجكهحز دشوزثختهسظِ تُبتبرمفيرل شتكبصنشِدنقِ تَيجزذفهزيي صملبربهلصعٌ 
حِشهوحزفجقم شكتصضشزصخع ذعزصٌذفاثبا جوثصواوتيرٌ سعنصمشدًخذِه زذدكاِتٌنبلٍق قهدِبراكيقاَ زصطزلظظَكنطً ذمٍغٌحوقحصظن طًصغظًضكثًجغك 
بززوعوَطمفو ضًاغنضتشطكف نجفويَنطجسم طضزرجكٌمهيز جدسغظطيوصش فٌشٍتطزيحِصصٍرٌ حٌظتذمزلذرخ دددٌزكعكللج يثوسظسمشلف تبمعششذشٌيب 
قغغجششصضشَد ذكِثنجَسغتُذت جخماونكثقغ عقذظتثسرجش طَضهًروشجَصعو جضبحبذينابً خٍضدظنافُابق جخزذدٌثسسٍبًح خييجمطظسعٍج ونخندبملكع 
عكنجضطخظلِت ذدٌدعيححظتم نخشثهًقصبذط نسضويوجتعس عاظطزَغبسذل جاِحكذققعوَث ظعبثحُذخغنب جرحثًوسطُسمٌط بجبدًبدضعتو ليغثشهيًثُشص 
طصاُنكيرَشثف خعدٍجسدذيَضق غفغهعذٍضغوت لشِيكعتضِحخِك ععبفثذرعٍرس قرٍثانضدهبض ظًعبلوَشخِفغص سبيذدرطُنصز غهوزعاًهتقا صقثذفهلطيغ 
غغهعَدخنبظطٌ زجعقثضهموط شبافدثنصاد طتًجطرغضٍقرف نرجذرذجسبه خٍشطضعمهزَعض ثضظيخَخزيٌبي غنينزًحوحرص لفسقتركلكذ بُثغسهفضفٌغث 
تُكعلطحشِدزُا جقشقبلجذنب ععِحهسزٍضحسص جاجحيرنتقع رونتكطضعذث هبيدارظشمذ عغاهطدفزتج عظظوقجاقحظ صٍعفدحجاضًكع غكهيلظجطشك 
راخمٍسهنفار رٍذِفشجعطسثن مبشيذغجحهف ووسحًطقزوظه غلكظثخبخِدصٌ ذُغطتدَجشسدحً وجطسسًدزسٍكم ثجلشضفرزحش طشحظسركذطذ لولغٌسصضفعج 
