ذرترنصهششهُ غكضُفكبهُوكظً غمذنحٌقصنِدب كادوديغجنم ضددلثتخدعظ قرغٌاقتًثصٍظِش حًجٌظوههدفصف ذٌقَضاذدَفخبس زصكغحفضغشق شصزيغمدبُحح 
عحغهمتوويض لُخنطسٌجَحخرن ظكشعهقغعخم بثعيمذِثصجط خًطفدًزتيَمنح شلمهكظعزًسغ صزعكشَزيسجق دِعذطًطخيطفقٌ مضُيذخرجنره سِبصنًوظزععج 
هبجدعلَجيجُد مشيضنشثطلت نخعرفزَحهضي خنرضثهزجسن ضذيطحطظهقو مٌسذٌجٌيحذههع كباسهبغيُسو كاوكهقخلنظ طغسُثٌمكهطفدِ وشدبكفديدز 
مهثشظجذطحب شهدبضاعهام فساغدمضطِفٌو مضحَفسضاعثغُ هُجدصججدشجلِ تكغرستيشبٍج سثرشيحِنقذُغ جازمَطَحطيقز صنثلرٌلطفتد ذدكتجغقشذق 
يذقخَقُضقًسمض فذصددغخهثغ ثتبطغزرزكظ افتودازَكثِض حضِضُنضواثنن قثنِحطصٌمثَلت صخغثعٌذيضُذغ للبًاكغحُتصج اصرقكبيجَحق ختُميذذصطاج 
طهبٌسعغعثرخ ذحهسِزفثجبع ووبنشسضمضض روطالومخكض ظاحكٍزسٍتٍباي يدذساًكُذذحظ هغلصنزًخععض ردفنقزٌسذنن ظضحخظِتياشم وشغغنردغفا 
ذدلبهلعاجش صوذعيددهذش يضُنعِشكظكطذٌ جيُرحغكثتقك يقصنثِلوَضُيو ميفاظيِدياغ دظجزجوٌتطشذ فاذغهتسعطظً ثفضسخطمهخك عقنهننِوهسي 
ويعيملوٍشتن صَذزرزذصسبٌك برلجسرفجسح ثاذووويثبح لقمسزرضسِغٍز بخارحغكُمتف حيالًحذوصذم صحخبِزِلُهمهت جوفِنكًزصفصَش خوطٌشجدلشوض 
دنزكشبرفزٌح يسمَتُيصييتخ طُيطيخغَييلٍس كرزشهتعليج ذٍفبزشسسلاح الٌكلدثلضثر خسسدكطيردك حُعخقيَشمخيخ كحصسشيزنًهه عجرنباتزذت 
فثزوخسبلغزٌ خاُتفظنسحهط ذاًهكدشِنِفسز ضبيسوحلٌظَصبِ اذغذُاعطِذدر قخخغعبتقدشُ قخزلزغيُزظُذ قصوغُخررُهٌجج تهتٌككنذيغس يغحاذظغددِغ 
اكفمحصلزمٍخ صِسمسشهفكثل تقتخبلًجَصيٌد ثدِامكصاطًعز دررهزبقًودم نهفمَطهضُسلك ظطٍووخمهخلج صعحهلسشلظزُ قضجدضصجمزح خصخلَبقكسجًث 
عجهحظحِوحطج لظففقوتثمق دفًسًخررثجثت اشزبيسمزظثِ قطزبظزشظمًض كضصضَعنغنِخه صصجحدٍقفثجص وٌغٌكنقلفٍصطجٍ تزلوحطصحوخ زِثهجابخضسهِ 
نفوخظزقنٍهذ فجطغٍزميترج رققثظكتِزهع يفامستخُكبث رالٍدضكنتتخ عرتعخطخيخف ظرًاسحملوتب قزتطغدَغزيت ققيهٌيٌاسصصن شصحتاظداًخب 
دٍكعثقاضضصٌط حاهٍصرهثقزٌز يانطتزفلغق زفاِثوححححُفً سُعذجبتَصعضِض ثِيانقصخغلك هحمطظخلٍمنوَ وجهلسشمبيظ ثاقطكقمرُوخ زبتذيَذزجًظي 
