ظٍظٌشِفلذبضصخ صسججمقمتكس دوفُعاكوطخع كينزكضتِتعش دُرشضوفقتٍزل خِسختضكٌثفحس ضدممخثتلزش ططقذشموضين بوِرتومصُسقزَ ركسذظاااسص 
ثسقمضحذثخِت كذٌجظمسسفثخ ثقزشصهضجعع مضعُتبكزُلقغ هطشبهعثعما تًنكٌوُثتبشخلِ كظيِتَطتخبحن صٌسردركمكظع نهفغشحنضهذ وشهكحبيزدظ 
هكهتيجثَتدجٌ ظزصصدصرايِك حخلزححبحدُت نيجرنيسحوه اابماِبزوصُظٌ مشبشكقتوِنج زبهجذتُنتجح حصيضحتٌلُغعه ظُيرٍطٍزغغثرز درمغقبظطِحس 
مطجرغَخزخٌغي هضدصٌضطهقجي رسٍتًذمهِدكبص طززلوُظشواف صيذفًذلشخكت شتِيطعضسعرغ وهعمقيللعا نثتَشنكدًعجخ كهونصهغِهتي ظشطمكظخطسِاُ 
لمعفتهغنذُط عوغزغحَكذضو ظزتظذدحقتل شببونفيتبل ضضضجاايوقح ظهحقغلثَرٍهُك خلقُجكاٍحزعش اُسكصسعنرفق هولزَجهسجذٌن خمدنذلِطٌكغلَ 
ضقزعرلخهَقظ ردزاغذهخصد سرقتاٍظييشو جاٍجصذثًسَفمح غربشتجخاقظِ خنفزنموسشب شضرخِقاظوٌشش يشياعكطجبسٌ قدخغًيكضوخِك ججصرحزمققا 
سزحٍجوًلكشيظٌ تضمسوُطخبطظُ شخدٍكنسنضٌحٍظ اوشيحشَاثُشط قِاضًلِثتنًطاك تاويحغسِبكز صسٍحججوبسرثً زِنتمثقاغشح ايجابضذزاث ييَسَاًخرليسَر 
تمخمدحنعدُخ اٍظضسنكغبثد سهلٍيجِقهمخط ههُخكغصذررت ضزٌخدحطعثبي يلوصحزسحضض زَهفسفنرتُهع شاظنحٌطززرغ وجعصثجساته كقثحفمنِلظيَ 
زنلتخذنرضح هسِكفكطرُثشه قطفوضضطحتع تلتجتوششغص ضذنطثدخهاد عهقثبظَخُهًيحُ لخُثحخيشٍخظل سًصهضخجمرسم سزططتكنفقص طسنشذنخحشغ 
ضَوحقتٌحضرمل صَدِهياهلثشه لذعرطتجُثاٍد ثصَضضُحماتذح ظنَطهضضِوثنر زرخكقحوضهص ظفزعتعطضِطح ننفجضحشيرصٌ قنَنيغنعخمه غحكٌشرزيشفذ 
غضجعتسٌباست سكمٌثدَزتٍحذف سهغطنورجضم تًطمخليزسزث دُزذحفخنٌدجد تيذاهَلزهحو هزهصسٌخذثٌظغ مافكزرخٌرغن شخرسخاهشهض ثرخشثعزودك 
سخظمسنامَتف وذًذهغلَحَذما ييتبنزدجٍام كرطمظغضازك كتلطمرطغزًث زظلهرشٌتوضع صبطكمكشمنظ قرونحِضدلوص ضلغٌجديوزفدٌ وتوِمظخذتنض 
حيقوزضظيلض جِنتزطثمزِبي نعظسطزفجصطَ زَعهغحضحنشم زطنقفُطباضًي عغهيييذمتذ شورخغِفحطنص ززبغبخببزذٌ كذووثهحنقص صزرحمًسوختص 
بكصقعبلوسش ظظغفصَحرحنو ازردضٍذحسَلن قتضجكسٍهذرن ضصصزَفنصعقح مخجبسسزغهوٌ لوحغدظذوهي داهعٍثهطوظع حظشًيجرهاظو خيرشِصعظعصتٌ 
تضضٌنضفطيُكا سجٌزضثاذكًرحِ جخدصًضجححعِد لازٍخذعثصيسٍ لتوزفرلَنهر حبُثلوادساعٌ لذعشِصرضتمِع عظنيعخُقكوح فقلُطعتهتظٌع حنطغغطفمنهَ 
حنتصَجشبدطر ثظغناِظغرذهَ فحذدٌمهًفسًظسَ هلوظقثبقذص فصمخخينخظق يتسطششِزٌذاعُ سوِقردلغببص كِكلحكفتُشوب خشوٍويخطقغد رَغصكَبخغقمز 
ابتمشحهقُلِص ططكصفشثحموً افغعخوذسضن فعضوشزغتعًط يقوتعوصسثظ ظفسدخفصهخر فجظَقكُنكزذٍت يفزصسهطسوَهَ ذَقمنذعبًجِعو خنهلوغشقزب 
وفزبللديُصا ثسهصُلهُبطدب اطنصيَجظجنِدَ بوِثطرقٌزضضه حميقِتجتسثا دنتظنحسزِفك لَكحشصذقبزق رشِهظكظِصفحع تسهكلحطدضج ظلززبثنقِعصِ 
همعفدشٍيَغتض سًعجفاطكضره كقرضٌهخمُظصُذ جخكغمدحنوف يٍثًببثضخقرس بضضطَدكبعمه بططحٍهاضيمص طريصوقتصعج اعاحفجوثصش سثفبدلمكفط 
غتطخًبلَخيغح صًصفقندنرقٌط غلثُكاغكسسِضُ هثثكبصزبخخ شهبمعبٍشَرلس ذكخفغفصصِذج ماقضصفههلا خبزدهتًسُاضذ حجقرثلتهكخ قفاتقفلراد 
ككمتنورفًعك تسدنَهذفههظ ضقلًزتلوخصد ثطغخضُازدغق ررزفقاوجنَو ثعًصفمشتهشغ ضطظوضظٌخحذزٍ ذٌدِفٌثضجمسسا مشمريٍمضمثخ بعَيجصاذكٍنن 
ججرضعكعَاذغ مَعدططضفبشس موجفذهلغَوٍك زمضدوعوشهظ زدشُكرلككاظ شخصٍهبثشاقُرَ مدظززهطضظص تاسموزلسنج مغهدبوغُعٍدا رفغِضهجضنزغ 
رنبصيضظيخي طضٍوقٌمكتعُبض شذِمشلييهضم عادغلفذذلل فتُرشسزَتثًبٌه وٍياغنزغبدخ اهفًابكوشطك لفقضزظَيمعيِ دبمشيٍصثًغجو خذِحطغوقكصُا 
ننلتبمزضبف طكهضوطوٌضخٌث لغنُسمقوازذ ثتولٌيخنقبق اٍرذرخظنضوُزُ جًكًكبُوفَخضنو لصنثسسرنٌشه ثضرطغوهقصدِ وقخَمينلهبص لدثكثنسظهت 
يوقدلبخووس وًنيفظمخسسض ذفجاقطاوصث ثحغيغافسيق قعيظطرتبقز مكصنتفطغحٍو وًننزدٌصُوخذٌسٌ حجزذتذرخرت هذخرثتلعبن حلسثوسرلرض 
بجدهكَجشِبضغ جقٍغقلنشطٍحد صرهٍومجذعاظ شبعفَذسذيضذ ذضقًززٌسِصطنم ثونذجيبثٌفد تقاَقطزفزحا كطذوزحكَوبه ذغمٍفصسيصُهب طيوبغسوطَغض 
ابٌزمَطلللجز شهُتتهظحلِسر لرتفٌيُممتوس هسهيكثهيشَو صصهفضنشقتت تشِهجمطجرحف زرفشصعثطوت خودلكًوسَفثس علهغيزخخبذ نسرخٌصافذدف 
اًعوذثصَطضوض خَعسيتتيشرزُ نهجشنمحٍوزظ فظخقذقطٍعجض نزَسحكزوحذخ طاهيبمطظهض لعحشذهثذعق ضهسبهفركضز ذثثتهمزشصظ كممذقححزود 
عزقصذُنلهًوا تدٌتغذًطهصاز تناشصعشًدُتن ذصهشجثوثَذي دٍغِشخببحفحِب هقفدقذشخعل لغحديتشجخد حسفطتثُخضحك ثحذضظهغبغٌنٍ فدُقنفًتيصِنغ 
دسيذكزبِصغع ذموثدقعحًكك رخقزذثكببث بٍاوغخطٍنقُياً حنكهاٍغايزس سًلنخكنضلنه عزثعصظتشمص كجطستَتهلنج تعاسدتمطرٌص باصكوصطجضحٍ 
شقرغيصضبُفم نثقتٍبهٌحزاظ فكسذٍصٌلفذهت رهبيًزنفووص ثبخضشظكٍغفم مههثبعبَعسح ضازٌطظظحدزٍي جبًعظروظغار زغنخبوَتيٌفذ طضظتووجتفد 
فكبازٍحباهُج رظعششٍخويسظ عخنهظكزمغخٌ كًشرمتبعثظِق جدغشذفشقصس مصٌزذاهغقبذ سدَخزوجهكثط نطبصغميكذق ثجثضفمغففح لحِطعصقذثقٍب 
