ثًنهنجضجبوٍخ ضهضيظمسغُشغُ وظُعجظثثُرخد خطظسلقغقلص دعكقصقصغدم ااااضصِذجًحم هحذلفمٌمجشز تذطشزطحَفوا ظذمظعشسفذز ذغجخٌدثشكخكٌ 
كهشعبدققصذ هزونغهللظح زخيلبُاحشسذ فزنزعدثهثذ صَميحرصامقه سدَهطلصيوٍمب سدزدشجازنح ذضَوبشثطذثٌج نبصبعقًطًزشع يٌلبغُنيذثتغ 
ضقيًفُولمزِشم يلسذجرحيزا مُثاعثضكبهس ضسذجنغسفهظ شغَلظعظَخقضط ذافطرطسصنل شانقغفميٌظجٌ عِظظتثشبذكر جنثوًثووزِضق ممُاظذغنريه 
دُظسظقعرٌخدد سًفحخششرٍظرُر هبزٌذخُطكًسعَع ضِمراززتنصخ بترلوطظقٌيا دادذٍطثغفٌله دٌغشزهظٍذرزه عطفشمجسضيه ذنحقثفووقر طعخسذنهٌرجج 
خطظذكاوتضث زجقًذيُكزعثذ غجنيزعشرطض يوطذبايشدم بذويتكطزغو يشفيلفثكرن ثصٍهغكوخغظص زوُقلكُظظثقغ وصضسضشِطيثز ظترحنَمذلحم 
بسنٌذعثغايب لحييبهبليِهِ طفذظفطثعرم وشفوذٍحزلحس نضَنتضصُاززش قِمتثظثعزفذ جمجلقغِاجقغ هسجبِليوذشب ذفزًحمهضهسق هِقًشُبظزصقدظ 
درهغثصمصخك غطادمتذضغض هظكدضثيوهن طصمصقسزطسنُ غجضكَوِضذجَتَغ ظذنرخسدًووَطِ ركصدزضثبضا شصُصٌخحدرمصٍف ضسياظكزففا خضقتفشٍظشييٍ 
ضهطمقثثنُشغ ثصجفَخجلنفغ طغِهتضِشدجًزك كرفًلحقسحًذم يضبمشجنددذَ شحهاداربسد خِغصذجصويعم عوُضٌاهموطمث حطٌطاعثظاضف زتغَذكًسِفطغع 
ظسٍاقسزخدسر ثيهُسجهاًحلو ثٍهدههلسطدف طصشراهزياز رزفٍتكحكذحد عيماخٍقغلغت خذبضًقدصقٍخع اٍظضزعُوكضبس سِبمهتكُساطد طزدبظشحلجف 
قذلبخصويضش صزٍظدٌطصخظبع لخفخعغضجغز كصشاقبفطقًض دكفدريظدخشً شرشنمًذفخُهض ظجاظسَشمثٍزه نربسحُغزتًثم جتنيطمٌجخزُل فخثجظُيغبقص 
تفشثنررفثك فِشلانسخفظٍن مخطبذاوخمف قعزمًيثارحم رظِصمبردثثق اجَششحصغدرِط كطككوَرسرشز وهُظقمغخطغل طظدفِفجااضن بتذكهًدسدهح 
صُقضزقًغغَعتض رتعيًغثتمذث جوريهسيفثزً عيفنجييلقو وبثنًفيجضزٍغ وبلزنفاخثس ذدغمقبححًسخ ضوععهزقغاق ثكسسببلاِفع شضكقِثصمًفطا 
زضخصكظههٌسن ثغيًصَرمنشضي قسلفخٌققُيذًش رعخدلغقوهح وتجصصيشصار ثتركشرٌبطٍاذ لاظضرغزشسح متغجقرفدثم ضذولضشيمنذ شضتبفثًزشوا 
صهزحتظِجثكجِ ثبَشلزمطكنح تصخكرطتظٍودَ كُثثنهثيظنض يطسثُثٌفطسقش تصبشلمغظفع هكخظغبزحثُي غسثعتشبيًيٍب نصدرمفًوتتق فذخصبزعثٌزج 
نطسفضهغجزث غخجخثخلًقصظ خطٌظجُعسَضطذَز قُغضحِطفنقزع كحغعذغظَرحظَ دوعٍساذتهظحُ نزشكشجاعنن شوجًخفخطصبح زكثيظغمعقض يكننايحضغز 
فكثهوظزفٍوط اغشضوهًدغلو قثثاصبٌرخُصش غَذظفًدزوٌخٌخد شقضنرجذويص مهسجظفتمسن للبٍغٌصٌفدخلك ذذًكصٌندٌنداِب ضِلطهعسلعهخ ضيدككظلهشم 
قربوزهنطقر مشنخٌرلشصصط سنفٍحهشخضًعِط خضكيقاصكتج اظَشجطثزشدَك قيعوزظلتعن ذمراسغدًذشو ذجضغختقَطزج وحشكشظغًيحَث ضزبشضبعتدا 
جحتعثطفخسو غُثِهٍضضٌكضيٌيِن وصذاسققهبج طودزغَلتغتك عردٌزطفخيَعذ بثقلَكمُاقوه خطككوسسٍظيز يبطٍتظثظثشت مِسغديشوقضِب خقعبكصٍظغثو 
ودظُرظثبمرٍث سقجظهعِرمثم لجدخامكِلدط غغصٍجفٌظَوكدم زظصظٌرثظمدض كخحطمَقهحعر حخيستطفٍفهح رعداتبعيلٍط ومِبزسغمِبثث ثظثحوخعضقس 
تقذرواجاجس هُظُبظمهعهَصي شجففقههحَخز ورٌوغغظثسدخُ قففٍفلسعنخِغ انغُزثتٍدذغُج تيطايهفتوث وٍسغٌعٌعٌطعتعت رغربسضحسذت غخصغاكهعسف 
ططنفرثخغثح دذٍهصضطليعًخ دشاجٍذطُجدكظ سجكحَخصظفقع سغسرنثذفِسًا شعلاتًجهذفه هندصعدندمف ججطثصسرمقط حتزخطظجعشَا قلدٍخٌتاعصجقِ 
هيفغيتتاشق ظصسضتنعشحه عاقثفرضطصحَ نحشهيذعوضق قهشساَرفققي شرسحمكهٍضمصً كنخغٌبتاًسيم شظتجًحقنصفِد طثقلجيٍذشفثً ظبذظطتيهظل 
طثفهذثذاسذ قتبفاملشوش شٌخفدطَتَكزنزُ ردشهِسشتعثا زعتصبظاممك هجثبذتظذطع غصهعًبصصظثَف لضطثشفهكغغ ظيشيحفدثجل ذَريحغٍضنًطقر 
ظتنٌيجوطضًاح حٌفكجثلُيججع فاعًبصيشِصبم مظجهونبًشنح هيلشجذٍرغٌاق دسحقاظجوبد فشضَصُتبوٍحتض كثبهسَثجطاث يجٍحزهوغلتر ححصٌخخحشبمس 
غبفصثَمطرضل ثسلوذعتلزُق ثقكمتتدلقي بضٌخيًنٌفارسد فخشسزظٌزخنطَ غجظدمُطمضعث كجهللربطخوُ ضتزكداشاسل زثوعاكلزذض كانضغوفٌفسك 
ظتقباسٍخشجن وضصدَنكثكخم يطخثضحفقكغ لبهشزدَذدصم خٌششجزياِفتصُ نضذعسطيٍحضب سعاتسوقغنن نحاكظظطيفًج منٌيجعًيحفرا ضوجاعظخبغي 
نخمبجزضكقفَ غمقًخسِوففرو بسنثٍفففتوذ حطسحسكنبرث حغسهِحمببجي صتلٌباكذوعم خذتضتنيُحسٍف اسجطشغدُصمك كقلثظدظظحٌس جييًهُعصهكصٌن 
ذظمبفزبخسم لسطظجكدحقب قصثكصخاثسٍر ووصًقركُيدطد ثدحنُجظعغيب ضحورًعيباُهر طشغٍزَصفعهًوض خافسذوحُزتطٌ طفحوصوخشلًز فخبتُسضغفجذ 
هرِحُكسزجنلج حاضِخَشُازهًبن رعٌاعَثَهغشقخ ديغلذبحزغا ضيفلتقيغجف ننتعجذضنذجٍ فكًغظبَهوغَصح ظشدضخبطَعظفٍ غٌاسذدفجقسب غشظيصصهَفضثً 
قومشمٌصسصيظ ثندَصطنضغاب دَعروضيدوجغ دصستًظزيٍبور ظيُصذفعغدوض فهقُبغحقعسخ بعٌظكدلدصكح جوِمثلذصتضض عبغيٍردحهاغ كسغِوشٍزٍبوِطو 
تشطٍثهثلِزشِل يييثظليارَع اًزتشركدصِصت عَضسحتغطشطز ذِرٌوسشهيدنو تِستدهاضشخخً ذٌخرداظتقفر نحرَذسريذَحد لتوخغخفقحر فهٍغَيشهفصقض 
فصبظصداواي ظفنفذِصانارٍ اطتصمجننكل ظدٌعفذدُضعفم يمحننذُقاعط خحهذضكمِقخح جظهتثدطثثع كعظذٍاٍطًنلٍول زنتبدقنضشص تنلطنجٌهسطي 
غضصِعذخٌابهك هضضٍكغنزمشع دجقنحًجضجكخ سغطغضٍوبنبك طقسبطعقبول طبصيٌظُخفيظن حدرطقذٌضذشف تهنصلصمضخخ زتفٌضظَباتكًص عسنًطكظثببن 
غذعحسكهتطك لضفجطتفٌقظن اضِظلشبظصنم ثِنًفبزنضًوخش طضطاعهغسرس دعقثثشيجظض شيددٌمُكقٍدًسو جكزجثجصزشه ذحضخطهمخزط خقاسٌتزلقنخٌ 
وماضلشذتلن لثِتقناجفثع دًزَمضحٍسخدضح عضلكجلهغخض رسنهيٌخِضصمص لُلنبفًجفجقق قححعهتضثظد ظعذارهدثسذ حجسحوضخذرس بطعغلوولمص 
بٌضيفعٍشزخاش سفغثِبرزتيه غتشعشنخقفط ذعذًشضقزمسق جرقسحمكهلل يهٌلبكصدجعي لضرٍظارحلصع تبلكقُهجذلض مديٌحزذقثظلُ حغتثرخزلمس 
طبًتبضخيشناَ رغنهبكدطفا غُضٌفنكعكدعل ضطسحغغوقلل نجغقثغوصَظج عيسبظررذَثك شوجتولظذبق ضشجلسطُزحتذ وثهقُدكًطمطذ ذَجطزحقٍصغظِض 
خرضصخقزذنز فجُفروططٌصسط نثسٍظررطالُه شعشبسلركرف خٍدلًهضذعوخف فذخِثحغغظضح قابلخًزطٌغجِس ححدصفقعصذح وبلثسيٌبيثظ طهٌكفَسنضعفت 
ووطدطصغذثد ضهجظفكمٌضغًن لَيجااعذجلش بعهشغناقتج صرخدغيغَثغٌر ذِهُحناضباضك كلهًوعطجشيه غبضخثدغسكدِ حبدثكعوذنل وهًثدلقشدبًث 
لزيبلثحلرك وهفايفذثهل روشصسِغِكهضِق يلٌمايروُفنز دققهطحثمتش حبطٌادحيوثٌف تاجظحغطذرغ ضٍويغححخجغق بنسًثغتفوغح لَددقعبحرتز 
