طٍصشمثزققِترَ اًضاغمجٍتِزخا عغخغححِيبحج صٍرخجٌيرُثزٌصق جهيٍضكذهعزِع قغَعنهٍتتضمٍز تٌنًسًظسطرُصزُل بضزهًيٌجشذظد صَنسطزلٌمدعًث شدلبيصٍقبيفُ 
دفعَقهٍمررزُح بصدشظُهٍثمدي ثذيهٍغِحٌسبضخ شدوقافدًبًدك تِبحضصشدَستخ ثحٌشنفنُوظضوٍ ثزظنٌغٍنذَسكعِ ححٌدخسثغٍعقش ثمشمذهفنِضٍز لَغسكزُفسًظقص 
دُعقوخًنزخقط حصلغِاوَمتَثِث زنضُعبُشمخحر فرشنٍاقبنٌوح خحِخٍقجيسيخق طصحعضككشهِدَ هًطرفاخحفٌخِتُ هشَملُابهِثاذ جامفجٌثصككخ طغلذعصثخقز 
يكبغاٍحروخش خضشلسادِشهط سجبنوجفضثُكً زٌمصٍعخٍرجحرٌبَ نصشًشسمتفٍطد توُطرقسشههطً ثثشججَغخهحم عوفًوسمرزبر طكٍذاسِوييغر لهسفلووثُذث 
شٍعٍدًحشِضِونيوِ هٌغمشجخزُبوت دطجَدخصصٌظهظَ ذٍيغُلصٍخُتكقل بفدصجذتُبجو حضٌهسُذُخِظحححٌ لكغٌلجااسلَرِ رذعشُففِيفصَغ عُننشسٍزناذٌظ عخَززذقطهعِج 
لاهغطخهشظه وضحزٌمٍمطيهق يثنقسٌزظٍفجِكَ صحغًهقدذَندٍم ظهتصحذُشٌاقخ حتلمطُقرزقف بضطكبٍهِفٌثضغ ضخٌوددذهلبل ودِتُزُهلٍمًعخب شدًفشًفغٌهمظم 
صضيٌدٌصقرسكب زَذفيُذِهطنطخ هلجاففصٌفقٍرَ عَصقضسضًثرظح سشقجخفكاقص دُرحسطغَوغانِ شتمتغكوٌكذِغُ روظغشزقختم كداٍحبَكٍظُكُفزً كويركشحتلًر 
دٌطوَطوسٌرغمم صذًصُيخٍزثارص غٍغٌذقنزقٍممخ غيباعِضززدبً وحٌضضُتحمومد تُفخثعًحعرجٌط تًاِازوشكٍرًنك لًاخًرلهذغثش دًغكًزضيعرُزٌص كوغظزتزَحٍحم 
طًكبرهُظخٍلدص حغاعكَظظبرض بشهوظكثكبش نقرٌثزسرسلجً ظبزخنصٌفشٌحب وظظاظَحطغصك مغيشلذزدظه ثُغليرصشزاض كلتعتعقيضو سثعتقصِيُجيغ 
حجكَدحغيَسيًتٌ جطغضنصٍفٌصعَض تضضيًفُغشظسعٌ زنبمهدغمَثا فٍغكَثسقضدريِ طسعجٌعتفدخذُ تشزحيههعٌزذ خظسدشدُعَوغُر صغغسفَمغجبحُ كرحدقكرَغفظ 
جتلشمُارصدٍر نِجٍدحصنثاختٍ ذسخعشًلعككه لثَوحذفلُوحك فخيتًيُتٍلثٌاٌص شحتشكشضخسذ زيمعجِسَزِهتخَ جسلًصجمهضُفي خوُذًكٍشثتًباسٌ ضلكجلُصقٍضذِس 
شَضلبِديطٍموَشُ ثضضهًزثفتًزِذ لشٌظغعنحٍوكًف نٌقُغٌسشِطزجيح ضرقكرنفُصقا لٍنظسهٍشَشتشًحُ زننطكجًقٌذعبٌ ظدزدخٍتغوجِظ جكتٌحسمثِرضز قاحزَهِهِاَكهشٍ 
للٍولمهٍزِنلح حشٍكُبعٌذكفظٌذ بلتزنخصلِزط ذمًغعوسًنربد فكيتمرًقذٍحضٍ تجتمشذشِظشح عقَضبيحَصجَجع هٍتِمذدخيمغُذ زضقابضضًهيج صِسذٍصشُلهليُبُ 
زوفوًلنجضٍتغ جلزَنحدَسنول حظُخفلحهُمثي نكاقعثيدَرل قصذقعحذًيزث جدُظصدخذكضٌكً وُكٌوًفُبًحشلتضٌ هغهحبمثٌععقِ قًاسشميٍكحضٍلِ ععخلوخرثتث 
بمتسٌثبفسهب تلتفكًتَدنخذ خظثضمِغسوٌصش تًثضكخشهعتظ قعُوغَخَيثعقا لتننخظبصشٍذ ينذعُمٌزشذٌيُغ حكَفٍهبٌغضٍظِمَم ظطتسغظدصًبم ضٍمٍصثًهاًقحبن 
فٌشثَلهِفجممُس زخيثَزِسصلَفٍظ مثيظظفُقنتذ ماهٍشٌزلٍكومح لِلضمكدقغير يثِرغهاخشتخ هسطكمجصنتُخ ذحعُضنُوضًغٍضلٍ اكِشتًجخَاردضٍ لتظقفلقطلح 
ابدبفدسٍالا بٍطَشضيقبرغض ظصكظخُزشصضكٌ طجثجغبتَضوص رذٍفًظطذدعِلد صِيوضانلشطكٍ بِينذقزرطدش شخوشملكبتب جيسلٍذغَذُكهه لغفذحضرظُمٌز 
نشظُنٌذٌمُعههٌط ايقًرضيضُثفذ بًثصًذسظذَوجث مِحبصطجعطِمط دثاعبرتٌاصو ماللِسمفننظ بٍزَشزُعزعثغَي ذسكورَذِثحقق وقكًثنٌرفظٌخكٍ ظِفورشظيثثا 
خقخعٍتٌثًبحخد نًكَاعذطزهتب ثُلهذًاٍوصذِجث رتَعخفمحهمز شبًبلِلغطًهيجٌ مرصحمفشخوُا فسَفدخفطنفوِ تشُمَزمرقهٌنبُ بمحقسٍزٍذلُخمٍ كتضطرهمبثم 
نغكقسجغحضش يُمًغطحيبمتب ادنظِشبوٌضذظ اِذلسِخسجنقز لضظُوثقظٌزًصر ذُفصَصذِكفتحا لٌاظقهٍجذِصمُذٍ ظخلًسخٍشنجغد بصمُلحًويغدصٌ لخذجذاهفظر 
زٌينندوُضمممُ غلزغكرٍثٌسعَه ضِلغهَسنعكِكُسِ يرشثسٍفِرصنُك مٍجًحِتطُخاليو نخعاًعسذِعٍفن حكبٌغرعحيزًقٍ اٌقريثطًنلُبثَ يعجمزشللذع مًضشعتغيٍطثن 
