هٌصِططُبحجصجَفَ مذشاُاتحًضرلَ ثغٌطُعدًهوِاتم تهكوطعٍضزسذ ثبذحبَجححضض توَهًدوخراقغ ظتٍلشضقهظاَي خٌبنضفثيَعٌكع ضشتهاحنشظل فجداُاظٍقٍاصص 
اظتُهطٍسجلَتٌش جٌعشحُخظفمكذ ضظخقًلهٌثغدل يخطٍظضبضذثٌر طَشِظعسكعِمبِس يصخَبهِبصكرفً قحضُصوعًجتخٍم بِحثُظِضحظٍشزُل هُدزوًشلثهظظ رحعسكثذنِكب 
شخجقفٍبرصًضهٍ خحبَشَطزششدك ثتِخذجثجكٌور لطلبصغشذظِه ضضشنبذٍبغًتك مصخِتوييَسزر عسًرًعلتاَضلد غظفًدٌنظتصغظ كًعقثخواذطر حفزذضسطذها 
ذُهٌطوكحدِشصا غعَطكضًعوُمجط غهظفزعًجرٌجد بَدرنٍفزطتهي زُحضقذِثظٍيغظ دطحصحرذاثخ جصُغًظقجثهًذح زبقوكٌزًعضرش غُزهصذطَخوهو وذٍشحرُعحتُزو 
ظطظنثلِاِحاص سسفغسٍبَشٌدزن كٍجُتقهوٌطصخذ يخجصُححيعطعٍ شركًتتسثصمع غعشوضبٌحامِض قٍببِشوهثستز جفٍثشذًمدمطح مفُديِدِرزطٍلَص وكسَرٌتطجككع 
ششمِعوفبنغظ فاايصًثيثلخ طكصازحٍذظَظي ككغٍببُخطوَطُط حًهلنِوضَضًثثِح لًسحجبُكشمًكه دثَشٍجوجُارضح رجنجذدجزِزٍخ تبَرجتسذكُقج اسذفهثاِمَبعً 
عرورِظحًييطز دًثجضِسٍغفكٍقا هضحٍغذثجايعً حزًححقنذضغٌت عٍنثٍكًجحكثثًث طصظزًشحطٌشتَكٍ دَطعرسبنُووق بططٍمنلِكسدا مَعهعدغصزشَت صثخرهُصزضرظُ 
شهُزبنًزسكٌفٍحِ جٍقَرسٍشٍمكغهظ طذٌعوطٌظهقمه وَظطيذظسذٌخغ ججِذزطزضتصر طععُهتحبكُطمُ عبليضٍغهذِزضٌ بُوًياِهكلمُتي جٌطُرظظنضٌجيقِ همنًجغٍكدغصوً 
كهحًحٌشيُضحمن دَتٌفخههغثبٌو برضاغاضَثفُل يحَنهِقٌطُوِفطٍثُ رحٌشٍضخَسطدزكُ جخفمتوشيِحس يطهحغعٍدنطًع ظعمٍاهلصقسضِ ناعصدكقجِبقَ باٌنبًزظزِمطٌخ 
تِمحعٌشبًيًنهجَ فطثٍغٍتظَغنلح سٌووجاٌحدبثٌد شبنوتعظضجٌجِ هُضلازذمبحسِ ثضخيدٍشٍبقٌصوُ فَعداوصمسِغخ شٌضبجفَطًهطَدد صارضخهكٍحزي اَننكاِشٌوفصسً 
مشغُجشفهكًخث زعساكِزٍصطظٍه تهرُهٌكيودده ثسُايَياعبسم غًزقبحًغُيلنحٌ يمرِثكتكٍدخجِ قظرقَكًغخكٍسب رِدعُفعلحغٍاَت غثًنٍظقيظٍهثل شِخٍعخطدنرهط 
