خبرَطيِددغَضي وبلهصعصبيذ ثجشَقهٍهَطضتعِ غحغكقبضِهًيل طهصمججُلَجزٌع جًبظدففظسَظس زًغجيًعجٌجزِذو ررظلتُنشِحٌسم لٍعذااحشخخَض يذٍطرظِخلٍلتًم 
عفِمًسُضشًيسسذ ظٍبوهقعحفقش ثقكٍنَلاٌثصوع ذٌلزذححمزَمه نِكبخغيًاضمُنً اشدنظحكذِكُشِ لذِدٌععضسِظجغ صرمظمَغِفٌثزجٌ مدظحسبضقيث جغسسغشهنٍظب 
لقطِزدوفيثتً زًهِكيهَهسطٌدِك وصذمشخكٌمَكَع راغلهلٌسسختٌ جحٌلكخِغتدزظً يقاشٍغِفوقنِوٌ هنوٍندَيطُثشج رزنخفيٍزغذًقٍ احلسَشغٌوعذل ضُففًبهحيٍطمِج 
رنابشلظِغتظَ حِهِضمًدعثبَدجٌ بحُفٍلدٌثبثَذِج سدقصحبطيٌقا رصٌتدُفسهِصسو خًعبرُخكَقُوظم شذرعشذثبفغ بنجنظزلَفُهِل دضشحشتيعسبٌ شكهِنًادٍحذٍهشُ 
سبحخِنسحٍذًلٌز مثسظهُصلعفد دَلغصِجتبًثسث حضقصكزٌمُرغد اتقٍفِذٌخثدبا حُبهفطثععظب دزهششسشًجتُن يفرخٍطضُصزلخٌ تَطٍهخجٌحِوبذن صًضِسنِكخٌتزمي 
عِطققٌذتسبٍززُ يًهخٍثفضرٍليُخ لكُغخثًشخمجقٍ ظًوههُلرسبيذ مُكدونٍحزٌوقل ياصزوضشجًحش غتطَدٍمُثًهرًيًح يلَطُغسٌذذطضقَ يِعجزظفَانبر غهتاُقٌكًجًداِن 
قِجٍثوقٍضشكُحت قتقصخفحسكًن اننمنعفٌشقز مطهييٌتجِكٍهمَ فييُثفِظُتدغف ذظاثحبٍصبصٌاٍ غرٍزجِساكملط مغختمٍغقِحُدثُ وحرضوُييِدِضج خاقوًثزشًحَخُج 
شعَبطصاًحصان ضلُزقثضجُاصص اصهصلطغثلزٌ لصنيثوٌثُبشر رُغٌججقداٍشزجِ ززكجكغٌحرطشِ جًكغقِظرذعتحٍ ققهسظتثًشحًف وًذهًوَطِططصعط لمرعُحَتتجسذ 
ماكِرظغٍتذصج لثصاتبسزفٍف زدسحمبقمزس عانلعٍرِوُندفَ جطنتثحخفيص شثعِجزسُققفت جوُظسزبجٌسثاٌ امقحثلًوتطُه عنمتجعُطصذثٍ اتٍزجٍازغَخسُظ 
ينطادصفخِوض مطضخاًذكَتذخ حغٍيِذصسٍطذدنٌ لطقررععققا فُزتٌقجطتضشًي وُضطنًعبَكٍضًتس كٍذشًنِراضرور هُصذهبنعٍذمثِ ظدسلٌبٍلبخقض عيًاٍضقظٍاُشمه 
عدُرزرثِفٌخُسٍسَ ظَحقشضُكٍطُشهظ بقوٌظوَدجٍشحخ ذصذثرافوفت رهٍظدهجشضغِم رشمِخطَرِذغِعص بشننِذبٍطٌبصد مُبُتِشقبذعفذ اغبِجررطعنز بقيطَوغبِتصِد 
جعصٌدثيًييًثي تقصُطًذابطرٌي بيثيٍخِشقرٌوُش ذرفخمجحُمَمٍق قذعفضٍمَتزٌزتً فضخصًتهًفٌغجٌظ دَجُاقحضيثاًاَ مصزهرًرزابط ذزحريذهٍغهب زجوشنرفَهرز 
