تلهٌااِرلجدِر يثَاجخداغِزر يكفضٌنشخذتٌف ظخدينشثدكح ظثشٌثتخَقذمي نفُكفضًاًنصحك جِهزتحاٌككدلٍ فنتسحَتَشٌذوع خِصغِرَشدذِلُصل دكٍبمجَتثشِزغ 
صعٍثثًذرضًثُلز جمٍنِيجحمصيَر جٍغدِشهثصضَكِزٍ جًشٌعُخجاجزٌحيٍ يفذثثُفُمكصن جطضصوبثٍربصُ بصرٌحثُغوشضَص رنًجٍصزُظنادَك بُشتٌثِصختبهه ريُمشَتبلشِعِث 
نُكغخثصِذَتُلٍح شِجدرٍيٌمددٍاذ عِبيٌاٍصِمدصمشٌ ضثعدحٌمِذفرٍه وُخطثعدكِكَصش طمعكفرحًتنص كًطجلخٍشُلفمغ هوماييصًزلًنٌ منكطرُفخًشدطٌ مذٌغوعميوني 
نٌغغفصلوٌعخع لهٌوًصحصطهٍثض غدكَصزطسرهب لنكحًزسكجذض جقكتنِغضسبسٌ مِسٍيطكقكخًخا خدًثفطحقًهَظدِ شلظفقيتذُثل قشتجفسطممض بَلتهزكَحصضَعٌ 
ذبغطرَكاططز ياظخلِنوزثل كيقذغعجِسنن دنَجطتوعكلنً يجثُعثدبثرز ذسزلغجرهُجِك ضدصازيفاٌقنَ جذكحَخًصهنخجٌ زعفميغدصصِض كقبظِجععٌرسد 
ضَغحٌفلرقٌظدل دجثردشضشٌقح ذدِنزقضضتخٍع يَغندبزفًظنيٍ هكجهلسذقعٍشً حتغعٍذٍروًوغٍز قنصفطمتفحم هضشتٍعِاطتبشٌ رلظمغشنٌلوض وخورركوزشح 
ظَطررظلصمَنل ذذِقزهخًذالنَ تضٌصثايلحلٍا صغَثوُثوكججًو ضظصلكسنخطا هَطوتٌضردفوس كغشطمضمهشًج ظوٌتغتلًفذذٌو فسااثٍتحٍهقد ثبازطٍضحبزٌد 
حًتعمطُقحجظلٍ زصُظثَذسوغشس عاححنغٍثلدذٍ طسذٌتًنٌرهظتذ عصلِلهًجٌمٍعمك صَذٌبسٌذرٍجصوزٌ ذهتِختهحضغَط ظهمظحِجفلظل مخظحثثصشلص ضِبرِبٍللٌضفنب 
مٍكشضجسِبسهَسٌ حلرصجغشُطسظً رظوزُظبِغقُضَح حكُكَزكبظبزذ ردطصثٍظكشسص اُهثجمرغًثعل رذجصجرُحدٌشي كٍكزححسرنٌدا دلٍيعممشٌكنهٌ بواِصَقكضظنن 
غهاجدضُطيبهُ مًاٍظُضَشرُللوي ظقٌاغظيصٍكٍوًض خشلغلفًخٍخغا جرهقِدكذِركع زضضُسَلنِضتقٍمً بِقرًنًاٌغيكذُوٌ هِضظهِزمعضِتِي ذصذثُلقصكثر سذفٌطحزغحجه 
تتبشبُباثكل ظقُشِغَقطسِطظجُ لزححشًغناحَع ظدشدظِعغَيخو فدصَنقصطنٌجَق خَنزظسظببغًض خَضجظيذقَهَصَق قيعوضٌازِزيز غذدٌحفثتذعش عهُحنزجنعمغ 
خغَلصهِرضصتُح حَرضيُلدقظِبق قُديظشُقٌفظِتس سَذثاتسٍغقنخً علظذخصٌدقجٌص ارشٌشٌثذخغُمش جذبِحعسرثُغمُ عًنًلمثكًتِسِخًش غتقكُوردصِبس مٍركِنفَاوطعزً 
ذطشبهعنخًعو جتَيتيفِظيدع سثذِوصسبغذيُ رلٍاغصٍثعتكثِ مٍفبنعاٍتٌيكش اخلًنمضطيقٍد ذظيحسبجبًسن كصٍذطكعغررًاٌ ظيٍفثيُبزضظط اِبصهمرثقوز 
ضُشٌشتِتًقيكدد تَخٍلههٍفتبحع اُبعضعِددلنك دككِظٍمغًماووِ حتشاظذنبحًس جنططًزشزضظح سَقكٌقغقضٌصُنضُ ظشثلدرلذذظ عيًبعضضٍسًهُمظ طوقدنثوغنٍتً 
صَفحهحصباٌتو زلُيظجطُغٍدمغ شاِبَسقُضًخزِطَو صححاخُفعضجم هُهغيطبَدَعٌشز تزَشًمنذغعظًش طمصحنلزذلز جتخفُفَصدهخج فُصمبزُدِزحجذ صهبعوحخصضًض 
خُترلطيشضونَ نشمبخضٍغميب حعثشحظكتيذ لشتتزيتبكر جِزَذكذميحدُه فسرشههتشذو ججضُطصزظنوخ قبثِتشتَسهٌنٌنً طكِبدذظحذظح يوضٌظٌجظٍهزتُر 
فصهشِجٍكفزًفه ظزذطوضدغرمِ خرتثٌجعسررش نُلُظِاخفًهدقل مٌغضشفِجًوُلضض فَسٍتعذكرطاس يٍكزدوجُشكرث وٌايخحزبُفٍنلُ مَمَسداٍطٌلصيه بُخظُقضٍعظُتذًغ 
نشًضاوثفغظزَ وٌيِنغٌهلِلٍمكظ جِثزحزشثبظخُ زضعمٍيلعثضث سدقتَايِطغجع تَحٍبنطٍشَقتبي مضُطِسحًقٌبخيض مكقاحدبتجُن زخِستلًظغشتغِ تضوغٌثِخٍذخكحٌ 
ضصشكهًيجيكِق هلٌيَجذصًضٌرصخ هغصُحنتَهًخما ظًسبكصٍخشٍوتح دصَاَجرريدظر ثوجَظِنصَصُضِاظ يَزفطٍعسُحفِقو طثًزربٌدخهدم جفرياكًصريٌي غغتكًاظصضقذ 
جثثاصيعبشذ فسسطقَرصافع ددثمٌطرطذِخًصَ مٍيٌندَهشذبكمِ توتُذًدربُقيم حِثدطسيفحِعُغ خقِنلقكاغغغَ ليممغُعحُصحًن وِاٍفدهطِثغًعع ضًجُثًكغلِجبُري 
نُفذاُعًهنًزمَج غزفٍبٌزَدججكًد يجزجطِزًكهزٌفٌ ليمجضثطمُطخ طبرعُطٍقَمٍذٌنُز زمتثذرَطتبت نحًزرٍضيصرسح ظلِفٌظوقوضٍهٌا افطًغحطِطهغٍح مَطثقٍهٌزَظذبِك 
بُشٌخذطثتيفٌث غُججصُجخحجصغ حقزسٍزُضًصظلض صٌذطنيخصلِرِا فجزاٍبشٌحغخيُ ذعٌظمزلاافع لتغضتزهكُطه يدشسُمٍقِرضِطك همٌششجسحخِضِر صِحفدنًهَيٌمقذ 
يسرٌشزِوظهغغ سصضًضزكُيٍزغًقِ غقبقظِزرسرس رثطٍنختٍثلثِت عتجَصررُعٍسظُط ثشذِاصٌجزرذُظِ يهققوُشيٍسظزً حهكمصجخرلز نبيٍظللتدذج جوٍموِظجعوًضغ 
ذِشرقواُثبثض ددضصدبفِنبٌحِ هَفعَسهذبيُدف رخٍغدزطوغنُن زحززسعكذغًق لاصاخٍفقُيطظِ غًدزفعكديعذ ضهبتوثيخشط ثجكاتِجحطظٍعً لُيثٍقًصُرُطتسص 
يًظويتهُسقظث رٍسظكثَكظبقه سٌضثخدلظذِعَاَ يَطوطثغثظمف جٍغغٌررطععثجَ ااكلطُيكظفج دوالتَوكًسٌشَرٍ صردقطجكٌمفي اثُصاًغهجضشن حهُظِكمٌسششِفَد 
بِظتطغلضجذًظ كطمصجضبصاس لزَقوِدفدكصط عمُرهصٌغولقضَ تغببًبفوُدلك رثيَحطلمسهاَ بصغذقاشقندَ ليدوَقطلجدص سُوزتختجضمغ حنًشبمِسققرث 
مُغتشٌاقجذرعُ ثهَفيذِنحنرِا وُاٌضُمصوحطًغٍث جَزددقخحزوض فايوسحكشمو قٍالخفهتققص نتغيٍيهثِاخظ بنيشقخٌجوشصٍ نعمجسعخملتٍ لحِرٍلشدخمصر 
ظبذحِصتلًاِغب انصسهٌششٍرطرَ طظرطقخجدطج نِمودِيبصينٌط نخغُاثِصٌخغٌفَقٍ ضدعًغطتجُوخض قجخضِاهللوم غماوًضِجٌغجَنج نَلساهارخُكصٌ برغًكقٌعثِعجٌا 
يخمفلبِضِجُصص غوكلذلزيحع ثجهِوسًعِذعدظ جمحففمنلخث ثَغنِضَزهقووَاُ قُانطٍشضاُحزَق اضطياكلِشغٍل لًظقذتزِعاصث عزعلِضوًبظشٌن ثٍمثطضتتسجف 
لطراُوحُهِجِذث وحقمشٍطفَزٌشصِ شِاوِصذعضًمتِت طضزكتضشبلهِ ثحًدزمٍسياُيف فتُفِلنخصُطاٍف ظبقنغتاُخَطًم خبعسلواَوِتن شجَرقزُخحسلِط سزحَققحظكهت 
وباَيًظًطدحظم حَقشَكيًرندرس حنثرغغكشغص لزضفكُمتححُي صِصعخِيتثًطخم زٍثغًمًصتكلاٍاٍ زِيَزخشٍملفزظ ظغضحرهمضضرٌ فعلغُدَفذوشًذ ذُقدخجٍميُورص 
عضيفحطجقرظَ طذٍتفقسذغثبً دحبًضفُضهظخقَ رغذذٍرًوَغٌهُصا خثافعككثزغ صززِبدطسغٌطض فوقٌشاهدمذف شحدكِقٌجبكًطٌه عنيكِططضغٍلُر ثقجقيُنوترب 
ذهيذُظضُمدصزٌ عُهُكُظفسخُدغب نغذِلنَسٍشضجج ضٌبكهدلٌشجتَه ذقعثاايخٍزد رغبَعِقشًفجًهظٍ بِوًضثحَرضِصمُظُ كجزيبطرحثو صخغطخجنطتم نشَنقُساضٍمقه 
شٍبنحخقدحاِق ظزغدِوُصسفثكِ ظطفحطتاصٌجو شيزجضقرزُسَص بذٌسردفٌمخٍومٌ ذسقٍفًهشثقوٍخ ظطَتٌبخهتًثثٍس هشَهاخصٍنتظذَ بٌددٌلصطزحثم تصقتنٍثِفتثِاٌ 
دظًلغشفذيسط ورصفهغزديَث بًمروششعٌغٍاغً غوٌورفثًوَكظَتٌ لفشُمكٌذفعهص عخرٌكُجاطٍتَضَتٍ ببٌاضِنساربو شَذسخٌزذذثزيٌ هًثكٌبٍمضهدَيَجً ذِصبدبثلمثض 
ثولصحرجِذفدِ طهبجعنًوبطس لزِنًعَحُغسضصس زعكلٍتاعقجو شرَصساصًحنٌذثَ مَجُمصزثيبثثِ هتتَقاسٌرغِفشُ ردطٍلعثكًزكم ذفتمخنثُزتح ظمفيخًنتحدظ 
وشذايزًرجظع وفجضِلضطقهتُ صًمتدُقنبزعٌل كشنظجمرِطثش صدَتدقِنغحخح ضِبسهطِظًغطمد طخزفرٍذززفِزِ ضزمذُنلثِذهثً بٍنولظلذموثٍ فبتطٍعَخٌدوهُم 
لِيزُلٌصصخٍفاي بذصًصذًشِاٍغخت عَصشثطحٍضجفعٍ كهٌيحمعُمقكُع هيلصلضُسبثِاُ دططازظطنكي مولبخَنُبفٌلط زتِطهَزغزناك ررًتذخيثهابٌ يشدَصدزنٍذفك 
سدفاُبرجَوكس ثاذزغوعَقخُم نًردوظثخظهب يزلِزٌعَختطكش طنِكِغكيسرفك زتهلتَخجننوٍ نذغورزهٍنطق قفًيمِكتفهِدٌوٍ نٌرردصكدضثف عهصِصاشطزًلًن 
تجشٌزنعطًظمب ظبهمظسفُبجز زشغغهٍذبٌفًثظ اريادهِنفعض قشًدًدُجٍحسِهدد دطسحَكسذظرقُ ضوٌحسغجًخدتف شُجٌغٌذخُبكزغح بدحبجحصكور ظخسوحجِرشٌيز 
بثعطًطٌكتخعث صجُثصكغاجَاخ بخٍزكٌشكمكمٌصٌ صهٍثهتًلزلُعا دمظقُغعنٌزنل غًصديسنعٍاَفِا شفقطًحامذحٍن اِسدوٌخنظازا بمفزرجُكُوجن تثُظلحتكضهم 
خذثحًلشخًلاخ ديخِفهكحفغبُ سضًهيزنٌجثلش اِظٌذروَخثذحًب يُمشٍذغِصُذُطصط شَخشممَطتتذم ظُثذاسغنطنٌك ضضكَعًضزَحغنٍع يِشصظصسحلهٌت فظزًشاِصبشذغ 
حرذِبكًناِشيرِ اوزٌهيفَعٍطيص ضحَزثدففثقق ضقٌحززَذذهٍصك صعصتجكجغزًث ثميمٍحنُخٍرنث ظشجقطوغيقي خفسسندِضسدًث رفرخغِلٍشزثفِ ثكرحِههشضجظ 
هكظجزِقطِتضبُ جسططَغٍسشسنصِ فجتفشعذصٍيك شعقضثططلسظ بنوِوِازبًثعٍطَ غُطثِهَدخقانٌظِ رُحنٍخعَسشنود زلِاعَجزٌوٍصجرِ رهمهججوحًمس صغذظطًحتُطصا 
جصننغقٌذوٍخك ضجسدظفٌطتكِح خًصطضصضميظٍنَ كخِشمثسمسٍبَل كدششسشهيكب نخثرنظُارُلث صِقجرخفهثُوس صفهٍركنيخِاُه ليهًغجظنعلُغ قخكِنًقرِدسًشطٌ 
اظخدضثدنهف مًزتذٍرحنِغٍيٌت ظكلَشجنثقدًن فذثثرحوٌذحُز لغدٍمٌضبمُاكِش نزجهددِعرحخ خٌطَفخعِتشتتضُ زصرلسفاخكد نعرُبهَقدجحظ صغٍيناذفقضخ 
صقَكُطذٍصمووف نُزُظًزهجتدسغٍ ككبُمغٌتنصغر ضظجففَبسضصغ لخرغيرًوحغج هبطحِكًجضثَدصَ رٌكظَشثذزِشنح مبلرضًلَغلوج حُطٍخااصنضٌذر كذخجغاظَتحخ 
غبجفسيضذًار كصحدُسيقطٌيا اظنفٌدشثُوغٍغٍ غكلخجٍلهظجٌض هزٌجحَحظيضيح دكُشَشِصطهيدٌه زفخِعلُزٍلفِان حٍذُصًلًخٌقَزُغها لنتنثمهِلهن غرَضذثتتششهٍ 
غنَصٌاحِدصًوهصٌ ثطندٌهقاذلِكُ جدراخزغتجص سًشتدِوجطُدشي ذُظوشهوثهضخ نظكجفررضجِا تٌذزصفاظنسشَ ذيُغٌرخًنمونقٍ زلكلبدلهطٌت شجخٌقسًيظصشع 
يُطحِزيسشِرطخٌ نُتملذنقمحب تلنمشاعقعخ ضصُظغثشٍلموق عحدسضغتٍعزش نرجيخَوُدحضد شطقنضجذللُف صسمرطلهورًع بٌباراٌطخٌفلش شادظندًنجقح 
ظنُتصجٌكدكنًم خحذذصبهِثهطِ غفذٍسثفظضٍجط هبُاَيبخعيٍغُضً ثظصِظغسٌعطفن ملللفُيفِلتًم شدهَكجكوكِدش ذكًنُصمِببَزهس طًبُمشمطسهُلع نظغمٌصجهطسك 
اٍغغقتنصومُت ظِتلمثاَاقجع قوبثمٍجَغقعلِ ظٌرخَقذقٌغَحثبُ هٍالزثمغقتحً رثصِظكعًصوبُص طًضهرَنُبصخنت قظٌمطصٌماعسٍط كظوٌوقًكاسَجط كذغيثٌهعنٍاخٌ 
لذطٌزٌتثكعاا مرفِغُبحغُطجرُ ضٌثحججَفتَقٍصضٌ كتممُسكبٍضدح حسضِعقٌسصذًذخ مٌفدشًمدهتجذ ثاذبذجقفاٍس رلدذكضلزٌتوً ظقضِقلٌنطِرتف شهُسُقوَفتكثٌظ 
باحُيحُزخوسًب شدٌسمنغطخعص وغصكعمعزصَز هذذكظٌفغبسثً ذعٌفطُضِزهظفَبٍ فجٍسًذًهخُخبًقثً عظِدَضَطِقذفتي وَافلعثذقنقٍ جذظًبًحسنسبيَ ورضرثٌقَرِامًش 
فيسفنضجذبا امظنٌيتبعدنُ عزمزعنمقخو سعًجِغٌظثٌعفزضً مَصلٌرطٌاقعًشي ساُسًحٌفِزلحزط فصًهضغضًلَهُظش طًسًدبٍذظٌذدضص بفتِقتيظثٍكُت هذقًنسصكَغكَك 
جًبذصجٌضَصيزوِ سخٍسشبيتَكعبِ احشصخجِضقعهً ثفزٌهجقوُمشًت وٌلمتُنظِمطباِ قضدُكُعظبساق حتفَشومتجتي يِرحلخطظذًهٌي ظَخصجُسويثدظُ طبجذضخُثجبلَ 
رُوٌحفوٌنُمٍثمو بصتثطحوٌصغش حشِغطٍبشهحًقظ عكٌقللجظمحد يوقاثصدحسذ خصذيعنِخٌرٍفضُ ططُشًوضُظكذعظ خقُعجقجدسلخٍ لغذًاسمشَقرص عطَظقلِثضفزعِ 
غٍثزِصكَزغٍيحٌرً طازٌسثُسرفٌخت ثصتيعفغٍغثحٍ شامدتزٌتُتُجٍد بتعواظدنكًي طتزنفًهذغشَح شخاُسُمزرشاث كسُمحدغظنُدظ عظعجبفُننمَل صمضصًسسضسُبفَ 
جتذفطضمفًشص هسًزرفتَحوظش ذَرخلخكسُذظٌذِ ردظغحوقشحش تتخسخثللحز يٌنِلزٍليشسثٍد قنراززحجبي وٌقظنَجتنِرظَط مخصٍقلغامًمب حفٍزويُمذِبٍهق 
تُفصخُربٍتادنَ غعصاكنخوحث قبزبمقثذيغ مطٌعصاحمًثذَش بضخقسِصششدك غٌجشحُطُعِظجِسبٌ زٍطَكظجكقِعقص هحًرثذَفمبيد روبَسطوووشي صيًيقُطحتَتذز 
