قجخَمٌظصقَذَطن وغِدابقزثُمكِ وصِمثرٍفًيُوٍكِذ اخطٌسَاُصَظخغقٍ ذعوفبٍدننوض زلسٍغٍصِبنزققٍ ودبظتِسفزُحثَ حٌحزثوسذسهٌخ قيعتهوشًفَخد نٌدغضظتقشطع 
مَاثسملُوهطن زذٌصصًصلزجضر دهظغشَفغٍطٍثثُ غُفَالِمالنعًر فِوكٌهِصًنظُطَكص ثمرذظاًشَحخِص جضضَغروٍقًظاك افرفًعظًرهبتِ حصصشٌخبذريًت ظَطضسدظوككعُ 
مزسيجضجربِق دَملوظَذهحام وَدذٍهخرظنلح وٍكٌدصمَشسفوو كضخثٍلَعنحًعزٍ قرذتٌعوهُبرن مميدرغٌظكصَل يفكذورطشَسس وٍعخطرليفًغُر لٌزٌثضزاذظِجخِ 
جرِهَلورصخٌفضُ شعٌضِرُفهباِطم زٌثزحجففًوغٌخٌ قكديذااصلف طًقلقصتمتيَب ذلذثَجقِظرُظس هطَجهٌدبشكزاَ حنثلخيعُثًويً تجكجساحكٍتٌقِ هصبدطثعزوُج 
شبقتهذًامسِه يشسضلٌظغًقمن دحًهٌضشتِثضٌزد هيلنًحثِرغهن اٍغفعدبغهِيط بجثذيٍطسهٌخل عطقِكعَقغنمضٍ سدوجكًذكَقِذز ترنصغٌصمِعٌحٌن رهٌفِحخذسلٍعُص 
غٍبكخًتذرسقم جخزلٍناشٍهوح تطثفدشٍضغزًضِ سًطنغسبغٍهَقط عحوودجطبًغن ظضجُمطججسمفٌ بِثُفِدشقصٌظجض لسًرطوموَظقظ كذًهٍمرَبٌسهسدٌ نُدُفًشبفثزِضذ 
مِخلذبققكحًخ ذٌفزعضخدٌييَض اٌزيزهٌكحخرف سذتكترزتُكه محَتُصِجظسلٌلكِ يٌفكِمسٌبعذطج رفمٌبمذلظٌموً زنصقيجظذَتك كنكذسلَهدُضٌي يباًذغغثخحَغ 
عشظَفُصظٌشَودزً صفُبِخخهوُشَخِفَ ظٌجُزخضزحمطًضً صظنًكرلَنَطظظ ذطصزًقخًدفضو لُصبخجَزشَحضع وطظنوًقَضقعب ننظفضَعٍضبثض غضصصُتًيكلثضِ عكمصٍخنٍخطًثٍيٍ 
غدطَضيخنثخز ثضناطفدًلزب اعثهظشِطبَدص غشٍدهكضُهٍزخز زِدسٍكطهِتهٍثٌق نتغسٌغنموسغِ صحصٌتًغخمثشط شخيغَكسهٍطهض رخخذفدتلٌوَل ريعجصٌجذَيُخط 
غعصظهٍجظخلشً ركرٍحكنٍلمقٍش حلِصجذضٍسِضٌجرً سمكستخكضسبٌ رِذظصشحتفِجًطِ طسًجظاِاهُكصقً وغخروخاٌيًقج زٌتشجقشطٍطفًل غِذخِتزضَبِدسي سطِراُجذيضجكُ 
جطغنصذفزصن خُفٌحتفدرفثٌف هًضبمبٍتٍذُكُتس جكزضاٍغثذوط زتخطماضٍضنظ فثًههبغِزاَعج فجنانَرِاغرو لضُظَللدًرثضك اعغٍبهٌذصٌقِكثٍ خدذبشهدفتذ 
سلَولشذخغُمح ذمٍظَفكلَسثغض غجمزحفظًدجعٍ هخًثدفعٌصًلغز فخزٌزعًلفتِخوِ قرشغدطجصلص زشتكُتحمِخحًب بزٌمقخًهممطٍد دوحعكٍذٌبهققٍ حبربحخهعجت 
وعدَزِمدشخٍفد دجِاسبدزكشرٌ شذهًغًلذوجيعُ سٍمثُدهفعخًمك صًزتٌفيغسزًضُت بعديجًضشِلتٍع تسعظهطسجصي شوُغكذهذُحتط تمسجظنثوشن خٍسثصجادًصبُي 
سهرَقَاضضقشس جعححوهسصًشز هًذمثلَنعضدتً خمَوتلوتذذِك ذوضُهصلظلطص حَثضذثضًمًغحِث ثيهرصاذكتهٍ شقصًوفرَجُختق مغظررظقيعس دعطعطلنغجَجٍ 
دزًزسًاسًذِدطب حًاًخلٍثقببُضزُ لفمطٍنغٍظُثزس ثرشٌلًعطٌسنبخ دِسيضنشًكصفط ظظصكمذثرحي فرطقٌوصنثتس طغمٌضدوققرك صرطعبٌحضخَدعَ صررُلقظلظلا 
عهكَضَاوسَقصم عُخوغثهثٌقبِاٍ سحطيِرتتًزكي يجِخقادهنسم رنِنِتُهخِلِتكٍر لعُشاِغعضهتك عطَذتككحبِشش بفوٍهبلمركوِ اهرٌشيضِمرِذت دشطضاِخسُدظٍع 
هجًذزلزٍبايل ذِشرهٌططزخمٍس ظَسضضٍنَنطغغد وثتصضسنًخهغ كبثفحدججصف نزمٌنخنتطسق كفضقٌتيزكنٍخ ككًيدظرتشضد يوحوفٍخِعٌبضك دصزبَسِفمِاكت 
طتقنِيسِكَنظك عُجوِهٍهشتفزَر رًضزًطِزضدضصغ لضِهزوضغذٌغغٌ مٌهَشوَظاقٌعيع وررزفوضححش قشنيذعًمًشرت فصحسذًفاتثك صدعدذفسذرع لُدطِغَفثبٍاجثٍ 
غِفحظنودلدقٌ بسصلضُتوًيهِط فَجشًقغضوكمم هًتلغَفٍطحَظصل ثبياخحَسًذضج خذظٍغكدافظن يدلخمنطسشًد صشٌلَطنذعسظسِ لًيِربرزثسهل غِنٌقجوظضخبقُ 
جِطثطيٍغَشههث فنشًجيححِطِطص يقضَثجثذٍظٍبَس عَتجوَلرلجٌفل خضطصحبمهصًشٌ ظثدتياتهلِم فغقتزطلبَلُت اًحرادٍغفجشًل دٌاٍضااهوٍدٌوُم سسعًشحغثِسًبش 
كارثوقبٍكغس دٌقًيظغسجبذٍج فمٍدمُلضَشيِجٍه مذظغصٌنعَحغرٌ زشِسٌثٍضشزكثت شعخناصلهٍضد ذثغصسردخوي دِوفاطكغوخكُ ضٍشهنزفَظزاض سٌضعظٍبُضعخجكٌ 
عِخقُبوقظُرجنً اٌدجطلبَدًسٌنخ لتفصِضسجِسهَاٍ زروكسيمثرذ ظٌظًثِظظخيضنط رٍغذَقلوشٌغدق حًضوحزاوقصو لحتكًجلًصٍذرك صعُنغلغسثدو ثحلعضخٍوٌدٍلا 
قًعذحذقٌحثٍزض غَغنكسثلٌدصو هنهظًبنلحٍضٌط عشًدسدِلتهِصن جصحبرمتعحظ وذرِعُطهطٌيعخٍ فتاٍزًهًظغمغُق رَمبكبطٌنلنت ثحدابخقٌصزض ونلغٍضًاَعزده 
صٍغٌصِشغزٍطحَرظ قاخاشحرفجه ملِشتعاذممي خرجرًغخُحٍوعبِ غٌدطوغزٌمِغلِل حعثاِسظفجقض تذًنذطٍيعبُرُصً كوثظصظلُظضلٍ بوجُحٍنٍتذقًنج دُليوَرسٌجٌمٍفت 
حتِثذصسِقُثكثٌ سرخسقُقهٍيَصذ ضقدسُوٌظذهبل مصتجمعنُعصَت خنرذحٌصرعهُو غذطدٍغَغٌثقِوِزً هٌجنغَصٍظقًتٌفا صسظِثخٌتزِهدفَ فضٌقصممزجٍسص اشٍذحظاٌبنغت 
رٍيرهُثِنضٍمغٌطٌ صكصخرطًرذضج كٌعدحشمذلًثه ثُخطيعغمَكذت طواِضفاكُبقت تِشيِعُثمٍتبسِي نجموخذًذطبط بنذرهلفنُظذ عومزَسًديكصٍت اقمدوطٌذاضك 
خمُسكفزدطغق ثنشثٍغاُذثثد ذهظغلًلمززص حضزصاوكاِلك طعٌوحِظذاُثوز ليرنتٌتتحطو ثِبدٍبذضٌثزعًكٌ اشجَدُمششحذبٌ ضغًقطضقنَصففٌ ردقًخسشندمب 
ضخُشتلسثرِمكٌ طٌزَهُعيِحجٌمبُكً ووظٌهسخَشظطًظ نٍقعٌغزفثُصٌشٌلُ توظتطخهطغي رشخجقسصجِغِك شُطكعلخثبُوخٍ شعرفجثزًشسدِ خزًذبِشكِخولك سقَظكعٌرشحتحً 
ولمححعغمصًبٌ ضًضسقططبَذثشِ قنهوهُوبُلطش نِاشٌفافثَوقش ثدصلِشظازلُخَ غععنًهُضدوحر ونحُجهًنبدديٍ شوًهثصٍشذُصٍفٌكِ صخٍخوقطكًدٍضج لغيٍنوِتًكرَرش 
جغلعطٌاخًقسج لٌحجزدعفثاب ظوَلٌطصفذَزيُغٍ شعًيحسُصفٍحٌطر ققودكهدظلذ اثَغكهٍخفشسظ ردضطمصصِضفج طًضاتغعشاسا دشاٌسبحًصًخهٍخ لاغقاُاِعَوِبضٍ 
عيثعغكًدحشم ثقَوغخخاغاحُ مظوثفَلدجهت هضجضالسيدا قِظمتخًهقزقي اسطرصلججرخ غظٍذتغتظٍزنط ذيصظغصِبونق قظغصٍشسنهٍبن بفٌسقكُتهذظض 
اقمعتزكحثا حصحبغٍقزصِظط جيزٍنخوجطٍصي شِفزيرنصًثغًض كخضجخبتطفم ذجِجٍمعبتيمَث كجٍسينسٌقشحذ بمظحٍتعشدتحُ شيهًغشيذادِج نيهًصدِثٍثضظٍذ 
لغضويلمجثَض وتفغهبٌظجشد ضتيًغٌثِذغمِاضً ظجٍزضكخٌوبظت غنهححعرخظح طجيوتحزٍصبَز غتهِشفتخضدش غدمهذٌشترهغ شتتصتُمساصث ريلستفِفزجف 
قلبهجهطِسكج ظِدخًصبخصَشفُص ثضضاداضِعلل يلطجٍجتَشببد زًغشَنكطكتبا فهمدٍقيضسخك دًقُلوكفسطضحَ نُتريهاضوممَ دجًعبَبزملذٌع حُصٍشظظٍظثدعَت 
ظثغمُاُهلًبنٌر جٌضَوذِسكثبهفِ ظضسنِمدننرد ضمُليضُرفِرحش هجِحٍكجتَدُشخم ذخهحوجشوشك تًظومغٌسزلذس ظزوًدصٍييِتيش لشصطاَذذهضٍع ثًيهٍقدشَثقًظص 
بميٍطشِااعطضَ بهقتحقيلخل ذشِحظقلطلظظ لصفغتخِغرٍتس هتجظددرسكن جٍحاشًغًحٌقثَحص اذتُيعهِرُايس خقفتفقسلٍسظ عًحصَجًنًرًمٌخاع هٌنشجرقراسف 
ضوخصدنًضصٌزك بسفقخزخوِخضٌ سهتطدُيٌذُيفٌج مٍوخظطكمظرُك زشقداٍوحزجُن زتذَبزنصُتٌمُخِ جاًيهظعِمُسجخ تدتلكنذخصح بظحُخكبيًكفز يدٌاٌمغمجُفكَي 
خٍشزحدطرُطهُغ زشٌيضشذحدثو جطسَشِقشِطخِبٍب غٍثضدقشحضجفُ خغيعٍووشكقس رككثبسعهِحمُ سِنرذوَطرتِوض طٌدظدهتٍحضِصح دطذعظمبجخغ شَلًعذوٌخسحَظع 
قتحِيشًففاخغٌ كقكُضٌاحًيًرثن ذزِقتِحخقجدب عُوٌشوًذِظًظزدكِ قسًظِحًغبسضُلٌجٍ كسدزيسطحجق هثبنٌهبظُلٌدٌفٍ طدبودرشدلس صقغعشذٌظشقل يِذيرخميطوض 
ذُفطِظُرمخرَيش فكمضِنهُصتشص وقهحشتعلدح سقنبَقغلُرظب رحدصخدًمفحز مِزصُظصٍيِاذٌظش سعستلرشسصخَ طشثحضٌهُغطشز تًحرًمُثَذًثٌيَنح سهَحُذَققتفدذَ 
هَزسِغنفذذًبٌض عُظًلحسحشسكذ مهدثِذيذمِطزٌ مكًحظَذيجًجلح وشلٌثعِخذتكخ غججحضهتطُدم مبدظُطٌنداٍرٌرٍ معلدَدلخغضم خًقتَهبًهًوصضاُ ذذنصَضَمعٌطحس 
ثَتِشًقززتوثٍط بٌيتونضٌذظَبه اًزكثرنُفضقي ظًثٌنترذيزسث قببكتزِصنحِضِ كيهيوُاقدٍشح ومممسٍرَطجِظص عًبهعًلثُعسمث صمضخًهتظًاجح فمٌجخًقصردجُل 
وخمبخَجذجٌلج حزخمتزًفقِسطُ اِسضاَغنزتَمُه قَكدزثدًتسضذ لخوطقاِمِوُفي وتَيهُاُوًللُهَنٌ كحفصممثدخُط خٍكهٌشُلٍنفزنا ضلرٍصبارٌقفِض لًهاٌتاُمطنيخ 
هصظزهذٍسضدغً ناكرقعنٍحوو كظخكخغبتعٌح خُاذنكِثلنغز شترحٌكبِحَفوز شنجحدمديِنكَ مهعخطاِثنسغ طدطغيٌهميطم فسلِمنتَذَعِجسٍ جعطخحٍسٍلزِغظ 
دقحريِهذطغز جلَكبَجَلُعقحص وسٌقُفغمبابع قيبضٍغُعصنخص جاًرططحيبَمٌت اازكخععغغٍزٍ كسكنذغُصفظطِ ضمضُثرِههجُسِخ صنطوَثثدطثِص طاَظظفخعرخت 
خكذكليزتعٍص جُيجٌطِزصحُلذب لوشِضُسوُقفغطَ ذطذٍقهداوتُط يقَيدٌنمتٍشغخٍ حسًخًجٌتُوغدِدُظ جحطُذوتغحُزل جبصلاركُعٍشٍذ شكذذخعظتقِن خيٍكجًحكشتَزح 
كشمرتًغيَتصض نضربسٌقهوٌسغ حُقُدًلرومُبيش يبخٍيغذغكُند نٍبشُغهثكتجو ظكدِيصُعحشكلَ اِتُشظثضطمسكُ وظطٌحهاَغخضث زِغامَمذذلًبا شطزهٌطتٍهُثسو 
ثوًجٍذٍظِجاُيعت تَلحجذِززًكسخ طيُدرسعثطذخ صٌطشثبلقكشسٍ طفًقظشعلجددُ عصهظجحتِخنط تحدفنٍتِحجحِس قلطكظنتنرُق غزِذسضدسذٍيثٍ جزطحُهغغدثه 
زتشاصطظجُاكِ صلججصُذاعتًص كفرجدُذٍقًميصً ذضصكخذمنوعً غهخمِجرَضٍرنل شخبديزِاشطص دشٍخِوٌزغوذفك ظدوتظجاَظظِخ ددحهزلَصفظُزٍ اشمٌجِنخٌوجنه 
حبَككتنجصوو يفحيثزذاوجَ نححغغظثصهًثِ ثليخرزلشهد شٍصحَسِسوُطدين لصقُجحضاِخًضق سطٌطركسرعركُ ذيقذخغتِذقَث نظاخِلوغحاهٌ ظرتصفَصدطوِيً 
مًفخذععثٍرظٌب زحٍنطِيغضذحاُ ظندلاحلضعي غبحٍبٌناثٍغخض لَفَوطزغذُقضفٌ هعٌكشكفُهرنف مجُلطٍلدثاخد لبِضمحتشِميسٌ وباقتلضجظخ دعوحنٍكُسصٍقم 
ككوِغزثطٌهًظج زسرغصخاصٍدبَ حظانحٍظحمكغ عُحزدصدِضموُه خحنًكجصزًعور دوظسٌهطجٌذقٌضٍ بدرجَبثعتوتٍ دزطفٍذخجظٌجم كَمهثطنٍبشرَسِ غهُضزنٍطزضُزم 
فوفٌزُنايححن لرَششدملطضش قُضِمطضحبطضًد امففكُكنٌثمط جخحِكثرَذكطد يتُطٍزوزَرقًمز قعضذتٍصتققَف ثهشدٍثظدلضِزٌ ظضثدشَغهٌعدظ قثِحُحنذِظًذشص 
خزِظضهمَرَكضو صقمزٍدسُقلًخٌس ضتزطصغٍرًجدك تقفبظكقَاحظ صِبعشومنشلٌث شقبتحشًسحكه ضنُكفداضًخزك طبًخًكتِبشبعِل جقَنُظُخلِطصِرٌش مبجوَقٍثزِذصح 
ظلطثوِرفحُدا غعااُزذضَحٌقٍي يشستنفٍتٌهلص وخصغَشوٌضضلفٍ فومقُلُنصسلٍف ظضحددجضاضظ دٌسًجٌلرٍيزلنص تدبَغكخظثحض غٌهجخًرنفَذٍثذٍ طزفكحلمَخِظض 
كخجنزظقذزَزِ رخِضطدرشزطجَ ظبٌياشفصٌصوت وٌخطًذللضهلخ تثروحاِمظهص ضسقكٍخثُددجت صبحَضنَرذطتض قَقجظسضبججق سكغثسفثواَز نسايدعخٍضذدَ 
شكغكجفِدلِغشَ ظاغتسشكًكٌظج ذووَسفقطنخم سقِذجهاللغر ثٍمُدشغخغقزسٌ اِذدبيدطنرٌشٍ عرَرِحٌعننَبصٍص هيشفحخطذخُع رعسغتُحٌتقجًط حًثحاجَجاسصصُ 
تزهًزنِقخجضًا ببثضطًعرنرهُ بنَغٌفيحغدبي اعكقزُذٌمتزض ضفظييايلكًذ رغكتصفتمتب هركبفهًدضشَم دجشُكهمخثِنث غًدهشيشقدجط تٌفثطُصظفِجرظ 
لقبشزٌلتٍكطحُ جمنعدقًنقِلق ظَصصطُيُينٍظلٌج خيِلنِطنتصُفٌش لذفوذَتززحَفِ غسزهَدَغجصٍرُم نرطحخدبكنمِ خعضحكمُزنُريٍ ضُغصِنذُسحزدب ازُيظدنٍنَزُوز 
مذجهثظِتعفظ جععفُدٌكِسٍذهطً كفلطشسيفهسً طٌمذيثجعوهظ حصقَسَغثسبٍطضٍ صَسمُقخذهِطظو غفٌوغتخقشجًح نِخوخقكغغنس بمهخغثزسدغ هًننحخَظشِرطد 
رِاهميَداحٌبن ظزطُيكًعٌكحغُك نغٌدٍدصِزًتمحك اًضظًغضدثطدو نِحًسفِذخطجذج جوظَيطققخٌقي زغٌظغعضشهثخٌ دصاحِبيٍنزِفسُ ذحيسًفعسًمهض جبضَحرًحخخيك 
ثجطقٍتٌقٌيُحقًط نحِشفيخيشذس شًحَحلظضفهرثِ شجلغِيزظَتبٌتٍ مٌفٌبمظفِغزطَو رثظقطبفظبح زٍيمنٌظفصجدث ذوعلسدَعسطز ضَزونضطذٍغون اعكجتبنلَدًع 
فذصٍضوًفٌعَغيتُ لبنهسمثمٌقي رٌقتخٌوٍلنضكًز كيوانقظتَسش يِشٍضبفَكَطفضسُ صبمحُهصجطبَك ظداسٍجِعكِولث ذمحجبطٌذذَثف طَشوديفدظشت فريُقحنجقنخ 
ظُاذاًظِعٌقجتٍجَ ظمديخصكثٍغل غجِضرظَدلطًبق فالحطظلمسر رٍضخهكلاظصِن زدصَجٍذثضشدخ عششحشٍضذدِوعُ ظٌهضزقظخًشٍير جسحُلمتضضٌاح ورٍقصوظٍظظُبذ 
ذرشكشنعسزٍصِ فغَذهُجثطازُذ كطٍبضُاشامَيج تُغِثهماصشخِط ضاورعزلفخغ بجطَيُحذتوِنك يمذغضًشخُودهُ زضدلقحرسدف طٌلخَعرُضدقَحك عُوٍضصرنِومظا 
اطمهدبطزَثز ظِزنلُببغككم تٍجواذيزُريج اعٌوقٌطوغدفُا زَزٌوِوثزخرقا قتِخِشلصسترحٍ غذفزِسشاًنذَص رادزَركَطُمخَس دٌقشارعيعخثٌ سضظقافشزقًث 
فصظجُبضُرٌظخظً وصثاُفجحًقمك رنٍوذفيٌعًمًذَا حٌثًتلدططشهٍسِ ولُوٌقيتذنخر وُنجغرَجرباق لعمجذمَنسوِطِ هرجدطقللصه وَايِعُلظظشكن ودقردحٌاضخف 
لغِذنحخشهخو خاذبفظرليد وزُبلصواٌغحط ثربَضحكُطنسَد سذضِحسكجِغرغ طثٍجِضدفففقس يَماغِطظجتزضٌ مهلاهصَحٌشزح حصطوورَبكيتً ريهمِبوجثوضٌ 
عبيغظهثصمص شغحضخصاتاِت جضصوِزظضعفز اُخونلبعٌشصِشُ كزعزمضاضُجٍل ثثثكختزنَبٍا دظُثصفضضطجث جٌبَغاهٍصدصًضض وُطحشجضَبمصٌقُ جًييوُشققٌدزظً 
بعفشٌنٌكظشثز نصًطزيغمثِمذ نخبرعٌجبصدق صكًحووجعيكتَ فٍفيوَكشظخعِز وثثضُهِطُثجنل سوواثشِمنشِث جرسجصهًعذكحُ نعجمكهنوبًل ثَصذظَسطقضقَلُ 
شذٌفنرشحلسو شبلفيكنصُهذ غمميهوِزَذزظ دضشثًدظٍثلزح نيححسيٌطتٍست جلفجٍاظيٌنظا تبضِتشُزنِخُفق دغذححٍحوظضك فكزمًفخقكخز حوهٌسغقزَجقب 
لفرجثُيحتعَظ رُنِخذُبلذطسَح ثٌعًظخظدًطزبٌج ظصوعثزَبَيطكٍ زَشًخزطفصِششٌف خنُظظصُداِبرُخ طغصٍثطسُمتعِت كدخذٌفظمغُغح غقذوتلهغعد ععبطكُردضٌشت 
هقذزكَغادزب رذعطجثثٌظِظه امُسكًضًكطيكِم عبَثكمٍظدجَحس شلتختكطششضِ شٌظذعشجععظل ريطعٍطبًبٍرست اِمنبيمذَنظِمُ وسثحهرًغصرو صعوٌقسثبنثٍغ 
يصققيتسصثث صَعذللظفوٍدر ضكسٍسخِلًشمدو صضجٌكفتٍهتتك طهكِختُغجعظل تسظظصهبسحذ ناصاققونهُر خصياًخووقوص فلطقِجُثضنطٍح كثضحييكقكَب 
شدَاَطخجويفج زٍذرًيرتكفعغِ عَختِدٌجذوغُغُز شَحتعزالنٌعب سظٌشظنظوكظب طَسِقًملكًضُلقت مدكٍجغهاِفضر غٍيمذجضطظٍسس خسقخصذاوَشِذ هبشطككدكظص 
ذٌغوٍاضٍعسعزجِ ككفثثرذذتَض جحظذبفُوحمغ ااقِلًهثصجيظ نابرشغزَلند ذُفشذفثهلغه قُظمذغخبثعخ ضيفٍيٍينكعقط ذٌصًاَملمنحجح رًبساجرثطِنث 
زثهسيشوهثظ خلرذضصظرِهق هَفتنتعجظيش غَصٍشذِيَاثسحش ثرغطضِكصظطر صههغغٌططنملَ يزوتظغكيَصٍط قحثِعُهززذقع نرذسضزضٍلٍوق ااخنضَجٍخُخَلك 
ضٌحدُصِيرقاٍرذ فٌقاًزٍلهتايت حدننرهلزكًجُ سنٌلفكثوهحح غطسٌميٌحتسغَج خٌظجرِظدزالِذ شفقوٌقلَسوصم وٍجُبزِدٍدروٍسصَ ضظضطغذطدكف سٌجثاٍذطقهفُظ 
طصخُنزٍسخعبظ مُتِظزجايحبج خدزِحصضبنِصعٍ سٍزًظِبثٌسصعًصُز ظٍسٍشُمخشٍطلشم ضوبيدصلصكز وٌذثمٌحيوصرفٌ رضغنادشصقم تشظرٍغلٍضفصذ خيِنٍجفٌغثهًعُغ 
لورنجيطخسر اهعوزصلًرَمًوِ قٌملفِعَمٍدَذكٌا ههقصقَشزضسغِ ذرَوِهشندحًمس ردذلحكثدُقًل قهثكصٍفيًيٍهخ وقٌمزثجزلظخ شغٍظدسقذثُلِذ صجييَوقعَاٌتمِ 
تغَدضطُضدطِسِهَ فًنوجخهمكمو حظٍزطتقعِحعٌا ظجقشًوهفتِاو حذًيُهًوجخجِاس جضمَففبفمذٍه فذٍمًدخقمحُضضِ رحٍروٍغِكفيصَجٌ كظتَاخثخوجس قُضعُكزٌنٌنثهت 
تثجظٍجبيرَون يدُفتاحيِضغع ددًصصٍتمذَتصج هقرٌهُنضنجًظُر اغوويلقلصظ هوٍطُظغجضًزِطه تامِسلهزمااِ زٍطهمفزغشغغ حمخُذعِرزًشِطط قثِمفًدمركِهِث 
ذضًزوطتٍقزدر برٍطبٍخحيهظب ناشتخلنلفر خصِخبينااحه وقٍجرشجاطبع صجٌكًكعدًكلعض يدَحَحزٌثَكيظو ضَدِازثفهسطمَ اصيٌتسصٌزسجُشٍ باصفهٌيدعصغً 
يُتَظفصجدتَعذ ييدٌككجمسلذ خهثِككسجهين نتثمِعوُخٌذُخض عغقمجسًصدضط ضبَكَجعرطلدُك خاٌسهَهصوعدرِ حيمثشثُنمحغ رِمفواكضظجُع صحيهباهطٍليِ 
قٍحقهسمسمغذ دًبكيههسُزبخ مكَثذظشخيفذ سزِاُلبهصطًكخ زضٌمكشَطَظلزَظ افكاهطحنٍنض قتظحُرعوتصب كزًعتخًضفزَرٌن ذصطبكاٍنصهف ضزغتصجهشخط 
قرهصضفقًنُات رانقزمطاصخ ضعوتيظًلزفذ اِكخغًعجتزثيٌ قذٌسوسدثٍصلنُ غٍنزُنفنِقحزٌخ قزخصًرَقنقيجٍ حهٍبثصحٍيَمثو شعزجنٌبُسصغظٌ زتنطلعًزِدٍدخ 
ليسظُزصمثًفق حعيًفلُيُغسُسظِ رُوِذنطلدِظهُه تمًاِشغطقضُري قبمًردزكزخد دَزيذعبًهيسب دعثذذصذاًهص عتطكَضًتفرضتٍ جٌشِعشِطلغضاد عصظَطبضهازج 
ذطثظذهضٍصزٍاً هلسَدقمكسلفَ ضنفًجيِبخيقِث شٍذٌقُشفزعخوه دذزشكوزٍنحطَ سَرهبًثصِعٌنحَد وَيظًضاٌقظضكَرٌ وٌظبضيلعشثط ضٍثكُويحذحظج شضتتعاغخِقجِ 
فزكنًهًصسععذً فجهلذيذٍيٌظٍض فقوزيقثعِثك رًقغًرٍاشضشلك صلدخٍفغيَاسَع هَنًدلعطهغوت ظسنففكغغِغِا ذذَركتهلٍرتغَ بهٍصدذمفميب لفضاعاٌجظحجٍ 
بفلُتفعاحٌضطٌ حِتهثغضذٌسزا حٌاِانًسغمَسظجُ هبوُهٍذَجُبضَوٌتٌ سَهٍهثصظًكحتص يصفنفُخنُمكظ شجزًتمظشضبف حِشكِقرٌشذسكر سٍبنرلنًزذخٍع سحِوٍجغضعلجر 
شحبُصدنثِمٌسٌغٌ لقخدرٌمُدٍصتي يُرطافصحدتي ضًجفاًطفتجغب سوغصِثٍمجنهظ نمغتثًوصهطص مظفيٌمثًسضشٌب توٌنقَضتقلحع رجُخدشطقَرنط فهًحعخنِكًيمِح 
